,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2013-10-31,56.7,57.4,57.43,55.61,2779400.0,156569913.0,5.5,0.07,1516.0,1510.21,1516.0,1498.39,34268139460.0,7091181752360.55
1,2013-11-01,57.13,57.38,57.75,56.64,2286300.0,131222235.0,5.5,0.08,1509.58,1515.15,1517.25,1507.58,25849455323.0,7114378906088.12
2,2013-11-05,57.5,56.85,57.5,56.8,729000.0,41543271.0,5.5,0.08,1515.15,1505.94,1521.02,1505.22,25909075265.0,7071135625659.33
3,2013-11-06,56.93,57.4,57.46,56.5,1320900.0,75246929.0,5.5,0.08,1507.07,1499.95,1510.42,1498.11,29272939734.0,7043024293219.35
4,2013-11-07,57.31,58.45,58.47,56.92,2112000.0,122199101.0,5.5,0.08,1499.95,1509.25,1515.77,1495.98,35131179147.0,7086683449107.27
5,2013-11-08,57.58,57.1,58.11,56.9,1361500.0,78150799.0,5.5,0.08,1508.61,1489.55,1508.61,1486.51,33717266105.0,6994179135254.75
6,2013-11-11,57.22,57.47,57.83,56.68,1259600.0,72225288.0,5.5,0.08,1488.89,1483.46,1496.47,1482.84,24751960100.0,6965589124244.62
7,2013-11-12,57.49,57.88,57.91,57.29,887500.0,51213212.0,5.5,0.08,1485.45,1500.41,1500.84,1481.29,36212433120.0,7045144421607.62
8,2013-11-13,57.5,57.83,58.85,57.32,2883100.0,167734982.0,5.5,0.08,1499.0,1466.82,1499.0,1464.59,45368983051.0,6887445739817.1
9,2013-11-14,58.25,59.51,60.16,57.74,1796800.0,106069302.0,5.5,0.09,1466.82,1490.89,1494.74,1466.82,38372492221.0,7000460687710.77
10,2013-11-15,60.01,59.88,60.47,59.51,1285200.0,76880475.0,5.5,0.09,1489.4,1493.79,1503.45,1488.56,36407934415.0,7014098393891.63
11,2013-11-18,59.94,59.81,60.35,59.47,996700.0,59690775.0,5.5,0.09,1494.53,1510.61,1511.2,1494.53,31536775427.0,7093061218246.51
12,2013-11-19,59.8,58.68,60.18,58.26,1317300.0,77679614.0,5.5,0.09,1510.72,1511.19,1517.64,1505.52,32913517098.0,7095790844839.2
13,2013-11-20,58.1,57.6,58.55,57.46,1302300.0,75143787.0,5.5,0.09,1511.16,1508.52,1511.16,1495.03,32676820398.0,7083234997056.38
14,2013-11-21,57.97,57.78,57.97,56.38,1284700.0,72836898.0,5.5,0.09,1506.62,1494.07,1506.62,1489.98,28080499700.0,7015411619838.17
15,2013-11-22,57.79,58.29,58.63,57.79,1151600.0,67169449.0,5.5,0.09,1494.1,1504.1,1506.11,1492.23,29655219213.0,7062492413571.93
16,2013-11-25,58.47,58.26,59.19,58.15,839200.0,48762042.0,5.5,0.09,1504.21,1502.41,1513.33,1501.58,31967064018.0,7054556198056.99
17,2013-11-26,58.16,57.57,58.36,57.26,2121700.0,122287839.0,5.5,0.09,1502.89,1484.37,1503.7,1480.39,48229948205.0,6969845523930.55
18,2013-11-27,58.17,57.19,58.17,56.7,2265700.0,129285411.0,5.5,0.09,1484.6,1475.42,1489.49,1473.23,41550434835.0,6927804014788.67
19,2013-11-28,57.32,58.44,58.5,57.32,1295600.0,74999482.0,5.5,0.09,1475.16,1479.46,1487.5,1475.16,24668741069.0,6946793859819.43
20,2013-11-29,58.27,60.42,60.5,58.19,2363400.0,140163123.0,5.5,0.07,1480.08,1479.35,1484.02,1467.32,31291760745.0,6946263649103.18
21,2013-12-02,60.24,62.69,64.74,60.05,4906000.0,307977703.0,5.5,0.09,1479.32,1473.26,1488.97,1472.55,24196675363.0,6917684865750.2
22,2013-12-03,62.75,63.12,63.92,60.61,3190100.0,197990141.0,5.5,0.09,1473.56,1448.84,1473.56,1441.36,47456307434.0,6803018523449.25
23,2013-12-04,62.9,67.46,67.49,62.48,10394800.0,683750258.0,5.5,0.09,1450.22,1439.26,1455.82,1436.32,43484660557.0,6758022220391.5
24,2013-12-05,68.9,66.72,69.0,66.21,3849500.0,259102125.0,5.5,0.09,1437.77,1429.25,1447.44,1427.88,41406299250.0,6711012916339.87
25,2013-12-06,66.75,68.8,68.8,66.4,6598100.0,447120554.0,5.5,0.09,1429.25,1448.67,1451.05,1425.31,38501119521.0,6802220391429.27
26,2013-12-09,69.01,72.48,72.55,68.52,6947300.0,495433023.0,5.5,0.09,1448.67,1465.7,1467.2,1444.94,37250903478.0,6882186129056.72
27,2013-12-10,72.45,74.1,74.4,71.2,4618400.0,337518839.0,5.5,0.09,1465.7,1464.14,1471.29,1459.02,34812026533.0,6874866511027.26
28,2013-12-11,73.13,73.09,74.34,72.82,3249000.0,238735721.0,5.5,0.08,1464.14,1464.67,1470.0,1451.0,28795646065.0,6877366183674.53
29,2013-12-12,72.6,73.65,74.0,71.3,3573200.0,261429892.0,5.5,0.09,1465.25,1449.74,1465.25,1444.62,36017750107.0,6807223603878.11
30,2013-12-13,73.69,76.75,77.01,73.21,7171800.0,542434086.0,5.5,0.08,1449.74,1452.76,1457.88,1449.21,32285420251.0,6821404463826.86
31,2013-12-16,76.6,79.66,80.39,76.6,7016200.0,552729626.0,5.5,0.09,1452.63,1470.22,1470.62,1445.0,40098483167.0,6903430451647.21
32,2013-12-17,80.0,79.24,80.25,77.8,4191300.0,331761150.0,5.5,0.09,1469.57,1479.39,1483.08,1468.22,35648912988.0,6685012538785.19
33,2013-12-18,79.0,77.17,79.7,76.6,5061900.0,392669735.0,5.5,0.09,1480.09,1486.91,1488.27,1478.45,31633527060.0,6719006675908.59
34,2013-12-19,77.8,78.0,78.91,74.74,5901800.0,452121331.0,5.5,0.09,1488.21,1497.99,1509.2,1485.48,45080626868.0,6769074641636.64
35,2013-12-20,78.05,79.23,80.3,76.1,6211000.0,486375337.0,5.5,0.09,1499.17,1497.23,1502.86,1490.98,36565395553.0,6765643643953.46
36,2013-12-23,79.15,81.56,82.2,78.55,4570900.0,370043412.0,5.5,0.09,1497.31,1507.49,1510.09,1495.22,28684771864.0,6811968678502.1
37,2013-12-24,81.63,85.0,85.05,81.63,6281600.0,524689819.0,5.5,0.08,,,,,,
38,2013-12-25,84.64,85.05,88.49,84.59,6262600.0,542257029.0,5.5,0.08,,,,,,
39,2013-12-26,85.22,84.54,86.38,83.55,4731100.0,401562039.0,5.5,0.08,,,,,,
40,2013-12-27,82.43,82.5,86.25,82.43,3836100.0,323748891.0,5.5,0.08,,,,,,
41,2013-12-30,82.03,83.7,84.94,82.03,5262600.0,442238379.0,5.5,0.08,,,,,,
42,2014-01-06,83.96,83.24,84.83,82.6,2490000.0,207602429.0,5.5,0.08,,,,,,
43,2014-01-08,83.7,83.41,83.85,82.81,2345100.0,195212404.0,5.5,0.07,,,,,,
44,2014-01-09,84.3,82.9,84.82,82.83,2751400.0,230626682.0,5.5,0.07,,,,,,
45,2014-01-10,83.0,82.83,83.9,82.1,3849100.0,319492771.0,5.5,0.07,,,,,,
