,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-12-01,320.0,320.0,320.0,320.0,400.0,0.0,9.5,0.13,1532.89,1578.38,1598.19,1525.35,62166248251.0,7517749945811.61
1,2014-12-02,305.0,305.0,305.0,305.0,10000.0,0.0,9.5,0.12,1578.4,1583.12,1596.96,1555.89,46843420167.0,7540317495902.56
2,2014-12-04,330.0,330.0,330.0,330.0,10000.0,0.0,9.5,0.12,1606.75,1582.08,1623.02,1577.7,59378086980.0,7535377974526.13
3,2014-12-10,350.0,350.0,350.0,350.0,30.0,0.0,9.5,0.12,1475.93,1486.85,1514.63,1475.93,42337397882.0,7081796065851.96
4,2014-12-11,212.2,212.2,212.2,212.2,1.0,0.0,9.5,0.12,1486.89,1455.04,1494.07,1442.79,50594982820.0,6930276348649.18
5,2014-12-19,330.0,350.0,447.0,330.0,6324.0,2087463.0,17.0,0.13,1477.36,1449.13,1488.34,1417.68,44856913714.0,6717440284468.56
6,2014-12-22,300.0,290.0,380.0,290.0,7764.0,2386567.1,17.0,0.13,1452.95,1437.08,1466.34,1421.39,50209370839.0,6661583735341.69
7,2014-12-23,290.0,290.0,290.0,290.0,1046.0,2689907.1,17.0,0.13,1437.08,1398.2,1446.31,1391.38,42501810335.0,6481362092230.03
8,2014-12-25,285.0,280.0,285.0,280.0,1351.0,5160655.1,17.0,0.13,1401.47,1408.54,1410.06,1383.91,23569010203.0,6529289258920.08
9,2014-12-26,280.0,271.0,285.0,270.55,21007.0,6205251.55,17.0,0.13,1409.02,1417.8,1432.41,1409.02,21938441630.0,6572219511259.2
10,2014-12-29,280.0,280.0,280.0,280.0,1.0,6205531.55,17.0,0.13,1417.53,1432.94,1489.75,1409.1,31782008617.0,6642405410265.22
11,2014-12-30,290.0,280.0,310.0,280.0,4602.0,1356533.0,17.0,0.13,1429.68,1396.61,1430.01,1378.54,26156334473.0,6473977848191.16
12,2015-01-05,321.0,280.0,350.0,280.0,12.0,1360402.0,17.0,0.12,1394.66,1435.66,1438.91,1390.53,15320687285.0,6655000193417.98
13,2015-01-06,320.0,310.0,340.0,295.0,381.0,0.0,17.0,0.12,1435.39,1480.73,1481.35,1430.47,21268814897.0,6863934639625.86
14,2015-01-08,300.0,335.0,360.0,285.0,579.0,0.0,17.0,0.12,1482.12,1547.39,1564.87,1481.93,35505063516.0,7172914288797.3
15,2015-01-09,300.0,306.0,345.0,300.0,30.0,0.0,17.0,0.12,1547.61,1515.37,1557.96,1496.17,27223058410.0,7024480568045.43
16,2015-01-12,290.1,303.0,303.0,290.1,9.0,0.0,17.0,0.12,1515.23,1513.22,1534.74,1503.49,23419055856.0,7014538161692.29
17,2015-01-13,290.15,319.95,324.9,290.15,26.0,0.0,17.0,0.12,1513.21,1533.09,1543.59,1499.57,33133664935.0,7106620719186.81
18,2015-01-14,324.95,315.0,334.95,295.0,67.0,0.0,17.0,0.12,1531.65,1554.46,1560.01,1524.69,32105492806.0,7205690234312.64
19,2015-01-15,300.05,305.0,320.0,300.05,304.0,0.0,17.0,0.12,1556.96,1563.21,1586.22,1555.36,38679500660.0,7246243668028.74
20,2015-01-16,305.1,308.0,314.95,305.1,571.0,0.0,17.0,0.13,1563.21,1591.43,1594.06,1551.01,30068854489.0,7377090247817.62
21,2015-01-20,315.0,310.0,315.0,300.05,1032.0,501460.75,17.0,0.12,1576.47,1570.97,1594.91,1561.8,31919504256.0,7282221929338.29
22,2015-01-21,295.0,320.0,320.0,295.0,5101.0,1831415.5,17.0,0.12,1570.59,1618.17,1619.32,1570.59,31259697570.0,7501017864593.01
23,2015-01-22,320.0,320.0,330.0,317.5,4484.0,1451029.0,17.0,0.12,1618.68,1666.56,1676.38,1618.52,50131522012.0,7725364643154.59
24,2015-01-23,324.95,324.95,324.95,324.95,1.0,1451353.95,17.0,0.12,1667.99,1671.8,1700.78,1662.11,44311526698.0,7749626061678.21
25,2015-01-26,320.0,320.0,320.0,312.0,14980.0,6140176.95,17.0,0.12,1670.23,1642.37,1670.3,1622.02,36919529789.0,7613229340218.56
26,2015-01-27,340.0,330.0,344.95,312.0,48.0,4704681.95,17.0,0.11,1642.31,1673.92,1681.46,1614.16,44461457724.0,7759441568169.95
27,2015-01-28,340.0,340.0,340.0,340.0,1.0,4705021.95,17.0,0.12,1675.3,1647.71,1706.39,1643.42,43016957356.0,7637980043638.41
28,2015-01-30,335.0,335.0,335.0,335.0,2.0,4705691.95,17.0,0.06,1640.56,1647.69,1664.73,1631.55,43391401113.0,7637894790603.35
29,2015-02-05,369.0,369.0,369.0,369.0,1.0,4706385.9,15.0,0.12,1654.97,1696.06,1698.83,1642.51,47193997103.0,7862101858309.86
30,2015-02-06,369.0,377.0,377.0,330.0,32219.0,11408422.35,15.0,0.11,1696.96,1755.45,1762.39,1696.96,54221952383.0,8137413935492.03
31,2015-02-09,379.95,379.9,379.95,360.25,17.0,11414861.45,15.0,0.12,1755.7,1748.55,1830.0,1740.58,63280101174.0,8105398913722.94
32,2015-02-10,370.0,380.0,380.0,370.0,129.0,11463591.45,15.0,0.12,1748.02,1742.35,1774.06,1729.77,32450702270.0,8076689298854.4
33,2015-02-11,380.0,380.0,389.95,380.0,83.0,0.0,15.0,0.12,1744.86,1763.6,1787.77,1744.86,38491876240.0,8175187933284.21
34,2015-02-12,389.9,389.95,394.95,389.9,43.0,0.0,15.0,0.12,1764.24,1802.8,1816.76,1747.85,85319933357.0,8356901880751.53
35,2015-02-13,389.95,395.0,395.0,389.95,121.0,0.0,15.0,0.12,1802.88,1838.18,1839.71,1802.88,75313894394.0,8520878105106.55
