,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2013-09-02,33.0,33.0,33.197,32.612,696800.0,22997872.7,5.5,0.07,1364.75,1367.53,1373.73,1364.27,12744074194.0,6096416686856.09
1,2013-09-03,33.148,33.198,33.198,32.9,1257800.0,41523227.5,5.5,0.09,1366.99,1373.82,1384.18,1366.99,22164253799.0,6124460997187.43
2,2013-09-04,33.329,33.327,33.5,33.018,161400.0,5384544.8,5.5,0.08,1372.98,1375.66,1376.42,1365.21,16929685929.0,6132675228404.21
3,2013-09-05,33.343,33.34,33.349,33.0,177200.0,5868282.9,5.5,0.08,1375.66,1422.4,1422.4,1373.29,37635586932.0,6341025156353.93
4,2013-09-06,33.4,33.061,33.449,33.06,370500.0,12323816.5,5.5,0.08,1421.86,1423.4,1448.75,1418.8,52189115910.0,6345500055740.21
5,2013-09-09,33.369,33.299,33.372,33.034,242400.0,8038508.9,5.5,0.08,1423.4,1451.54,1455.28,1421.45,45793220661.0,6470954296346.45
6,2013-09-10,33.365,33.01,33.365,33.01,376400.0,12489335.1,5.5,0.08,1451.54,1453.57,1464.2,1446.97,48929041065.0,6480000608741.71
7,2013-09-11,33.007,32.896,33.239,32.7,362000.0,11889055.1,5.5,0.08,1452.52,1454.12,1459.68,1449.58,30684670193.0,6482453521611.17
8,2013-09-12,32.711,32.999,33.1,32.6,757200.0,24908865.9,5.5,0.08,1454.21,1450.23,1461.2,1441.58,32739117665.0,6465093271603.79
9,2013-09-13,32.859,32.678,33.095,32.602,202200.0,6627853.7,5.5,0.08,1450.66,1440.74,1451.89,1434.74,24692731039.0,6422780705485.45
10,2013-09-16,32.724,33.25,33.27,32.595,41507100.0,1366439118.4,5.5,0.08,1441.06,1470.48,1470.65,1438.79,44309429172.0,6555391575249.64
11,2013-09-17,33.241,33.748,33.8,33.181,3411700.0,114455152.0,5.5,0.08,1470.71,1473.03,1474.02,1461.86,23620116573.0,6916585966907.95
12,2013-09-18,33.9,35.1,35.4,33.887,2413900.0,84496218.1,5.5,0.08,1472.17,1464.95,1482.59,1462.18,35222582334.0,6878658435503.36
13,2013-09-19,34.922,35.099,35.45,34.651,973900.0,34075057.7,5.5,0.09,1464.35,1487.19,1501.32,1463.8,53895959163.0,6983113967163.46
14,2013-09-20,35.348,34.51,35.348,34.311,339700.0,11837004.5,5.5,0.08,1486.49,1476.73,1488.5,1476.07,31552058986.0,6933962169638.04
15,2013-09-23,34.845,35.115,35.256,34.5,301900.0,10561680.1,5.5,0.09,1476.69,1467.62,1478.61,1463.61,26313729744.0,6891218287996.88
16,2013-09-24,35.119,34.9,35.119,34.812,353900.0,12367780.4,5.5,0.09,1466.41,1464.72,1472.11,1459.21,27919329025.0,6877568322623.03
17,2013-09-25,34.95,35.488,35.5,34.867,1479100.0,51901548.9,5.5,0.08,,,,,,
18,2013-09-26,35.143,35.5,35.5,35.024,1008400.0,35562441.3,5.5,0.08,,,,,,
19,2013-09-27,35.401,36.8,37.347,35.399,1252700.0,45756329.0,5.5,0.08,,,,,,
20,2013-09-30,36.987,36.0,37.55,35.671,665100.0,24502218.0,5.5,0.06,,,,,,
21,2013-10-01,35.559,36.255,36.95,35.559,492600.0,17955869.9,5.5,0.08,,,,,,
22,2013-10-02,36.3,38.502,39.5,36.3,2876100.0,110991072.3,5.5,0.07,,,,,,
23,2013-10-03,38.799,39.0,40.989,38.6,1938800.0,75876702.4,5.5,0.08,,,,,,
24,2013-10-04,38.941,38.7,38.942,37.751,725600.0,27738779.0,5.5,0.08,,,,,,
25,2013-10-07,38.7,37.652,38.7,37.6,905600.0,34337008.1,5.5,0.08,,,,,,
26,2013-10-08,37.621,37.777,37.85,37.518,714400.0,26957647.7,5.5,0.08,,,,,,
27,2013-10-09,37.6,37.0,37.776,36.997,868400.0,32340229.3,5.5,0.09,,,,,,
28,2013-10-10,37.0,36.88,37.097,36.75,1944900.0,71903514.0,5.5,0.09,,,,,,
29,2013-10-11,36.997,34.75,36.997,34.75,2621700.0,94396880.2,5.5,0.1,,,,,,
30,2013-10-14,34.771,34.823,35.49,34.752,929400.0,32568639.9,5.5,0.1,,,,,,
31,2013-10-15,35.393,35.0,35.398,34.777,1490900.0,52104722.5,5.5,0.1,,,,,,
32,2013-10-16,34.999,34.999,35.01,34.855,530500.0,18560749.7,5.5,0.11,,,,,,
33,2013-10-17,34.126,35.1,35.469,34.126,468400.0,16292925.1,5.5,0.1,,,,,,
34,2013-10-18,35.1,35.244,35.398,35.003,1079000.0,38038002.3,5.5,0.1,,,,,,
35,2013-10-21,35.418,35.003,35.48,35.0,366500.0,12868201.1,5.5,0.09,,,,,,
36,2013-10-22,35.39,34.96,35.39,34.96,270000.0,9451137.6,5.5,0.08,,,,,,
37,2013-10-23,34.951,34.85,34.981,34.58,790600.0,27530475.6,5.5,0.08,,,,,,
38,2013-10-24,34.656,34.9,35.0,34.656,1112900.0,38799504.5,5.5,0.08,,,,,,
39,2013-10-25,34.946,34.95,35.0,34.58,1977500.0,68929891.2,5.5,0.08,,,,,,
40,2013-10-28,34.95,35.25,35.799,34.95,37784000.0,1327874395.4,5.5,0.08,,,,,,
41,2013-10-29,35.224,36.153,36.153,35.011,31713200.0,1125720979.3,5.5,0.08,,,,,,
