,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,14.27,14.23,14.29,14.15,68540.0,974091.6,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-10,14.35,14.27,14.35,14.16,92530.0,1306481.8,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
2,2014-06-11,14.22,14.2,14.25,14.17,371250.0,5266111.2,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
3,2014-06-16,14.18,14.08,14.18,14.0,203550.0,2868754.9,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
4,2014-06-17,14.15,14.13,14.15,14.08,86750.0,1223088.2,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
5,2014-06-18,14.14,14.11,14.18,14.08,54310.0,767793.7,7.5,0.1,1486.47,1494.28,1500.39,1484.51,33911920376.0,6737184533664.86
6,2014-06-19,14.16,14.11,14.16,14.09,45220.0,637822.9,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
7,2014-06-20,14.14,14.09,14.15,14.08,59290.0,836140.3,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
8,2014-06-23,14.1,14.08,14.14,14.07,50400.0,710471.8,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
9,2014-06-24,14.14,14.26,14.45,14.1,444700.0,6346056.6,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
10,2014-06-25,14.25,14.29,14.35,14.19,311560.0,4456213.6,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
11,2014-06-26,14.2,14.25,14.29,14.19,76100.0,1084433.5,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
12,2014-06-27,14.21,14.2,14.27,14.14,27660.0,0.0,7.5,0.1,1473.31,1477.32,1481.29,1467.94,24506324520.0,6660748008656.28
13,2014-06-30,14.2,14.23,14.24,14.2,58320.0,829303.6,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
