,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2015-06-10,52.6,55.0,55.0,52.6,300.0,0.0,12.5,0.13,1664.03,1653.09,1667.2,1650.89,26617709919.0,7765050254732.37
1,2015-06-11,55.0,52.1,55.0,52.1,300.0,0.0,12.5,0.13,1653.06,1652.24,1654.91,1638.13,27749015557.0,7761077256509.68
2,2015-06-15,53.1,53.5,53.5,53.1,300.0,0.0,12.5,0.13,1652.29,1657.29,1658.32,1629.81,35364479772.0,7784785850430.17
3,2015-06-16,53.1,56.0,57.0,53.1,600.0,0.0,11.5,0.14,1657.37,1668.82,1674.11,1649.16,26617346477.0,7819903168093.14
4,2015-06-19,54.2,54.1,54.2,54.1,200.0,0.0,11.5,0.13,1660.56,1663.03,1665.71,1655.53,26196350748.0,7792769676792.86
5,2015-06-22,58.6,58.9,58.9,58.6,400.0,0.0,11.5,0.13,1664.11,1671.8,1679.42,1663.35,25538988011.0,7833886250674.12
6,2015-06-24,59.6,55.0,59.6,53.0,4800.0,0.0,11.5,0.13,1658.03,1651.85,1664.57,1642.08,22392108289.0,7740395798924.1
7,2015-06-25,55.0,55.0,55.0,55.0,1600.0,0.0,11.5,0.13,1651.14,1631.99,1655.8,1631.99,19923930891.0,7647318524442.36
8,2015-06-29,53.1,53.0,53.1,53.0,800.0,0.0,11.5,0.14,1644.45,1634.93,1644.45,1625.71,19158469469.0,7661081778646.17
9,2015-06-30,52.9,53.0,53.0,52.9,5900.0,704780.0,11.5,0.08,1634.93,1654.55,1655.25,1626.02,28374822458.0,7753030422842.97
10,2015-07-06,50.1,50.1,50.7,50.0,1400.0,0.0,11.5,0.13,1627.71,1621.27,1627.71,1613.71,25053084669.0,7597092200124.97
11,2015-07-08,45.7,47.2,49.6,43.0,3400.0,0.0,11.5,0.13,1614.14,1595.0,1616.6,1573.95,34970227613.0,7474001386734.78
12,2015-07-09,49.6,51.9,54.5,49.6,10800.0,556890.0,11.5,0.13,1595.08,1614.59,1614.85,1595.02,24711741425.0,7565801986012.65
13,2015-07-10,51.9,51.9,51.9,47.9,300.0,572060.0,11.5,0.13,1615.11,1623.99,1625.59,1614.93,26147626552.0,7609850067400.98
14,2015-07-13,51.8,50.0,51.8,50.0,300.0,587330.0,11.5,0.13,1618.23,1642.97,1642.97,1617.17,36864576019.0,7698783040434.26
15,2015-07-14,48.8,50.2,50.2,48.7,400.0,0.0,11.5,0.13,1643.0,1647.01,1647.01,1626.09,32488836341.0,7717686049220.54
