,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-11-20,300.0,300.0,300.0,300.0,10.0,0.0,9.5,0.1,1518.1,1530.4,1535.97,1517.28,34907988979.0,7289202234493.41
1,2014-11-25,300.0,300.0,300.0,300.0,10.0,0.0,9.5,0.1,1529.62,1529.57,1537.65,1516.18,27545836432.0,7285244990377.67
2,2014-12-16,250.0,250.0,250.0,250.0,10.0,0.0,17.0,0.12,1424.72,1444.32,1484.06,1309.6,100830509677.0,6695173218130.9
3,2014-12-18,300.0,300.0,300.0,300.0,10.0,0.0,17.0,0.13,1417.41,1477.27,1506.13,1417.41,78761569805.0,6847878823692.59
4,2015-03-19,295.0,295.0,295.0,295.0,10.0,0.0,14.0,0.12,1634.77,1607.97,1652.73,1607.25,34622152099.0,7553110632655.87
5,2015-06-24,201.0,201.0,201.0,201.0,10.0,0.0,11.5,0.13,1658.03,1651.85,1664.57,1642.08,22392108289.0,7740395798924.1
6,2015-08-14,279.0,280.0,280.0,279.0,20.0,0.0,11.0,0.14,1704.14,1712.47,1723.32,1699.32,25961503163.0,8024436524348.6
7,2015-08-24,181.0,250.0,250.0,180.0,30.0,0.0,11.0,0.15,1659.31,1634.14,1659.31,1603.72,55532446893.0,7657401282884.6
8,2015-08-26,200.0,200.0,200.0,200.0,10.0,0.0,11.0,0.14,1658.32,1660.95,1675.07,1633.45,33226599969.0,7783030547207.07
9,2015-08-27,255.0,279.0,279.0,255.0,20.0,0.0,11.0,0.14,1661.0,1695.22,1697.22,1661.0,36548264407.0,7943597741451.54
10,2015-09-02,270.0,270.0,270.0,270.0,10.0,0.0,11.0,0.14,1697.98,1690.82,1716.97,1687.09,32130359306.0,7923004254544.28
11,2015-09-03,205.0,205.0,205.0,205.0,10.0,0.0,11.0,0.14,1690.83,1710.57,1717.15,1690.83,28714831441.0,8015543629545.18
12,2015-09-04,299.0,298.0,299.0,209.0,190.0,0.0,11.0,0.14,1710.58,1698.16,1712.74,1691.69,22594867129.0,7957400639171.78
13,2015-09-07,206.0,299.0,300.0,206.0,270.0,0.0,11.0,0.14,1698.16,1701.18,1708.58,1695.62,15677356931.0,7971537119350.72
14,2015-09-08,206.0,299.0,299.0,206.0,340.0,0.0,11.0,0.14,1701.82,1714.18,1732.63,1701.82,24740272103.0,8032461183385.67
15,2015-09-09,219.0,298.0,299.0,219.0,160.0,0.0,11.0,0.14,1715.73,1722.43,1735.84,1715.73,25665866136.0,8071104320597.36
16,2015-09-10,223.0,300.0,300.0,223.0,210.0,0.0,11.0,0.14,1722.05,1718.9,1730.1,1710.46,26313587477.0,8054564809020.79
17,2015-09-11,183.0,183.0,183.0,183.0,10.0,0.0,11.0,0.14,1718.88,1718.06,1727.89,1713.03,20355564692.0,8050638885308.83
18,2015-09-18,347.0,281.0,347.0,260.0,420.0,0.0,11.0,0.14,1730.15,1710.84,1739.55,1703.22,37314026508.0,7978854691363.31
19,2015-09-21,348.0,347.0,348.0,267.0,90.0,0.0,11.0,0.14,1710.87,1699.72,1719.18,1697.3,24417883513.0,7926971842837.68
