,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,2390.0,2464.7,2522.9,2381.1,16540.0,40955891.0,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-10,2464.0,2439.4,2500.0,2420.0,29841.0,72987620.2,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
2,2014-06-11,2450.0,2424.1,2470.0,2400.3,18532.0,44930914.5,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
3,2014-06-16,2430.0,2470.0,2548.5,2430.0,61821.0,153456546.4,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
4,2014-06-17,2465.1,2438.6,2494.9,2410.1,52766.0,128774444.1,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
5,2014-06-18,2448.9,2500.0,2519.0,2424.2,36120.0,90204984.1,7.5,0.1,1486.47,1494.28,1500.39,1484.51,33911920376.0,6737184533664.86
6,2014-06-19,2480.1,2430.0,2548.0,2300.0,81651.0,203525318.8,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
7,2014-06-20,2281.9,2365.0,2383.0,2227.0,51204.0,118645543.2,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
8,2014-06-23,2364.9,2300.3,2364.9,2292.0,30113.0,69644393.5,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
9,2014-06-24,2300.5,2409.4,2440.0,2282.9,39529.0,94195428.9,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
10,2014-06-25,2399.9,2382.1,2549.9,2366.0,32054.0,77617362.3,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
11,2014-06-26,2377.7,2390.7,2435.0,2360.0,18485.0,44271631.6,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
12,2014-06-27,2377.9,2404.9,2415.5,2350.4,5217.0,12493566.4,7.5,0.1,1473.31,1477.32,1481.29,1467.94,24506324520.0,6660748008656.28
13,2014-06-30,2387.2,2400.0,2427.5,2380.0,15327.0,36641710.8,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
14,2014-07-01,2381.6,2410.0,2439.9,2381.6,14089.0,33875797.5,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
15,2014-07-02,2375.5,2591.0,2602.0,2375.5,29302.0,74522029.9,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
16,2014-07-03,2598.1,2531.0,2679.0,2531.0,22098.0,57469099.0,7.5,0.09,1514.66,1514.47,1522.21,1510.66,29541346787.0,6828240267478.4
17,2014-07-04,2581.0,2470.0,2590.0,2456.0,23741.0,59327072.4,7.5,0.09,1515.53,1489.53,1516.36,1485.52,25432309583.0,6715772755003.5
18,2014-07-07,2476.8,2554.9,2613.0,2476.8,49363.0,126219069.0,7.5,0.1,1489.55,1513.72,1518.05,1484.27,26447591867.0,6824843528813.94
19,2014-07-08,2582.7,2615.0,2618.5,2555.0,23785.0,61815977.7,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
20,2014-07-09,2600.2,2588.0,2629.0,2540.0,28482.0,73166567.5,7.5,0.09,1516.29,1513.38,1518.6,1496.79,28433619876.0,6823335238301.22
21,2014-07-10,2599.5,2563.8,2639.9,2542.1,32821.0,84256539.3,7.5,0.09,1513.37,1494.92,1521.88,1480.26,40593712934.0,6740109174597.83
22,2014-07-11,2580.1,2517.0,2590.0,2511.1,17087.0,43593343.4,7.5,0.09,1495.01,1499.82,1502.23,1488.84,27280591834.0,6762191289526.07
23,2014-07-14,2551.4,2502.2,2571.0,2500.0,48398.0,122137107.7,7.5,0.09,1500.29,1483.41,1502.68,1482.63,25874350380.0,6688204369898.62
24,2014-07-15,2523.3,2522.0,2536.8,2470.1,13088.0,32773332.3,7.5,0.09,1482.23,1475.77,1487.49,1471.95,31348119170.0,6653730932218.92
25,2014-07-16,2500.5,2436.7,2500.5,2425.5,47122.0,116487749.4,7.5,0.09,1475.68,1474.72,1482.6,1459.08,31471423221.0,6649014803543.48
26,2014-07-17,2415.0,2271.0,2423.2,2210.5,90462.0,208142787.0,7.5,0.09,1470.83,1440.63,1470.83,1429.08,46983315494.0,6495297231665.95
27,2014-07-18,2266.2,2135.0,2297.1,2129.9,62602.0,137395642.2,7.5,0.09,1440.54,1422.53,1440.54,1410.48,40033266979.0,6413710020809.31
28,2014-07-21,2141.7,1990.0,2175.1,1986.3,170198.0,344303581.6,7.5,0.1,1422.53,1384.5,1424.64,1384.5,39527909818.0,6242240077462.93
29,2014-07-22,2024.4,2174.9,2175.6,2009.9,72082.0,152900488.0,7.5,0.09,1386.14,1405.97,1414.21,1386.14,35820774896.0,6339040079280.09
