,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,1818.9,1835.3,1847.4,1803.3,20364.0,37406066.6,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-10,1835.1,1833.0,1840.0,1826.0,17660.0,32341558.2,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
2,2014-06-11,1840.0,1833.2,1840.0,1815.1,23164.0,42210025.2,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
3,2014-06-16,1835.1,1848.1,1880.0,1815.0,86121.0,159978435.2,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
4,2014-06-17,1845.0,1832.0,1869.0,1801.1,52041.0,95236077.0,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
5,2014-06-18,1838.0,1831.0,1843.8,1820.1,47665.0,87630389.6,7.5,0.1,1486.47,1494.28,1500.39,1484.51,33911920376.0,6737184533664.86
6,2014-06-19,1778.0,1829.4,1840.0,1778.0,86523.0,158026477.2,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
7,2014-06-20,1620.1,1654.0,1700.0,1580.4,44054.0,72980168.4,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
8,2014-06-23,1661.5,1632.4,1687.0,1601.0,12760.0,20969669.1,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
9,2014-06-24,1640.2,1674.7,1682.0,1603.1,38932.0,64482522.1,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
10,2014-06-25,1663.1,1676.5,1698.3,1663.1,21022.0,35492686.1,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
11,2014-06-26,1676.7,1666.7,1694.9,1653.1,21442.0,35910384.2,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
12,2014-06-27,1669.9,1651.1,1674.9,1642.2,42798.0,71357542.6,7.5,0.1,1473.31,1477.32,1481.29,1467.94,24506324520.0,6660748008656.28
13,2014-06-30,1653.1,1632.2,1653.1,1618.0,16600.0,27225041.1,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
14,2014-07-01,1634.6,1626.1,1638.0,1616.7,8588.0,13980074.0,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
15,2014-07-02,1628.0,1686.9,1696.9,1625.3,31758.0,53247160.2,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
16,2014-07-03,1670.6,1695.0,1735.4,1670.6,23365.0,40038508.6,7.5,0.09,1514.66,1514.47,1522.21,1510.66,29541346787.0,6828240267478.4
17,2014-07-04,1634.7,1709.0,1715.3,1634.7,35004.0,59785797.9,7.5,0.09,1515.53,1489.53,1516.36,1485.52,25432309583.0,6715772755003.5
18,2014-07-07,1708.8,1770.0,1770.0,1708.8,27899.0,48741398.3,7.5,0.1,1489.55,1513.72,1518.05,1484.27,26447591867.0,6824843528813.94
19,2014-07-08,1753.0,1826.0,1826.0,1753.0,31424.0,56785265.0,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
20,2014-07-09,1807.0,1810.0,1848.0,1754.9,31033.0,56577340.8,7.5,0.09,1516.29,1513.38,1518.6,1496.79,28433619876.0,6823335238301.22
