,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2017-08-01,640.0,679.0,842.0,630.0,276.0,0.0,9.0,1.16,1924.77,1940.14,1948.62,1924.77,31002671935.0,8991940212350.09
1,2017-08-02,670.0,652.0,670.0,618.0,73.0,0.0,9.0,1.16,1940.95,1965.48,1966.97,1940.77,30249728706.0,9109381669704.67
2,2017-08-03,680.0,650.0,680.0,628.0,51.0,0.0,9.0,1.16,1965.56,1965.29,1976.36,1961.38,26140336130.0,9108478600758.94
3,2017-08-04,648.0,646.0,648.0,646.0,2.0,0.0,9.0,1.16,1962.46,1953.49,1962.46,1950.57,22707183015.0,9053809448944.79
4,2017-08-07,620.0,633.0,633.0,615.0,5.0,0.0,9.0,1.16,1953.62,1970.37,1970.96,1953.62,23784276377.0,9132051679673.68
5,2017-08-08,614.0,628.0,628.0,606.0,116.0,0.0,9.0,1.16,1970.3,1989.61,1989.77,1969.75,27593270851.0,9221215839439.62
6,2017-08-09,616.0,617.0,621.0,600.0,5523.0,3316821.0,9.0,1.16,1985.31,1975.91,1987.95,1973.08,26564079195.0,9157718416723.64
7,2017-08-10,617.0,600.0,617.0,600.0,174.0,0.0,9.0,1.16,1977.15,1960.23,1983.74,1959.05,22287880106.0,9085055787347.0
8,2017-08-11,651.0,625.0,651.0,621.0,1090.0,679442.0,9.0,1.16,1953.56,1944.83,1953.56,1933.69,31894440896.0,9013663390671.18
9,2017-08-14,631.0,615.0,631.0,611.0,14.0,688160.0,9.0,1.16,1947.69,1951.75,1960.38,1946.67,18662401272.0,9045756044398.59
10,2017-08-15,637.0,637.0,637.0,637.0,1.0,688797.0,9.0,1.16,1950.42,1950.28,1952.6,1938.58,20469517277.0,9038911026234.87
11,2017-08-16,610.0,614.0,630.0,600.0,20081.0,12049803.0,9.0,1.16,1952.11,1942.88,1957.62,1941.07,32207183200.0,9004620949799.75
12,2017-08-17,602.0,612.0,618.0,600.0,11101.0,6661608.0,9.0,1.16,1941.55,1941.52,1947.95,1936.95,18614476088.0,8998305462416.9
13,2017-08-18,606.0,604.0,606.0,604.0,26.0,6677324.0,9.0,1.16,1937.51,1930.71,1937.51,1921.34,25282259050.0,8948201248484.63
14,2017-08-21,603.0,602.0,603.0,600.0,5002.0,3001286.0,9.0,1.16,1932.25,1937.66,1943.78,1932.25,20365982791.0,8980415681984.22
15,2017-08-22,601.0,608.0,608.0,600.0,32.0,3020519.0,9.0,1.16,1939.95,1947.4,1948.28,1938.9,25904806192.0,9025594699445.43
16,2017-08-23,608.0,608.0,608.0,601.0,16.0,0.0,9.0,1.16,1947.77,1958.52,1958.58,1944.3,28660843505.0,9077130809904.82
17,2017-08-24,601.0,600.0,603.0,600.0,5026.0,3015643.0,9.0,1.16,1958.83,1973.5,1973.5,1958.83,29123932717.0,9146551595109.67
18,2017-08-25,601.0,605.0,608.0,600.0,5034.0,3022460.0,9.0,1.16,1973.44,1979.14,1981.79,1973.39,31208673629.0,9172660779934.14
19,2017-08-28,602.0,602.0,609.0,602.0,6.0,3026082.0,9.0,1.16,1978.79,1987.15,1987.23,1972.76,20300626389.0,9209782364496.71
20,2017-08-29,609.0,602.0,644.0,602.0,28.0,0.0,9.0,1.16,1986.1,1989.12,1989.12,1967.11,30461927222.0,9218950293255.8
21,2017-08-30,602.0,610.0,611.0,600.0,18060.0,10840548.0,9.0,1.16,1993.0,2008.88,2009.29,1988.78,38389640750.0,9310528118128.28
22,2017-08-31,603.0,610.0,618.0,602.0,59.0,0.0,9.0,1.07,2006.07,2022.22,2030.86,2001.66,48267718427.0,9372339310755.83
23,2017-09-01,604.0,602.0,619.0,602.0,48.0,0.0,9.0,1.16,2021.93,2010.98,2030.37,2008.49,30776971787.0,9320225876158.34
24,2017-09-04,609.0,610.0,614.0,603.0,49.0,0.0,9.0,1.16,2005.08,2003.32,2012.29,1999.84,21225818753.0,9284758081939.79
25,2017-09-05,613.0,605.0,616.0,605.0,97.0,0.0,9.0,1.16,2005.23,2004.02,2014.03,1995.94,30737265410.0,9287970467206.03
26,2017-09-06,603.0,618.0,618.0,602.0,20.0,0.0,9.0,1.16,2001.97,2014.6,2015.63,1992.68,32869337151.0,9337017518256.81
27,2017-09-08,604.0,603.0,604.0,602.0,83.0,0.0,9.0,1.16,2010.55,2032.75,2037.48,2010.55,38258005714.0,9421162792105.59
28,2017-09-11,603.0,603.0,603.0,603.0,53.0,0.0,9.0,1.16,2038.78,2044.13,2049.07,2032.92,36317540552.0,9473868276457.69
29,2017-09-12,614.0,602.0,614.0,602.0,11.0,0.0,9.0,1.16,2045.85,2058.8,2059.96,2044.07,31288398754.0,9541891917786.31
30,2017-09-13,611.0,605.0,611.0,605.0,2.0,0.0,9.0,1.16,2059.4,2054.19,2072.96,2054.19,38010560083.0,9520497971818.24
31,2017-09-14,603.0,603.0,603.0,603.0,1000.0,692798.0,9.0,1.16,2054.66,2052.25,2055.93,2036.22,31569273510.0,9511542707154.15
32,2017-09-15,603.0,648.0,649.0,603.0,282.0,0.0,9.0,1.16,2051.47,2053.81,2061.6,2041.28,36433180483.0,9518756726665.57
33,2017-09-18,610.0,629.0,647.0,603.0,5085.0,3068646.0,8.5,1.16,2055.41,2059.08,2062.75,2053.6,27791911849.0,9543161362757.82
34,2017-09-19,618.0,625.0,625.0,616.0,9.0,3074220.0,8.5,1.16,2057.36,2048.99,2059.16,2046.61,28946462606.0,9496408325011.35
35,2017-09-20,616.0,606.0,624.0,606.0,11.0,0.0,8.5,1.16,2048.86,2057.53,2058.08,2044.23,35396601120.0,9536009944621.06
36,2017-09-21,612.0,620.0,638.0,606.0,113.0,0.0,8.5,1.16,2056.27,2060.24,2066.41,2051.68,33057559698.0,9548540285350.49
37,2017-09-22,620.0,607.0,630.0,600.0,21186.0,12744965.0,8.5,1.16,2059.01,2051.63,2059.01,2046.35,28074449954.0,9430627208926.85
38,2017-09-25,605.0,624.0,628.0,605.0,101.0,0.0,8.5,1.16,2050.52,2069.11,2070.82,2046.01,36034399685.0,9510980886999.16
39,2017-09-26,626.0,620.0,629.0,600.0,11727.0,7092932.0,8.5,1.16,2071.62,2071.13,2086.65,2070.49,40745873808.0,9520276362266.63
40,2017-09-27,628.0,618.0,628.0,615.0,53.0,7125545.0,8.5,1.16,2072.27,2081.12,2085.14,2065.79,29664329304.0,9566204218166.66
41,2017-09-28,615.0,605.0,639.0,605.0,27718.0,16807080.0,8.5,1.16,2080.73,2071.64,2084.39,2068.54,25543129539.0,9522641671665.97
42,2017-09-29,611.0,615.0,619.0,610.0,20.0,16819305.0,8.5,1.06,2071.33,2077.19,2077.28,2068.39,25879486788.0,9548155212444.74
43,2017-10-02,622.0,618.0,625.0,606.0,277.0,0.0,8.5,1.16,2077.16,2075.72,2083.43,2072.72,23781336284.0,9541393643467.94
44,2017-10-03,610.0,611.0,617.0,610.0,1039.0,639886.0,8.5,1.16,2076.53,2076.81,2084.03,2072.83,29271290869.0,9546394307545.2
45,2017-10-04,613.0,619.0,619.0,613.0,2.0,641118.0,8.5,1.16,2076.5,2077.09,2080.05,2068.73,22612073883.0,9547673170156.81
46,2017-10-05,618.0,619.0,619.0,618.0,27.0,657816.0,8.5,1.16,2076.78,2088.32,2088.64,2071.19,31196036315.0,9599278210413.51
47,2017-10-06,623.0,626.0,626.0,623.0,594.0,0.0,8.5,1.16,2089.39,2093.86,2103.05,2089.39,29518982080.0,9624743537113.42
48,2017-10-09,620.0,628.0,635.0,620.0,683.0,0.0,8.5,1.16,2094.16,2096.29,2100.29,2086.74,21834093292.0,9635938313754.12
49,2017-10-10,632.0,629.0,632.0,629.0,3.0,0.0,8.5,1.16,2096.35,2086.91,2096.35,2084.49,20851365341.0,9592809380062.64
50,2017-10-11,634.0,650.0,662.0,634.0,740.0,0.0,8.5,1.16,2087.47,2101.07,2103.29,2087.07,34018959291.0,9657914795245.32
51,2017-10-12,644.0,620.0,646.0,605.0,10132.0,6147241.0,8.5,1.16,2101.33,2094.96,2101.33,2090.86,25726422026.0,9629798080813.91
52,2017-10-13,629.0,630.0,630.0,629.0,29.0,6165510.0,8.5,1.16,2094.94,2098.77,2105.64,2092.4,27709775824.0,9647331849998.52
