,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,330.0,330.0,330.0,330.0,10.0,0.0,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-17,344.9,344.9,344.9,344.9,10.0,0.0,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
2,2014-06-20,310.0,361.5,361.5,310.0,430.0,0.0,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
3,2014-06-23,355.0,355.0,355.0,355.0,100.0,0.0,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
4,2014-06-27,312.0,311.8,312.0,311.8,20.0,0.0,7.5,0.1,1473.31,1477.32,1481.29,1467.94,24506324520.0,6660748008656.28
5,2014-07-03,315.0,306.6,315.0,306.6,50.0,0.0,7.5,0.09,1514.66,1514.47,1522.21,1510.66,29541346787.0,6828240267478.4
6,2014-07-17,305.4,339.2,339.2,305.3,60.0,0.0,7.5,0.09,1470.83,1440.63,1470.83,1429.08,46983315494.0,6495297231665.95
7,2014-07-18,339.2,339.2,339.2,339.2,30.0,0.0,7.5,0.09,1440.54,1422.53,1440.54,1410.48,40033266979.0,6413710020809.31
8,2014-07-21,309.8,309.8,309.8,309.8,20.0,0.0,7.5,0.1,1422.53,1384.5,1424.64,1384.5,39527909818.0,6242240077462.93
9,2014-07-24,309.9,310.0,310.0,309.9,30.0,0.0,7.5,0.09,1405.58,1408.8,1410.75,1394.04,25372742027.0,6351783470052.68
10,2014-07-29,307.0,306.0,307.0,306.0,20.0,0.0,8.0,0.09,1361.22,1369.83,1380.29,1356.62,35280719684.0,6176106230122.06
11,2014-07-30,354.4,354.4,354.4,354.4,10.0,0.0,8.0,0.09,1368.72,1382.14,1403.6,1359.65,40179117327.0,6231580896817.33
12,2014-07-31,392.5,335.0,392.5,335.0,120.0,0.0,8.0,0.08,1383.04,1379.61,1399.12,1376.48,29121177754.0,6220179585134.02
13,2014-08-01,334.7,348.9,348.9,334.7,20.0,0.0,8.0,0.09,1378.03,1374.83,1378.1,1358.11,33134471815.0,6198666221991.83
14,2014-08-05,307.5,325.0,325.0,307.5,60.0,0.0,8.0,0.09,1379.5,1357.89,1383.36,1356.2,26258554225.0,6122263369324.38
15,2014-08-14,325.0,325.0,325.0,325.0,10.0,0.0,8.0,0.09,1399.07,1407.53,1412.88,1391.65,32917275901.0,6346061682927.05
16,2014-08-15,335.0,335.0,335.0,335.0,40.0,0.0,8.0,0.09,1407.57,1417.82,1425.76,1400.7,26772144978.0,6392466871442.37
17,2014-08-18,307.1,300.5,307.1,300.0,600.0,0.0,8.0,0.09,1418.05,1425.18,1427.95,1415.35,18156608193.0,6425664882271.03
18,2014-08-22,300.1,307.5,307.5,300.0,140.0,0.0,8.0,0.09,1461.79,1446.6,1463.71,1434.09,28861993115.0,6522253115433.8
19,2014-08-25,326.9,326.9,326.9,326.9,10.0,0.0,8.0,0.09,1446.86,1454.67,1456.72,1446.09,17577741392.0,6558630723741.41
20,2014-08-26,292.7,320.0,320.0,292.7,20.0,0.0,8.0,0.09,1454.47,1443.32,1460.0,1441.42,19706721633.0,6507455779142.91
21,2014-08-27,320.0,320.0,320.0,319.7,90.0,0.0,8.0,0.09,1444.28,1447.91,1454.96,1444.28,19549941365.0,6528156723375.32
22,2014-08-28,301.0,314.5,314.5,300.0,130.0,0.0,8.0,0.09,1447.54,1423.78,1447.76,1414.18,43849484690.0,6419337314027.56
23,2014-09-01,356.8,295.0,356.8,295.0,40.0,0.0,8.0,0.07,1401.34,1392.4,1419.9,1389.77,34518068575.0,6277859256745.77
24,2014-09-02,286.4,314.8,314.8,286.0,80.0,0.0,8.0,0.09,1392.27,1400.35,1401.68,1386.31,20818865093.0,6313723045613.47
25,2014-09-03,309.9,342.1,342.1,309.9,70.0,0.0,8.0,0.09,1400.44,1449.29,1452.92,1400.44,56947742576.0,6534374903303.01
26,2014-09-05,315.0,317.0,317.0,300.6,170.0,0.0,8.0,0.09,1456.0,1474.71,1481.15,1446.95,37451362820.0,6648981302593.65
27,2014-09-10,315.0,315.0,315.0,315.0,10.0,0.0,8.0,0.09,1466.99,1468.55,1472.23,1456.21,19594281049.0,6621186609667.49
28,2014-09-11,331.0,308.0,331.0,308.0,20.0,0.0,8.0,0.09,1469.4,1449.63,1479.05,1449.1,30806370159.0,6535893707699.45
29,2014-09-17,301.5,301.0,301.5,301.0,30.0,0.0,8.0,0.09,1477.09,1449.37,1477.09,1437.73,43639537600.0,6903283783164.72
30,2014-09-25,347.1,329.9,347.1,329.8,40.0,0.0,8.0,0.09,,,,,,
31,2014-09-29,296.7,319.9,319.9,296.6,40.0,0.0,8.0,0.08,,,,,,
32,2014-09-30,319.9,328.8,328.8,319.9,30.0,0.0,8.0,0.07,,,,,,
33,2014-10-10,305.0,305.0,305.0,304.0,40.0,0.0,8.0,0.09,,,,,,
34,2014-10-13,319.0,320.0,325.0,319.0,230.0,0.0,8.0,0.09,,,,,,
35,2014-10-16,311.0,310.0,311.0,310.0,160.0,0.0,8.0,0.09,,,,,,
36,2014-10-28,301.0,301.0,301.0,301.0,10.0,0.0,8.0,0.09,,,,,,
37,2014-10-29,309.0,310.0,310.0,309.0,310.0,0.0,8.0,0.09,1415.53,1439.58,1441.98,1411.0,36586717584.0,6856662513241.23
38,2014-11-03,330.0,337.0,337.0,330.0,40.0,0.0,8.0,0.09,1488.15,1491.19,1495.86,1477.06,17481520523.0,7102462053889.69
39,2014-11-13,335.0,340.0,340.0,335.0,30.0,0.0,9.5,0.09,1514.19,1492.27,1522.87,1492.27,39369641894.0,7107618216442.59
40,2014-11-14,347.0,388.0,388.0,347.0,1220.0,0.0,9.5,0.09,1491.75,1500.76,1507.93,1481.97,34296102848.0,7148016471313.82
41,2014-11-17,379.0,360.0,380.0,360.0,120.0,0.0,9.5,0.1,1500.69,1507.1,1512.61,1494.81,25778674454.0,7178242599235.5
42,2014-11-18,387.0,395.0,395.0,387.0,220.0,0.0,9.5,0.11,1506.78,1519.61,1524.8,1495.09,37626778528.0,7237803241252.88
43,2014-11-19,361.0,361.0,361.0,361.0,10.0,0.0,9.5,0.1,1519.69,1517.97,1524.1,1513.68,31482266937.0,7230003229613.9
44,2014-11-20,361.0,361.0,361.0,361.0,10.0,570750.0,9.5,0.1,1518.1,1530.4,1535.97,1517.28,34907988979.0,7289202234493.41
45,2014-11-24,383.0,359.0,395.0,331.0,100.0,0.0,9.5,0.1,1539.95,1529.54,1541.75,1521.83,31750458256.0,7285128652947.91
46,2014-11-25,387.0,390.0,390.0,385.0,420.0,0.0,9.5,0.1,1529.62,1529.57,1537.65,1516.18,27545836432.0,7285244990377.67
47,2014-11-26,353.0,430.0,430.0,352.0,690.0,0.0,9.5,0.1,1528.83,1537.43,1537.43,1522.5,30877259958.0,7322717397660.45
48,2014-11-27,435.0,432.0,544.0,430.0,3170.0,1452550.0,9.5,0.1,1537.0,1531.69,1548.17,1528.06,39939357345.0,7295336331196.54
49,2014-11-28,410.0,410.0,410.0,410.0,1010.0,1866650.0,9.5,0.08,1531.34,1533.68,1540.07,1518.45,45610410708.0,7304816361041.94
50,2014-12-01,410.0,477.0,477.0,410.0,50.0,0.0,9.5,0.13,1532.89,1578.38,1598.19,1525.35,62166248251.0,7517749945811.61
51,2014-12-02,475.0,430.0,475.0,420.0,70.0,0.0,9.5,0.12,1578.4,1583.12,1596.96,1555.89,46843420167.0,7540317495902.56
52,2014-12-04,391.0,431.0,431.0,391.0,50.0,0.0,9.5,0.12,1606.75,1582.08,1623.02,1577.7,59378086980.0,7535377974526.13
53,2014-12-05,472.0,480.0,491.0,415.0,190.0,0.0,9.5,0.12,1581.89,1529.2,1586.6,1528.65,44052547228.0,7283478688046.0
54,2014-12-08,408.0,450.0,497.0,408.0,260.0,0.0,9.5,0.12,1529.73,1481.27,1551.66,1476.02,46772419082.0,7055222590397.55
55,2014-12-09,496.0,456.0,496.0,456.0,70.0,0.0,9.5,0.12,1481.49,1475.22,1490.27,1459.77,43732135318.0,7026377302115.53
56,2014-12-10,480.0,509.0,527.0,480.0,460.0,0.0,9.5,0.12,1475.93,1486.85,1514.63,1475.93,42337397882.0,7081796065851.96
57,2014-12-12,524.0,524.0,524.0,524.0,10.0,0.0,10.5,0.12,1453.8,1459.68,1488.4,1413.04,51200831401.0,6952391085611.55
