,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,38.26,38.5,38.89,38.26,12720.0,0.0,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-10,38.33,38.79,39.43,38.16,59220.0,2295639.7,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
2,2014-06-11,38.7,39.49,39.79,38.57,132150.0,5152521.1,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
3,2014-06-16,39.21,40.39,40.39,38.79,86620.0,3438277.4,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
4,2014-06-17,40.02,40.0,40.2,40.0,111570.0,4465415.6,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
5,2014-06-18,39.89,40.05,40.09,39.89,34610.0,1384926.3,7.5,0.1,1486.47,1494.28,1500.39,1484.51,33911920376.0,6737184533664.86
6,2014-06-19,40.16,40.25,40.49,40.16,20650.0,832692.5,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
7,2014-06-20,40.11,40.11,40.28,40.1,5360.0,0.0,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
8,2014-06-23,40.03,40.05,40.21,40.0,5180.0,0.0,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
9,2014-06-24,40.28,40.39,40.49,40.21,3240.0,0.0,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
10,2014-06-25,40.14,40.1,40.2,39.9,17160.0,686983.5,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
11,2014-06-26,39.89,39.0,40.1,38.79,34120.0,1340502.4,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
12,2014-06-27,39.06,38.01,39.4,34.0,47820.0,1847150.5,7.5,0.1,1473.31,1477.32,1481.29,1467.94,24506324520.0,6660748008656.28
13,2014-06-30,37.99,38.59,38.84,37.4,41660.0,1579308.2,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
