,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2021-04-19,5.0126,5.0126,5.0126,5.0126,200000.0,0.0,4.5,0.07,3598.47,3574.08,3605.49,3565.39,84848227209.7,18146818118753.11
1,2021-04-20,5.5124,5.5124,5.5124,5.5124,608000.0,3351539.2,4.5,0.07,3581.37,3552.41,3596.19,3536.41,99879789740.1,18036802184390.11
2,2021-04-21,6.062,6.062,6.062,6.062,100000.0,3957739.2,4.5,0.07,3554.83,3561.72,3572.63,3545.15,85436802223.0,18084066370440.254
3,2021-04-22,6.6664,6.6664,6.6664,6.6664,71000.0,4431053.6,4.5,0.07,3576.69,3600.35,3607.75,3557.88,112057095535.6,18280177232055.49
4,2021-04-23,7.3292,7.3292,7.3292,7.3292,50000.0,5800033.6,4.5,0.07,3598.76,3597.17,3600.18,3579.25,81729625260.45,18264057994792.223
5,2021-04-26,8.058,8.058,8.058,8.058,65000.0,5321283.6,5.0,0.07,3603.13,3610.98,3613.37,3589.27,84496045987.5,18334159233301.6
6,2021-04-27,8.8612,8.8612,8.8612,8.8612,52000.0,2430526.8,5.0,0.07,3615.57,3600.6,3627.91,3586.39,114167397484.8,18281450378201.434
7,2021-04-28,9.7446,9.7446,9.7446,9.7446,51000.0,2321301.4,5.0,0.07,3608.89,3578.12,3613.11,3558.24,104536766334.35,18167303742914.414
8,2021-04-29,10.716,10.716,10.716,10.716,51000.0,2394503.0,5.0,0.06,3609.38,3571.05,3616.95,3565.58,103591831131.4,18131434676513.99
9,2021-04-30,11.7794,11.7794,11.7794,11.7794,119000.0,1401748.6,5.0,0.05,3574.03,3544.0,3584.64,3536.53,85610442460.3,17994084278023.562
10,2021-05-04,12.9484,12.9484,12.9484,12.9484,29000.0,1777252.2,5.0,0.06,3557.62,3577.21,3594.69,3556.08,92399468587.55,18162691928647.234
