,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2015-07-01,3.627,3.68,3.74,3.624,22000500.0,79918313.1,11.5,0.13,1654.57,1639.7,1659.97,1638.44,25085292936.0,7683471375612.02
1,2015-07-02,3.8,3.6455,3.8,3.624,27706400.0,100804318.65,11.5,0.13,1639.78,1641.05,1646.96,1633.69,20472966669.0,7689773014825.79
2,2015-07-03,3.725,3.637,3.725,3.6315,38211300.0,139177504.2,11.5,0.13,1641.01,1631.65,1642.2,1625.42,14641565563.0,7645728962566.83
3,2015-07-06,3.6405,3.67,3.67,3.64,8407400.0,30698859.0,11.5,0.13,1627.71,1621.27,1627.71,1613.71,25053084669.0,7597092200124.97
4,2015-07-07,3.8,3.631,3.8,3.631,30483800.0,110812432.55,11.5,0.13,1621.35,1614.14,1629.59,1606.28,28421883734.0,7563679320768.21
5,2015-07-08,3.6205,3.649,3.66,3.6205,40402100.0,147089032.2,11.5,0.13,1614.14,1595.0,1616.6,1573.95,34970227613.0,7474001386734.78
6,2015-07-09,3.625,3.65,3.65,3.625,34680400.0,126282420.6,11.5,0.13,1595.08,1614.59,1614.85,1595.02,24711741425.0,7565801986012.65
7,2015-07-10,3.8,3.65,3.8,3.632,26880300.0,97864492.05,11.5,0.13,1615.11,1623.99,1625.59,1614.93,26147626552.0,7609850067400.98
8,2015-07-13,3.698,3.6545,3.698,3.642,35973700.0,131260192.65,11.5,0.13,1618.23,1642.97,1642.97,1617.17,36864576019.0,7698783040434.26
9,2015-07-14,3.645,3.6525,3.6585,3.6415,53277400.0,194466710.75,11.5,0.13,1643.0,1647.01,1647.01,1626.09,32488836341.0,7717686049220.54
10,2015-07-15,3.626,3.656,3.656,3.62,39678800.0,144939571.1,11.5,0.13,1638.3,1641.22,1644.01,1626.17,28224216593.0,7690572764960.61
11,2015-07-16,3.6395,3.676,3.683,3.639,29569700.0,108635389.55,11.5,0.14,1640.81,1652.59,1652.97,1636.99,20173536045.0,7743857713656.6
12,2015-07-17,3.671,3.669,3.6745,3.669,1965400.0,7212509.85,11.5,0.13,1652.52,1650.08,1660.0,1646.37,22136563101.0,7732107853930.12
13,2015-07-20,3.6625,3.6625,3.664,3.656,21393200.0,78332795.1,11.5,0.14,1650.09,1626.76,1652.05,1619.44,22460865407.0,7622809719990.76
14,2015-07-21,3.671,3.677,3.677,3.66,24115300.0,88618283.55,11.5,0.13,1627.19,1635.69,1639.92,1618.58,25349323922.0,7664641248348.14
15,2015-07-22,3.673,3.67,3.6745,3.67,20346500.0,74724663.25,11.5,0.13,1634.89,1635.63,1635.63,1620.47,26862692731.0,7664372322742.18
16,2015-07-23,3.673,3.677,3.677,3.673,18397000.0,67605498.5,11.5,0.13,1634.79,1616.14,1634.9,1614.97,23062741161.0,7573030629579.71
17,2015-07-24,3.6685,3.67,3.6765,3.6685,7360700.0,27052075.0,11.5,0.13,1615.69,1595.61,1622.3,1593.07,28837860037.0,7476856405917.96
18,2015-07-27,3.621,3.6745,3.687,3.621,4616200.0,16960457.65,11.5,0.14,1595.5,1584.92,1599.25,1570.46,35777910902.0,7426752610338.51
19,2015-07-28,3.6655,3.6605,3.6655,3.6605,18695500.0,68463381.7,11.5,0.14,1584.92,1604.5,1610.7,1577.99,36511095579.0,7518524177349.94
20,2015-07-29,3.6635,3.655,3.6645,3.655,9490200.0,34770241.05,11.5,0.14,1604.56,1622.32,1624.64,1600.31,29880161765.0,7601997730285.12
21,2015-07-30,3.6655,3.672,3.672,3.655,8562700.0,31433982.25,11.5,0.14,1622.69,1636.72,1638.51,1620.24,26758851204.0,7669464014693.77
22,2015-07-31,3.675,3.6745,3.675,3.67,16101500.0,59153952.2,11.5,0.08,1636.72,1669.0,1669.0,1630.18,38825213612.0,7820730096263.97
23,2015-08-03,3.67,3.6595,3.67,3.6565,574500.0,2102309.55,11.0,0.14,1668.13,1663.74,1676.26,1654.45,28020770408.0,7796077461082.12
24,2015-08-04,3.647,3.639,3.6695,3.639,178300.0,2751187.7,11.0,0.14,1663.31,1674.46,1676.58,1659.16,28420615882.0,7846332436974.8
25,2015-08-05,3.635,3.635,3.6555,3.635,138000.0,1153274.55,11.0,0.14,1674.63,1693.07,1696.8,1665.12,32158856424.0,7933514275258.32
26,2015-08-06,3.635,3.63,3.6355,3.63,43800.0,0.0,11.0,0.14,1693.07,1675.71,1698.3,1670.57,31888293343.0,7852196896808.15
