,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-18,25.6,25.6,25.6,25.6,4000.0,0.0,7.5,0.1,1486.47,1494.28,1500.39,1484.51,33911920376.0,6737184533664.86
1,2014-07-07,26.0,26.0,26.0,26.0,5000.0,0.0,7.5,0.1,1489.55,1513.72,1518.05,1484.27,26447591867.0,6824843528813.94
2,2014-07-08,26.0,26.0,26.0,26.0,5000.0,0.0,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
3,2014-07-11,24.0,24.0,24.0,24.0,4000.0,0.0,7.5,0.09,1495.01,1499.82,1502.23,1488.84,27280591834.0,6762191289526.07
4,2014-07-14,22.1,22.1,22.1,22.1,43000.0,0.0,7.5,0.09,1500.29,1483.41,1502.68,1482.63,25874350380.0,6688204369898.62
5,2014-07-23,22.0,26.0,26.0,22.0,4000.0,0.0,7.5,0.09,1406.5,1406.58,1421.56,1395.74,29647055743.0,6341809496909.95
6,2014-07-31,26.9,27.0,27.0,26.9,2000.0,0.0,8.0,0.08,1383.04,1379.61,1399.12,1376.48,29121177754.0,6220179585134.02
7,2014-08-04,28.0,28.0,28.0,28.0,4000.0,0.0,8.0,0.09,1375.73,1378.98,1386.43,1365.01,26195753576.0,6217358216917.08
8,2014-08-13,26.0,26.0,26.0,26.0,1000.0,0.0,8.0,0.09,1373.64,1398.85,1402.38,1373.27,33763586053.0,6306941447520.57
9,2014-08-14,27.0,27.0,27.0,27.0,3000.0,0.0,8.0,0.09,1399.07,1407.53,1412.88,1391.65,32917275901.0,6346061682927.05
10,2014-08-28,28.0,28.0,28.0,28.0,2000.0,0.0,8.0,0.09,1447.54,1423.78,1447.76,1414.18,43849484690.0,6419337314027.56
11,2014-08-29,28.0,28.0,28.0,28.0,7000.0,0.0,8.0,0.07,1423.56,1400.71,1428.72,1400.44,34660154972.0,6315320939623.29
12,2014-09-03,28.0,28.0,28.0,28.0,1000.0,0.0,8.0,0.09,1400.44,1449.29,1452.92,1400.44,56947742576.0,6534374903303.01
13,2014-09-30,20.071,25.0,25.0,17.0,9000.0,0.0,8.0,0.07,,,,,,
14,2014-10-03,24.9,25.0,25.0,24.9,6000.0,0.0,8.0,0.09,,,,,,
15,2014-10-13,20.7,25.0,25.0,20.7,5000.0,0.0,8.0,0.09,,,,,,
16,2014-10-23,27.0,27.0,27.0,27.0,5000.0,0.0,8.0,0.09,,,,,,
17,2014-10-24,27.0,27.0,27.0,27.0,5000.0,0.0,8.0,0.09,,,,,,
18,2014-11-05,27.0,27.0,27.0,27.0,5000.0,0.0,9.5,0.09,1490.66,1495.26,1496.19,1471.25,35993706175.0,7121819234260.93
19,2014-11-13,25.0,25.0,25.0,25.0,5000.0,0.0,9.5,0.09,1514.19,1492.27,1522.87,1492.27,39369641894.0,7107618216442.59
20,2014-11-14,27.0,27.0,27.0,27.0,33000.0,0.0,9.5,0.09,1491.75,1500.76,1507.93,1481.97,34296102848.0,7148016471313.82
21,2014-11-19,29.2,29.2,29.2,29.2,8000.0,0.0,9.5,0.1,1519.69,1517.97,1524.1,1513.68,31482266937.0,7230003229613.9
22,2014-11-28,26.3,26.3,26.3,26.3,1000.0,0.0,9.5,0.08,1531.34,1533.68,1540.07,1518.45,45610410708.0,7304816361041.94
23,2014-12-25,21.3,21.3,21.3,21.3,1000.0,0.0,17.0,0.13,1401.47,1408.54,1410.06,1383.91,23569010203.0,6529289258920.08
24,2014-12-26,26.0,26.0,26.0,26.0,1000.0,0.0,17.0,0.13,1409.02,1417.8,1432.41,1409.02,21938441630.0,6572219511259.2
25,2015-01-16,33.0,33.0,33.0,33.0,1000.0,0.0,17.0,0.13,1563.21,1591.43,1594.06,1551.01,30068854489.0,7377090247817.62
26,2015-02-03,24.2,25.0,29.7,20.6,8000.0,0.0,15.0,0.12,1626.65,1654.36,1667.59,1626.65,36684677691.0,7668789955800.34
27,2015-02-04,21.0,27.0,27.0,21.0,2000.0,0.0,15.0,0.11,1655.5,1656.02,1665.09,1643.24,28406694409.0,7676490091070.59
28,2015-02-06,27.0,27.0,27.0,27.0,2000.0,0.0,15.0,0.11,1696.96,1755.45,1762.39,1696.96,54221952383.0,8137413935492.03
29,2015-03-16,28.0,28.0,28.0,28.0,3000.0,0.0,14.0,0.12,1626.77,1609.85,1636.16,1609.82,35828098909.0,7462485154825.06
30,2015-04-17,34.0,34.0,34.0,34.0,4000.0,0.0,14.0,0.13,1686.79,1656.59,1694.08,1656.59,46513599503.0,7781505974673.19
31,2015-04-20,39.0,39.0,39.0,39.0,1000.0,0.0,14.0,0.13,1657.63,1683.24,1691.93,1655.75,42410329020.0,7906687598366.14
32,2015-05-27,25.8,37.9,37.9,25.8,16000.0,0.0,12.5,0.12,1651.73,1660.98,1664.29,1637.42,35786417716.0,7802124299989.31
33,2015-06-02,25.4,25.4,25.4,25.4,8000.0,0.0,12.5,0.12,1616.97,1643.41,1650.64,1612.78,28435405398.0,7719601891098.58
34,2015-06-03,26.0,26.2,26.2,26.0,9000.0,0.0,12.5,0.13,1643.99,1628.87,1653.53,1615.96,36210821998.0,7651274252638.93
35,2015-06-09,24.3,24.2,24.3,24.2,4000.0,0.0,12.5,0.13,1646.89,1664.01,1666.06,1637.38,29188778226.0,7816347897695.82
36,2015-06-10,23.9,30.0,30.0,23.9,4000.0,0.0,12.5,0.13,1664.03,1653.09,1667.2,1650.89,26617709919.0,7765050254732.37
37,2015-06-11,34.9,26.0,34.9,25.9,6000.0,818600.0,12.5,0.13,1653.06,1652.24,1654.91,1638.13,27749015557.0,7761077256509.68
38,2015-06-16,31.6,31.6,31.6,31.6,3000.0,913400.0,11.5,0.14,1657.37,1668.82,1674.11,1649.16,26617346477.0,7819903168093.14
39,2015-06-17,26.2,27.1,27.1,26.2,3000.0,789700.0,11.5,0.14,1668.84,1664.66,1678.91,1661.75,24988440340.0,7800414780965.41
40,2015-07-01,26.0,26.0,26.0,26.0,39000.0,0.0,11.5,0.13,1654.57,1639.7,1659.97,1638.44,25085292936.0,7683471375612.02
41,2015-07-06,26.0,26.0,26.0,26.0,18000.0,0.0,11.5,0.13,1627.71,1621.27,1627.71,1613.71,25053084669.0,7597092200124.97
42,2015-07-28,25.5,26.0,26.0,25.5,6000.0,0.0,11.5,0.14,1584.92,1604.5,1610.7,1577.99,36511095579.0,7518524177349.94
43,2015-07-31,26.1,26.1,26.1,26.1,1000.0,0.0,11.5,0.08,1636.72,1669.0,1669.0,1630.18,38825213612.0,7820730096263.97
44,2015-08-19,26.0,26.0,26.0,26.0,8000.0,0.0,11.0,0.15,1691.29,1673.86,1701.42,1665.62,27424132779.0,7843515437610.88
45,2015-08-26,26.0,28.3,28.3,26.0,69000.0,0.0,11.0,0.14,1658.32,1660.95,1675.07,1633.45,33226599969.0,7783030547207.07
46,2015-09-23,31.0,31.0,31.0,31.0,1000.0,0.0,11.0,0.14,1664.27,1640.7,1667.03,1638.18,34893774005.0,7651729676002.79
47,2015-09-24,28.9,29.0,29.0,28.9,4000.0,0.0,11.0,0.14,1640.7,1621.43,1641.77,1611.89,35934108194.0,7561873661906.4
48,2015-09-28,25.6,32.6,32.6,25.6,4000.0,0.0,11.0,0.13,1639.64,1616.36,1643.94,1614.35,24565309868.0,7538221531168.47
49,2015-09-30,25.9,25.9,29.8,25.9,16000.0,701100.0,11.0,0.07,1630.53,1642.97,1654.38,1630.53,30818293880.0,7662312295611.76
50,2015-10-01,31.8,31.4,31.8,26.8,12000.0,914200.0,11.0,0.13,1644.52,1626.97,1649.57,1616.85,28123517312.0,7587680565420.34
51,2015-10-02,26.9,26.9,29.4,26.9,12000.0,1130600.0,11.0,0.13,1627.07,1612.56,1630.77,1603.46,25808649289.0,7520494624870.87
52,2015-10-05,34.8,34.8,34.8,27.2,9000.0,1421000.0,11.0,0.13,1612.71,1652.47,1654.73,1612.71,31964330042.0,7706639057881.12
53,2015-10-06,27.2,27.4,30.9,27.2,14000.0,1019800.0,11.0,0.13,1652.49,1670.69,1670.69,1649.46,31262998864.0,7791578366689.39
54,2015-10-14,26.8,26.8,26.8,26.8,1000.0,1406600.0,11.0,0.13,1720.8,1723.01,1731.57,1704.22,31761495366.0,8035614337229.33
55,2015-10-26,28.0,30.8,30.8,28.0,8000.0,0.0,11.0,0.12,1725.51,1712.13,1731.6,1696.77,38058579778.0,7984851354212.26
56,2015-10-28,28.5,28.5,28.5,28.5,1000.0,0.0,11.0,0.12,1725.91,1726.61,1727.39,1708.38,34408752591.0,8052387326997.02
57,2015-10-29,33.1,28.1,33.1,28.1,6000.0,0.0,11.0,0.12,1725.9,1708.6,1727.3,1707.12,29451902808.0,7968400832862.37
58,2015-11-02,28.1,28.1,28.1,28.1,1000.0,0.0,11.0,0.12,1710.9,1735.75,1737.18,1701.25,27528642884.0,8095019292843.71
59,2015-11-05,30.0,30.0,30.0,30.0,1000.0,508300.0,11.0,0.12,1764.94,1766.28,1784.42,1762.01,39011014458.0,8237402685015.98
60,2015-11-09,28.1,28.1,32.9,28.1,19000.0,1080600.0,11.0,0.12,1754.19,1751.44,1763.52,1742.36,24346689110.0,8168212939206.97
61,2015-11-10,31.4,28.1,31.4,28.1,28000.0,1411900.0,11.0,0.12,1751.45,1746.94,1754.61,1734.34,24785834899.0,8147218004866.98
62,2015-11-11,28.6,28.9,31.8,28.6,20000.0,1439600.0,11.0,0.12,1747.02,1740.56,1756.09,1733.61,27352629549.0,8117453574798.54
63,2015-11-12,31.8,31.8,31.8,28.6,20000.0,1212400.0,11.0,0.12,1739.29,1739.96,1750.71,1732.5,28871426903.0,8114637933037.61
64,2015-11-17,28.7,28.7,33.9,28.7,16000.0,1702800.0,11.0,0.13,1740.98,1787.23,1792.88,1740.82,51356679699.0,8335115813909.51
65,2015-11-18,34.7,30.0,34.7,30.0,26000.0,1345600.0,11.0,0.12,1787.11,1810.48,1820.38,1785.1,44452288316.0,8443540996368.9
66,2015-11-19,28.8,28.8,33.8,28.8,24000.0,1586400.0,11.0,0.12,1811.89,1811.2,1842.14,1805.41,54358055063.0,8390517131365.69
67,2015-11-20,33.9,33.9,33.9,33.9,3000.0,1688100.0,11.0,0.12,1810.03,1826.72,1831.77,1797.93,34544521129.0,8462433507702.36
68,2015-11-23,28.9,28.9,28.9,28.9,3000.0,2265200.0,11.0,0.12,1826.87,1868.07,1868.66,1811.85,47433558589.0,8654001508750.22
69,2015-11-24,33.2,33.2,33.2,33.2,3000.0,1874400.0,11.0,0.12,1868.08,1810.05,1873.53,1798.73,54471301838.0,8385204013246.88
70,2015-11-25,28.3,28.3,28.3,28.3,3000.0,1104100.0,11.0,0.12,1810.02,1833.53,1837.06,1808.88,36048441250.0,8493975239964.29
