,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,1899.9,1899.9,1899.9,1899.9,1.0,0.0,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-30,1850.4,1850.4,1850.4,1850.4,1.0,0.0,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
2,2014-07-04,1800.3,1800.2,1800.3,1800.2,5.0,0.0,7.5,0.09,1515.53,1489.53,1516.36,1485.52,25432309583.0,6715772755003.5
3,2014-07-18,1850.0,1850.0,1850.0,1850.0,1.0,0.0,7.5,0.09,1440.54,1422.53,1440.54,1410.48,40033266979.0,6413710020809.31
4,2014-07-21,1850.1,1900.0,1900.0,1850.0,34.0,0.0,7.5,0.1,1422.53,1384.5,1424.64,1384.5,39527909818.0,6242240077462.93
5,2014-07-22,2000.0,2100.0,2100.0,2000.0,4.0,0.0,7.5,0.09,1386.14,1405.97,1414.21,1386.14,35820774896.0,6339040079280.09
6,2014-08-11,1850.1,2000.0,2000.0,1850.0,55.0,0.0,8.0,0.09,1350.42,1372.45,1379.22,1350.42,31225367926.0,6187929554027.43
7,2014-08-14,1851.1,2000.0,2000.0,1851.0,14.0,0.0,8.0,0.09,1399.07,1407.53,1412.88,1391.65,32917275901.0,6346061682927.05
8,2014-08-20,1862.2,2000.0,2000.0,1850.0,57.0,0.0,8.0,0.09,1437.58,1447.5,1447.5,1432.63,25728795150.0,6526296901006.62
9,2014-09-01,1900.0,1900.0,1900.0,1900.0,1.0,0.0,8.0,0.07,1401.34,1392.4,1419.9,1389.77,34518068575.0,6277859256745.77
10,2014-09-10,1899.0,1899.0,1899.0,1899.0,1.0,0.0,8.0,0.09,1466.99,1468.55,1472.23,1456.21,19594281049.0,6621186609667.49
11,2014-09-22,1890.0,1890.0,1890.0,1890.0,1.0,0.0,8.0,0.09,1431.12,1412.83,1436.21,1412.83,24222806047.0,6729253251808.7
