,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,297.0,296.5,305.0,295.0,1814130.0,544074741.0,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-10,297.5,293.4,297.5,291.1,963070.0,282784084.0,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
2,2014-06-11,293.2,292.5,296.7,290.0,816920.0,237646552.0,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
3,2014-06-16,290.1,285.4,290.9,282.7,2377230.0,681080835.0,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
4,2014-06-17,285.4,286.5,291.2,284.6,1404850.0,404193778.0,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
5,2014-06-18,288.3,291.9,293.9,286.1,1498790.0,435283021.0,7.5,0.1,1486.47,1494.28,1500.39,1484.51,33911920376.0,6737184533664.86
6,2014-06-19,295.0,294.0,298.0,291.3,1929690.0,567918651.0,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
7,2014-06-20,290.0,286.2,290.3,285.3,1563870.0,447440701.0,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
8,2014-06-23,287.0,285.1,290.0,284.1,835640.0,239556865.0,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
9,2014-06-24,285.4,291.8,293.3,285.4,1505130.0,437360086.0,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
10,2014-06-25,289.8,284.5,292.8,284.3,1271190.0,365368382.0,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
11,2014-06-26,285.9,280.1,286.2,278.3,1590760.0,448058782.0,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
12,2014-06-27,280.1,280.6,283.0,276.8,1078620.0,301777571.0,7.5,0.1,1473.31,1477.32,1481.29,1467.94,24506324520.0,6660748008656.28
13,2014-06-30,281.2,279.0,282.9,276.2,852750.0,238090036.0,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
14,2014-07-01,279.7,278.7,279.7,277.1,951730.0,264422896.0,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
15,2014-07-02,279.0,285.7,287.3,279.0,1723250.0,490437422.0,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
