,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2021-11-05,1250.6,1271.4,1280.0,1205.2,371313.0,0.0,7.5,0.08,4179.03,4174.76,4181.87,4159.92,68811060903.35,20970633479680.527
1,2021-11-08,1300.0,1228.6,1339.6,1100.0,323096.0,350306728.6,7.5,0.08,4203.65,4218.27,4220.88,4188.59,79943228299.05,21189193573037.26
2,2021-11-09,1225.0,1107.0,1226.2,1075.0,306534.0,229382487.8,7.5,0.08,4207.59,4187.33,4225.82,4181.75,82287369220.1,21033746267223.266
3,2021-11-10,1115.6,1134.8,1145.0,1067.0,186898.0,152705850.8,7.5,0.08,4192.62,4172.47,4196.22,4151.6,79836368997.35,20959106072887.477
4,2021-11-11,1144.8,1090.0,1158.0,1078.2,249706.0,185107418.6,7.5,0.08,4141.62,4189.35,4189.35,4126.52,104116091466.5,21043894981976.47
5,2021-11-12,1095.6,1106.0,1148.0,1095.6,121654.0,131661571.2,7.5,0.08,4181.7,4121.66,4181.7,4089.32,202860107485.05,20703873795964.996
6,2021-11-15,1128.6,1096.2,1136.0,1083.6,81049.0,82761316.4,7.5,0.08,4121.5,4135.14,4162.02,4111.04,123023535416.9,20771584676785.91
7,2021-11-16,1107.0,1102.6,1123.8,1096.4,26044.0,24514657.6,7.5,0.08,4147.69,4120.02,4158.31,4094.15,116677791063.4,20695666998590.926
8,2021-11-17,1111.4,1106.2,1115.4,1095.0,39967.0,39874393.4,7.5,0.08,4120.23,4149.02,4149.02,4101.96,93395386782.45,20841338245132.87
9,2021-11-18,1106.8,1098.2,1130.0,1088.0,36040.0,32794957.2,7.5,0.08,4120.81,4093.85,4150.57,4082.17,108256843364.7,20564202609994.473
10,2021-11-19,1093.0,1095.2,1109.0,1074.8,39566.0,37555548.6,7.5,0.08,4121.74,4016.47,4127.0,4000.26,151877521547.5,20175490567033.184
11,2021-11-22,1107.0,1095.6,1107.0,1053.0,65774.0,62427463.4,7.5,0.08,4008.13,3872.77,4017.02,3872.77,202719304083.35,19453676252643.8
12,2021-11-23,1099.8,1115.8,1132.0,1055.0,42071.0,29022968.2,7.5,0.08,3832.33,3960.33,3974.76,3776.61,203663613102.15,19893503329634.793
13,2021-11-24,1124.8,1125.8,1165.0,1071.0,78440.0,85630858.0,7.5,0.08,4001.89,3950.56,4021.25,3913.39,134549985501.15,19844440127165.414
14,2021-11-25,1126.2,1103.0,1137.2,1095.6,10800.0,10149410.4,7.5,0.08,3964.25,3947.82,3990.95,3932.55,73912725789.35,19830652976763.18
15,2021-11-26,1105.0,1114.0,1136.6,1090.2,32689.0,33076187.6,7.5,0.08,3852.99,3810.98,3876.13,3810.75,144744409541.75,19143272989741.89
16,2021-11-29,1100.0,1124.0,1190.0,1100.0,50290.0,54412667.6,7.5,0.08,3872.19,3879.54,3928.52,3846.12,130890429846.7,19487662774355.957
17,2021-11-30,1128.0,1183.4,1189.8,1114.2,49974.0,41957453.0,7.5,0.07,3828.25,3890.59,3902.72,3827.55,199778277587.25,19543160338135.03
18,2021-12-01,1190.0,1196.8,1200.0,1121.0,204196.0,112988013.0,7.5,0.08,3907.17,3959.29,3962.22,3900.16,119719006789.15,19888252673389.297
19,2021-12-02,1199.6,1210.0,1220.0,1153.8,54837.0,38132833.2,7.5,0.08,3940.09,3947.54,3972.85,3914.43,109953629846.45,19829258062529.47
20,2021-12-03,1218.8,1180.6,1218.8,1152.0,22293.0,19165189.4,7.5,0.08,3967.88,3913.06,3977.16,3905.38,83004665197.55,19656030951809.984
21,2021-12-06,1161.0,1107.2,1199.6,1075.0,73035.0,14946703.4,7.5,0.08,3937.15,3810.1,3938.1,3800.76,99104081043.4,19138885560423.41
22,2021-12-07,1107.0,1086.4,1139.0,1070.0,22539.0,8363301.4,7.5,0.08,3860.83,3873.2,3880.84,3810.03,127513848136.15,19455841621883.023
23,2021-12-08,1101.2,1039.0,1107.0,1037.2,21922.0,6510801.2,7.5,0.08,3904.84,3773.61,3915.65,3773.61,161711900096.09,18955548306582.867
24,2021-12-09,1048.0,982.0,1080.0,981.4,54209.0,37834663.8,7.5,0.08,3801.67,3813.29,3847.76,3780.3,110500027110.1,19154895882686.727
25,2021-12-10,980.2,927.6,998.6,914.0,71339.0,32256313.8,7.5,0.08,3806.97,3760.23,3814.06,3760.23,81426178559.85,18888377868248.355
26,2021-12-13,964.0,910.0,979.0,901.6,69579.0,42895540.4,7.5,0.08,3790.1,3618.31,3794.52,3613.88,147936433936.1,18175484947590.023
27,2021-12-14,902.0,881.4,944.2,852.0,32577.0,13925383.4,7.5,0.08,3533.82,3619.39,3638.49,3532.29,155519049894.1,18180875609831.43
28,2021-12-15,881.6,896.0,916.8,870.4,10963.0,6492047.2,7.5,0.08,3653.16,3621.82,3666.53,3608.6,104327497276.3,18193073486661.94
29,2021-12-16,896.8,992.8,1003.0,896.2,40508.0,24912320.2,7.5,0.08,3705.57,3750.36,3755.07,3701.35,143081351990.0,18838787178680.85
30,2021-12-17,1022.0,951.8,1090.0,950.0,128536.0,124606442.4,7.5,0.08,3725.04,3723.27,3739.59,3696.5,127229717373.7,18411003749381.96
31,2021-12-20,912.0,883.2,978.6,879.8,36112.0,27809779.0,8.5,0.08,3657.65,3669.05,3674.71,3629.61,90298936540.65,18142880402699.91
32,2021-12-21,894.6,911.2,932.2,891.0,28736.0,17344629.2,8.5,0.08,3705.33,3693.02,3713.68,3670.16,82117461532.05,18261431084338.22
