,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,11.399,11.399,11.399,11.399,100.0,0.0,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-10,11.3,11.3,11.3,11.3,100.0,0.0,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
2,2014-06-11,11.28,11.001,11.28,11.0,900.0,0.0,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
3,2014-06-19,11.003,11.4,11.4,11.0,1100.0,0.0,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
4,2014-06-20,11.009,11.2,11.2,11.002,1600.0,0.0,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
5,2014-06-23,11.0,11.001,11.001,11.0,4700.0,0.0,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
6,2014-06-24,11.0,10.904,11.001,10.904,1600.0,0.0,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
7,2014-06-25,10.901,10.802,10.901,10.802,1200.0,0.0,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
8,2014-06-26,10.999,11.0,11.0,10.999,1000.0,0.0,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
9,2014-06-27,10.999,10.81,11.0,10.801,4900.0,0.0,7.5,0.1,1473.31,1477.32,1481.29,1467.94,24506324520.0,6660748008656.28
10,2014-06-30,10.65,10.65,10.65,10.65,100.0,0.0,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
11,2014-07-01,10.802,11.201,11.201,10.802,4200.0,0.0,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
12,2014-07-02,11.199,11.2,11.2,11.199,300.0,0.0,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
13,2014-07-07,11.0,11.15,11.2,11.0,48200.0,588179.5,7.5,0.1,1489.55,1513.72,1518.05,1484.27,26447591867.0,6824843528813.94
14,2014-07-10,11.001,11.1,11.2,11.001,2600.0,0.0,7.5,0.09,1513.37,1494.92,1521.88,1480.26,40593712934.0,6740109174597.83
15,2014-07-11,11.15,11.291,11.291,11.15,800.0,0.0,7.5,0.09,1495.01,1499.82,1502.23,1488.84,27280591834.0,6762191289526.07
16,2014-07-14,11.11,11.0,11.11,11.0,600.0,0.0,7.5,0.09,1500.29,1483.41,1502.68,1482.63,25874350380.0,6688204369898.62
17,2014-07-16,11.0,11.0,11.0,11.0,1000.0,0.0,7.5,0.09,1475.68,1474.72,1482.6,1459.08,31471423221.0,6649014803543.48
18,2014-07-17,11.0,11.19,11.19,11.0,600.0,0.0,7.5,0.09,1470.83,1440.63,1470.83,1429.08,46983315494.0,6495297231665.95
19,2014-07-18,11.496,11.251,11.498,11.251,800.0,0.0,7.5,0.09,1440.54,1422.53,1440.54,1410.48,40033266979.0,6413710020809.31
20,2014-07-22,11.029,12.0,12.0,11.029,6100.0,0.0,7.5,0.09,1386.14,1405.97,1414.21,1386.14,35820774896.0,6339040079280.09
21,2014-07-28,11.5,11.4,11.7,11.4,300.0,0.0,8.0,0.09,1387.12,1361.94,1387.14,1357.03,30461885017.0,6140507803885.11
22,2014-08-01,11.2,11.2,11.2,11.2,100.0,0.0,8.0,0.09,1378.03,1374.83,1378.1,1358.11,33134471815.0,6198666221991.83
23,2014-08-06,11.5,11.0,11.5,11.0,1600.0,0.0,8.0,0.09,1357.33,1334.66,1362.22,1333.37,44555802086.0,6017513533119.65
24,2014-08-07,9.501,11.799,11.799,9.36,1100.0,0.0,8.0,0.09,1333.39,1333.53,1340.84,1306.8,46389687389.0,6012422895099.08
25,2014-08-08,9.506,11.0,11.4,9.506,5700.0,0.0,8.0,0.09,1332.26,1348.21,1360.49,1329.1,34479528820.0,6078629580593.59
26,2014-08-13,11.23,11.0,11.23,11.0,200.0,0.0,8.0,0.09,1373.64,1398.85,1402.38,1373.27,33763586053.0,6306941447520.57
27,2014-08-14,11.275,11.277,11.277,11.275,200.0,0.0,8.0,0.09,1399.07,1407.53,1412.88,1391.65,32917275901.0,6346061682927.05
28,2014-08-18,11.5,11.5,11.5,11.5,100.0,0.0,8.0,0.09,1418.05,1425.18,1427.95,1415.35,18156608193.0,6425664882271.03
29,2014-08-19,11.5,11.5,11.5,11.5,100.0,0.0,8.0,0.09,1425.18,1437.6,1441.42,1425.18,25673186641.0,6481651396810.93
30,2014-08-21,11.3,11.2,11.3,11.2,200.0,0.0,8.0,0.09,1447.12,1461.75,1469.44,1445.48,28439597629.0,6590528216157.51
31,2014-08-22,10.12,10.12,10.12,10.12,100.0,0.0,8.0,0.09,1461.79,1446.6,1463.71,1434.09,28861993115.0,6522253115433.8
32,2014-08-25,11.5,11.5,11.5,11.5,100.0,0.0,8.0,0.09,1446.86,1454.67,1456.72,1446.09,17577741392.0,6558630723741.41
33,2014-08-26,11.587,11.57,11.587,11.57,200.0,0.0,8.0,0.09,1454.47,1443.32,1460.0,1441.42,19706721633.0,6507455779142.91
34,2014-08-29,11.02,11.02,11.02,11.02,100.0,0.0,8.0,0.07,1423.56,1400.71,1428.72,1400.44,34660154972.0,6315320939623.29
35,2014-09-01,11.02,11.011,11.02,11.011,1800.0,0.0,8.0,0.07,1401.34,1392.4,1419.9,1389.77,34518068575.0,6277859256745.77
36,2014-09-03,11.59,11.601,11.601,11.59,400.0,0.0,8.0,0.09,1400.44,1449.29,1452.92,1400.44,56947742576.0,6534374903303.01
37,2014-09-05,11.003,11.739,11.739,11.003,400.0,0.0,8.0,0.09,1456.0,1474.71,1481.15,1446.95,37451362820.0,6648981302593.65
38,2014-09-08,11.3,11.635,11.635,11.3,300.0,0.0,8.0,0.09,1474.38,1464.76,1478.26,1460.85,26433491805.0,6604117625006.14
39,2014-09-09,11.735,11.0,11.799,10.6,3500.0,0.0,8.0,0.09,1465.13,1468.17,1479.64,1465.13,22936789195.0,6619470791030.01
40,2014-09-10,10.801,10.7,10.801,10.7,200.0,0.0,8.0,0.09,1466.99,1468.55,1472.23,1456.21,19594281049.0,6621186609667.49
41,2014-09-12,10.789,10.789,10.789,10.789,100.0,0.0,8.0,0.09,1449.4,1458.52,1470.49,1440.23,30540111711.0,6575983608620.8
42,2014-09-16,10.79,10.79,10.79,10.79,200.0,0.0,8.0,0.09,1454.13,1477.31,1483.66,1451.21,34534659889.0,7036330612381.47
43,2014-09-17,11.0,10.9,11.0,10.9,500.0,0.0,8.0,0.09,1477.09,1449.37,1477.09,1437.73,43639537600.0,6903283783164.72
44,2014-09-18,11.0,10.9,11.0,10.9,200.0,0.0,8.0,0.09,1449.37,1448.63,1460.13,1443.75,26613627505.0,6899755307298.78
45,2014-09-24,10.82,10.811,10.82,10.811,400.0,0.0,8.0,0.09,,,,,,
46,2014-09-25,11.199,11.3,11.3,11.0,20300.0,0.0,8.0,0.09,,,,,,
47,2014-09-26,11.001,11.3,11.3,10.93,1400.0,0.0,8.0,0.09,,,,,,
48,2014-09-29,10.942,10.95,10.95,10.941,300.0,0.0,8.0,0.08,,,,,,
49,2014-09-30,11.11,11.3,11.3,11.11,10100.0,0.0,8.0,0.07,,,,,,
50,2014-10-01,11.0,10.95,11.0,10.95,1700.0,0.0,8.0,0.09,,,,,,
51,2014-10-06,10.8,10.8,10.8,10.8,500.0,0.0,8.0,0.09,,,,,,
52,2014-10-07,10.9,10.9,10.9,10.9,200.0,0.0,8.0,0.09,,,,,,
53,2014-10-08,11.0,10.8,11.0,10.8,2400.0,0.0,8.0,0.09,,,,,,
54,2014-10-10,10.7,10.65,10.7,10.65,4300.0,0.0,8.0,0.09,,,,,,
55,2014-10-13,10.7,10.7,10.7,10.7,500.0,0.0,8.0,0.09,,,,,,
56,2014-10-14,11.0,10.8,11.0,10.8,5100.0,0.0,8.0,0.09,,,,,,
57,2014-10-15,11.0,11.0,11.0,11.0,100.0,0.0,8.0,0.09,,,,,,
58,2014-10-16,10.7,10.3,10.7,10.3,6500.0,0.0,8.0,0.09,,,,,,
59,2014-10-17,11.0,10.65,11.0,10.65,4500.0,0.0,8.0,0.09,,,,,,
60,2014-10-21,11.0,11.0,11.0,11.0,100.0,0.0,8.0,0.09,,,,,,
61,2014-10-22,11.25,11.2,11.5,11.0,6300.0,0.0,8.0,0.09,,,,,,
62,2014-10-27,11.1,11.0,11.3,11.0,500.0,0.0,8.0,0.09,,,,,,
63,2014-10-28,11.1,11.1,11.1,11.05,3300.0,0.0,8.0,0.09,,,,,,
64,2014-11-05,11.0,11.0,11.0,11.0,1000.0,0.0,9.5,0.09,1490.66,1495.26,1496.19,1471.25,35993706175.0,7121819234260.93
65,2014-11-07,11.0,10.9,11.0,10.65,2900.0,0.0,9.5,0.09,1496.51,1497.11,1526.08,1486.37,62435787319.0,7130652967630.07
66,2014-11-10,10.9,10.85,10.9,10.85,1400.0,0.0,9.5,0.09,1498.62,1515.36,1518.73,1498.59,36072189835.0,7217582952688.41
67,2014-11-11,10.95,10.9,10.95,10.9,500.0,0.0,9.5,0.09,1515.08,1514.78,1531.92,1511.53,38459111229.0,7214829498289.61
68,2014-11-12,11.2,10.95,11.3,10.9,1300.0,0.0,9.5,0.09,1514.85,1513.83,1524.72,1507.45,34100235041.0,7210271305547.86
69,2014-11-13,10.95,10.95,10.95,10.95,1100.0,0.0,9.5,0.09,1514.19,1492.27,1522.87,1492.27,39369641894.0,7107618216442.59
70,2014-11-14,10.95,11.3,11.3,10.9,300.0,0.0,9.5,0.09,1491.75,1500.76,1507.93,1481.97,34296102848.0,7148016471313.82
71,2014-11-17,10.9,11.2,11.25,10.8,17600.0,0.0,9.5,0.1,1500.69,1507.1,1512.61,1494.81,25778674454.0,7178242599235.5
72,2014-11-19,11.15,11.15,11.15,11.15,100.0,0.0,9.5,0.1,1519.69,1517.97,1524.1,1513.68,31482266937.0,7230003229613.9
73,2014-11-20,10.85,10.25,10.85,10.25,18000.0,0.0,9.5,0.1,1518.1,1530.4,1535.97,1517.28,34907988979.0,7289202234493.41
74,2014-11-21,11.1,10.75,11.3,10.7,31300.0,0.0,9.5,0.1,1530.46,1538.93,1541.52,1515.01,36353481324.0,7329822620329.37
75,2014-11-24,11.0,11.0,11.0,11.0,100.0,0.0,9.5,0.1,1539.95,1529.54,1541.75,1521.83,31750458256.0,7285128652947.91
76,2014-11-25,10.55,10.55,10.55,10.55,900.0,0.0,9.5,0.1,1529.62,1529.57,1537.65,1516.18,27545836432.0,7285244990377.67
