,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2017-02-10,90.0,85.0,96.0,83.0,35138800.0,2976631628.9,10.0,0.66,2176.79,2162.19,2182.18,2156.81,32483207075.0,10134324609506.04
1,2017-02-13,85.6,85.2,85.9,84.4,2282830.0,194269737.7,10.0,0.66,2165.12,2161.49,2174.73,2150.52,30244774907.0,10131061964133.13
2,2017-02-14,85.5,85.0,85.5,84.64,2561550.0,217778137.1,10.0,0.66,2162.13,2141.5,2162.13,2135.01,29242797430.0,10037365064059.66
3,2017-02-15,85.2,85.0,85.2,84.7,379180.0,32210396.5,10.0,0.66,2140.2,2137.08,2156.36,2109.93,39741338423.0,10016657726511.89
4,2017-02-16,85.09,84.99,85.09,83.7,2647260.0,223866287.1,10.0,0.66,2138.7,2148.48,2148.48,2127.04,28986630294.0,10070072568413.4
5,2017-02-17,84.0,84.9,84.9,84.0,630210.0,53494862.9,10.0,0.66,2148.58,2128.21,2148.84,2125.45,30610671678.0,9975069296144.15
6,2017-02-20,84.9,84.85,84.9,84.0,117420.0,9930320.1,10.0,0.66,2132.47,2119.09,2136.8,2113.03,25017968927.0,9932345695550.44
7,2017-02-21,84.0,84.8,84.9,84.0,216860.0,18287317.5,10.0,0.66,2118.85,2127.72,2135.97,2111.55,25802257924.0,9972798485426.5
8,2017-02-22,84.79,84.75,84.8,84.15,626430.0,53037488.1,10.0,0.66,2128.98,2106.3,2130.8,2094.85,31743152868.0,9872406480184.59
9,2017-02-24,84.01,84.7,84.7,83.75,109270.0,9222135.6,10.0,0.66,2106.96,2093.09,2106.96,2081.35,24698036843.0,9810467855240.15
10,2017-02-27,84.9,84.48,85.0,83.8,814270.0,68508766.5,10.0,0.66,2095.51,2056.46,2097.2,2054.93,33521701224.0,9638799281036.69
11,2017-02-28,84.0,84.93,84.99,83.8,6744560.0,570682496.5,10.0,0.57,2057.74,2035.77,2057.77,2027.05,59230525482.0,9541800100483.56
12,2017-03-01,84.9,84.42,84.9,84.03,44400.0,3760148.9,10.0,0.66,2034.28,2059.87,2063.67,2030.49,35156360450.0,9654768000061.87
13,2017-03-02,86.0,83.85,88.0,83.85,376710.0,31845197.6,10.0,0.66,2062.61,2049.0,2076.71,2044.25,39659486462.0,9603797860109.18
14,2017-03-03,83.51,82.82,84.26,82.82,260170.0,21820126.4,10.0,0.66,2046.61,2056.89,2056.89,2032.27,31462614291.0,9640780825441.59
15,2017-03-06,83.95,82.98,83.96,80.5,805580.0,66267807.2,10.0,0.66,2056.63,2047.42,2071.69,2045.28,26840317666.0,9596414164174.6
16,2017-03-07,83.47,84.75,84.75,80.56,2274440.0,191594118.8,10.0,0.66,2047.59,2024.84,2048.98,2009.0,34600927950.0,9490568180963.22
17,2017-03-09,84.7,84.6,84.7,82.28,1546990.0,130238096.1,10.0,0.66,2010.85,1974.24,2020.04,1971.73,56369667357.0,9253401483519.22
18,2017-03-10,83.11,82.07,84.38,82.06,92400.0,7621282.9,10.0,0.66,1977.75,1973.96,1989.06,1965.23,38834557616.0,9252098330867.97
19,2017-03-13,81.25,81.5,82.46,81.14,320800.0,26151917.8,10.0,0.66,1972.66,2000.14,2001.71,1968.61,27317778869.0,9374822171578.54
20,2017-03-14,82.16,81.14,82.17,81.11,17350.0,1417691.9,10.0,0.66,2001.4,2001.25,2018.42,1990.55,33708845678.0,9380023867454.86
21,2017-03-15,81.99,80.01,81.99,80.01,51190.0,4144266.4,10.0,0.66,2003.09,1992.59,2018.39,1989.12,28134110175.0,9339412556929.75
22,2017-03-16,81.9,77.69,82.1,77.69,570540.0,45120675.9,10.0,0.91,2001.82,2014.37,2021.05,1998.24,49622252909.0,9441486583424.48
23,2017-03-17,78.48,76.2,79.88,76.2,1295970.0,100232674.8,10.0,0.91,2015.59,2036.96,2045.85,2013.82,43408044658.0,9741964289704.82
24,2017-03-20,77.69,75.01,78.91,75.01,1025970.0,78831000.4,10.0,0.91,2038.99,2042.72,2051.5,2024.85,30739790860.0,9769529957786.96
25,2017-03-21,75.38,79.0,79.95,75.38,383940.0,30080617.5,10.0,0.91,2045.19,2048.07,2067.4,2040.55,34653523262.0,9795091194273.68
26,2017-03-22,79.4,80.41,80.95,78.0,175580.0,13939123.4,10.0,0.91,2042.65,2061.53,2061.53,2030.55,37041863228.0,9859462645754.97
27,2017-03-23,80.4,81.3,81.87,80.12,488860.0,39583377.4,10.0,0.91,2065.37,2051.04,2072.91,2040.18,32278458613.0,9809304684373.51
28,2017-03-24,81.49,82.41,84.4,81.36,320450.0,26715461.9,10.0,0.91,2047.78,2039.77,2052.9,2036.3,21233341858.0,9755429519632.94
29,2017-03-27,81.92,85.53,85.53,80.63,646820.0,54974599.8,9.75,0.91,2034.1,2013.16,2034.1,1997.92,25919840323.0,9628156914874.21
30,2017-03-28,85.5,85.1,86.0,84.67,201150.0,17201763.0,9.75,0.91,2016.95,2032.54,2032.54,2010.92,25069436844.0,9720845128292.89
31,2017-03-29,85.27,85.2,86.0,84.74,91060.0,7779004.4,9.75,0.91,2032.49,2023.71,2037.58,2013.13,21501534788.0,9678612161999.83
32,2017-03-30,86.0,87.5,87.5,85.15,251800.0,21939349.6,9.75,0.91,2025.0,2021.88,2026.94,2012.07,24820610557.0,9669875986149.86
33,2017-03-31,88.99,88.0,90.0,86.5,170570.0,14973371.2,9.75,0.82,2021.16,1995.9,2022.24,1992.95,23908791980.0,9545586509157.19
34,2017-04-03,87.0,88.24,89.99,87.0,147070.0,13032361.1,9.75,0.91,1998.55,2008.61,2014.18,1992.67,20591635070.0,9606378432017.32
35,2017-04-04,89.0,89.0,89.77,88.37,27460.0,2440538.5,9.75,0.91,2007.9,2025.69,2028.01,2005.61,20589349584.0,9688072161037.64
36,2017-04-05,89.01,89.99,89.99,89.01,21940.0,1964733.9,9.75,0.91,2028.71,2056.32,2057.03,2028.12,33005042734.0,9834588472328.65
37,2017-04-06,89.98,92.0,100.0,89.98,531630.0,49203463.2,9.75,0.91,2052.05,2054.69,2058.11,2043.42,22710629637.0,9826759499167.05
38,2017-04-07,92.78,89.61,93.0,88.64,441400.0,40006616.6,9.75,0.91,2046.78,2020.23,2048.63,2010.92,34864697913.0,9661959579034.67
39,2017-04-10,89.53,84.57,90.87,84.57,301240.0,26493222.8,9.75,0.91,2017.75,1971.23,2018.03,1965.58,40058371369.0,9427610995924.61
40,2017-04-11,84.25,87.56,88.9,83.91,59650.0,5195054.3,9.75,0.91,1969.12,1977.95,1994.26,1965.8,32506887352.0,9459743277784.31
41,2017-04-12,88.3,87.03,90.0,87.0,90920.0,7943699.5,9.75,0.91,1985.69,1947.88,1986.56,1942.58,29979954344.0,9315942085658.52
42,2017-04-13,86.14,88.9,90.0,85.0,185550.0,16222518.6,9.75,0.91,1954.39,1944.7,1954.81,1916.67,40271297242.0,9300752632691.1
43,2017-04-14,88.9,89.68,91.8,88.8,92410.0,8319148.5,9.75,0.91,1943.65,1916.29,1943.65,1913.71,12663595568.0,9164877241695.66
44,2017-04-17,89.99,89.9,92.0,89.01,57560.0,5185435.1,9.75,0.91,1917.13,1942.72,1944.93,1902.48,19625706303.0,9291259397959.13
45,2017-04-18,89.9,90.01,92.0,89.01,71190.0,6416669.3,9.75,0.91,1944.28,1920.29,1949.52,1914.44,27847626929.0,9184010171726.14
46,2017-04-19,88.1,90.0,90.26,88.1,454630.0,40903707.3,9.75,0.91,1920.19,1916.5,1932.81,1911.35,25154193665.0,9165848988836.14
47,2017-04-20,90.9,89.0,91.5,88.0,26440.0,2360981.4,9.75,0.91,1912.7,1932.17,1932.25,1900.72,34345740913.0,9240788186694.62
48,2017-04-21,90.16,90.48,90.98,88.71,207880.0,18711242.2,9.75,0.91,1932.82,1944.72,1955.43,1932.82,30898651747.0,9300841146194.49
49,2017-04-24,90.88,90.0,91.41,89.0,43210.0,3867381.0,9.75,0.91,1954.31,1979.57,1979.76,1954.31,35120007104.0,9467495480903.22
50,2017-04-25,89.0,90.5,91.0,89.0,232210.0,21063260.4,9.75,0.91,1983.23,1998.41,2002.37,1969.04,33295013120.0,9557608123082.91
51,2017-04-26,91.07,89.9,91.07,88.0,183090.0,16510033.1,9.75,0.91,2000.8,2026.92,2031.08,1994.52,35691294323.0,9693952241905.07
52,2017-04-27,89.86,90.0,91.0,89.5,139900.0,12622350.7,9.75,0.91,2024.49,2011.67,2024.49,2005.35,39587702578.0,9621015529869.72
53,2017-04-28,89.87,90.47,92.0,89.46,209060.0,19015840.5,9.75,0.83,2021.74,2016.71,2031.06,2011.02,36350344528.0,9645140922766.26
54,2017-05-02,90.9,92.0,95.0,90.04,138390.0,12789173.1,9.25,0.91,2022.19,2026.85,2044.24,2020.55,31117806259.0,9693636767761.64
55,2017-05-03,82.8,85.53,92.64,82.74,642290.0,55605833.9,9.25,0.91,2024.4,1993.66,2027.65,1992.33,35180986733.0,9534875477546.33
56,2017-05-04,83.3,87.6,91.0,83.3,290120.0,25487294.2,9.25,0.91,1994.16,1998.87,2015.61,1989.44,30938975811.0,9559819144017.66
57,2017-05-05,87.5,88.65,92.41,87.5,571490.0,50315219.7,9.25,0.91,1989.88,2002.41,2002.41,1982.97,25800797651.0,9576732407575.88
58,2017-05-10,87.03,88.55,89.99,87.0,129960.0,11470440.8,9.25,0.91,2012.84,2028.21,2028.21,2005.4,31628194140.0,9700114039074.82
59,2017-05-11,88.54,89.0,91.99,87.98,229530.0,20622839.1,9.25,0.91,2028.26,2002.54,2028.58,1991.81,31574420991.0,9577337106939.73
60,2017-05-12,89.87,89.19,90.04,89.08,38380.0,3447452.7,9.25,0.91,2003.92,1994.58,2004.03,1983.83,24917567498.0,9539294740619.05
61,2017-05-15,90.01,89.01,90.35,88.78,7630.0,682439.5,9.25,0.91,1995.6,2003.12,2008.11,1984.06,31075420850.0,9580145460381.04
62,2017-05-16,91.41,91.41,91.6,89.04,383850.0,34807517.5,9.25,0.91,2000.2,1992.94,2002.25,1987.21,30635088434.0,9531435666167.13
63,2017-05-17,91.41,91.6,91.98,90.34,121770.0,11099549.9,9.25,0.91,1989.02,1994.35,1999.56,1982.97,25668959798.0,9538175176266.04
64,2017-05-18,91.14,91.41,91.41,90.36,170030.0,15428268.8,9.25,0.91,1989.05,1967.66,1996.85,1961.2,40953029940.0,9410526911378.8
65,2017-05-19,91.67,91.55,93.5,89.84,169070.0,15545383.2,9.25,0.91,1969.73,1962.4,1977.03,1954.32,31187471685.0,9385372148771.65
66,2017-05-22,93.95,92.0,93.95,89.5,42720.0,3917708.5,9.25,0.91,1966.66,1950.51,1966.66,1941.78,23602706319.0,9328534984743.57
67,2017-05-23,92.48,92.0,93.0,90.99,76190.0,7018007.6,9.25,0.91,1950.27,1960.16,1966.19,1945.5,27659608068.0,9374653248198.68
68,2017-05-24,90.94,91.41,92.0,90.94,10130.0,926534.4,9.25,0.91,1958.22,1951.98,1965.95,1936.99,28695792399.0,9335543565910.07
69,2017-05-25,92.0,91.99,92.0,90.32,50370.0,4604094.1,9.25,0.91,1955.83,1947.26,1960.95,1939.97,25550829769.0,9312956999894.43
70,2017-05-26,92.0,91.08,92.0,90.1,96380.0,8805480.7,9.25,0.91,1944.16,1934.25,1945.03,1930.76,30647468029.0,9250772651589.72
71,2017-05-29,92.0,91.04,92.07,90.6,99750.0,9153436.2,9.25,0.91,1934.66,1940.77,1945.82,1931.45,20422932144.0,9281943672238.14
72,2017-05-30,91.98,93.49,93.99,91.93,247500.0,22944738.8,9.25,0.91,1938.06,1932.91,1939.74,1927.28,25322211657.0,9244368079225.21
73,2017-05-31,94.0,92.39,98.99,92.39,1316730.0,124359750.8,9.25,0.83,1934.03,1900.38,1936.65,1893.39,71545660505.0,9088758213933.63
74,2017-06-01,92.54,95.39,96.89,92.0,399140.0,37602278.4,9.25,0.91,1900.89,1869.66,1904.82,1862.6,42283112574.0,8941856729116.33
75,2017-06-02,96.79,97.3,99.0,96.0,218620.0,21067227.6,9.25,0.91,1868.75,1881.87,1881.97,1849.57,35812609333.0,9000247159132.44
76,2017-06-05,102.0,96.5,102.0,96.14,160450.0,15799118.1,9.25,0.91,1882.83,1877.69,1894.5,1871.29,23408584007.0,8980274949360.07
77,2017-06-06,96.01,95.6,96.51,95.06,87730.0,8404656.4,9.25,0.91,1877.36,1870.04,1882.94,1867.88,20948993561.0,8943686146448.16
78,2017-06-07,96.3,95.8,96.49,94.89,429930.0,41209169.8,9.25,0.91,1870.69,1868.42,1889.45,1867.97,26889290070.0,8935917964755.87
79,2017-06-08,95.96,96.2,97.37,94.45,618110.0,59274773.6,9.25,0.91,1869.49,1874.21,1874.45,1851.63,33402130491.0,8963589595030.75
80,2017-06-09,96.74,100.45,101.8,95.89,267690.0,26073939.5,9.25,0.91,1873.26,1883.34,1888.92,1866.3,25386395503.0,9007286394121.9
81,2017-06-13,101.95,101.0,101.95,99.11,287200.0,28990396.8,9.25,0.91,,,,,,
82,2017-06-14,101.0,103.0,103.0,100.01,553940.0,56002252.1,9.25,0.91,,,,,,
83,2017-06-15,100.0,101.0,102.0,96.73,654440.0,65977384.4,9.25,1.16,,,,,,
84,2017-06-16,101.0,99.99,104.19,99.1,5114950.0,514185907.0,9.25,1.16,,,,,,
85,2017-06-19,100.5,100.98,100.98,97.32,128350.0,12706611.6,9.0,1.16,,,,,,
86,2017-06-20,101.6,98.48,101.6,97.21,73230.0,7218426.0,9.0,1.16,,,,,,
87,2017-06-21,99.9,102.0,102.0,97.9,406150.0,40714262.3,9.0,1.16,,,,,,
88,2017-06-22,101.0,99.65,101.0,99.01,11100.0,1108473.3,9.0,1.16,,,,,,
89,2017-06-23,99.65,98.95,100.0,98.92,93390.0,9302648.0,9.0,1.16,,,,,,
90,2017-06-26,99.3,98.99,100.0,98.12,228020.0,22710947.7,9.0,1.16,,,,,,
91,2017-06-27,97.01,96.75,99.84,96.75,254000.0,24869517.3,9.0,1.16,,,,,,
92,2017-06-28,98.33,97.88,99.25,97.5,161660.0,15872176.3,9.0,1.16,,,,,,
93,2017-06-29,97.93,94.01,97.94,92.02,218890.0,20915287.2,9.0,1.16,,,,,,
94,2017-06-30,94.01,93.99,95.89,91.11,71080.0,6640425.3,9.0,1.06,,,,,,
95,2017-07-03,94.41,93.71,94.41,92.0,45450.0,4233045.3,9.0,1.16,,,,,,
96,2017-07-04,94.2,92.0,94.2,91.52,231260.0,21338088.2,9.0,1.16,,,,,,
97,2017-07-05,92.0,89.4,92.35,88.34,121900.0,11021626.3,9.0,1.16,,,,,,
98,2017-07-06,89.99,90.9,91.88,89.6,207360.0,18748262.5,9.0,1.16,,,,,,
99,2017-07-07,89.61,92.0,92.99,89.6,190700.0,17439152.3,9.0,1.16,,,,,,
100,2017-07-10,91.99,93.35,93.35,91.56,42660.0,3962869.1,9.0,1.16,1912.76,1925.74,1928.1,1908.99,28979604237.0,8925191063861.25
101,2017-07-11,92.0,91.77,93.7,91.77,46900.0,4324383.9,9.0,1.16,1927.34,1937.64,1938.11,1919.19,28624181902.0,8980341601301.6
102,2017-07-12,91.67,91.7,92.89,91.66,70210.0,6476112.3,9.0,1.16,1938.36,1954.39,1957.02,1938.36,36305532786.0,9057959689705.89
103,2017-07-13,91.46,91.8,91.8,91.0,53530.0,4894555.0,9.0,1.16,1951.66,1959.91,1963.37,1946.61,36308674211.0,9083564670691.69
104,2017-07-14,89.43,90.0,90.32,88.84,247990.0,22305092.7,9.0,1.16,1959.86,1960.69,1967.6,1955.09,25452592793.0,9087185354841.05
105,2017-07-17,90.41,89.1,90.99,89.08,12980.0,1162413.7,9.0,1.16,1963.29,1959.11,1972.49,1949.55,26054621581.0,9079849380448.03
106,2017-07-18,89.26,86.88,89.26,86.88,54510.0,4789939.3,9.0,1.16,1956.56,1947.71,1966.86,1944.81,28468668592.0,9026988884555.76
107,2017-07-19,86.57,88.16,89.34,86.52,86270.0,7675198.6,9.0,1.16,1929.67,1951.89,1951.89,1925.7,29405243087.0,9046403215859.86
108,2017-07-20,88.6,89.98,90.49,88.6,76350.0,6855896.1,9.0,1.16,1952.1,1946.51,1959.33,1941.38,24831080038.0,9021454763696.39
109,2017-07-21,89.95,88.94,90.9,88.76,79680.0,7131446.9,9.0,1.16,1946.19,1925.13,1946.19,1921.0,24534471295.0,8922342347773.69
110,2017-07-24,89.4,89.8,91.46,89.4,161750.0,14573693.9,9.0,1.16,1921.52,1931.75,1934.25,1914.6,28107906199.0,8953048508028.97
111,2017-07-25,89.77,88.87,90.43,88.23,166520.0,14814037.0,9.0,1.16,1931.92,1923.73,1936.25,1913.24,29664231265.0,8915869030130.08
112,2017-07-26,89.38,88.86,89.72,88.5,516600.0,46218663.9,9.0,1.16,1928.13,1933.1,1938.56,1923.9,25183526803.0,8959307103584.41
113,2017-07-27,89.18,90.98,90.98,89.01,101280.0,9056806.2,9.0,1.16,1935.12,1945.12,1945.12,1935.12,25403119121.0,9015013036528.31
114,2017-07-28,90.9,89.97,90.9,88.57,79640.0,7184194.1,9.0,1.16,1940.79,1916.75,1940.79,1904.26,31617475393.0,8883508703961.21
115,2017-07-31,89.34,90.5,90.7,88.55,192080.0,17290181.0,9.0,1.07,1917.34,1919.53,1930.27,1904.56,32794752904.0,8896414417723.99
