,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,0.8035,0.8032,0.8035,0.8032,2000.0,0.0,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-10,0.8574,0.865,0.867,0.8574,400000.0,0.0,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
2,2014-06-11,0.8111,0.865,0.8699,0.8111,693000.0,599396.3,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
3,2014-06-16,0.8552,0.87,0.8701,0.8552,181000.0,756859.9,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
4,2014-06-17,0.9098,1.0,1.0998,0.8203,4532000.0,4423141.5,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
5,2014-06-18,1.0498,1.0,1.099,1.0,109000.0,4532538.2,7.5,0.1,1486.47,1494.28,1500.39,1484.51,33911920376.0,6737184533664.86
6,2014-06-19,0.9047,1.15,1.15,0.9047,5028000.0,5454409.7,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
7,2014-06-20,1.1006,1.1501,1.1746,1.1,1985000.0,2243570.9,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
8,2014-06-23,1.1103,1.2997,1.2999,1.1098,25951000.0,31096032.1,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
9,2014-06-24,1.3,1.24,1.3,1.2037,159000.0,0.0,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
10,2014-06-25,1.1022,1.17,1.23,1.1001,1168000.0,1421510.7,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
11,2014-06-26,1.2498,1.2,1.2498,1.1801,146000.0,0.0,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
12,2014-06-27,1.2,1.25,1.25,1.1998,3362000.0,4160532.2,7.5,0.1,1473.31,1477.32,1481.29,1467.94,24506324520.0,6660748008656.28
13,2014-06-30,1.2504,1.25,1.2504,1.1999,1781000.0,2221829.7,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
14,2014-07-01,1.2013,1.1989,1.2013,1.1503,82000.0,0.0,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
15,2014-07-02,1.2,1.1529,1.23,1.1529,4000.0,0.0,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
16,2014-07-03,1.1503,1.1505,1.1505,1.1503,2000.0,0.0,7.5,0.09,1514.66,1514.47,1522.21,1510.66,29541346787.0,6828240267478.4
17,2014-07-04,1.1499,0.979,1.15,0.979,81000.0,0.0,7.5,0.09,1515.53,1489.53,1516.36,1485.52,25432309583.0,6715772755003.5
18,2014-07-07,1.0401,1.09,1.1149,1.001,203000.0,0.0,7.5,0.1,1489.55,1513.72,1518.05,1484.27,26447591867.0,6824843528813.94
19,2014-07-08,1.0505,1.0501,1.0505,1.0501,30000.0,0.0,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
20,2014-07-09,1.0204,1.01,1.0204,1.01,428000.0,0.0,7.5,0.09,1516.29,1513.38,1518.6,1496.79,28433619876.0,6823335238301.22
21,2014-07-10,0.98,0.99,1.0,0.98,83000.0,515003.0,7.5,0.09,1513.37,1494.92,1521.88,1480.26,40593712934.0,6740109174597.83
22,2014-07-11,0.96,1.0,1.0,0.96,37000.0,0.0,7.5,0.09,1495.01,1499.82,1502.23,1488.84,27280591834.0,6762191289526.07
23,2014-07-14,1.1489,0.9701,1.3579,0.9701,128000.0,0.0,7.5,0.09,1500.29,1483.41,1502.68,1482.63,25874350380.0,6688204369898.62
24,2014-07-15,0.9772,0.9772,0.9772,0.9772,10000.0,0.0,7.5,0.09,1482.23,1475.77,1487.49,1471.95,31348119170.0,6653730932218.92
25,2014-07-16,0.9734,0.9701,0.9734,0.9701,21000.0,0.0,7.5,0.09,1475.68,1474.72,1482.6,1459.08,31471423221.0,6649014803543.48
26,2014-07-17,0.9681,0.825,0.9681,0.825,40000.0,0.0,7.5,0.09,1470.83,1440.63,1470.83,1429.08,46983315494.0,6495297231665.95
27,2014-07-18,0.8701,0.83,0.8701,0.82,118000.0,0.0,7.5,0.09,1440.54,1422.53,1440.54,1410.48,40033266979.0,6413710020809.31
28,2014-07-21,0.8301,0.8898,0.8983,0.7998,375000.0,0.0,7.5,0.1,1422.53,1384.5,1424.64,1384.5,39527909818.0,6242240077462.93
29,2014-07-22,0.9003,0.9,0.9185,0.9,654000.0,588902.2,7.5,0.09,1386.14,1405.97,1414.21,1386.14,35820774896.0,6339040079280.09
30,2014-07-23,0.9,0.9002,0.915,0.9,1202000.0,1679702.3,7.5,0.09,1406.5,1406.58,1421.56,1395.74,29647055743.0,6341809496909.95
31,2014-07-24,0.9498,1.0,1.0,0.9356,3158000.0,3152007.9,7.5,0.09,1405.58,1408.8,1410.75,1394.04,25372742027.0,6351783470052.68
32,2014-07-25,0.9507,0.9999,1.0,0.95,1099000.0,1060446.2,7.5,0.09,1408.19,1388.41,1408.19,1386.14,29628586311.0,6259875281029.59
33,2014-07-28,0.9999,0.999,1.0,0.9923,103000.0,1163434.3,8.0,0.09,1387.12,1361.94,1387.14,1357.03,30461885017.0,6140507803885.11
34,2014-07-29,0.9904,0.99,0.9904,0.99,226000.0,0.0,8.0,0.09,1361.22,1369.83,1380.29,1356.62,35280719684.0,6176106230122.06
35,2014-07-30,0.9003,0.985,0.99,0.9003,1301000.0,1609644.4,8.0,0.09,1368.72,1382.14,1403.6,1359.65,40179117327.0,6231580896817.33
36,2014-07-31,0.9004,0.985,0.9851,0.9004,151000.0,1655307.7,8.0,0.08,1383.04,1379.61,1399.12,1376.48,29121177754.0,6220179585134.02
37,2014-08-01,0.983,0.9831,0.9831,0.983,6000.0,0.0,8.0,0.09,1378.03,1374.83,1378.1,1358.11,33134471815.0,6198666221991.83
38,2014-08-04,0.9999,0.985,1.0,0.985,570000.0,724249.7,8.0,0.09,1375.73,1378.98,1386.43,1365.01,26195753576.0,6217358216917.08
39,2014-08-05,0.999,0.999,0.999,0.999,200000.0,2206950.0,8.0,0.09,1379.5,1357.89,1383.36,1356.2,26258554225.0,6122263369324.38
40,2014-08-06,0.9833,0.9833,0.9833,0.9831,155000.0,921905.7,8.0,0.09,1357.33,1334.66,1362.22,1333.37,44555802086.0,6017513533119.65
41,2014-08-07,0.9901,0.99,0.9901,0.99,254000.0,0.0,8.0,0.09,1333.39,1333.53,1340.84,1306.8,46389687389.0,6012422895099.08
42,2014-08-08,0.917,0.9999,0.9999,0.9006,1018000.0,1016925.0,8.0,0.09,1332.26,1348.21,1360.49,1329.1,34479528820.0,6078629580593.59
43,2014-08-11,0.95,0.98,0.98,0.9,249000.0,0.0,8.0,0.09,1350.42,1372.45,1379.22,1350.42,31225367926.0,6187929554027.43
44,2014-08-12,0.97,0.99,1.0,0.97,162000.0,0.0,8.0,0.09,1372.94,1374.19,1386.2,1368.1,30027011620.0,6195754643005.9
45,2014-08-14,0.9502,0.95,0.9502,0.95,11000.0,0.0,8.0,0.09,1399.07,1407.53,1412.88,1391.65,32917275901.0,6346061682927.05
46,2014-08-15,0.92,0.93,0.93,0.9004,9000.0,0.0,8.0,0.09,1407.57,1417.82,1425.76,1400.7,26772144978.0,6392466871442.37
47,2014-08-19,0.9301,0.9801,0.9801,0.93,26000.0,0.0,8.0,0.09,1425.18,1437.6,1441.42,1425.18,25673186641.0,6481651396810.93
48,2014-08-20,0.975,0.95,0.975,0.95,203000.0,0.0,8.0,0.09,1437.58,1447.5,1447.5,1432.63,25728795150.0,6526296901006.62
49,2014-08-21,0.98,0.98,0.98,0.98,25000.0,0.0,8.0,0.09,1447.12,1461.75,1469.44,1445.48,28439597629.0,6590528216157.51
50,2014-08-22,0.9271,0.9006,0.978,0.9006,298000.0,0.0,8.0,0.09,1461.79,1446.6,1463.71,1434.09,28861993115.0,6522253115433.8
51,2014-08-25,0.97,0.975,0.99,0.97,380000.0,0.0,8.0,0.09,1446.86,1454.67,1456.72,1446.09,17577741392.0,6558630723741.41
52,2014-08-26,0.9901,0.9903,0.9903,0.9901,169000.0,539139.3,8.0,0.09,1454.47,1443.32,1460.0,1441.42,19706721633.0,6507455779142.91
53,2014-08-27,0.9799,0.98,0.9801,0.9798,828000.0,811433.8,8.0,0.09,1444.28,1447.91,1454.96,1444.28,19549941365.0,6528156723375.32
54,2014-08-28,0.9899,0.99,0.99,0.9899,100000.0,910433.7,8.0,0.09,1447.54,1423.78,1447.76,1414.18,43849484690.0,6419337314027.56
55,2014-08-29,0.9507,0.98,0.98,0.95,366000.0,0.0,8.0,0.07,1423.56,1400.71,1428.72,1400.44,34660154972.0,6315320939623.29
56,2014-09-01,0.96,0.96,0.96,0.96,203000.0,544745.9,8.0,0.07,1401.34,1392.4,1419.9,1389.77,34518068575.0,6277859256745.77
57,2014-09-02,0.9503,0.95,0.9503,0.95,101000.0,0.0,8.0,0.09,1392.27,1400.35,1401.68,1386.31,20818865093.0,6313723045613.47
58,2014-09-04,0.98,0.98,0.98,0.98,168000.0,805339.3,8.0,0.09,1449.51,1457.34,1462.03,1439.38,34234449476.0,6570639817053.64
59,2014-09-08,0.98,0.98,0.98,0.98,1000.0,0.0,8.0,0.09,1474.38,1464.76,1478.26,1460.85,26433491805.0,6604117625006.14
60,2014-09-09,0.9998,0.9999,0.9999,0.9998,1000000.0,2716652.9,8.0,0.09,1465.13,1468.17,1479.64,1465.13,22936789195.0,6619470791030.01
61,2014-09-10,0.9999,0.9999,1.0,0.95,612000.0,606926.3,8.0,0.09,1466.99,1468.55,1472.23,1456.21,19594281049.0,6621186609667.49
62,2014-09-11,0.9502,0.9998,0.9998,0.9501,220000.0,0.0,8.0,0.09,1469.4,1449.63,1479.05,1449.1,30806370159.0,6535893707699.45
63,2014-09-15,0.9799,0.97,0.98,0.9699,2567000.0,2500999.9,8.0,0.09,1457.87,1454.19,1466.43,1441.26,36468665661.0,6556462216365.1
64,2014-09-16,0.97,0.97,0.97,0.955,2648000.0,5051241.2,8.0,0.09,1454.13,1477.31,1483.66,1451.21,34534659889.0,7036330612381.47
65,2014-09-17,0.9001,0.96,0.99,0.8639,605000.0,585402.6,8.0,0.09,1477.09,1449.37,1477.09,1437.73,43639537600.0,6903283783164.72
66,2014-09-18,0.9201,0.9701,0.9701,0.9004,52000.0,0.0,8.0,0.09,1449.37,1448.63,1460.13,1443.75,26613627505.0,6899755307298.78
67,2014-09-19,0.9169,0.965,0.965,0.9169,244000.0,0.0,8.0,0.09,1448.19,1431.58,1454.16,1423.44,41661321148.0,6818524090027.49
68,2014-09-22,0.9998,1.0,1.0,0.985,1094000.0,1329106.6,8.0,0.09,1431.12,1412.83,1436.21,1412.83,24222806047.0,6729253251808.7
69,2014-09-23,1.0,0.9779,1.0,0.9779,745000.0,1838632.5,8.0,0.09,1413.57,1429.45,1432.37,1413.49,25653683539.0,6808383919755.99
70,2014-09-24,0.9251,0.987,1.0,0.9251,1035000.0,1026385.1,8.0,0.09,,,,,,
71,2014-09-25,0.9751,1.0,1.0,0.975,212000.0,1235573.6,8.0,0.09,,,,,,
72,2014-09-26,0.9701,0.9702,1.0,0.9701,261000.0,0.0,8.0,0.09,,,,,,
73,2014-09-29,0.9269,1.0,1.0,0.9269,402000.0,662489.7,8.0,0.08,,,,,,
74,2014-09-30,0.9999,1.0,1.0001,0.9999,651000.0,1052822.5,8.0,0.07,,,,,,
75,2014-10-01,0.931,0.921,0.931,0.921,3000.0,653767.2,8.0,0.09,,,,,,
76,2014-10-02,0.966,0.966,0.984,0.965,839000.0,812500.0,8.0,0.09,,,,,,
77,2014-10-03,0.995,0.995,0.995,0.995,100000.0,909227.0,8.0,0.09,,,,,,
78,2014-10-06,0.997,0.995,1.006,0.994,3083000.0,3075843.0,8.0,0.09,,,,,,
79,2014-10-07,0.998,1.05,1.05,0.996,2843000.0,2845260.0,8.0,0.09,,,,,,
80,2014-10-08,1.068,1.056,1.1,1.056,373000.0,0.0,8.0,0.09,,,,,,
81,2014-10-09,1.097,1.098,1.098,1.03,2184000.0,2296375.0,8.0,0.08,,,,,,
82,2014-10-10,1.014,1.01,1.05,0.966,8857000.0,8992992.0,8.0,0.09,,,,,,
83,2014-10-13,0.98,1.098,1.099,0.98,1261000.0,1317980.0,8.0,0.09,,,,,,
84,2014-10-14,1.098,1.1,1.1,1.022,498000.0,545703.0,8.0,0.09,,,,,,
85,2014-10-15,1.007,1.04,1.094,1.007,124000.0,0.0,8.0,0.09,,,,,,
86,2014-10-16,1.016,1.02,1.02,1.01,8000.0,0.0,8.0,0.09,,,,,,
87,2014-10-17,1.029,1.031,1.149,1.029,553000.0,596822.0,8.0,0.09,,,,,,
88,2014-10-20,1.021,1.021,1.021,1.021,45000.0,642767.0,8.0,0.09,,,,,,
