,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2020-07-23,9.0,9.08,9.78,8.04,2712330.0,24013187.6,4.5,0.09,2848.41,2851.79,2866.78,2843.93,55384618689.1,12142451480200.0
1,2020-07-24,9.12,8.9,9.66,8.74,1265590.0,11518769.0,4.5,0.09,2835.15,2863.12,2863.12,2822.26,59473274345.9,12190686646800.0
2,2020-07-27,8.74,8.82,9.3,8.52,318240.0,2797633.6,4.25,0.1,2869.69,2884.88,2896.28,2869.69,65271567734.1,12283343857400.0
3,2020-07-28,8.82,8.64,8.82,8.6,111850.0,969483.6,4.25,0.1,2891.34,2895.45,2907.03,2877.4,60720735494.2,12328368835600.0
4,2020-07-29,8.5,8.54,8.64,8.24,169260.0,1429225.0,4.25,0.1,2893.54,2918.42,2918.42,2889.69,65283344648.7,12426158517600.0
5,2020-07-30,8.54,8.6,9.2,8.38,153250.0,1340355.2,4.25,0.1,2915.94,2882.63,2919.35,2869.99,58998044298.8,12273765898200.0
6,2020-07-31,8.62,8.38,8.62,8.36,139560.0,1181974.4,4.25,0.1,2902.81,2911.57,2917.69,2899.58,61904395534.6,12396982814400.0
7,2020-08-03,8.26,8.36,8.58,8.26,24590.0,0.0,4.25,0.1,2917.68,2929.97,2942.77,2911.19,61064409540.7,12475331245800.0
8,2020-08-04,8.3,8.36,8.44,8.3,33240.0,0.0,4.25,0.1,2934.91,2940.46,2942.06,2923.36,53379189529.8,12520025816500.0
9,2020-08-05,8.28,8.3,8.3,8.0,45930.0,0.0,4.25,0.1,2954.41,2992.78,2994.08,2952.15,88713978904.1,12742787156500.0
10,2020-08-06,8.5,8.38,8.5,8.12,719720.0,5850036.2,4.25,0.1,2998.53,2988.5,3004.83,2981.79,58301984562.2,12724548973000.0
11,2020-08-07,8.38,8.3,8.38,8.2,32720.0,0.0,4.25,0.1,2992.26,2972.35,2994.46,2968.48,56258864420.2,12655770550400.0
