,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2023-03-29,0.5844,0.578,0.5844,0.5746,46962000.0,27123294.2,7.5,4.83,2449.96,2460.87,2468.48,2437.52,45339433902.8,8407099977253.9375
1,2023-03-30,0.5818,0.5786,0.5818,0.5644,42819000.0,24588504.0,7.5,4.83,2458.06,2465.93,2467.97,2450.46,29588518563.9,8424380969518.016
2,2023-03-31,0.5758,0.5728,0.5802,0.568,40085000.0,22954267.2,7.5,4.83,2470.12,2450.67,2472.53,2424.45,49152762590.45,8372244778665.914
3,2023-04-03,0.5728,0.573,0.575,0.5702,21679000.0,12413827.0,7.5,4.83,2474.37,2473.32,2482.54,2463.0,48168034560.8,8449627938621.639
4,2023-04-04,0.5728,0.5736,0.585,0.572,40381000.0,23370760.0,7.5,4.83,2483.47,2480.45,2511.49,2479.24,61460346597.1,8474001632745.146
5,2023-04-05,0.5738,0.5944,0.6172,0.5696,193028000.0,114782404.4,7.5,4.83,2489.18,2500.8,2500.8,2465.77,46265010869.7,8543521770824.511
6,2023-04-06,0.5948,0.614,0.615,0.594,149024000.0,90450120.4,7.5,4.83,2504.06,2498.3,2521.81,2498.3,43371731593.55,8534971155098.495
7,2023-04-07,0.616,0.6094,0.6298,0.5984,250618000.0,153765039.6,7.5,4.83,2504.04,2508.39,2511.95,2491.37,28962641538.35,8569461305478.541
8,2023-04-10,0.6124,0.634,0.657,0.6068,512094000.0,326983107.0,7.5,4.83,2523.2,2547.35,2548.41,2523.2,51000274967.7,8702556348712.406
9,2023-04-11,0.634,0.6066,0.6528,0.6,143729000.0,89433134.0,7.5,4.83,2560.04,2533.69,2577.51,2515.83,82411991848.0,8655864737269.311
10,2023-04-12,0.6066,0.6096,0.615,0.6002,62651000.0,38147101.2,7.5,4.83,2538.62,2538.47,2554.77,2520.65,39292795917.3,8672197132884.994
11,2023-04-13,0.614,0.5814,0.6388,0.58,619246000.0,373599707.2,7.5,4.83,2546.98,2544.28,2557.58,2528.06,31298785613.0,8692051960940.603
12,2023-04-14,0.5808,0.577,0.5948,0.565,526166000.0,303547740.8,7.5,4.83,2546.93,2554.85,2554.85,2532.39,33758690384.55,8728164435667.444
