,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2020-02-20,755.1,814.0,1000.0,755.1,5552.0,4738171.3,6.0,1.59,3120.51,3125.1,3139.59,3117.5,56336963229.2,12098867293300.0
1,2020-02-21,849.9,800.0,873.8,799.0,5769.0,4739039.3,6.0,1.58,3109.86,3106.03,3129.24,3098.76,47793664891.6,12025053202200.0
2,2020-02-25,799.9,763.2,799.9,760.0,2812.0,2190671.9,6.0,1.58,3058.33,3002.68,3073.27,3002.68,86905007828.9,11624931746200.0
3,2020-02-26,765.1,755.0,765.1,731.3,5149.0,3845026.5,6.0,1.58,2994.22,3017.42,3026.26,2958.46,107095974265.0,11681972414100.0
4,2020-02-27,740.5,736.3,758.9,736.3,1967.0,1472132.1,6.0,1.58,2989.18,2915.84,3002.2,2910.46,102823638357.0,11288708161500.0
5,2020-02-28,725.0,721.0,743.9,693.1,4766.0,3448134.4,6.0,1.58,2850.11,2785.08,2855.32,2744.18,184649721743.0,10782483705800.0
6,2020-03-02,739.6,731.0,739.7,716.2,4377.0,3181306.3,6.0,1.59,2829.47,2765.77,2875.3,2714.36,144560659500.0,10707700592500.0
7,2020-03-03,779.0,739.7,779.0,722.3,2004.0,1494711.3,6.0,1.59,2817.58,2821.37,2844.04,2789.76,106771162096.0,10922957371600.0
8,2020-03-04,740.0,736.0,745.0,723.7,799.0,586116.7,6.0,1.09,2799.18,2828.01,2841.13,2779.85,82510191731.6,10948669931200.0
9,2020-03-05,731.2,720.3,747.9,719.0,1597.0,1154658.9,6.0,1.09,2852.42,2816.7,2861.6,2800.43,80567170588.4,10904884541000.0
10,2020-03-06,724.0,679.9,724.0,655.8,5244.0,3565450.7,6.0,1.09,2773.53,2719.51,2782.77,2680.06,139178454930.0,10528633661300.0
11,2020-03-10,607.6,636.0,668.0,590.5,6515.0,4067032.8,6.0,1.09,2502.7,2498.94,2661.63,2435.62,248732636475.0,9674675754330.0
12,2020-03-11,640.0,641.4,669.0,620.0,1074.0,685704.8,6.0,1.09,2532.72,2492.88,2555.43,2457.36,141024833349.0,9651236799640.0
13,2020-03-12,610.1,582.0,640.0,525.0,9107.0,5225867.0,6.0,1.1,2413.02,2286.4,2413.02,2277.58,173022073298.0,8851814576120.0
14,2020-03-13,570.0,589.9,629.0,518.3,4936.0,2842659.8,6.0,1.1,2277.66,2316.38,2418.15,2275.16,184469011805.0,8967907875720.0
15,2020-03-16,580.0,566.6,589.9,531.4,3107.0,1770462.3,6.0,0.25,2297.04,2266.9,2301.19,2179.12,140704172457.0,8776329656490.0
16,2020-03-17,565.0,566.3,593.9,541.0,4909.0,2723051.4,6.0,0.25,2263.62,2224.74,2313.34,2172.46,133391091136.0,8613114955590.0
17,2020-03-18,535.2,540.8,584.6,529.9,7489.0,4077430.5,6.0,0.25,2192.79,2112.64,2205.41,2097.84,128603185153.0,8179111076530.0
18,2020-03-19,549.8,542.3,550.0,526.1,2722.0,1462894.5,6.0,0.2,2134.43,2275.7,2288.09,2073.87,160372894970.0,8810386324650.0
19,2020-03-20,544.9,564.6,579.9,544.9,18319.0,10320499.8,6.0,0.15,2327.27,2331.61,2418.74,2314.75,180698187232.0,9426351662280.0
20,2020-03-23,590.0,560.2,590.0,527.1,10228.0,5707197.8,6.0,0.15,2257.88,2253.35,2321.76,2213.49,128506565950.0,9109960046300.0
21,2020-03-24,578.9,580.0,582.0,557.6,14447.0,8195936.2,6.0,0.12,2349.47,2415.97,2435.27,2341.21,126199238953.0,9767416679630.0
22,2020-03-25,589.0,590.0,668.9,538.0,43429.0,25662992.3,6.0,0.1,2459.3,2452.69,2518.38,2372.34,170179806339.0,9915854293970.0
23,2020-03-26,620.0,581.7,620.0,560.0,8881.0,5192071.0,6.0,0.1,2448.76,2489.97,2514.92,2403.6,109485216806.0,10066576879400.0
24,2020-03-27,571.0,561.7,577.0,560.0,14788.0,8424391.0,6.0,0.1,2491.7,2401.11,2498.33,2378.88,95057170139.4,9707327830820.0
25,2020-03-30,564.0,553.0,564.0,548.6,18208.0,10072630.6,6.0,0.09,2377.21,2433.35,2435.53,2357.53,83128100470.5,9837652273720.0
26,2020-03-31,556.0,552.2,556.0,545.6,25988.0,14300681.7,6.0,0.08,2466.28,2508.81,2526.13,2459.19,113755975000.0,10142726432400.0
27,2020-04-01,550.0,551.9,552.1,548.0,33513.0,18449894.8,6.0,0.06,2465.56,2473.61,2491.66,2449.01,80256140704.1,10000454450100.0
28,2020-04-02,557.0,550.5,557.0,530.0,26439.0,14524358.7,6.0,0.05,2528.72,2545.95,2562.54,2470.85,134240120328.0,10292878529100.0
29,2020-04-03,549.1,548.0,551.5,545.9,62079.0,34040065.7,6.0,0.05,2547.15,2572.23,2609.16,2533.06,117108960828.0,10399161366900.0
30,2020-04-06,548.2,550.7,553.1,548.2,41318.0,22710633.4,6.0,0.05,2597.28,2622.59,2639.56,2576.28,89823141209.1,10602751250400.0
31,2020-04-07,551.9,555.7,558.9,551.0,55287.0,30699752.3,6.0,0.05,2648.74,2634.74,2688.67,2612.96,120867694592.0,10651857854700.0
32,2020-04-08,559.9,568.8,569.9,553.5,39116.0,21752419.6,6.0,0.05,2617.66,2670.12,2670.12,2603.99,83665607709.9,10794890674300.0
33,2020-04-09,569.8,559.7,569.8,554.5,43993.0,24517938.0,6.0,0.05,2693.58,2701.77,2713.5,2643.98,117023415634.0,10922841280700.0
34,2020-04-10,564.8,553.8,565.0,551.0,17097.0,9556153.8,6.0,0.05,2678.3,2677.86,2680.89,2656.45,36513692244.2,10826204813000.0
