,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2020-02-03,149.2,146.0,150.0,145.88,118040.0,17501625.2,6.25,1.59,3062.27,3070.84,3085.89,3058.48,83477701053.6,11888798007700.0
1,2020-02-04,150.0,145.46,150.0,145.3,157920.0,23063643.0,6.25,1.59,3082.2,3097.6,3105.98,3071.79,83817081711.8,11992418118300.0
2,2020-02-05,145.86,143.0,145.86,142.1,86060.0,12361716.0,6.25,1.59,3105.52,3114.25,3137.97,3083.26,89542515839.9,12056855278700.0
3,2020-02-06,143.6,143.0,143.6,95.0,45920.0,6521035.2,6.25,1.59,3132.84,3096.68,3145.15,3086.91,68274902779.6,11988854663000.0
4,2020-02-07,143.0,142.92,143.0,140.26,66210.0,9358514.8,6.25,1.58,3101.08,3087.63,3108.28,3056.85,72646728795.6,11953814718000.0
5,2020-02-10,145.0,141.38,145.0,140.38,22270.0,3160338.4,6.0,1.58,3088.63,3062.41,3092.93,3049.33,66051446947.9,11856148534000.0
6,2020-02-11,141.9,139.26,142.42,139.26,40150.0,5652160.4,6.0,1.58,3072.39,3097.58,3109.22,3069.9,91556273983.0,11992310086300.0
7,2020-02-12,140.38,142.0,142.02,139.9,110420.0,15594817.8,6.0,1.58,3103.81,3122.27,3122.27,3095.7,83872830883.3,12087911548200.0
8,2020-02-13,141.22,142.7,143.32,140.92,22390.0,3185240.4,6.0,1.58,3116.99,3110.05,3122.19,3096.98,63560227880.1,12040584793800.0
9,2020-02-14,143.72,143.0,143.72,140.98,101860.0,14437118.2,6.0,1.58,3113.72,3096.88,3120.89,3084.57,51397252517.1,11989607049300.0
10,2020-02-17,143.0,139.96,143.5,139.02,259270.0,36519370.2,6.0,1.58,3097.18,3110.06,3110.06,3092.45,36147422394.8,12040624318200.0
11,2020-02-18,139.88,139.48,140.2,139.48,126720.0,17728612.6,6.0,1.59,3103.71,3074.05,3104.42,3064.15,57353551341.9,11901240926300.0
12,2020-02-19,139.38,140.16,140.8,139.0,136050.0,19071708.4,6.0,1.59,3089.09,3114.57,3117.84,3086.41,55406709715.5,12058086767000.0
13,2020-02-20,140.5,140.02,140.82,139.52,164040.0,23036164.6,6.0,1.59,3120.51,3125.1,3139.59,3117.5,56336963229.2,12098867293300.0
14,2020-02-21,140.5,139.8,140.8,139.52,139000.0,19470813.8,6.0,1.58,3109.86,3106.03,3129.24,3098.76,47793664891.6,12025053202200.0
15,2020-02-25,139.0,138.1,140.0,138.0,152140.0,21144259.2,6.0,1.58,3058.33,3002.68,3073.27,3002.68,86905007828.9,11624931746200.0
16,2020-02-26,140.42,134.58,140.42,134.4,187990.0,25435746.8,6.0,1.58,2994.22,3017.42,3026.26,2958.46,107095974265.0,11681972414100.0
17,2020-02-27,135.74,131.22,135.74,131.08,166950.0,22280279.0,6.0,1.58,2989.18,2915.84,3002.2,2910.46,102823638357.0,11288708161500.0
18,2020-02-28,131.02,125.0,131.22,124.04,144010.0,18242594.8,6.0,1.58,2850.11,2785.08,2855.32,2744.18,184649721743.0,10782483705800.0
19,2020-03-02,125.46,123.48,131.0,122.9,263230.0,32923791.6,6.0,1.59,2829.47,2765.77,2875.3,2714.36,144560659500.0,10707700592500.0
20,2020-03-03,125.0,124.0,130.5,121.7,224160.0,27504123.6,6.0,1.59,2817.58,2821.37,2844.04,2789.76,106771162096.0,10922957371600.0
21,2020-03-04,123.02,121.48,123.7,120.3,211130.0,25657341.8,6.0,1.09,2799.18,2828.01,2841.13,2779.85,82510191731.6,10948669931200.0
22,2020-03-05,122.0,121.9,123.8,120.04,218420.0,26443048.6,6.0,1.09,2852.42,2816.7,2861.6,2800.43,80567170588.4,10904884541000.0
23,2020-03-06,120.86,118.36,121.5,117.4,195420.0,23179894.8,6.0,1.09,2773.53,2719.51,2782.77,2680.06,139178454930.0,10528633661300.0
24,2020-03-10,110.0,117.5,118.0,106.6,176490.0,20188940.6,6.0,1.09,2502.7,2498.94,2661.63,2435.62,248732636475.0,9674675754330.0
25,2020-03-11,118.34,116.0,118.34,114.0,183480.0,21075005.2,6.0,1.09,2532.72,2492.88,2555.43,2457.36,141024833349.0,9651236799640.0
26,2020-03-12,113.6,103.12,113.6,102.62,301050.0,32540703.6,6.0,1.1,2413.02,2286.4,2413.02,2277.58,173022073298.0,8851814576120.0
27,2020-03-13,101.54,100.48,106.72,99.54,254225.0,26692859.4,6.0,1.1,2277.66,2316.38,2418.15,2275.16,184469011805.0,8967907875720.0
28,2020-03-16,100.6,96.96,100.76,96.0,115578.0,11410746.42,6.0,0.25,2297.04,2266.9,2301.19,2179.12,140704172457.0,8776329656490.0
29,2020-03-17,97.52,89.3,97.52,87.5,292774.0,26873195.84,6.0,0.25,2263.62,2224.74,2313.34,2172.46,133391091136.0,8613114955590.0
30,2020-03-18,85.7,77.8,87.98,73.84,1021063.0,81296040.56,6.0,0.25,2192.79,2112.64,2205.41,2097.84,128603185153.0,8179111076530.0
31,2020-03-19,81.62,85.28,85.28,76.02,1757078.0,141711907.02,6.0,0.2,2134.43,2275.7,2288.09,2073.87,160372894970.0,8810386324650.0
32,2020-03-20,87.0,92.6,95.92,76.8,681802.0,62178035.98,6.0,0.15,2327.27,2331.61,2418.74,2314.75,180698187232.0,9426351662280.0
