,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,0.05945,0.05968,0.06115,0.05945,3624980000.0,217846308.6,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-10,0.05967,0.05965,0.06014,0.05951,3298900000.0,197381028.4,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
2,2014-06-11,0.0596,0.06015,0.0611,0.05933,5055990000.0,304239820.4,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
3,2014-06-16,0.05998,0.0592,0.06002,0.05891,4395110000.0,260489868.2,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
4,2014-06-17,0.0594,0.05808,0.05985,0.05807,3746530000.0,220319282.3,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
5,2014-06-18,0.0585,0.05875,0.0593,0.05814,5270550000.0,309449543.2,7.5,0.1,1486.47,1494.28,1500.39,1484.51,33911920376.0,6737184533664.86
6,2014-06-19,0.05922,0.059,0.0597,0.05889,4480050000.0,265307033.2,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
7,2014-06-20,0.05952,0.05725,0.05952,0.05725,5107330000.0,298686723.4,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
8,2014-06-23,0.058,0.0583,0.0584,0.05755,3247370000.0,188217762.6,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
9,2014-06-24,0.05869,0.05982,0.05988,0.0584,4284700000.0,253879879.2,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
10,2014-06-25,0.059,0.05919,0.0596,0.05865,3029350000.0,178271014.7,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
11,2014-06-26,0.05921,0.0598,0.06006,0.05897,4491260000.0,267363607.9,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
12,2014-06-27,0.0599,0.059,0.05995,0.0587,2025570000.0,119883787.0,7.5,0.1,1473.31,1477.32,1481.29,1467.94,24506324520.0,6660748008656.28
13,2014-06-30,0.05912,0.05886,0.05947,0.0581,1848470000.0,108854617.6,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
14,2014-07-01,0.05934,0.05895,0.05934,0.05809,1726200000.0,101289487.9,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
15,2014-07-02,0.05978,0.05954,0.05978,0.05866,2972800000.0,176186251.5,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
16,2014-07-03,0.05961,0.06097,0.06149,0.05952,6462680000.0,392625130.8,7.5,0.09,1514.66,1514.47,1522.21,1510.66,29541346787.0,6828240267478.4
17,2014-07-04,0.06104,0.05929,0.06165,0.05921,3779560000.0,228037700.0,7.5,0.09,1515.53,1489.53,1516.36,1485.52,25432309583.0,6715772755003.5
18,2014-07-07,0.05928,0.06024,0.06029,0.05861,2078820000.0,123949200.2,7.5,0.1,1489.55,1513.72,1518.05,1484.27,26447591867.0,6824843528813.94
19,2014-07-08,0.06025,0.05913,0.06067,0.05879,3279760000.0,196032715.4,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
20,2014-07-09,0.05898,0.05882,0.05963,0.05815,2790660000.0,164400965.6,7.5,0.09,1516.29,1513.38,1518.6,1496.79,28433619876.0,6823335238301.22
21,2014-07-10,0.059,0.05766,0.0596,0.0575,3720100000.0,217471615.3,7.5,0.09,1513.37,1494.92,1521.88,1480.26,40593712934.0,6740109174597.83
22,2014-07-11,0.05786,0.05837,0.05844,0.05753,2048850000.0,118832006.2,7.5,0.09,1495.01,1499.82,1502.23,1488.84,27280591834.0,6762191289526.07
23,2014-07-14,0.05834,0.05797,0.05889,0.05752,2328320000.0,134946030.2,7.5,0.09,1500.29,1483.41,1502.68,1482.63,25874350380.0,6688204369898.62
24,2014-07-15,0.05799,0.05724,0.05819,0.05702,2352710000.0,134945123.0,7.5,0.09,1482.23,1475.77,1487.49,1471.95,31348119170.0,6653730932218.92
25,2014-07-16,0.05726,0.05706,0.05799,0.05706,2133670000.0,122744249.3,7.5,0.09,1475.68,1474.72,1482.6,1459.08,31471423221.0,6649014803543.48
26,2014-07-17,0.05689,0.05608,0.05689,0.0551,3296710000.0,183548721.7,7.5,0.09,1470.83,1440.63,1470.83,1429.08,46983315494.0,6495297231665.95
27,2014-07-18,0.05502,0.05451,0.05538,0.0538,3742570000.0,203504842.7,7.5,0.09,1440.54,1422.53,1440.54,1410.48,40033266979.0,6413710020809.31
28,2014-07-21,0.05432,0.05413,0.05532,0.05372,3864640000.0,209846131.6,7.5,0.1,1422.53,1384.5,1424.64,1384.5,39527909818.0,6242240077462.93
29,2014-07-22,0.0546,0.05481,0.05521,0.05433,2301010000.0,125956455.5,7.5,0.09,1386.14,1405.97,1414.21,1386.14,35820774896.0,6339040079280.09
30,2014-07-23,0.05494,0.05428,0.0555,0.05303,4908350000.0,264558236.7,7.5,0.09,1406.5,1406.58,1421.56,1395.74,29647055743.0,6341809496909.95
31,2014-07-24,0.054,0.0536,0.0542,0.053,1595250000.0,85184038.3,7.5,0.09,1405.58,1408.8,1410.75,1394.04,25372742027.0,6351783470052.68
32,2014-07-25,0.05312,0.0534,0.05454,0.05312,2983580000.0,160284765.5,7.5,0.09,1408.19,1388.41,1408.19,1386.14,29628586311.0,6259875281029.59
33,2014-07-28,0.053,0.05143,0.05337,0.05116,3563310000.0,184073698.7,8.0,0.09,1387.12,1361.94,1387.14,1357.03,30461885017.0,6140507803885.11
34,2014-07-29,0.05195,0.0518,0.0526,0.0508,4343400000.0,225292300.7,8.0,0.09,1361.22,1369.83,1380.29,1356.62,35280719684.0,6176106230122.06
35,2014-07-30,0.05155,0.05284,0.05317,0.051,2609030000.0,137120570.8,8.0,0.09,1368.72,1382.14,1403.6,1359.65,40179117327.0,6231580896817.33
36,2014-07-31,0.05289,0.05259,0.0535,0.05225,1814720000.0,95926156.6,8.0,0.08,1383.04,1379.61,1399.12,1376.48,29121177754.0,6220179585134.02
37,2014-08-01,0.05229,0.05379,0.05397,0.05213,2622770000.0,138536234.3,8.0,0.09,1378.03,1374.83,1378.1,1358.11,33134471815.0,6198666221991.83
38,2014-08-04,0.05379,0.055,0.05546,0.05376,3866230000.0,211780367.6,8.0,0.09,1375.73,1378.98,1386.43,1365.01,26195753576.0,6217358216917.08
39,2014-08-05,0.05511,0.05437,0.05554,0.05344,2424860000.0,131145520.4,8.0,0.09,1379.5,1357.89,1383.36,1356.2,26258554225.0,6122263369324.38
40,2014-08-06,0.05401,0.05302,0.05438,0.05275,2156440000.0,115228623.8,8.0,0.09,1357.33,1334.66,1362.22,1333.37,44555802086.0,6017513533119.65
41,2014-08-07,0.05427,0.05221,0.05427,0.05081,3562510000.0,185173984.7,8.0,0.09,1333.39,1333.53,1340.84,1306.8,46389687389.0,6012422895099.08
42,2014-08-08,0.05226,0.05333,0.05383,0.05187,3372530000.0,178209701.9,8.0,0.09,1332.26,1348.21,1360.49,1329.1,34479528820.0,6078629580593.59
43,2014-08-11,0.05448,0.05411,0.0549,0.05377,1376840000.0,73746045.1,8.0,0.09,1350.42,1372.45,1379.22,1350.42,31225367926.0,6187929554027.43
44,2014-08-12,0.05469,0.05381,0.05469,0.05341,1557820000.0,83647802.7,8.0,0.09,1372.94,1374.19,1386.2,1368.1,30027011620.0,6195754643005.9
45,2014-08-13,0.0538,0.05416,0.05489,0.05364,2458500000.0,133460123.7,8.0,0.09,1373.64,1398.85,1402.38,1373.27,33763586053.0,6306941447520.57
46,2014-08-14,0.05468,0.05426,0.05468,0.05366,2148270000.0,116364713.2,8.0,0.09,1399.07,1407.53,1412.88,1391.65,32917275901.0,6346061682927.05
47,2014-08-15,0.05425,0.05466,0.05532,0.05414,2319770000.0,126933644.2,8.0,0.09,1407.57,1417.82,1425.76,1400.7,26772144978.0,6392466871442.37
48,2014-08-18,0.05459,0.05417,0.0551,0.054,1706870000.0,93179471.6,8.0,0.09,1418.05,1425.18,1427.95,1415.35,18156608193.0,6425664882271.03
49,2014-08-19,0.05419,0.05589,0.05596,0.05419,3146340000.0,173738197.9,8.0,0.09,1425.18,1437.6,1441.42,1425.18,25673186641.0,6481651396810.93
50,2014-08-20,0.05599,0.05568,0.05687,0.05534,2752810000.0,154048709.9,8.0,0.09,1437.58,1447.5,1447.5,1432.63,25728795150.0,6526296901006.62
51,2014-08-21,0.05566,0.05527,0.05624,0.0551,2306750000.0,128472788.6,8.0,0.09,1447.12,1461.75,1469.44,1445.48,28439597629.0,6590528216157.51
52,2014-08-22,0.0555,0.05498,0.05591,0.05408,2051000000.0,112454408.0,8.0,0.09,1461.79,1446.6,1463.71,1434.09,28861993115.0,6522253115433.8
53,2014-08-25,0.05511,0.05608,0.05622,0.05511,2296130000.0,127755636.1,8.0,0.09,1446.86,1454.67,1456.72,1446.09,17577741392.0,6558630723741.41
54,2014-08-26,0.05609,0.05471,0.05666,0.05466,2340620000.0,130457312.6,8.0,0.09,1454.47,1443.32,1460.0,1441.42,19706721633.0,6507455779142.91
55,2014-08-27,0.0553,0.05511,0.0557,0.05475,1821860000.0,100273838.0,8.0,0.09,1444.28,1447.91,1454.96,1444.28,19549941365.0,6528156723375.32
56,2014-08-28,0.05478,0.0549,0.05544,0.05356,3545460000.0,192961664.8,8.0,0.09,1447.54,1423.78,1447.76,1414.18,43849484690.0,6419337314027.56
57,2014-08-29,0.05449,0.054,0.05528,0.054,2126950000.0,115982564.7,8.0,0.07,1423.56,1400.71,1428.72,1400.44,34660154972.0,6315320939623.29
58,2014-09-01,0.05408,0.05383,0.05489,0.0534,3125390000.0,169171217.9,8.0,0.07,1401.34,1392.4,1419.9,1389.77,34518068575.0,6277859256745.77
59,2014-09-02,0.05425,0.05431,0.05439,0.05351,1968950000.0,106473011.7,8.0,0.09,1392.27,1400.35,1401.68,1386.31,20818865093.0,6313723045613.47
60,2014-09-03,0.05423,0.0562,0.05624,0.05413,4500930000.0,248833897.7,8.0,0.09,1400.44,1449.29,1452.92,1400.44,56947742576.0,6534374903303.01
61,2014-09-04,0.056,0.05522,0.0562,0.05391,4827220000.0,264080043.9,8.0,0.09,1449.51,1457.34,1462.03,1439.38,34234449476.0,6570639817053.64
62,2014-09-05,0.0551,0.05505,0.05552,0.05446,3744120000.0,204876482.2,8.0,0.09,1456.0,1474.71,1481.15,1446.95,37451362820.0,6648981302593.65
