,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2018-02-01,2200.0,2110.0,2225.5,2082.5,179977.0,389868269.5,7.75,1.42,2292.22,2302.57,2313.21,2288.31,47093257987.8,10151849888300.0
1,2018-02-02,2129.0,2052.0,2130.0,2015.0,129069.0,266269261.0,7.75,1.42,2303.06,2281.84,2309.6,2272.84,45939793518.3,10060481816500.0
2,2018-02-05,2070.0,2089.5,2090.0,2013.0,67260.0,136577202.0,7.75,1.42,2272.67,2276.85,2281.97,2255.43,38890404182.8,10038464546100.0
3,2018-02-06,2060.0,2070.0,2088.5,2005.0,60393.0,122287864.5,7.75,1.42,2233.31,2238.24,2258.79,2222.85,64462131911.6,9868226092710.0
4,2018-02-07,2020.0,2090.0,2117.0,2020.0,22826.0,47544391.5,7.75,1.42,2247.99,2254.64,2267.35,2247.99,40989154734.5,9940527339730.0
5,2018-02-08,2090.0,2134.0,2195.0,2060.0,32091.0,67463985.5,7.75,1.42,2248.98,2227.24,2259.4,2227.24,39966166240.7,9819720941340.0
6,2018-02-09,2064.0,2046.0,2120.0,2035.0,28724.0,59200623.0,7.75,1.42,2209.67,2197.12,2217.89,2181.96,56590762463.5,9686925855800.0
7,2018-02-12,2065.0,2100.5,2125.0,2052.5,11486.0,23889949.5,7.5,1.42,2208.98,2220.12,2229.81,2206.28,34667140420.4,9788351308510.0
8,2018-02-13,2150.0,2140.0,2150.0,2091.0,27529.0,58486917.0,7.5,1.42,2225.71,2250.63,2250.63,2220.69,36305983680.1,9922869989790.0
9,2018-02-14,2149.5,2150.5,2172.0,2142.5,28268.0,60975967.5,7.5,1.42,2252.95,2257.95,2259.06,2232.96,42712377582.5,9955118300030.0
10,2018-02-15,2150.5,2144.0,2155.0,2112.0,22475.0,48105508.0,7.5,1.42,2267.82,2265.45,2280.27,2265.45,44459857653.0,9988190766290.0
11,2018-02-16,2157.5,2130.0,2260.0,2080.0,55935.0,121460935.0,7.5,1.42,2266.42,2255.27,2283.65,2248.3,58420328516.5,9943315895210.0
12,2018-02-19,2209.0,2079.5,2209.0,2060.0,41100.0,86374843.5,7.5,1.42,2255.37,2254.92,2266.89,2251.18,31273799300.2,9941787094120.0
13,2018-02-20,2075.0,1979.5,2075.5,1941.5,83633.0,165957106.0,7.5,1.42,2256.01,2270.12,2271.37,2254.92,37342072099.6,10008770662200.0
14,2018-02-21,1979.5,1958.0,2019.5,1905.5,44033.0,85841850.0,7.5,1.42,2268.27,2320.32,2320.32,2265.85,52795619959.8,10230121868200.0
15,2018-02-22,1958.0,1996.5,2030.0,1930.0,52056.0,102818401.0,7.5,1.42,2316.09,2336.82,2336.82,2307.28,53281227216.9,10302867082200.0
16,2018-02-26,2020.0,2017.0,2035.0,2003.0,13766.0,27722562.5,7.5,1.42,2353.89,2353.16,2376.96,2346.73,59681509646.3,10374899678500.0
17,2018-02-27,2034.0,2017.0,2034.0,2003.5,3936.0,7936641.5,7.5,1.42,2356.75,2341.89,2357.1,2333.38,37110806981.4,10325228572800.0
18,2018-02-28,2006.5,2015.0,2029.0,2002.5,13954.0,28171680.0,7.5,1.35,2338.26,2296.8,2338.26,2296.8,48353151858.4,10126399058400.0
