,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2021-03-10,724.5,716.9,757.0,712.2,2614386.0,1899511015.1,4.25,0.07,3476.91,3463.06,3514.35,3455.42,102035182953.05,17589701056663.49
1,2021-03-11,725.0,717.0,725.2,671.0,1277701.0,897914662.7,4.25,0.07,3481.26,3508.51,3508.51,3472.4,81997215189.75,17820532849747.656
2,2021-03-12,720.9,715.5,721.0,701.1,461094.0,330227669.8,4.25,0.07,3515.44,3539.5,3539.5,3502.37,78834659383.3,17977937852959.938
3,2021-03-15,720.0,704.9,720.0,703.6,955647.0,676441515.3,4.25,0.07,3562.69,3584.49,3596.31,3558.62,110139095399.25,18206453280833.387
4,2021-03-16,708.0,697.9,709.4,696.0,612052.0,428492327.7,4.25,0.07,3600.68,3589.83,3602.18,3544.29,125278624707.95,18233587671051.902
5,2021-03-17,700.0,709.2,710.0,674.7,1268379.0,895099544.3,4.25,0.07,3579.06,3507.91,3587.24,3498.17,126387599545.2,17817498469225.55
6,2021-03-18,710.7,716.0,716.8,706.0,123370.0,87556689.9,4.25,0.07,3533.69,3504.85,3551.3,3494.99,116916933603.15,17801953173824.81
7,2021-03-19,716.0,716.3,717.0,706.0,96594.0,68950802.0,4.25,0.07,3473.84,3475.26,3495.98,3448.99,124592694485.05,17645059637239.176
8,2021-03-22,708.3,718.0,721.7,708.2,133633.0,95965083.5,4.5,0.07,3479.06,3489.07,3498.17,3469.09,73803912299.75,17715163834291.77
9,2021-03-23,719.9,728.0,729.9,718.0,595857.0,432516934.7,4.5,0.07,3481.11,3467.21,3483.34,3450.98,87327300362.15,17604166569781.6
10,2021-03-24,728.6,732.5,733.0,723.1,514477.0,375861502.7,4.5,0.07,3459.99,3485.33,3489.96,3445.92,86726397994.35,17696173938661.332
11,2021-03-25,732.5,739.9,742.0,727.2,351102.0,258655790.1,4.5,0.07,3477.87,3439.3,3479.83,3434.84,69362284154.25,17462477498485.127
12,2021-03-26,739.9,738.7,743.5,717.0,175611.0,129051193.5,4.5,0.07,3476.01,3489.83,3500.74,3476.01,80526485029.85,17719029824349.508
13,2021-03-29,741.4,739.0,741.5,733.4,134097.0,99157008.8,4.5,0.07,3500.41,3529.33,3535.21,3498.62,90437290875.35,17919596654460.977
14,2021-03-30,739.0,741.4,742.6,736.4,258862.0,191388980.8,4.5,0.07,3535.72,3525.23,3549.09,3504.06,76071719412.7,17898754895525.875
