,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2020-10-07,105.0,100.5,105.0,91.56,107924250.0,10558146435.6,4.25,0.09,2883.58,2842.58,2888.2,2838.45,67235083005.8,13671969514900.0
1,2020-10-08,100.5,100.5,101.0,98.3,11659760.0,1162828009.0,4.25,0.09,2850.65,2846.39,2859.87,2837.05,55803931185.4,13690283258800.0
2,2020-10-09,100.5,103.0,103.29,100.13,31768490.0,3250445612.7,4.25,0.09,2842.59,2834.09,2842.59,2811.05,67564085234.3,13631162034000.0
3,2020-10-12,103.48,103.55,104.5,103.01,12910790.0,1338775861.3,4.25,0.09,2834.33,2846.14,2862.36,2827.52,58718697811.45,13689118306976.201
4,2020-10-13,103.88,103.2,103.92,102.12,5578480.0,573989042.5,4.25,0.09,2846.04,2829.23,2859.52,2822.97,56828024719.1,13607767077509.918
5,2020-10-14,103.39,103.0,103.39,102.5,1722660.0,176895682.5,4.25,0.09,2829.88,2856.08,2857.47,2824.12,54266740541.85,13736904655277.525
6,2020-10-15,103.0,100.26,103.0,100.06,4051740.0,408986602.5,4.25,0.09,2849.24,2817.29,2850.11,2803.9,65315267334.85,13550357615696.22
7,2020-10-16,100.88,100.47,101.93,100.06,1968440.0,197750764.1,4.25,0.09,2819.04,2799.54,2819.04,2785.85,71062651943.55,13464960048324.197
8,2020-10-19,100.65,100.4,101.25,100.27,711900.0,71596644.5,4.25,0.09,2797.65,2794.27,2809.42,2787.5,48808418102.15,13439610301348.738
9,2020-10-20,100.4,100.07,100.54,100.0,2069910.0,207298323.9,4.25,0.09,2785.99,2803.06,2817.73,2774.16,70200100871.6,13481902181373.41
10,2020-10-21,100.14,98.59,100.48,98.4,2769680.0,275314340.5,4.25,0.09,2811.87,2786.23,2816.9,2782.36,65964265507.3,13400971733707.781
11,2020-10-22,98.5,96.5,98.5,95.5,4005500.0,386826580.2,4.25,0.09,2784.18,2803.17,2814.12,2783.37,61193148610.4,13482405171041.117
