,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-10,621.0,621.0,621.0,621.0,10.0,0.0,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
1,2014-06-16,654.0,621.6,665.0,621.6,30.0,0.0,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
2,2014-06-17,630.0,620.3,630.0,620.3,120.0,0.0,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
3,2014-06-19,644.9,649.8,659.7,644.9,8990.0,5873518.0,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
4,2014-06-24,617.6,605.2,617.6,605.2,70.0,5841974.0,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
5,2014-06-25,639.8,639.8,639.8,639.8,10.0,5848372.0,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
6,2014-07-04,637.5,637.5,637.5,637.5,10.0,0.0,7.5,0.09,1515.53,1489.53,1516.36,1485.52,25432309583.0,6715772755003.5
7,2014-07-09,625.0,614.0,625.0,614.0,80.0,0.0,7.5,0.09,1516.29,1513.38,1518.6,1496.79,28433619876.0,6823335238301.22
8,2014-07-10,603.3,602.8,603.3,602.8,110.0,0.0,7.5,0.09,1513.37,1494.92,1521.88,1480.26,40593712934.0,6740109174597.83
9,2014-07-11,602.6,602.5,602.6,602.5,50.0,0.0,7.5,0.09,1495.01,1499.82,1502.23,1488.84,27280591834.0,6762191289526.07
10,2014-07-14,602.2,600.0,602.5,600.0,310.0,0.0,7.5,0.09,1500.29,1483.41,1502.68,1482.63,25874350380.0,6688204369898.62
11,2014-07-16,600.1,600.0,600.1,600.0,130.0,0.0,7.5,0.09,1475.68,1474.72,1482.6,1459.08,31471423221.0,6649014803543.48
12,2014-07-28,576.1,599.8,599.8,576.1,20.0,0.0,8.0,0.09,1387.12,1361.94,1387.14,1357.03,30461885017.0,6140507803885.11
13,2014-07-29,600.0,600.0,600.0,600.0,20.0,0.0,8.0,0.09,1361.22,1369.83,1380.29,1356.62,35280719684.0,6176106230122.06
14,2014-08-01,644.7,644.7,644.7,644.7,10.0,0.0,8.0,0.09,1378.03,1374.83,1378.1,1358.11,33134471815.0,6198666221991.83
15,2014-08-04,580.0,580.0,580.0,580.0,20.0,0.0,8.0,0.09,1375.73,1378.98,1386.43,1365.01,26195753576.0,6217358216917.08
16,2014-08-05,580.0,580.0,580.0,580.0,110.0,0.0,8.0,0.09,1379.5,1357.89,1383.36,1356.2,26258554225.0,6122263369324.38
17,2014-08-12,575.0,575.0,580.0,503.1,630.0,0.0,8.0,0.09,1372.94,1374.19,1386.2,1368.1,30027011620.0,6195754643005.9
18,2014-08-13,515.1,550.5,564.9,515.1,550.0,640016.0,8.0,0.09,1373.64,1398.85,1402.38,1373.27,33763586053.0,6306941447520.57
19,2014-08-14,548.1,540.0,548.1,540.0,60.0,0.0,8.0,0.09,1399.07,1407.53,1412.88,1391.65,32917275901.0,6346061682927.05
20,2014-08-15,525.0,532.0,532.0,525.0,100.0,0.0,8.0,0.09,1407.57,1417.82,1425.76,1400.7,26772144978.0,6392466871442.37
21,2014-08-20,559.9,530.0,561.0,530.0,1250.0,668972.0,8.0,0.09,1437.58,1447.5,1447.5,1432.63,25728795150.0,6526296901006.62
22,2014-08-21,505.7,531.0,531.0,505.7,100.0,721816.0,8.0,0.09,1447.12,1461.75,1469.44,1445.48,28439597629.0,6590528216157.51
23,2014-08-22,520.0,520.0,520.0,520.0,60.0,753016.0,8.0,0.09,1461.79,1446.6,1463.71,1434.09,28861993115.0,6522253115433.8
24,2014-08-27,520.0,520.0,520.0,520.0,300.0,994294.0,8.0,0.09,1444.28,1447.91,1454.96,1444.28,19549941365.0,6528156723375.32
25,2014-08-28,508.0,530.0,531.0,507.1,3680.0,1902873.0,8.0,0.09,1447.54,1423.78,1447.76,1414.18,43849484690.0,6419337314027.56
26,2014-08-29,530.0,520.0,530.0,520.0,120.0,1965423.0,8.0,0.07,1423.56,1400.71,1428.72,1400.44,34660154972.0,6315320939623.29
27,2014-09-01,510.3,510.3,510.3,510.3,30.0,1980732.0,8.0,0.07,1401.34,1392.4,1419.9,1389.77,34518068575.0,6277859256745.77
28,2014-09-02,512.0,512.0,512.0,512.0,70.0,0.0,8.0,0.09,1392.27,1400.35,1401.68,1386.31,20818865093.0,6313723045613.47
29,2014-09-03,507.0,515.0,515.0,502.0,1650.0,868330.0,8.0,0.09,1400.44,1449.29,1452.92,1400.44,56947742576.0,6534374903303.01
30,2014-09-04,505.2,514.9,514.9,505.2,20.0,842691.0,8.0,0.09,1449.51,1457.34,1462.03,1439.38,34234449476.0,6570639817053.64
31,2014-09-05,501.1,488.0,501.1,470.7,420.0,0.0,8.0,0.09,1456.0,1474.71,1481.15,1446.95,37451362820.0,6648981302593.65
32,2014-09-08,499.9,480.0,513.0,475.0,500.0,0.0,8.0,0.09,1474.38,1464.76,1478.26,1460.85,26433491805.0,6604117625006.14
33,2014-09-09,500.0,499.9,500.0,499.9,20.0,0.0,8.0,0.09,1465.13,1468.17,1479.64,1465.13,22936789195.0,6619470791030.01
34,2014-09-10,499.9,499.9,499.9,499.9,10.0,0.0,8.0,0.09,1466.99,1468.55,1472.23,1456.21,19594281049.0,6621186609667.49
35,2014-09-11,499.0,499.0,499.0,499.0,30.0,0.0,8.0,0.09,1469.4,1449.63,1479.05,1449.1,30806370159.0,6535893707699.45
36,2014-09-12,500.0,504.9,504.9,500.0,430.0,0.0,8.0,0.09,1449.4,1458.52,1470.49,1440.23,30540111711.0,6575983608620.8
37,2014-09-16,504.8,504.9,504.9,504.8,140.0,0.0,8.0,0.09,1454.13,1477.31,1483.66,1451.21,34534659889.0,7036330612381.47
38,2014-09-18,476.1,476.1,476.1,476.1,70.0,0.0,8.0,0.09,1449.37,1448.63,1460.13,1443.75,26613627505.0,6899755307298.78
39,2014-09-22,489.9,504.9,504.9,489.9,220.0,0.0,8.0,0.09,1431.12,1412.83,1436.21,1412.83,24222806047.0,6729253251808.7
40,2014-09-23,476.3,476.3,476.3,476.3,10.0,0.0,8.0,0.09,1413.57,1429.45,1432.37,1413.49,25653683539.0,6808383919755.99
41,2014-09-25,480.0,480.0,480.0,480.0,70.0,0.0,8.0,0.09,,,,,,
42,2014-09-26,476.1,476.0,476.1,476.0,30.0,0.0,8.0,0.09,,,,,,
43,2014-09-29,476.0,450.0,476.0,450.0,230.0,0.0,8.0,0.08,,,,,,
44,2014-09-30,449.9,445.0,450.0,445.0,300.0,0.0,8.0,0.07,,,,,,
45,2014-10-01,450.0,445.0,450.0,445.0,220.0,0.0,8.0,0.09,,,,,,
46,2014-10-03,445.0,445.0,445.0,445.0,310.0,0.0,8.0,0.09,,,,,,
47,2014-10-06,413.0,413.0,490.0,413.0,720.0,0.0,8.0,0.09,,,,,,
48,2014-10-07,440.0,405.0,440.0,405.0,1100.0,0.0,8.0,0.09,,,,,,
49,2014-10-08,432.0,429.0,432.0,428.0,110.0,0.0,8.0,0.09,,,,,,
50,2014-10-10,407.0,393.0,426.0,393.0,380.0,0.0,8.0,0.09,,,,,,
51,2014-10-13,383.0,384.0,393.0,382.0,150.0,0.0,8.0,0.09,,,,,,
52,2014-10-14,412.0,400.0,412.0,400.0,110.0,0.0,8.0,0.09,,,,,,
53,2014-10-15,399.0,382.0,399.0,382.0,30.0,0.0,8.0,0.09,,,,,,
54,2014-10-17,372.0,410.0,410.0,371.0,160.0,0.0,8.0,0.09,,,,,,
55,2014-10-21,397.0,397.0,397.0,397.0,20.0,0.0,8.0,0.09,,,,,,
56,2014-10-22,399.0,399.0,399.0,399.0,20.0,0.0,8.0,0.09,,,,,,
