,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,144.0,144.4,146.2,143.03,40347300.0,5850366169.2,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-10,144.31,144.75,144.76,142.67,41460990.0,5954475068.5,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
2,2014-06-11,145.2,146.4,146.4,143.9,39418520.0,5722179072.1,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
3,2014-06-16,144.0,145.2,145.27,142.58,77165360.0,11114890147.3,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
4,2014-06-17,145.3,144.77,146.37,143.72,44370530.0,6430821653.0,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
5,2014-06-18,144.79,145.0,146.19,144.43,33270240.0,4831818708.5,7.5,0.1,1486.47,1494.28,1500.39,1484.51,33911920376.0,6737184533664.86
6,2014-06-19,146.4,145.2,147.69,145.04,44670940.0,6522585487.3,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
7,2014-06-20,145.05,145.6,145.88,144.28,33779020.0,4904826843.9,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
8,2014-06-23,146.2,147.17,147.27,145.07,33923270.0,4959491290.4,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
9,2014-06-24,147.65,153.25,153.42,147.56,87546740.0,13196229662.4,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
10,2014-06-25,152.48,149.26,154.21,149.01,65879300.0,9960832123.4,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
11,2014-06-26,149.63,147.44,150.44,147.02,53026000.0,7858985529.1,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
12,2014-06-27,148.0,149.39,149.88,147.22,34563280.0,5136823964.3,7.5,0.1,1473.31,1477.32,1481.29,1467.94,24506324520.0,6660748008656.28
13,2014-06-30,149.81,148.96,150.18,146.58,35020610.0,5185620050.3,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
14,2014-07-01,148.51,148.97,149.5,146.65,39080070.0,5785627179.3,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
15,2014-07-02,149.09,151.95,151.95,148.9,48839500.0,7340098220.3,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
16,2014-07-03,152.0,152.3,153.66,151.41,48933580.0,7455607792.0,7.5,0.09,1514.66,1514.47,1522.21,1510.66,29541346787.0,6828240267478.4
17,2014-07-04,153.0,149.13,153.09,148.25,38192290.0,5768013168.7,7.5,0.09,1515.53,1489.53,1516.36,1485.52,25432309583.0,6715772755003.5
18,2014-07-07,149.1,150.31,151.4,149.09,34302070.0,5160388772.1,7.5,0.1,1489.55,1513.72,1518.05,1484.27,26447591867.0,6824843528813.94
19,2014-07-08,150.53,151.43,153.53,150.52,50005770.0,7610096630.3,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
20,2014-07-09,151.11,150.4,151.77,149.01,44106880.0,6635323611.8,7.5,0.09,1516.29,1513.38,1518.6,1496.79,28433619876.0,6823335238301.22
21,2014-07-10,150.8,148.79,151.52,147.1,58690960.0,8758797586.7,7.5,0.09,1513.37,1494.92,1521.88,1480.26,40593712934.0,6740109174597.83
22,2014-07-11,148.85,148.15,149.25,146.91,36005010.0,5325473984.6,7.5,0.09,1495.01,1499.82,1502.23,1488.84,27280591834.0,6762191289526.07
23,2014-07-14,148.42,147.5,148.8,146.51,38407230.0,5666849154.6,7.5,0.09,1500.29,1483.41,1502.68,1482.63,25874350380.0,6688204369898.62
24,2014-07-15,147.8,146.52,148.37,146.52,55159950.0,8136831301.9,7.5,0.09,1482.23,1475.77,1487.49,1471.95,31348119170.0,6653730932218.92
25,2014-07-16,140.35,142.5,143.1,140.1,55942320.0,7903995875.9,7.5,0.09,1475.68,1474.72,1482.6,1459.08,31471423221.0,6649014803543.48
26,2014-07-17,140.23,140.0,141.0,138.23,61550720.0,8556911974.5,7.5,0.09,1470.83,1440.63,1470.83,1429.08,46983315494.0,6495297231665.95
27,2014-07-18,138.0,139.26,139.41,136.5,53377680.0,7348951202.9,7.5,0.09,1440.54,1422.53,1440.54,1410.48,40033266979.0,6413710020809.31
28,2014-07-21,140.3,136.01,140.44,135.2,46735750.0,6373796715.4,7.5,0.1,1422.53,1384.5,1424.64,1384.5,39527909818.0,6242240077462.93
