,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2013-09-02,550.0,521.2,579.9,521.2,21.0,1059524.0,5.5,0.07,1364.75,1367.53,1373.73,1364.27,12744074194.0,6096416686856.09
1,2013-09-03,535.0,529.6,535.0,520.0,342.0,0.0,5.5,0.09,1366.99,1373.82,1384.18,1366.99,22164253799.0,6124460997187.43
2,2013-09-04,532.0,532.0,532.0,532.0,2.0,0.0,5.5,0.08,1372.98,1375.66,1376.42,1365.21,16929685929.0,6132675228404.21
3,2013-09-05,540.9,540.9,540.9,540.9,2.0,0.0,5.5,0.08,1375.66,1422.4,1422.4,1373.29,37635586932.0,6341025156353.93
4,2013-09-06,536.0,520.0,536.0,511.0,497.0,0.0,5.5,0.08,1421.86,1423.4,1448.75,1418.8,52189115910.0,6345500055740.21
5,2013-09-09,519.9,515.0,520.0,511.0,2403.0,1233649.4,5.5,0.08,1423.4,1451.54,1455.28,1421.45,45793220661.0,6470954296346.45
6,2013-09-10,515.2,520.0,538.7,515.1,532.0,0.0,5.5,0.08,1451.54,1453.57,1464.2,1446.97,48929041065.0,6480000608741.71
7,2013-09-11,516.3,529.0,529.0,511.2,73.0,0.0,5.5,0.08,1452.52,1454.12,1459.68,1449.58,30684670193.0,6482453521611.17
8,2013-09-12,526.0,528.5,534.4,513.3,46.0,0.0,5.5,0.08,1454.21,1450.23,1461.2,1441.58,32739117665.0,6465093271603.79
9,2013-09-13,534.4,501.0,534.4,501.0,1973.0,1004759.0,5.5,0.08,1450.66,1440.74,1451.89,1434.74,24692731039.0,6422780705485.45
10,2013-09-16,510.0,500.1,510.0,495.9,1000.0,0.0,5.5,0.08,1441.06,1470.48,1470.65,1438.79,44309429172.0,6555391575249.64
11,2013-09-17,505.6,495.0,505.6,480.7,1740.0,867734.5,5.5,0.08,1470.71,1473.03,1474.02,1461.86,23620116573.0,6916585966907.95
12,2013-09-18,497.9,490.0,497.9,490.0,113.0,0.0,5.5,0.08,1472.17,1464.95,1482.59,1462.18,35222582334.0,6878658435503.36
13,2013-09-19,499.6,485.0,534.5,484.9,486.0,0.0,5.5,0.09,1464.35,1487.19,1501.32,1463.8,53895959163.0,6983113967163.46
14,2013-09-20,489.8,490.2,509.0,489.8,258.0,0.0,5.5,0.08,1486.49,1476.73,1488.5,1476.07,31552058986.0,6933962169638.04
15,2013-09-23,499.9,499.8,507.3,495.0,43.0,0.0,5.5,0.09,1476.69,1467.62,1478.61,1463.61,26313729744.0,6891218287996.88
16,2013-09-24,485.2,523.0,523.0,485.2,3168.0,1552584.5,5.5,0.09,1466.41,1464.72,1472.11,1459.21,27919329025.0,6877568322623.03
17,2013-09-25,500.1,500.3,520.3,493.0,2064.0,1030161.7,5.5,0.08,1464.72,1479.59,1480.33,1459.13,26805611981.0,6947387045039.35
18,2013-09-26,509.6,501.1,509.6,500.0,3.0,1031672.4,5.5,0.08,1479.59,1485.14,1490.02,1475.35,27797509828.0,6973488765178.55
19,2013-09-27,513.9,513.9,513.9,513.9,1.0,1032186.3,5.5,0.08,1483.99,1471.89,1486.59,1468.35,27963985931.0,6911259978762.6
20,2013-09-30,510.8,500.0,510.8,495.3,274.0,0.0,5.5,0.06,1472.23,1462.82,1474.57,1453.65,25872462007.0,6868671368141.78
21,2013-10-01,495.6,497.0,505.0,491.1,55.0,0.0,5.5,0.08,1462.82,1471.73,1472.98,1460.09,25307021784.0,6910494683353.84
22,2013-10-02,500.9,499.8,501.0,491.3,75.0,0.0,5.5,0.07,1472.45,1454.29,1474.9,1450.52,27495476013.0,6828626046243.09
23,2013-10-03,503.1,477.0,508.5,477.0,2894.0,1389067.2,5.5,0.08,1454.53,1456.49,1466.23,1452.25,25770973324.0,6838929631297.44
24,2013-10-04,489.9,490.2,496.0,489.9,209.0,0.0,5.5,0.08,1456.51,1474.21,1474.42,1449.76,26311777713.0,6922161885652.6
25,2013-10-07,490.1,499.0,499.7,490.1,151.0,0.0,5.5,0.08,1474.45,1480.2,1481.55,1462.85,26517483690.0,6950268840588.7
