,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2023-04-26,25.032,25.032,25.032,25.032,1906960.0,47735022.72,7.5,4.83,2625.62,2620.33,2631.13,2614.98,31901400374.2,8951881915601.342
1,2023-04-27,27.534,35.03,35.03,27.534,10393210.0,352740132.16,7.5,4.83,2620.65,2646.18,2646.18,2617.04,58564323144.4,9040168917242.803
2,2023-04-28,38.496,38.496,38.496,37.0,3914310.0,150112555.54,7.5,4.83,2653.93,2634.94,2657.9,2608.02,51130716753.3,9001797276234.36
3,2023-05-02,38.496,37.494,42.0,31.596,47535060.0,1786522358.3,7.5,4.83,2623.29,2580.51,2635.53,2560.09,63970845685.6,8815844494102.053
4,2023-05-03,37.0,35.4,40.2,35.02,8223900.0,304900393.24,7.5,4.83,2585.4,2532.42,2586.17,2532.42,54409373737.95,8651535406895.707
5,2023-05-04,35.51,32.824,36.5,32.256,5739120.0,193823233.84,7.5,5.08,2524.97,2524.51,2547.2,2524.36,38680596602.8,8624513934872.599
6,2023-05-05,32.922,32.2,34.94,31.55,8024030.0,265363270.78,7.5,5.08,2544.47,2538.24,2555.39,2529.08,35453025873.55,8671416417383.243
7,2023-05-08,33.3,32.2,33.5,31.25,1711470.0,55451818.62,7.5,5.08,2528.74,2527.59,2538.23,2513.84,20351667294.1,8635050018100.714
8,2023-05-10,31.702,33.372,34.198,31.702,5585940.0,185012799.38,7.5,5.08,2483.92,2548.63,2556.67,2483.79,70959379219.55,8706903653594.126
9,2023-05-11,33.528,33.3,34.8,32.734,3506000.0,117979302.32,7.5,5.08,2573.41,2595.12,2610.8,2567.98,74640203057.4,8865744021694.139
10,2023-05-12,33.298,32.29,33.404,32.0,1447060.0,47114470.08,7.5,5.08,2570.65,2565.17,2584.91,2552.05,37663735250.9,8763415222831.624
11,2023-05-15,32.56,32.17,33.05,32.0,1338370.0,43242716.14,7.5,5.08,2581.64,2611.07,2611.71,2581.64,43944338845.4,8920221047703.252
12,2023-05-16,32.198,31.892,32.35,31.704,1552390.0,49651906.68,7.5,5.08,2645.94,2633.71,2655.73,2621.59,42646373333.2,8997572326944.398
13,2023-05-17,31.75,32.0,32.75,31.73,2040090.0,65504720.94,7.5,5.08,2637.51,2634.48,2646.61,2623.15,38940434444.55,9000220076797.857
14,2023-05-18,32.14,31.86,33.2,31.824,2051210.0,66184876.54,7.5,5.08,2650.12,2632.91,2658.57,2624.49,59453341862.7,8994854789119.396
15,2023-05-19,31.81,31.53,32.56,31.31,1490990.0,47451738.38,7.5,5.08,2627.59,2626.16,2635.8,2612.47,58915837809.3,8971781184450.158
16,2023-05-22,32.512,31.63,32.6,31.4,1780200.0,56464826.92,7.5,5.08,2648.3,2633.26,2652.97,2622.35,47631848454.95,8996037401195.492
17,2023-05-23,31.8,30.446,31.9,30.1,1374190.0,42187809.4,7.5,5.08,2641.05,2641.66,2648.69,2607.63,71936165173.9,9024722774262.549
18,2023-05-24,30.604,29.548,30.82,28.764,1499310.0,44572209.58,7.5,5.08,2643.73,2654.99,2659.68,2626.43,71756125244.55,9070274296777.79
19,2023-05-25,30.25,28.402,30.25,28.126,1235970.0,35768164.0,7.5,5.08,2662.85,2649.98,2663.51,2631.03,66820699399.05,9053152168795.559
20,2023-05-26,28.438,30.0,31.6,28.414,4076220.0,122914756.12,7.5,5.08,2650.38,2682.03,2685.14,2645.54,52536425210.15,9162654927672.277
21,2023-05-29,30.0,30.39,30.95,29.406,1137410.0,34273278.34,7.5,5.08,2697.46,2732.0,2732.0,2697.46,66140079776.4,9333368855282.045
22,2023-05-30,30.176,29.486,30.5,29.4,523630.0,15730082.36,7.5,5.08,2712.04,2698.75,2748.6,2687.81,90132343989.3,9219768650538.469
23,2023-05-31,29.22,30.6,31.196,29.042,1201120.0,36341458.98,7.5,5.08,2698.11,2717.64,2718.27,2676.27,58274293697.45,9284327020498.482
24,2023-06-01,31.0,32.746,33.616,30.232,5758060.0,186042654.02,7.5,5.08,2720.21,2721.73,2729.97,2709.33,43398021905.95,9298269452143.707
25,2023-06-02,32.7,31.994,33.18,31.74,1886060.0,60924961.62,7.5,5.08,2684.59,2719.48,2720.47,2684.59,66776774006.3,9290589423429.295
26,2023-06-05,31.992,32.558,34.494,31.51,3812220.0,126953672.04,7.5,5.08,2726.17,2694.14,2738.82,2679.3,76307627682.0,9204024197182.428
27,2023-06-06,32.198,31.9,32.28,30.536,1384690.0,43450184.28,7.5,5.08,2667.76,2681.25,2687.41,2628.0,76433900154.6,9159979595835.943
28,2023-06-07,32.59,32.218,33.0,31.9,999170.0,32526949.86,7.5,5.08,2690.94,2694.69,2711.72,2674.11,55873417951.1,9205918537143.348
29,2023-06-08,32.778,32.196,32.97,31.96,852430.0,27530386.16,7.5,5.08,2693.6,2709.69,2709.69,2688.31,38267334626.35,9257156736574.223
30,2023-06-09,31.912,32.2,33.39,31.912,1547180.0,50787628.12,7.5,5.08,2717.2,2708.04,2721.84,2705.24,39244085182.5,9251523984352.562
31,2023-06-13,31.912,32.296,33.39,31.912,1547180.0,50787628.0,7.5,5.08,,,,,,
