,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2019-07-26,800.0,688.5,900.0,672.8,10362.0,7122079.6,7.5,2.4,2697.21,2715.68,2733.32,2694.84,73825365556.3,10071866495000.0
1,2019-07-29,685.0,689.0,690.7,678.0,2288.0,1574568.7,7.25,2.4,2715.74,2728.27,2732.86,2714.44,34389125864.3,10118560847200.0
2,2019-07-30,690.8,689.9,720.0,678.2,1263.0,872457.6,7.25,2.39,2730.38,2734.68,2735.21,2714.01,39132766333.9,10142324655200.0
3,2019-07-31,687.9,678.1,687.9,678.1,201.0,0.0,7.25,2.4,2737.8,2739.5,2750.06,2723.54,46183249194.6,10160214161700.0
4,2019-08-01,678.0,672.2,679.0,672.0,1030.0,693306.8,7.25,2.14,2727.68,2729.42,2737.91,2722.48,40678706466.1,10122834966600.0
5,2019-08-02,672.2,672.0,677.4,672.0,1328.0,892720.3,7.25,2.14,2707.65,2674.9,2716.6,2673.97,67130476196.8,9920616773240.0
6,2019-08-05,672.0,672.0,672.5,658.6,1990.0,1337128.0,7.25,2.13,2666.85,2649.16,2676.61,2645.12,52320999449.6,9825137202940.0
7,2019-08-06,672.0,673.1,673.1,672.0,994.0,2005108.5,7.25,2.13,2654.34,2683.35,2686.86,2654.11,47612187588.9,9951969675850.0
8,2019-08-07,672.0,672.0,672.0,672.0,153.0,770796.5,7.25,2.12,2683.11,2674.98,2696.53,2666.41,49041190262.7,9920894755160.0
9,2019-08-08,672.1,672.0,672.1,672.0,205.0,908556.9,7.25,2.12,2693.17,2696.69,2707.62,2693.17,39678960852.7,10001443976800.0
10,2019-08-09,672.0,684.8,684.8,672.0,155.0,0.0,7.25,2.12,2696.65,2679.71,2700.95,2678.07,32686121043.0,9938461420790.0
11,2019-08-12,665.0,684.8,684.8,665.0,161.0,0.0,7.25,2.12,2687.12,2689.93,2698.39,2682.05,28453904405.0,9976342681330.0
12,2019-08-13,672.5,685.4,685.4,672.5,27.0,0.0,7.25,2.12,2688.92,2680.12,2697.53,2665.35,45413014687.3,9939972351580.0
13,2019-08-14,684.5,673.1,684.6,673.1,359.0,0.0,7.25,2.12,2684.63,2637.04,2687.93,2630.82,46870223317.2,9780190394690.0
14,2019-08-15,684.8,673.2,684.8,673.2,36.0,0.0,7.25,2.13,2643.53,2625.58,2651.23,2620.2,48643214688.2,9737713317910.0
15,2019-08-16,673.2,673.1,684.8,673.1,205.0,0.0,7.25,2.13,2636.29,2615.2,2640.92,2615.2,37360791236.3,9699205005200.0
16,2019-08-19,673.1,672.1,673.1,672.0,500.0,0.0,7.25,2.13,2627.47,2648.09,2653.31,2619.39,41508646386.0,9821171007790.0
17,2019-08-20,673.1,679.9,679.9,672.0,761.0,847659.1,7.25,2.13,2651.1,2672.84,2675.26,2647.4,41833885321.8,9912964492200.0
18,2019-08-21,673.3,684.5,839.0,673.3,1763.0,1231723.2,7.25,2.12,2677.55,2673.95,2679.46,2665.1,35687208431.7,9917082562400.0
19,2019-08-22,685.0,686.8,705.6,684.6,972.0,666520.6,7.25,2.12,2673.77,2675.13,2680.65,2662.31,37929633437.4,9921456948520.0
20,2019-08-23,683.4,686.0,686.0,683.4,4.0,669259.7,7.25,2.12,2679.23,2660.74,2682.95,2656.97,39340472307.4,9868093848320.0
21,2019-08-26,686.4,684.9,686.5,680.0,398.0,0.0,7.25,2.12,2651.09,2658.24,2672.19,2640.05,25136294862.1,9858829004110.0
22,2019-08-27,685.0,680.0,685.0,411.6,3009.0,2029640.6,7.25,2.12,2660.76,2659.35,2663.14,2636.99,68464614909.9,9862950355170.0
23,2019-08-28,679.6,672.0,680.0,410.0,2077.0,1272688.0,7.25,2.12,2658.17,2677.31,2677.99,2649.54,43582864484.4,9929557579250.0
24,2019-08-29,674.8,675.0,675.0,674.7,198.0,1406330.0,7.25,2.12,2679.8,2714.25,2714.37,2679.11,47041546243.2,10066543089500.0
25,2019-08-30,675.1,675.0,675.1,672.0,66.0,0.0,7.25,2.13,2716.69,2740.04,2740.04,2715.3,54743444559.5,10162221636400.0
26,2019-09-02,672.1,672.6,679.1,672.0,533.0,0.0,7.25,2.13,2742.3,2773.01,2774.77,2735.11,44975843551.4,10284480227200.0
27,2019-09-03,679.2,679.8,679.8,672.2,522.0,0.0,7.25,2.13,2770.86,2774.2,2781.06,2757.85,69206978352.1,10288896412700.0
28,2019-09-04,672.1,679.8,679.8,672.0,428.0,645780.6,7.25,2.13,2787.37,2793.36,2799.84,2784.96,67735228288.7,10359968847600.0
29,2019-09-05,672.1,676.0,679.8,672.0,1843.0,1244261.0,7.25,2.13,2800.97,2807.06,2815.84,2796.19,61951409293.3,10410769539000.0
30,2019-09-06,672.1,678.0,678.1,672.0,233.0,1400897.1,7.25,2.12,2805.95,2797.55,2805.95,2780.76,42284905044.8,10375510845500.0
31,2019-09-09,678.0,658.9,678.0,658.9,68.0,0.0,7.0,2.13,2802.49,2786.63,2810.91,2777.63,30105613161.7,10334985489200.0
32,2019-09-10,672.0,677.0,677.0,672.0,24.0,0.0,7.0,2.13,2784.8,2787.52,2791.02,2767.29,46262429643.8,10338310724800.0
33,2019-09-11,673.1,677.0,677.0,673.0,25.0,0.0,7.0,2.13,2788.19,2817.05,2819.75,2782.95,48054463894.8,10447825497900.0
34,2019-09-12,677.0,675.0,677.0,672.0,27.0,0.0,7.0,2.13,2816.06,2799.99,2816.06,2789.14,56544628523.6,10384563835000.0
35,2019-09-13,672.1,676.2,677.0,672.0,59.0,0.0,7.0,2.14,2795.85,2791.74,2801.28,2777.23,41055464668.6,10353951632900.0
36,2019-09-16,675.0,675.0,675.1,675.0,19.0,0.0,7.0,2.25,2810.78,2834.32,2834.32,2803.89,65049241158.3,10511863775400.0
37,2019-09-17,675.8,677.0,677.0,675.8,190.0,0.0,7.0,2.3,2832.42,2820.86,2847.01,2807.33,62146876444.6,10461945449400.0
38,2019-09-18,677.0,677.0,677.0,672.0,528.0,0.0,7.0,2.25,2818.93,2818.6,2824.25,2809.67,37671896359.4,10453562135600.0
39,2019-09-19,677.0,673.2,677.0,673.2,235.0,516181.9,7.0,1.9,2815.49,2794.77,2816.57,2794.17,49313606752.6,10365180494400.0
40,2019-09-20,676.9,677.0,677.0,676.9,13.0,0.0,7.0,1.9,2794.82,2796.41,2796.41,2777.83,50615777793.9,10983731409800.0
41,2019-09-23,677.0,677.0,677.0,672.2,252.0,0.0,7.0,1.9,2793.03,2785.46,2793.03,2769.6,33696918510.0,10940689228700.0
42,2019-09-24,672.0,646.3,672.0,643.0,897.0,582896.5,7.0,1.9,2785.57,2754.53,2789.61,2749.86,40017599718.1,10819217929200.0
43,2019-09-25,666.0,665.9,668.0,645.0,181.0,0.0,7.0,1.9,2749.13,2760.29,2760.29,2739.11,39059148416.3,10841845821600.0
44,2019-09-26,646.4,646.3,646.4,639.0,1156.0,746877.1,7.0,1.85,2755.6,2772.7,2779.78,2754.84,37187282318.0,10890606523500.0
45,2019-09-27,646.2,633.4,646.3,632.9,3636.0,2323297.0,7.0,1.83,2772.58,2757.98,2777.19,2757.98,23497415581.7,10832782680900.0
46,2019-09-30,632.0,645.0,646.2,625.0,993.0,634554.9,7.0,1.9,2759.94,2747.18,2764.31,2744.47,34819037706.1,10790369072000.0
47,2019-10-01,639.1,639.0,646.0,632.0,1441.0,920947.5,7.0,1.88,2749.83,2758.83,2781.33,2748.51,38375450605.3,10836124381600.0
48,2019-10-02,644.9,639.0,644.9,639.0,45.0,0.0,7.0,1.85,2756.86,2719.39,2758.5,2716.73,43551257886.9,10681209017600.0
49,2019-10-03,640.0,639.0,640.0,635.1,29.0,0.0,7.0,1.83,2719.65,2707.47,2722.74,2696.58,43344823776.6,10634365387900.0
50,2019-10-04,640.0,639.9,640.0,633.0,76.0,0.0,7.0,1.82,2707.9,2692.55,2717.7,2687.0,33691774672.8,10575761950100.0
51,2019-10-07,639.9,639.0,639.9,639.0,221.0,0.0,7.0,1.82,2695.54,2719.22,2721.16,2686.15,33400560149.2,10680519637300.0
52,2019-10-08,641.0,646.0,646.0,641.0,8.0,0.0,7.0,1.82,2720.17,2707.89,2724.62,2700.46,32965289155.1,10636026715700.0
53,2019-10-09,648.0,641.0,648.0,641.0,38.0,0.0,7.0,1.82,2704.71,2713.02,2724.83,2702.56,35757950333.9,10656178242100.0
