,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2021-07-15,940.0,926.0,940.0,915.0,1835212.0,1696048767.92,5.5,0.1,3826.45,3799.97,3832.5,3789.31,69083210864.95,19400731612606.68
1,2021-07-16,927.98,925.5,928.3,925.0,205549.0,190268871.05,5.5,0.1,3795.03,3770.15,3812.49,3756.01,72584122640.8,19248482020780.023
2,2021-07-19,926.5,924.0,926.5,917.0,612325.0,564702709.3,5.5,0.1,3743.97,3693.42,3744.27,3679.79,88681181628.1,18856726749311.598
3,2021-07-20,924.0,923.0,926.0,918.0,240123.0,220923846.68,5.5,0.1,3707.23,3704.4,3719.09,3679.44,71026481627.0,18912779774878.117
4,2021-07-21,920.02,918.56,922.0,918.0,117890.0,108386401.42,5.5,0.1,3718.92,3722.96,3738.33,3701.95,53910924683.8,19007581477860.55
5,2021-07-22,919.02,918.0,920.99,916.0,152753.0,140171277.73,5.5,0.1,3746.35,3754.44,3758.58,3724.29,60552813222.7,19168279403560.508
6,2021-07-23,919.06,916.0,921.5,914.0,92316.0,84442576.53,5.5,0.1,3760.33,3734.54,3767.4,3724.74,48982665211.95,19066670751064.7
7,2021-07-26,916.01,919.01,925.0,914.01,85876.0,78691815.37,6.5,0.1,3724.2,3750.1,3755.52,3710.14,52211642926.55,19146108523545.484
8,2021-07-27,921.4,919.0,924.99,918.0,117849.0,108310467.56,6.5,0.1,3756.79,3733.1,3762.89,3733.1,68300930120.8,19059343897418.14
9,2021-07-28,918.2,918.0,923.8,916.0,35504.0,32589942.35,6.5,0.1,3747.25,3782.28,3782.28,3743.46,60723839373.1,19310408766810.28
10,2021-07-29,922.0,911.0,922.0,910.0,112356.0,102477263.5,6.5,0.1,3794.4,3804.33,3806.83,3789.57,75765356663.15,19422978393463.67
11,2021-07-30,911.02,900.0,915.0,861.0,35315.0,31550577.92,6.5,0.07,3789.33,3771.58,3793.4,3759.83,90507692004.95,19255806022732.47
12,2021-08-02,886.0,895.0,895.0,865.1,31586.0,27658506.22,6.5,0.1,3791.22,3788.1,3801.24,3781.43,63457146082.5,19340149910266.945
