,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2020-10-28,486.0,456.9,486.0,451.05,289610.0,133316747.5,4.25,0.09,2758.84,2693.46,2758.84,2680.83,91471007602.15,12954771829289.174
1,2020-10-29,462.5,457.7,463.5,455.0,252990.0,115996916.0,4.25,0.09,2704.5,2709.04,2728.97,2682.68,74274727007.0,13029709306520.393
2,2020-10-30,457.7,455.6,463.0,449.7,144380.0,65681301.5,4.25,0.09,2698.94,2690.59,2706.34,2664.44,68437052454.5,12940964452238.307
3,2020-11-02,458.55,461.25,464.75,450.1,81670.0,37378735.0,4.25,0.09,2681.19,2737.54,2743.98,2658.49,72875417363.5,13166789830115.883
4,2020-11-03,469.9,456.65,469.9,452.4,82510.0,37626456.0,4.25,0.09,2753.97,2786.42,2791.77,2750.26,78312915395.25,13401879845265.438
5,2020-11-05,460.85,451.95,460.85,450.2,111490.0,50521266.0,4.25,0.09,2824.45,2861.39,2869.91,2812.67,105069609556.45,13762459950320.277
6,2020-11-06,452.9,456.45,459.0,450.7,75440.0,34359409.0,4.25,0.09,2845.74,2895.62,2896.07,2832.98,80259567503.35,13927101352108.924
7,2020-11-09,459.95,457.0,459.95,451.25,187300.0,85088005.0,4.25,0.09,2919.08,2987.75,2988.88,2910.42,186353431932.75,14370213308631.504
8,2020-11-10,456.9,456.0,462.05,452.55,95570.0,43502278.0,4.25,0.09,2965.92,2998.61,3013.57,2943.43,150181333966.75,14422459844777.184
9,2020-11-11,452.55,459.1,461.85,452.05,74680.0,33993690.5,4.25,0.09,3004.63,3015.03,3031.69,3004.2,156869536674.85,14501405482080.545
10,2020-11-12,459.1,468.6,468.7,456.0,65860.0,30373327.5,4.25,0.09,2997.79,3025.83,3028.52,2988.03,111841039072.1,14553375998523.9
11,2020-11-13,468.95,467.9,484.85,465.95,202940.0,96567407.0,4.25,0.09,3007.16,3025.22,3027.45,2995.17,94141286376.05,14550400178003.95
12,2020-11-16,478.75,463.0,478.75,463.0,158130.0,73659574.5,4.25,0.09,3054.35,3079.74,3081.28,3046.77,113029902298.95,14812647230823.322
13,2020-11-17,476.85,460.9,476.85,457.4,145820.0,67179916.5,4.25,0.09,3081.05,3052.22,3087.19,3027.76,97624569190.3,14680281473824.783
14,2020-11-18,463.85,459.0,463.9,457.0,143800.0,65949640.0,4.25,0.09,3046.02,3080.68,3086.77,3035.57,86678712181.65,14817178731020.752
15,2020-11-19,460.0,457.2,462.0,453.55,153420.0,70138961.5,4.25,0.08,3067.06,3046.49,3071.25,3040.66,80639323609.7,14652748966342.686
16,2020-11-20,459.9,448.4,459.9,447.15,311180.0,140247583.0,4.25,0.08,3050.81,3051.04,3060.91,3035.56,57925104990.4,14674599912213.895
17,2020-11-23,449.7,439.0,451.85,437.0,265000.0,118232151.5,4.25,0.08,3066.64,3047.06,3094.06,3042.61,88626521669.9,14655488609623.094
18,2020-11-24,439.5,440.15,444.2,437.05,157940.0,69638624.0,4.25,0.08,3071.8,3095.84,3098.83,3053.16,99168946827.05,14890097020956.656
