,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2017-11-03,135.0,133.25,135.0,133.0,5420.0,722586.4,8.25,1.16,2073.17,2081.15,2096.04,2073.17,31932210910.0,9566321216869.32
1,2017-11-07,136.0,132.0,136.0,131.5,103090.0,13588045.8,8.25,1.16,2092.78,2155.55,2155.55,2092.78,76163603392.0,9908311535139.88
2,2017-11-08,132.0,133.0,133.0,132.0,6990.0,14510935.8,8.25,1.16,2155.21,2163.01,2178.42,2144.98,49040305740.0,9942603586446.1
3,2017-11-09,132.01,132.0,132.01,131.0,77050.0,10170581.2,8.25,1.16,2162.0,2183.61,2183.61,2156.48,61503124362.0,10037309817174.26
4,2017-11-10,132.0,132.0,133.0,132.0,25290.0,3338319.8,8.25,1.16,2184.64,2169.26,2190.56,2166.68,62124396482.0,9971368807421.05
5,2017-11-13,132.01,132.99,132.99,130.0,147800.0,19279606.1,8.25,1.16,2169.85,2167.63,2191.71,2167.63,37970412063.0,9963867925107.69
6,2017-11-14,131.01,132.47,132.47,131.0,10100.0,20602755.9,8.25,1.16,2166.11,2166.83,2185.56,2166.11,46980543848.0,9960174843010.02
7,2017-11-15,134.0,130.0,134.0,127.0,294460.0,37843046.3,8.25,1.16,2159.83,2131.75,2162.41,2131.75,53484016959.0,9798910381339.13
8,2017-11-16,130.0,132.49,132.49,130.0,2760.0,38201871.2,8.25,1.16,2135.18,2132.65,2147.83,2112.2,56322547454.0,9803044025448.1
9,2017-11-17,132.4,130.0,132.5,130.0,27090.0,3523812.3,8.25,1.16,2135.58,2131.91,2139.43,2127.95,34124171631.0,9799665011616.91
10,2017-11-20,131.0,132.0,132.0,131.0,1120.0,3671642.3,8.25,1.16,2132.4,2130.39,2139.91,2123.76,26205978752.0,9792659291644.4
11,2017-11-21,133.11,131.11,133.11,131.11,25250.0,3480910.9,8.25,1.16,2132.5,2155.82,2155.82,2132.5,50470600415.0,9909554457157.15
12,2017-11-22,132.5,132.49,132.5,131.0,32610.0,7630400.4,8.25,1.16,2158.33,2160.16,2168.01,2151.3,33535162036.0,9929528438592.25
13,2017-11-23,132.0,132.0,135.0,132.0,29940.0,3957875.0,8.25,1.16,2159.88,2148.56,2160.64,2143.06,30659856682.0,9876202520486.62
14,2017-11-24,132.0,133.0,133.0,132.0,200.0,3984325.0,8.25,1.16,2148.59,2161.17,2163.61,2144.62,31134801041.0,9934151295550.31
15,2017-11-27,134.0,132.0,134.0,132.0,25470.0,7346767.7,8.25,1.16,2159.02,2145.87,2164.32,2139.12,24683806656.2,9863834527990.0
16,2017-11-28,132.0,131.0,132.0,131.0,95540.0,15953244.9,8.25,1.16,2144.53,2149.45,2149.45,2126.06,31474489665.2,9880267970660.0
17,2017-11-29,132.0,132.0,134.0,132.0,65450.0,21230282.3,8.25,1.16,2148.95,2124.08,2150.88,2120.24,31363188004.4,9763675670860.0
18,2017-11-30,132.0,132.0,135.0,132.0,63950.0,17082262.0,8.25,1.07,2121.93,2100.62,2123.18,2092.2,78179988737.6,9655832190110.0
19,2017-12-01,132.02,132.0,134.0,132.0,60010.0,7921348.2,8.25,1.16,2102.54,2105.99,2109.33,2091.89,32254059970.5,9680518197550.0
20,2017-12-04,132.0,132.0,132.0,132.0,100.0,7934548.2,8.25,1.16,2104.9,2119.42,2123.08,2087.37,31678170334.7,9742270820380.0
21,2017-12-05,133.0,136.0,136.0,133.0,250.0,7967948.2,8.25,1.16,2117.7,2113.69,2117.7,2099.77,25271043801.0,9715893324470.0
22,2017-12-07,134.93,134.92,134.93,134.92,20.0,7970646.7,8.25,1.16,2120.8,2103.15,2120.83,2100.87,28549119472.0,9667475240300.0
23,2017-12-08,133.59,133.59,133.59,133.59,400.0,41059589.6,8.25,1.16,2106.38,2104.99,2118.71,2097.29,23038211567.1,9675925704960.0
24,2017-12-11,133.0,141.0,141.0,133.0,940.0,0.0,8.25,1.16,2104.62,2148.6,2148.6,2104.62,29259723999.3,9876366501930.0
25,2017-12-12,133.0,133.0,134.0,133.0,1010.0,0.0,8.25,1.17,2151.96,2160.75,2160.75,2142.06,32680518614.7,9932221482970.0
26,2017-12-13,132.01,132.0,132.01,132.0,2070.0,0.0,8.25,1.17,2152.39,2131.94,2158.25,2127.1,36682457088.8,9799817545930.0
27,2017-12-14,133.0,133.0,135.24,133.0,3970.0,804747.2,8.25,1.41,2132.54,2152.41,2152.41,2127.74,32875084250.5,9893887018930.0
28,2017-12-15,134.2,134.2,134.2,134.2,3000.0,934105.2,8.25,1.41,2151.23,2143.99,2151.23,2135.85,31783344746.8,9855211831320.0
29,2017-12-18,132.89,133.0,133.0,132.89,360.0,981964.3,7.75,1.42,2144.92,2134.58,2155.92,2122.05,27942037281.5,9811935204980.0
30,2017-12-19,133.0,132.5,133.0,132.0,1500.0,0.0,7.75,1.42,2133.93,2118.16,2139.27,2112.99,27080052926.2,9736441576180.0
31,2017-12-20,132.0,133.0,133.0,132.0,620.0,0.0,7.75,1.42,2116.97,2102.97,2120.57,2101.93,31264522374.9,9666626860820.0
32,2017-12-22,132.0,133.32,133.32,132.0,1140.0,0.0,7.75,1.42,2095.56,2102.94,2109.44,2089.6,20918042113.9,9271693943230.0
33,2017-12-25,134.0,134.0,134.0,134.0,50.0,0.0,7.75,1.42,2109.38,2105.06,2115.68,2100.76,10781756260.1,9281064063190.0
34,2017-12-26,133.0,133.0,133.0,133.0,20.0,0.0,7.75,1.42,2105.51,2097.03,2107.48,2086.61,11945064397.1,9245643011420.0
35,2017-12-27,133.0,133.0,133.0,133.0,3450.0,1880825.4,7.75,1.42,2099.09,2106.17,2108.74,2091.94,26561492905.0,9285952974200.0
36,2017-12-28,133.5,133.0,135.18,133.0,8710.0,1166424.3,7.75,1.42,2105.98,2102.89,2106.25,2088.67,18090090633.0,9271475547460.0
37,2017-12-29,133.1,134.2,134.2,133.0,210.0,1194381.2,7.75,1.33,2102.81,2109.74,2110.9,2091.93,15957336731.1,9301695430710.0
38,2018-01-03,133.0,133.0,133.0,133.0,140.0,1213001.2,7.75,1.42,2111.24,2152.97,2152.97,2111.24,21076095059.7,9492304557100.0
39,2018-01-05,133.0,133.0,133.0,133.0,100.0,1226301.2,7.75,1.42,2196.69,2207.41,2207.41,2188.35,25985573299.5,9732313882890.0
40,2018-01-09,133.0,134.2,134.2,133.0,2470.0,0.0,7.75,1.42,2211.4,2225.39,2242.87,2211.4,44389501692.9,9811559695860.0
41,2018-01-12,132.9,132.01,132.9,132.01,50.0,0.0,7.75,1.42,2245.7,2262.38,2262.38,2234.42,38133037880.2,9974645577030.0
42,2018-01-15,133.5,133.51,133.51,133.5,20.0,0.0,7.75,1.42,2268.01,2261.53,2280.17,2259.66,28506021421.1,9970934336360.0
43,2018-01-17,134.19,133.45,134.19,132.81,2570.0,711899.0,7.75,1.42,2250.71,2277.89,2277.89,2231.7,41081164885.9,10043050307400.0
44,2018-01-18,134.19,132.95,134.19,132.0,23040.0,3047224.0,7.75,1.42,2279.34,2297.47,2299.64,2279.34,50772584530.2,10129354929100.0
45,2018-01-19,133.41,133.0,133.85,133.0,1510.0,0.0,7.75,1.42,2298.07,2286.33,2306.79,2273.24,40066007461.0,10080241959200.0
46,2018-01-22,133.0,133.5,133.99,133.0,60.0,0.0,7.75,1.42,2286.04,2308.61,2308.61,2285.32,32826159274.2,10178470693400.0
47,2018-01-23,133.9,133.75,134.2,133.0,16230.0,2172052.0,7.75,1.42,2311.99,2298.95,2315.77,2281.52,40634954873.7,10135908144200.0
48,2018-01-24,133.5,133.5,133.5,133.5,20.0,2174722.0,7.75,1.42,2297.69,2306.99,2306.99,2283.2,33738711190.3,10171330748200.0
