,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2020-09-25,1875.0,1870.0,1952.2,1850.0,137778.0,259692064.6,4.25,0.09,2912.83,2896.83,2912.83,2870.16,75662859146.4,13932922146500.0
1,2020-09-28,1889.8,1930.0,1931.0,1859.6,41368.0,78576090.4,4.25,0.09,2909.62,2927.17,2938.94,2909.62,69770125370.4,14078810348000.0
2,2020-09-29,1955.0,1938.0,2108.0,1930.2,29953.0,58563946.2,4.25,0.09,2935.77,2910.12,2947.75,2889.22,80159930228.7,13996817556800.0
3,2020-09-30,1940.0,1898.0,1940.2,1893.2,7161.0,13713451.0,4.25,0.09,2908.55,2905.81,2920.03,2893.8,66808053460.3,13976089270500.0
4,2020-10-01,1895.8,1892.6,1899.8,1879.4,5571.0,10530646.8,4.25,0.09,2911.08,2889.8,2919.25,2882.81,74033823737.9,13899096324200.0
5,2020-10-02,1893.0,1884.0,1902.4,1860.0,8808.0,16693670.0,4.25,0.09,2840.72,2852.42,2859.01,2824.69,78844415007.9,13719301604300.0
6,2020-10-05,1880.0,1915.6,1915.6,1880.0,6507.0,12335300.0,4.25,0.09,2860.53,2881.98,2882.94,2845.63,63509160152.4,13861472527900.0
7,2020-10-06,1924.8,1900.0,1929.8,1886.6,30429.0,58176390.2,4.25,0.09,2885.38,2892.99,2906.65,2883.69,73021330700.7,13914414418200.0
8,2020-10-07,1899.8,1885.8,1927.0,1884.0,93243.0,177573476.6,4.25,0.09,2883.58,2842.58,2888.2,2838.45,67235083005.8,13671969514900.0
9,2020-10-08,1866.8,1854.0,1890.6,1800.2,41515.0,77857740.2,4.25,0.09,2850.65,2846.39,2859.87,2837.05,55803931185.4,13690283258800.0
10,2020-10-09,1852.8,1835.4,1852.8,1826.2,17403.0,32047504.4,4.25,0.09,2842.59,2834.09,2842.59,2811.05,67564085234.3,13631162034000.0
11,2020-10-12,1825.2,1836.6,1849.0,1805.2,14829.0,27323578.6,4.25,0.09,2834.33,2846.14,2862.36,2827.52,58718697811.45,13689118306976.201
12,2020-10-13,1839.6,1802.2,1841.8,1791.6,46775.0,85301075.0,4.25,0.09,2846.04,2829.23,2859.52,2822.97,56828024719.1,13607767077509.918
13,2020-10-14,1800.0,1824.8,1824.8,1780.0,11455.0,20620921.0,4.25,0.09,2829.88,2856.08,2857.47,2824.12,54266740541.85,13736904655277.525
14,2020-10-15,1800.0,1805.6,1814.0,1775.2,20646.0,37052957.0,4.25,0.09,2849.24,2817.29,2850.11,2803.9,65315267334.85,13550357615696.22
15,2020-10-16,1801.2,1809.2,1809.2,1798.0,4043.0,7287201.4,4.25,0.09,2819.04,2799.54,2819.04,2785.85,71062651943.55,13464960048324.197
16,2020-10-19,1780.4,1798.8,1804.6,1780.4,6079.0,10931823.0,4.25,0.09,2797.65,2794.27,2809.42,2787.5,48808418102.15,13439610301348.738
17,2020-10-20,1799.2,1801.2,1809.8,1785.8,4295.0,7710605.6,4.25,0.09,2785.99,2803.06,2817.73,2774.16,70200100871.6,13481902181373.41
18,2020-10-21,1813.8,1769.8,1813.8,1749.4,4420.0,7827810.6,4.25,0.09,2811.87,2786.23,2816.9,2782.36,65964265507.3,13400971733707.781
19,2020-10-22,1765.2,1776.0,1778.6,1759.0,5924.0,10463413.2,4.25,0.09,2784.18,2803.17,2814.12,2783.37,61193148610.4,13482405171041.117
20,2020-10-23,1767.6,1750.4,1776.0,1750.4,4088.0,7193322.6,4.25,0.09,2807.3,2816.7,2826.53,2799.63,58028372135.3,13547527704718.865
21,2020-10-26,1750.4,1751.0,1774.8,1740.4,7274.0,12746887.4,4.25,0.09,2812.48,2785.59,2819.05,2785.59,52620022209.0,13397887836499.066
22,2020-10-27,1755.0,1776.0,1776.0,1750.2,3724.0,6559256.4,4.25,0.09,2784.13,2763.03,2790.19,2758.0,61439709363.35,13289351131337.639
23,2020-10-28,1750.8,1798.8,1810.0,1750.4,9469.0,16961586.8,4.25,0.09,2758.84,2693.46,2758.84,2680.83,91471007602.15,12954771829289.174
24,2020-10-29,1805.0,1818.8,1828.0,1797.2,8867.0,16131033.6,4.25,0.09,2704.5,2709.04,2728.97,2682.68,74274727007.0,13029709306520.393
25,2020-10-30,1827.8,1824.0,1831.2,1799.4,110855.0,201253921.8,4.25,0.09,2698.94,2690.59,2706.34,2664.44,68437052454.5,12940964452238.307
26,2020-11-02,1830.6,1869.0,1874.0,1830.0,9270.0,17181827.2,4.25,0.09,2681.19,2737.54,2743.98,2658.49,72875417363.5,13166789830115.883
27,2020-11-03,1874.6,1875.6,1881.4,1863.0,15527.0,29042244.6,4.25,0.09,2753.97,2786.42,2791.77,2750.26,78312915395.25,13401879845265.438
28,2020-11-05,1850.4,1855.2,1863.0,1845.0,5818.0,10782920.4,4.25,0.09,2824.45,2861.39,2869.91,2812.67,105069609556.45,13762459950320.277
29,2020-11-06,1862.6,1838.0,1862.6,1809.2,61949.0,113066526.6,4.25,0.09,2845.74,2895.62,2896.07,2832.98,80259567503.35,13927101352108.924
30,2020-11-09,1835.4,1862.0,1862.0,1827.0,19764.0,36352905.6,4.25,0.09,2919.08,2987.75,2988.88,2910.42,186353431932.75,14370213308631.504
31,2020-11-10,1874.4,1895.4,1903.0,1859.6,46471.0,87760222.6,4.25,0.09,2965.92,2998.61,3013.57,2943.43,150181333966.75,14422459844777.184
32,2020-11-11,1890.6,1932.0,1935.8,1890.6,13663.0,26071046.4,4.25,0.09,3004.63,3015.03,3031.69,3004.2,156869536674.85,14501405482080.545
33,2020-11-12,1932.0,1992.0,1992.0,1925.0,22263.0,43796102.6,4.25,0.09,2997.79,3025.83,3028.52,2988.03,111841039072.1,14553375998523.9
34,2020-11-13,1988.0,1993.2,2010.8,1985.0,6834.0,13656922.2,4.25,0.09,3007.16,3025.22,3027.45,2995.17,94141286376.05,14550400178003.95
35,2020-11-16,1992.4,1980.8,1992.4,1963.8,6498.0,12828828.4,4.25,0.09,3054.35,3079.74,3081.28,3046.77,113029902298.95,14812647230823.322
36,2020-11-17,1992.0,1979.6,2000.6,1970.4,11902.0,23669844.8,4.25,0.09,3081.05,3052.22,3087.19,3027.76,97624569190.3,14680281473824.783
37,2020-11-18,1918.0,1942.6,1960.0,1918.0,8003.0,15600425.8,4.25,0.09,,,,,,
38,2020-11-19,1950.0,1985.4,2019.8,1945.0,16302.0,32349527.6,4.25,0.08,,,,,,
39,2020-11-20,1999.4,1889.4,1999.4,1875.2,33593.0,65191337.2,4.25,0.08,,,,,,
40,2020-11-23,1889.4,1852.0,1889.8,1833.2,13733.0,25577284.0,4.25,0.08,,,,,,
41,2020-11-24,1850.0,1838.0,1865.6,1837.6,13157.0,24371908.4,4.25,0.08,,,,,,
