,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-23,1.0,0.912,1.0,0.853,53000.0,0.0,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
1,2014-06-24,0.949,0.96,0.96,0.949,18000.0,0.0,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
2,2014-07-03,0.984,0.984,0.984,0.984,14000.0,0.0,7.5,0.09,1514.66,1514.47,1522.21,1510.66,29541346787.0,6828240267478.4
3,2014-08-20,1.2,1.2,1.2,1.2,4000.0,0.0,8.0,0.09,1437.58,1447.5,1447.5,1432.63,25728795150.0,6526296901006.62
4,2014-09-17,0.9503,0.9503,0.9503,0.9503,1000.0,0.0,8.0,0.09,1477.09,1449.37,1477.09,1437.73,43639537600.0,6903283783164.72
5,2014-12-02,0.85,0.9,0.905,0.845,94000.0,0.0,9.5,0.12,1578.4,1583.12,1596.96,1555.89,46843420167.0,7540317495902.56
6,2014-12-03,0.995,0.995,0.995,0.995,1000.0,0.0,9.5,0.12,1583.62,1606.84,1608.92,1578.93,47389306057.0,7653293169132.22
7,2014-12-05,0.99,0.995,0.995,0.99,10000.0,0.0,9.5,0.12,1581.89,1529.2,1586.6,1528.65,44052547228.0,7283478688046.0
8,2014-12-09,0.91,0.99,0.99,0.91,95000.0,0.0,9.5,0.12,1481.49,1475.22,1490.27,1459.77,43732135318.0,7026377302115.53
9,2014-12-12,1.05,1.05,1.05,1.05,50000.0,0.0,10.5,0.12,1453.8,1459.68,1488.4,1413.04,51200831401.0,6952391085611.55
10,2015-01-05,1.345,1.345,1.345,1.345,1000.0,0.0,17.0,0.12,1394.66,1435.66,1438.91,1390.53,15320687285.0,6655000193417.98
11,2015-02-03,0.81,1.015,1.035,0.805,30000.0,0.0,15.0,0.12,1626.65,1654.36,1667.59,1626.65,36684677691.0,7668789955800.34
12,2015-02-04,0.895,1.0,1.0,0.855,27000.0,0.0,15.0,0.11,1655.5,1656.02,1665.09,1643.24,28406694409.0,7676490091070.59
13,2015-02-06,0.91,0.91,0.91,0.91,1000.0,0.0,15.0,0.11,1696.96,1755.45,1762.39,1696.96,54221952383.0,8137413935492.03
14,2015-02-09,0.91,0.95,0.95,0.91,8000.0,0.0,15.0,0.12,1755.7,1748.55,1830.0,1740.58,63280101174.0,8105398913722.94
15,2015-02-12,0.99,0.99,0.99,0.99,1000.0,0.0,15.0,0.12,1764.24,1802.8,1816.76,1747.85,85319933357.0,8356901880751.53
16,2015-02-13,0.94,0.94,0.945,0.94,15000.0,0.0,15.0,0.12,1802.88,1838.18,1839.71,1802.88,75313894394.0,8520878105106.55
17,2015-02-17,0.99,0.995,1.0,0.99,4000.0,0.0,15.0,0.12,1800.92,1793.82,1842.59,1781.8,52881168864.0,8315263404962.52
18,2015-02-18,1.095,1.005,1.2,1.005,12000.0,0.0,15.0,0.12,1795.83,1809.67,1833.14,1795.59,49388542824.0,8388736905011.3
19,2015-02-19,1.055,1.0,1.055,1.0,5000.0,0.0,15.0,0.12,1809.67,1797.87,1819.89,1757.33,47713577864.0,8334054255029.34
20,2015-02-20,1.14,1.31,1.395,1.14,127000.0,0.0,15.0,0.12,1797.88,1792.7,1809.24,1780.0,31928247145.0,8310073504191.34
21,2015-02-24,1.67,1.2,1.67,0.81,255000.0,0.0,15.0,0.11,1786.49,1772.16,1786.49,1754.81,29693757499.0,8214847546708.6
22,2015-02-25,1.1,1.1,1.1,1.005,19000.0,0.0,15.0,0.11,1772.4,1746.23,1773.73,1727.7,34882084448.0,8094632152285.09
23,2015-02-26,1.11,1.15,1.15,1.11,5000.0,0.0,15.0,0.11,1746.79,1760.66,1769.53,1735.27,40878525521.0,8161537848495.47
24,2015-02-27,1.145,1.145,1.145,1.145,1000.0,0.0,15.0,0.06,1760.67,1758.97,1769.22,1740.91,34816153558.0,8153719801978.58
25,2015-03-02,1.0,1.05,1.05,1.0,4000.0,0.0,15.0,0.12,1759.25,1783.34,1789.54,1759.18,28597842943.0,8266656116234.64
26,2015-03-06,1.015,1.015,1.015,1.015,2000.0,0.0,15.0,0.12,1761.29,1728.55,1766.86,1723.09,28339130028.0,8012721518510.74
27,2015-03-11,0.93,0.93,0.93,0.93,1000.0,0.0,15.0,0.11,1665.41,1671.47,1692.31,1655.32,36032409936.0,7748100580259.65
28,2015-03-18,0.95,0.94,0.95,0.94,44000.0,0.0,14.0,0.11,1611.74,1632.12,1640.27,1611.74,28577123436.0,7666544230537.4
