,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2021-05-26,444.4,444.4,444.4,444.4,60.0,0.0,5.0,0.06,3695.29,3711.05,3717.33,3694.13,86562266732.3,18842241465431.746
1,2021-05-27,458.1,444.4,458.1,283.05,120.0,0.0,5.0,0.06,3708.77,3738.68,3738.68,3694.59,163439271814.9,18982516389778.266
2,2021-05-28,400.0,600.05,621.8,400.0,1900.0,1158991.0,5.0,0.05,3750.46,3730.55,3752.8,3724.52,75179161010.4,18941264118686.35
3,2021-05-31,540.05,425.1,839.65,418.0,35840.0,18694884.0,5.0,0.05,3713.99,3721.63,3731.27,3713.99,54892962210.6,18895984364177.113
4,2021-06-01,437.0,378.0,437.0,370.0,19300.0,7425549.0,5.0,0.06,3739.57,3764.59,3784.59,3739.57,93618698281.65,19114073244673.2
5,2021-06-02,382.0,376.1,382.0,372.0,5980.0,2249354.0,5.0,0.06,3771.32,3817.68,3817.68,3769.47,92406033662.0,19383624814770.164
6,2021-06-03,382.15,387.9,395.95,372.3,6040.0,2297693.0,5.0,0.06,3833.77,3805.45,3837.73,3777.98,97293581463.4,19321551832362.402
7,2021-06-04,391.1,397.75,406.5,377.85,8850.0,3501555.0,5.0,0.06,3805.94,3807.43,3816.24,3766.62,89195021288.45,19331617045210.68
8,2021-06-07,399.85,395.85,400.9,389.0,3220.0,1277021.0,5.0,0.06,3807.96,3822.21,3827.66,3793.96,66545410342.25,19406636155560.47
9,2021-06-08,400.3,376.25,400.3,370.0,14890.0,5631640.5,5.0,0.06,3819.52,3807.43,3833.17,3799.07,84461841172.6,19331620071951.805
10,2021-06-09,376.25,373.15,376.25,368.0,6780.0,2513239.0,5.0,0.06,3821.8,3843.28,3843.41,3805.82,75567172511.75,19513642834536.508
11,2021-06-10,375.4,378.0,390.0,372.3,10680.0,4069361.0,5.0,0.06,3835.21,3827.71,3847.89,3822.01,84251605901.3,19434552819692.707
12,2021-06-11,382.65,379.5,383.2,375.0,3420.0,1292707.0,5.0,0.06,3838.98,3841.53,3849.32,3828.62,73932111762.65,19504742619191.273
13,2021-06-14,383.25,380.0,393.0,374.95,16490.0,6269399.5,5.0,0.06,3845.81,3860.18,3862.39,3842.75,55256916196.4,19599422835808.38
14,2021-06-15,384.0,376.0,389.0,372.0,15310.0,5793689.0,5.5,0.06,3864.36,3822.4,3865.2,3819.64,77748676317.75,19407612282514.164
15,2021-06-16,372.0,376.15,382.95,368.05,15560.0,5779490.0,5.5,0.06,3821.45,3829.67,3836.91,3803.54,87655878896.5,19444518939630.17
16,2021-06-17,363.3,351.95,367.2,345.0,14040.0,4971202.0,5.5,0.1,3807.32,3819.07,3832.61,3801.98,108572482848.15,19390704187702.875
17,2021-06-18,350.05,348.25,354.85,340.1,2760.0,954427.5,5.5,0.1,3809.99,3802.95,3813.5,3775.82,127038746364.85,19415930371415.508
18,2021-06-21,346.05,342.0,354.9,339.25,3970.0,1362357.5,5.5,0.1,3797.23,3813.45,3816.85,3785.49,72776247684.55,19469543978111.652
19,2021-06-22,340.0,338.5,340.0,330.05,2750.0,922752.5,5.5,0.1,3831.61,3821.68,3835.86,3809.71,66960646067.9,19511597465396.58
20,2021-06-23,330.55,327.0,340.7,327.0,7600.0,2520349.0,5.5,0.1,3836.12,3837.15,3847.22,3820.5,77124138926.0,19590583228635.957
21,2021-06-24,329.95,323.45,341.0,317.55,10980.0,3570423.0,5.5,0.1,3833.73,3823.44,3839.64,3800.5,110354773852.8,19520557838042.883
22,2021-06-25,323.6,323.0,329.7,315.0,6150.0,1954672.5,5.5,0.1,3818.97,3831.84,3833.32,3805.7,69900007013.55,19563428656602.81
23,2021-06-28,328.7,323.1,332.95,322.75,2630.0,861312.0,5.5,0.1,3833.72,3825.57,3852.83,3822.81,60983038448.45,19531445606868.9
24,2021-06-29,320.25,324.1,329.0,320.0,1670.0,538599.5,5.5,0.1,3817.72,3790.85,3821.59,3768.24,84717624504.1,19354154196117.926
25,2021-06-30,330.45,326.55,330.45,320.4,640.0,0.0,5.5,0.08,3799.42,3841.85,3847.3,3779.28,97896743503.75,19614562061887.246
26,2021-07-01,328.95,326.0,330.5,324.25,330.0,0.0,5.5,0.1,3843.28,3858.32,3879.5,3843.16,98385892433.15,19698643651817.85
27,2021-07-02,325.5,323.0,325.5,319.9,2820.0,905803.0,5.5,0.1,3853.81,3865.42,3877.23,3843.9,66722938613.25,19734900814547.39
28,2021-07-05,319.4,322.95,322.95,319.25,410.0,0.0,5.5,0.1,3874.81,3882.59,3882.59,3863.09,50331919245.05,19822554433946.535
29,2021-07-06,321.95,323.0,328.8,320.1,580.0,0.0,5.5,0.1,3896.82,3884.3,3915.0,3878.39,110988663432.7,19831299012077.195
30,2021-07-07,319.55,323.8,327.9,319.55,640.0,0.0,5.5,0.1,3881.88,3895.1,3912.39,3879.72,89700011209.25,19886401817244.555
31,2021-07-08,320.05,323.15,325.8,318.65,870.0,0.0,5.5,0.1,3882.15,3861.08,3883.47,3839.4,88638024988.1,19712746517589.68
32,2021-07-09,325.1,320.05,325.1,319.0,490.0,0.0,5.5,0.1,3865.62,3855.31,3874.96,3850.57,75969057848.8,19683293507830.004
33,2021-07-12,324.0,317.75,324.0,317.05,1080.0,0.0,5.5,0.1,3864.26,3875.61,3882.6,3848.45,58690564393.55,19786906139327.812
34,2021-07-13,316.55,321.0,321.15,316.55,2440.0,777328.5,5.5,0.1,3888.32,3877.03,3891.54,3852.54,73065075971.25,19794171939247.125
35,2021-07-14,320.5,318.05,320.5,317.7,320.0,0.0,5.5,0.1,3851.16,3832.85,3862.73,3829.59,82493295369.4,19568581511014.04
36,2021-07-15,320.95,316.0,320.95,313.6,4300.0,1355209.0,5.5,0.1,3826.45,3799.97,3832.5,3789.31,69083210864.95,19400731612606.68
37,2021-07-16,320.0,320.2,325.25,316.05,3790.0,1215709.5,5.5,0.1,3795.03,3770.15,3812.49,3756.01,72584122640.8,19248482020780.023
38,2021-07-19,319.45,317.0,325.0,314.2,1650.0,526919.5,5.5,0.1,3743.97,3693.42,3744.27,3679.79,88681181628.1,18856726749311.598
39,2021-07-20,314.5,325.0,325.0,314.5,3490.0,1127802.5,5.5,0.1,3707.23,3704.4,3719.09,3679.44,71026481627.0,18912779774878.117
40,2021-07-21,318.15,320.15,329.9,318.15,530.0,0.0,5.5,0.1,3718.92,3722.96,3738.33,3701.95,53910924683.8,19007581477860.55
41,2021-07-22,323.3,320.1,326.0,320.0,430.0,0.0,5.5,0.1,3746.35,3754.44,3758.58,3724.29,60552813222.7,19168279403560.508
42,2021-07-23,324.95,320.0,325.0,318.05,710.0,0.0,5.5,0.1,3760.33,3734.54,3767.4,3724.74,48982665211.95,19066670751064.7
43,2021-07-26,318.55,321.95,324.45,318.55,440.0,0.0,6.5,0.1,3724.2,3750.1,3755.52,3710.14,52211642926.55,19146108523545.484
44,2021-07-27,321.8,319.2,321.8,319.2,130.0,0.0,6.5,0.1,3756.79,3733.1,3762.89,3733.1,68300930120.8,19059343897418.14
45,2021-07-28,320.0,320.35,325.0,318.6,280.0,0.0,6.5,0.1,3747.25,3782.28,3782.28,3743.46,60723839373.1,19310408766810.28
46,2021-07-29,318.35,320.3,324.0,318.35,180.0,0.0,6.5,0.1,3794.4,3804.33,3806.83,3789.57,75765356663.15,19422978393463.67
47,2021-07-30,320.0,319.65,322.45,318.05,490.0,0.0,6.5,0.07,3789.33,3771.58,3793.4,3759.83,90507692004.95,19255806022732.47
48,2021-08-02,321.5,325.0,325.0,319.5,1110.0,0.0,6.5,0.1,3791.22,3788.1,3801.24,3781.43,63457146082.5,19340149910266.945
49,2021-08-03,324.5,321.5,325.0,319.0,340.0,0.0,6.5,0.1,3782.41,3793.69,3797.3,3771.8,60125322200.85,19368651152196.53
50,2021-08-04,320.0,322.0,322.0,320.0,250.0,0.0,6.5,0.1,3808.44,3810.62,3814.63,3795.75,58810613620.4,19455106911251.188
51,2021-08-05,318.5,319.5,321.0,318.5,190.0,0.0,6.5,0.1,3803.91,3833.75,3833.81,3801.16,64346453358.65,19573192777191.332
52,2021-08-06,324.0,321.0,325.0,313.5,1250.0,0.0,6.5,0.1,3836.49,3805.36,3837.35,3802.44,83718742514.6,19428235934544.176
53,2021-08-09,314.5,322.0,324.0,314.5,940.0,0.0,6.5,0.1,3795.48,3835.11,3839.72,3790.63,94351508429.55,19580140056587.83
54,2021-08-10,320.5,322.5,324.0,320.5,1840.0,591670.0,6.5,0.1,3847.12,3862.32,3867.09,3843.42,71105935706.6,19719055546297.7
55,2021-08-11,319.5,318.0,324.0,318.0,1270.0,0.0,6.5,0.1,3875.23,3877.37,3886.78,3856.61,65067387233.6,19795908034364.57
56,2021-08-12,319.0,317.5,323.0,317.5,680.0,0.0,6.5,0.1,3879.01,3888.86,3897.92,3877.23,59101210982.55,19854549416025.336
57,2021-08-13,318.5,323.0,323.5,318.0,650.0,0.0,6.5,0.1,,,,,,
58,2021-08-16,323.5,321.0,323.5,319.5,190.0,0.0,6.5,0.1,,,,,,
59,2021-08-17,320.5,321.0,321.0,319.5,180.0,0.0,6.5,0.1,,,,,,
60,2021-08-18,323.0,323.0,325.0,321.5,420.0,0.0,6.5,0.09,,,,,,
61,2021-08-19,320.5,318.5,325.0,317.0,2410.0,771100.0,6.5,0.09,,,,,,
62,2021-08-20,317.0,318.5,321.5,317.0,270.0,0.0,6.5,0.09,,,,,,
63,2021-08-23,316.0,321.0,323.5,316.0,690.0,0.0,6.5,0.09,,,,,,
64,2021-08-24,322.0,322.5,322.5,320.0,110.0,0.0,6.5,0.09,,,,,,
