,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2013-04-04,0.57,0.56,0.5959,0.56,37000.0,387080282.02,5.5,0.14,1427.42,1426.87,1440.62,1416.75,36268432074.0,4680280285907.06
1,2013-04-05,0.5565,0.55,0.5565,0.55,952000.0,398609986.69,5.5,0.15,1426.61,1416.69,1430.55,1410.47,31492181208.0,4646893178186.05
2,2013-04-08,0.5574,0.54,0.5574,0.54,203000.0,312188028.35,5.5,0.15,1417.28,1408.55,1430.58,1406.67,25323378471.0,4620198596859.02
3,2013-04-09,0.5348,0.532,0.5348,0.532,21000.0,442738801.81,5.5,0.15,1408.81,1425.49,1427.29,1408.81,25693833642.0,4675762002101.02
4,2013-04-10,0.54,0.5416,0.5416,0.53,407000.0,473322828.61,5.5,0.15,1425.79,1425.5,1432.55,1419.96,28034210901.0,4675796003727.1
5,2013-04-11,0.535,0.515,0.535,0.515,213000.0,554831677.05,5.5,0.15,1425.19,1401.73,1428.84,1397.82,29775114562.0,4597805773999.32
6,2013-04-12,0.51,0.5,0.51,0.485,34000.0,672512707.55,5.5,0.15,1400.92,1385.84,1401.46,1380.57,26881547102.0,4545695451169.55
7,2013-04-15,0.4859,0.495,0.495,0.4601,351000.0,723990600.53,5.5,0.15,1385.62,1359.69,1387.94,1351.83,36136942147.0,4459925087360.65
8,2013-04-16,0.5,0.495,0.5238,0.4555,302000.0,748600699.13,5.5,0.15,1358.23,1352.37,1366.45,1349.93,28185620093.0,4435921503797.14
9,2013-04-17,0.51,0.4705,0.51,0.4705,64000.0,820563730.51,5.5,0.15,1353.41,1335.89,1358.61,1328.84,31350713378.0,4381847280135.27
10,2013-04-18,0.4602,0.4727,0.4727,0.4602,37000.0,441480086.98,5.5,0.15,1335.91,1335.21,1350.67,1333.73,28941395839.0,4379628468399.73
11,2013-04-19,0.4684,0.45,0.4684,0.45,223000.0,339148049.91,5.5,0.15,1335.57,1338.43,1346.39,1330.02,23559778621.0,4390171862238.04
12,2013-04-22,0.455,0.4901,0.4901,0.4175,495000.0,576936916.64,5.5,0.15,1338.67,1336.84,1354.84,1324.58,28348752264.0,4384960938021.55
13,2013-04-23,0.46,0.4911,0.4911,0.46,142000.0,721222740.52,5.5,0.14,1337.22,1339.91,1342.79,1320.73,27073966007.0,4395044557880.13
14,2013-04-24,0.5001,0.5321,0.5399,0.5,253000.0,1406402247.48,5.5,0.13,1339.51,1377.01,1378.03,1337.53,37947228082.0,4516740039325.29
15,2013-04-25,0.535,0.52,0.56,0.52,97000.0,1445228464.84,5.5,0.13,1377.33,1372.2,1386.31,1368.05,39433254295.0,4500971108026.07
16,2013-04-26,0.51,0.51,0.5201,0.495,1318000.0,1025183687.91,5.5,0.13,1372.5,1372.04,1375.73,1358.28,30084465483.0,4500422037921.16
17,2013-04-29,0.5251,0.52,0.5251,0.52,33000.0,541534875.13,5.5,0.13,1373.57,1362.57,1380.1,1360.54,21513847452.0,4469376040033.6
18,2013-04-30,0.5451,0.55,0.55,0.543,639000.0,704862115.94,5.5,0.14,1363.38,1385.88,1389.76,1360.58,38266511047.0,4545828711284.87
19,2013-05-02,0.565,0.58,0.6116,0.565,289000.0,748524410.25,5.5,0.15,1385.88,1376.56,1386.69,1369.52,18339627176.0,4515257192062.81
20,2013-05-03,0.5851,0.5851,0.5851,0.5851,607000.0,616530735.25,5.5,0.14,1377.45,1408.03,1408.05,1377.14,20213565417.0,4618487179724.43
21,2013-05-06,0.571,0.5752,0.577,0.571,590000.0,708998495.36,5.5,0.14,1408.03,1413.43,1417.99,1406.2,20362452085.0,4636195729319.12
22,2013-05-13,0.5313,0.532,0.532,0.5313,53000.0,568492526.99,5.5,0.12,1426.25,1416.5,1427.03,1409.34,30681153085.0,4646270498701.45
23,2013-05-14,0.538,0.548,0.55,0.538,110000.0,667857649.03,5.5,0.11,1414.79,1405.76,1421.14,1398.65,31353415787.0,4611041304733.78
24,2013-05-15,0.548,0.548,0.5883,0.543,172000.0,487640319.45,5.5,0.12,1405.65,1391.98,1409.65,1384.97,27987573687.0,4565844803354.76
25,2013-05-16,0.548,0.515,0.548,0.515,12000.0,461995440.9,5.5,0.11,1392.54,1373.65,1395.17,1373.1,26998112102.0,4505703596584.12
