,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2020-03-30,725.0,768.0,768.0,725.0,91.0,0.0,6.0,0.09,2377.21,2433.35,2435.53,2357.53,83128100470.5,9837652273720.0
1,2020-03-31,750.0,796.0,796.0,740.0,795.0,613232.0,6.0,0.08,2466.28,2508.81,2526.13,2459.19,113755975000.0,10142726432400.0
2,2020-04-01,754.0,760.0,768.0,754.0,82.0,0.0,6.0,0.06,2465.56,2473.61,2491.66,2449.01,80256140704.1,10000454450100.0
3,2020-04-02,760.0,754.0,764.0,754.0,58.0,0.0,6.0,0.05,2528.72,2545.95,2562.54,2470.85,134240120328.0,10292878529100.0
4,2020-04-03,762.0,750.0,762.0,750.0,107.0,0.0,6.0,0.05,2547.15,2572.23,2609.16,2533.06,117108960828.0,10399161366900.0
5,2020-04-06,735.0,770.0,787.0,735.0,111.0,0.0,6.0,0.05,2597.28,2622.59,2639.56,2576.28,89823141209.1,10602751250400.0
6,2020-04-07,780.0,771.0,785.0,751.0,521.0,0.0,6.0,0.05,2648.74,2634.74,2688.67,2612.96,120867694592.0,10651857854700.0
7,2020-04-08,760.0,760.0,760.0,760.0,18.0,0.0,6.0,0.05,2617.66,2670.12,2670.12,2603.99,83665607709.9,10794890674300.0
8,2020-04-09,770.0,770.0,770.0,770.0,54.0,0.0,6.0,0.05,2693.58,2701.77,2713.5,2643.98,117023415634.0,10922841280700.0
9,2020-04-10,754.0,755.0,758.0,754.0,42.0,0.0,6.0,0.05,2678.3,2677.86,2680.89,2656.45,36513692244.2,10826204813000.0
10,2020-04-13,770.0,764.0,770.0,762.0,89.0,0.0,6.0,0.05,2675.73,2628.85,2677.9,2610.61,47643715824.8,10628042399500.0
11,2020-04-14,766.0,766.0,770.0,766.0,49.0,0.0,6.0,0.05,2649.34,2631.83,2667.58,2619.91,82460437951.6,10640115665500.0
12,2020-04-15,776.0,768.0,784.0,768.0,123.0,0.0,6.0,0.05,2617.19,2498.94,2617.19,2489.99,99986258141.1,10102856947400.0
13,2020-04-16,755.0,764.0,784.0,755.0,168.0,0.0,6.0,0.05,2511.55,2515.05,2550.84,2468.65,106189551975.0,10167968113100.0
14,2020-04-17,700.0,761.0,765.0,699.0,52.0,0.0,6.0,0.05,2550.95,2534.97,2556.42,2516.87,70173608170.4,10248506784200.0
15,2020-04-20,786.0,770.0,786.0,770.0,119.0,0.0,6.0,0.05,2524.31,2525.97,2546.14,2502.38,67663196241.9,10212100591700.0
16,2020-04-21,775.0,764.0,775.0,763.0,95.0,0.0,6.0,0.05,2487.63,2488.02,2500.18,2431.98,109197015000.0,10058708611700.0
17,2020-04-22,761.0,777.0,787.0,752.0,88.0,0.0,6.0,0.05,2474.32,2573.41,2584.68,2471.23,97655302076.4,10403926596900.0
18,2020-04-23,770.0,776.0,776.0,757.0,106.0,0.0,6.0,0.04,2600.28,2599.41,2620.24,2558.32,82087755064.4,10509018130200.0
19,2020-04-24,743.0,757.0,761.0,730.0,166.0,0.0,6.0,0.05,2588.29,2562.03,2596.97,2551.66,64998483149.8,10357917000600.0
20,2020-04-27,721.0,762.0,775.0,721.0,49.0,0.0,5.5,0.04,2570.69,2570.91,2597.64,2557.81,53714781404.5,10393822008200.0
21,2020-04-28,750.0,768.0,768.0,750.0,157.0,0.0,5.5,0.04,2567.74,2612.24,2644.79,2566.92,91839443562.7,10560886165700.0
22,2020-04-29,769.0,770.0,770.0,756.0,49.0,0.0,5.5,0.04,2629.24,2663.14,2669.47,2617.34,85375068625.6,10766662453000.0
23,2020-04-30,750.0,765.0,770.0,750.0,25.0,0.0,5.5,0.05,2683.86,2650.56,2700.97,2629.57,103074636334.0,10715801376600.0
24,2020-05-04,743.0,761.0,765.0,730.0,53.0,0.0,5.5,0.05,2623.89,2624.64,2641.03,2599.74,60831813471.1,10611023660800.0
25,2020-05-05,763.0,765.0,765.0,763.0,30.0,0.0,5.5,0.05,2652.92,2653.51,2666.38,2634.49,50831285173.8,10727765129900.0
26,2020-05-06,770.0,752.0,1063.0,752.0,37443.0,32383568.0,5.5,0.05,2659.08,2632.1,2674.94,2626.68,67297608616.8,10641187455800.0
27,2020-05-07,765.0,769.0,820.0,756.0,7589.0,5951348.0,5.5,0.05,2632.87,2634.0,2664.99,2627.43,70256546512.8,10648859719700.0
28,2020-05-08,771.0,765.0,777.0,755.0,1059.0,808496.0,5.5,0.05,2647.8,2641.55,2648.45,2613.83,52781422323.2,10679398589800.0
29,2020-05-12,769.0,762.0,807.0,750.0,2953.0,2276802.0,5.5,0.05,2635.51,2642.04,2651.97,2620.35,69766236611.6,10681372531700.0
30,2020-05-13,753.0,758.0,773.0,750.0,1257.0,953764.0,5.5,0.05,2630.79,2604.98,2630.79,2601.25,65122067941.5,10531565964800.0
31,2020-05-14,750.0,753.0,759.0,735.0,726.0,545285.0,5.5,0.05,2596.13,2590.31,2606.95,2564.44,75036648672.9,10472245825900.0
32,2020-05-15,754.0,755.0,763.0,739.0,1291.0,970419.0,5.5,0.05,2616.14,2593.91,2633.29,2593.91,69719413922.0,10486792014000.0
33,2020-05-18,756.0,774.0,795.0,756.0,599.0,0.0,5.5,0.05,2623.61,2694.25,2694.25,2623.61,90270188688.3,10892471813700.0
34,2020-05-19,765.0,767.0,770.0,756.0,300.0,0.0,5.5,0.05,2702.34,2711.72,2720.06,2683.81,90468989581.1,10963063742700.0
35,2020-05-20,766.0,764.0,766.0,745.0,840.0,636185.0,5.5,0.05,2706.07,2770.79,2771.27,2700.64,101166454638.0,11201903740000.0
36,2020-05-21,765.0,779.0,790.0,758.0,1436.0,1108465.0,5.5,0.05,2767.97,2718.67,2794.6,2702.67,99060517646.6,10991194347600.0
37,2020-05-22,776.0,774.0,778.0,770.0,327.0,0.0,5.5,0.05,2691.58,2709.38,2718.48,2687.18,64772612461.4,10953606897900.0
38,2020-05-25,775.0,810.0,830.0,775.0,2166.0,1732604.0,5.5,0.05,2718.72,2757.93,2757.93,2718.72,37287726909.1,11149914395000.0
39,2020-05-26,810.0,800.0,817.0,800.0,1774.0,1434468.0,5.5,0.05,2777.72,2754.04,2796.85,2750.51,80629535591.6,11134185383700.0
40,2020-05-27,799.0,791.0,814.0,779.0,2747.0,2184142.0,5.5,0.05,2748.25,2741.02,2780.05,2711.9,99161791168.5,11081548841400.0
41,2020-05-28,793.0,802.0,811.0,783.0,711.0,568382.0,5.5,0.05,2748.03,2779.98,2781.25,2737.94,82839073065.7,11239031853600.0
42,2020-05-29,794.0,800.0,808.0,794.0,747.0,597981.0,5.5,0.05,2766.62,2734.83,2766.62,2717.8,150217266594.0,11056504974700.0
43,2020-06-01,813.0,814.0,815.0,800.0,834.0,673296.0,5.5,0.05,2761.23,2750.24,2773.56,2733.28,75200963162.1,11118806796500.0
44,2020-06-02,817.0,817.0,827.0,801.0,616.0,0.0,5.5,0.06,2760.63,2796.51,2796.52,2754.85,94796949530.4,11305870724800.0
