,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2013-07-11,0.01292,0.01292,0.012925,0.012905,75000000.0,89567325.0,5.5,0.09,1333.12,1368.11,1370.07,1332.26,32510267533.0,6099018947194.47
1,2013-07-17,0.0133,0.010549,0.0133,0.010549,12700000.0,120793770.4,5.5,0.09,1409.21,1431.8,1432.35,1407.15,35722012697.0,6382943059723.18
2,2013-07-18,0.013879,0.013828,0.013879,0.013828,65000000.0,140421809.4,5.5,0.09,1431.3,1416.63,1439.6,1408.66,39832504472.0,6315313766702.67
3,2013-07-29,0.012857,0.012826,0.012857,0.011826,4000000.0,65594251.2,5.5,0.08,1403.31,1398.3,1410.73,1397.93,16109119204.0,6233582869504.04
4,2013-07-31,0.0126,0.01263,0.01263,0.0126,800000.0,79429580.8,5.5,0.09,1387.31,1375.79,1392.4,1375.38,25695490943.0,6133260944581.56
5,2013-08-07,0.01235,0.0125,0.0125,0.01235,10700000.0,50875900.4,5.5,0.09,1364.31,1362.91,1375.09,1356.24,20605845443.0,6075843339058.16
6,2013-08-08,0.01254,0.0126,0.0126,0.01254,1700000.0,51393490.3,5.5,0.09,1364.4,1362.38,1370.81,1353.71,23986978343.0,6073457608533.86
7,2013-08-13,0.01305,0.01305,0.01305,0.01305,10000000.0,70892832.3,5.5,0.08,1387.9,1407.86,1409.91,1387.43,25248767872.0,6276208742460.25
8,2013-08-15,0.01292,0.012877,0.01292,0.012877,2200000.0,49229531.1,5.5,0.08,1424.17,1391.37,1424.17,1388.81,24982813091.0,6202731244029.29
9,2013-08-16,0.01273,0.01251,0.01279,0.01251,2400000.0,58428156.3,5.5,0.09,1392.98,1380.31,1396.5,1372.03,23811955700.0,6153425701933.13
10,2013-08-19,0.012592,0.012592,0.012592,0.012592,1700000.0,39740525.4,5.5,0.09,1380.56,1382.32,1384.33,1368.95,17873142853.0,6162344150683.63
11,2013-08-21,0.01243,0.01243,0.01243,0.01243,1100000.0,84529849.5,5.5,0.08,1376.82,1376.6,1390.29,1368.06,25959244434.0,6136843110725.03
12,2013-08-23,0.01257,0.01257,0.01257,0.01257,1100000.0,39393865.7,5.5,0.08,1397.54,1393.21,1401.67,1392.59,19862975165.0,6210897083880.2
13,2013-08-26,0.012301,0.012301,0.012301,0.012301,200000.0,38008459.9,5.5,0.08,1392.42,1387.06,1403.88,1382.6,11910072127.0,6183488794275.27
14,2013-08-27,0.012,0.0122,0.01225,0.012,2400000.0,73675649.3,5.5,0.07,1387.21,1374.21,1387.21,1367.56,22824404174.0,6126227462203.77
15,2013-08-28,0.011703,0.012036,0.0125,0.011703,3200000.0,45105962.7,5.5,0.07,1374.27,1369.64,1375.39,1355.7,27177077921.0,6105859421428.65
