,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-10,18.5,18.0,18.5,18.0,25000.0,0.0,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
1,2014-06-23,18.002,18.001,18.002,18.001,2000.0,0.0,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
2,2014-06-25,18.501,18.501,18.501,18.501,1100.0,506453.3,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
3,2014-06-26,18.001,18.0,18.001,18.0,13000.0,0.0,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
4,2014-06-30,18.51,18.501,18.51,18.501,5000.0,0.0,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
5,2014-07-02,18.501,19.2,19.2,18.501,9600.0,564764.0,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
6,2014-07-04,18.001,18.0,18.001,18.0,300.0,570164.1,7.5,0.09,1515.53,1489.53,1516.36,1485.52,25432309583.0,6715772755003.5
7,2014-07-07,18.0,18.0,18.5,18.0,17300.0,0.0,7.5,0.1,1489.55,1513.72,1518.05,1484.27,26447591867.0,6824843528813.94
8,2014-07-08,18.501,18.5,18.501,18.5,1000.0,0.0,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
9,2014-07-09,19.499,20.0,20.001,19.1,79000.0,1566199.7,7.5,0.09,1516.29,1513.38,1518.6,1496.79,28433619876.0,6823335238301.22
10,2014-07-10,21.999,20.0,21.999,20.0,20700.0,1980399.7,7.5,0.09,1513.37,1494.92,1521.88,1480.26,40593712934.0,6740109174597.83
11,2014-07-11,19.89,19.5,19.89,19.2,500.0,1990236.7,7.5,0.09,1495.01,1499.82,1502.23,1488.84,27280591834.0,6762191289526.07
12,2014-07-14,19.1,18.102,21.0,18.102,22500.0,0.0,7.5,0.09,1500.29,1483.41,1502.68,1482.63,25874350380.0,6688204369898.62
13,2014-07-15,17.503,18.51,18.51,17.501,1400.0,0.0,7.5,0.09,1482.23,1475.77,1487.49,1471.95,31348119170.0,6653730932218.92
14,2014-07-17,18.4,18.4,18.4,18.4,10000.0,668706.2,7.5,0.09,1470.83,1440.63,1470.83,1429.08,46983315494.0,6495297231665.95
15,2014-07-18,19.998,18.457,19.999,18.457,7000.0,0.0,7.5,0.09,1440.54,1422.53,1440.54,1410.48,40033266979.0,6413710020809.31
16,2014-07-21,20.5,19.007,21.0,19.007,8400.0,0.0,7.5,0.1,1422.53,1384.5,1424.64,1384.5,39527909818.0,6242240077462.93
17,2014-07-22,18.45,18.45,18.45,18.45,10000.0,0.0,7.5,0.09,1386.14,1405.97,1414.21,1386.14,35820774896.0,6339040079280.09
18,2014-07-23,19.999,21.0,21.0,19.5,34400.0,685849.9,7.5,0.09,1406.5,1406.58,1421.56,1395.74,29647055743.0,6341809496909.95
19,2014-07-24,20.001,20.001,20.001,20.0,19100.0,1067862.6,7.5,0.09,1405.58,1408.8,1410.75,1394.04,25372742027.0,6351783470052.68
20,2014-07-25,20.5,22.988,22.988,20.5,24100.0,0.0,7.5,0.09,1408.19,1388.41,1408.19,1386.14,29628586311.0,6259875281029.59
21,2014-07-28,20.5,20.501,21.5,20.5,8000.0,654301.4,8.0,0.09,1387.12,1361.94,1387.14,1357.03,30461885017.0,6140507803885.11
22,2014-07-30,20.001,19.751,20.001,19.751,5000.0,0.0,8.0,0.09,1368.72,1382.14,1403.6,1359.65,40179117327.0,6231580896817.33
23,2014-07-31,21.399,21.399,21.399,21.399,100.0,755346.1,8.0,0.08,1383.04,1379.61,1399.12,1376.48,29121177754.0,6220179585134.02
24,2014-08-01,21.0,22.0,22.0,21.0,16600.0,0.0,8.0,0.09,1378.03,1374.83,1378.1,1358.11,33134471815.0,6198666221991.83
25,2014-08-04,22.0,22.0,22.0,22.0,10000.0,579784.9,8.0,0.09,1375.73,1378.98,1386.43,1365.01,26195753576.0,6217358216917.08
26,2014-08-06,22.011,22.01,22.011,22.01,2300.0,630408.0,8.0,0.09,1357.33,1334.66,1362.22,1333.37,44555802086.0,6017513533119.65
