,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-18,86.02,86.1,86.11,86.01,800.0,0.0,7.5,0.1,1486.47,1494.28,1500.39,1484.51,33911920376.0,6737184533664.86
1,2014-06-19,88.9,93.26,93.26,88.9,2500.0,0.0,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
2,2014-06-20,90.0,90.0,90.0,83.0,2100.0,0.0,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
3,2014-06-23,90.0,98.3,98.3,83.0,1200.0,524212.0,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
4,2014-06-24,85.0,85.0,85.0,85.0,100.0,601577.0,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
5,2014-06-26,92.0,92.0,92.0,92.0,100.0,0.0,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
6,2014-07-03,86.13,86.13,86.13,86.13,100.0,0.0,7.5,0.09,1514.66,1514.47,1522.21,1510.66,29541346787.0,6828240267478.4
7,2014-07-04,86.86,86.3,86.86,86.3,200.0,0.0,7.5,0.09,1515.53,1489.53,1516.36,1485.52,25432309583.0,6715772755003.5
8,2014-07-09,86.0,86.0,86.0,85.01,300.0,0.0,7.5,0.09,1516.29,1513.38,1518.6,1496.79,28433619876.0,6823335238301.22
9,2014-07-11,82.15,85.0,91.0,82.15,1600.0,0.0,7.5,0.09,1495.01,1499.82,1502.23,1488.84,27280591834.0,6762191289526.07
10,2014-07-14,85.2,87.7,87.7,85.2,1600.0,0.0,7.5,0.09,1500.29,1483.41,1502.68,1482.63,25874350380.0,6688204369898.62
11,2014-07-16,91.81,96.0,96.0,91.81,5000.0,0.0,7.5,0.09,1475.68,1474.72,1482.6,1459.08,31471423221.0,6649014803543.48
12,2014-07-18,99.93,99.93,99.93,99.93,100.0,0.0,7.5,0.09,1440.54,1422.53,1440.54,1410.48,40033266979.0,6413710020809.31
13,2014-07-21,86.1,89.0,89.0,86.1,1800.0,646984.0,7.5,0.1,1422.53,1384.5,1424.64,1384.5,39527909818.0,6242240077462.93
14,2014-07-28,99.0,99.0,99.0,99.0,100.0,656884.0,8.0,0.09,1387.12,1361.94,1387.14,1357.03,30461885017.0,6140507803885.11
15,2014-08-04,86.0,89.3,89.3,86.0,1800.0,0.0,8.0,0.09,1375.73,1378.98,1386.43,1365.01,26195753576.0,6217358216917.08
16,2014-08-08,81.05,84.02,84.02,81.05,1800.0,0.0,8.0,0.09,1332.26,1348.21,1360.49,1329.1,34479528820.0,6078629580593.59
17,2014-08-14,82.02,82.02,82.02,82.02,100.0,0.0,8.0,0.09,1399.07,1407.53,1412.88,1391.65,32917275901.0,6346061682927.05
18,2014-08-21,85.0,89.3,89.3,85.0,1400.0,0.0,8.0,0.09,1447.12,1461.75,1469.44,1445.48,28439597629.0,6590528216157.51
19,2014-08-28,84.0,87.3,87.3,83.0,2000.0,0.0,8.0,0.09,1447.54,1423.78,1447.76,1414.18,43849484690.0,6419337314027.56
20,2014-09-02,87.0,92.5,92.5,87.0,20000.0,2134275.0,8.0,0.09,1392.27,1400.35,1401.68,1386.31,20818865093.0,6313723045613.47
21,2014-09-03,87.0,87.0,87.0,87.0,1400.0,2256075.0,8.0,0.09,1400.44,1449.29,1452.92,1400.44,56947742576.0,6534374903303.01
22,2014-10-01,99.3,85.0,99.3,85.0,200.0,0.0,8.0,0.09,,,,,,
23,2014-10-06,85.0,85.0,85.0,85.0,100.0,0.0,8.0,0.09,,,,,,
24,2014-10-08,90.0,82.0,90.0,82.0,200.0,0.0,8.0,0.09,,,,,,
25,2014-10-14,91.9,91.9,91.9,91.9,100.0,0.0,8.0,0.09,,,,,,
26,2014-10-23,92.0,95.0,95.0,92.0,2000.0,0.0,8.0,0.09,,,,,,
27,2014-10-24,78.2,90.0,90.0,73.0,4600.0,0.0,8.0,0.09,,,,,,
28,2014-10-27,89.9,90.0,90.0,89.9,3000.0,658720.0,8.0,0.09,,,,,,
29,2014-10-28,94.9,90.0,95.0,90.0,2000.0,843700.0,8.0,0.09,,,,,,
30,2014-11-05,92.0,90.0,94.0,90.0,1100.0,1129100.0,9.5,0.09,1490.66,1495.26,1496.19,1471.25,35993706175.0,7121819234260.93
31,2014-11-06,85.0,84.0,85.0,84.0,1900.0,0.0,9.5,0.09,1495.47,1497.46,1521.14,1490.66,40485840607.0,7132315424108.46
32,2014-11-07,88.0,93.9,93.9,88.0,1000.0,0.0,9.5,0.09,1496.51,1497.11,1526.08,1486.37,62435787319.0,7130652967630.07
33,2014-11-10,87.1,87.1,87.1,87.1,100.0,0.0,9.5,0.09,1498.62,1515.36,1518.73,1498.59,36072189835.0,7217582952688.41
34,2014-11-20,91.0,94.0,94.0,91.0,138900.0,12811070.0,9.5,0.1,1518.1,1530.4,1535.97,1517.28,34907988979.0,7289202234493.41
35,2014-11-27,88.2,88.2,88.2,88.2,19600.0,14440220.0,9.5,0.1,1537.0,1531.69,1548.17,1528.06,39939357345.0,7295336331196.54
36,2014-12-01,90.0,90.0,90.0,90.0,500.0,14485220.0,9.5,0.13,1532.89,1578.38,1598.19,1525.35,62166248251.0,7517749945811.61
37,2014-12-02,87.0,86.0,90.0,86.0,7200.0,672710.0,9.5,0.12,1578.4,1583.12,1596.96,1555.89,46843420167.0,7540317495902.56
38,2014-12-03,88.8,88.8,88.8,88.8,100.0,681590.0,9.5,0.12,1583.62,1606.84,1608.92,1578.93,47389306057.0,7653293169132.22
39,2014-12-04,90.0,90.0,90.0,90.0,500.0,681590.0,9.5,0.12,1606.75,1582.08,1623.02,1577.7,59378086980.0,7535377974526.13
40,2014-12-05,90.0,90.0,90.0,90.0,1000.0,816590.0,9.5,0.12,1581.89,1529.2,1586.6,1528.65,44052547228.0,7283478688046.0
41,2014-12-10,90.0,90.0,90.0,90.0,100.0,2554310.0,9.5,0.12,1475.93,1486.85,1514.63,1475.93,42337397882.0,7081796065851.96
42,2014-12-15,87.0,87.0,87.0,87.0,5000.0,1215590.0,10.5,0.11,1459.25,1424.99,1483.38,1402.83,68027939909.0,6787127409924.95
43,2014-12-17,87.0,90.0,90.0,74.0,156400.0,13593140.0,17.0,0.13,1445.53,1413.79,1476.19,1389.63,81076784417.0,6553645114861.3
44,2014-12-22,87.0,90.0,90.0,87.0,200.0,13610840.0,17.0,0.13,1452.95,1437.08,1466.34,1421.39,50209370839.0,6661583735341.69
45,2014-12-25,86.0,84.0,87.0,84.0,50100.0,4307220.0,17.0,0.13,1401.47,1408.54,1410.06,1383.91,23569010203.0,6529289258920.08
46,2014-12-26,85.9,87.0,87.0,85.9,10000.0,5173970.0,17.0,0.13,1409.02,1417.8,1432.41,1409.02,21938441630.0,6572219511259.2
47,2014-12-29,79.6,85.0,85.0,78.0,300.0,5198230.0,17.0,0.13,1417.53,1432.94,1489.75,1409.1,31782008617.0,6642405410265.22
48,2014-12-30,85.9,85.9,85.9,85.9,200.0,5215410.0,17.0,0.13,1429.68,1396.61,1430.01,1378.54,26156334473.0,6473977848191.16
49,2015-01-05,85.9,85.9,85.9,85.9,100.0,5224000.0,17.0,0.12,1394.66,1435.66,1438.91,1390.53,15320687285.0,6655000193417.98
50,2015-01-06,85.9,85.9,85.9,85.9,400.0,951140.0,17.0,0.12,1435.39,1480.73,1481.35,1430.47,21268814897.0,6863934639625.86
51,2015-01-16,84.9,84.9,84.9,84.9,1200.0,0.0,17.0,0.13,1563.21,1591.43,1594.06,1551.01,30068854489.0,7377090247817.62
52,2015-01-19,80.0,80.0,80.0,80.0,100.0,0.0,17.0,0.13,1590.54,1576.4,1627.53,1572.94,37167969626.0,7307430024178.39
53,2015-01-23,83.9,84.9,99.0,83.0,10500.0,1012740.0,17.0,0.12,1667.99,1671.8,1700.78,1662.11,44311526698.0,7749626061678.21
54,2015-01-26,83.9,82.9,83.9,82.9,4800.0,1304980.0,17.0,0.12,1670.23,1642.37,1670.3,1622.02,36919529789.0,7613229340218.56
55,2015-01-27,83.9,81.9,83.9,81.9,1600.0,534800.0,17.0,0.11,1642.31,1673.92,1681.46,1614.16,44461457724.0,7759441568169.95
56,2015-01-28,83.0,82.5,85.5,80.1,53400.0,4508520.0,17.0,0.12,1675.3,1647.71,1706.39,1643.42,43016957356.0,7637980043638.41
57,2015-01-30,82.5,82.5,82.5,82.5,600.0,4558020.0,17.0,0.06,1640.56,1647.69,1664.73,1631.55,43391401113.0,7637894790603.35
58,2015-02-03,82.6,82.0,83.9,82.0,14600.0,1207340.0,15.0,0.12,1626.65,1654.36,1667.59,1626.65,36684677691.0,7668789955800.34
