,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,54.0,54.0,54.0,54.0,100.0,0.0,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-10,54.0,54.0,54.0,54.0,1000.0,0.0,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
2,2014-07-04,54.59,54.59,54.59,54.59,100.0,0.0,7.5,0.09,1515.53,1489.53,1516.36,1485.52,25432309583.0,6715772755003.5
3,2014-07-16,54.0,55.0,55.0,54.0,10400.0,0.0,7.5,0.09,1475.68,1474.72,1482.6,1459.08,31471423221.0,6649014803543.48
4,2014-08-14,42.111,50.0,50.0,42.111,6700.0,0.0,8.0,0.09,1399.07,1407.53,1412.88,1391.65,32917275901.0,6346061682927.05
5,2014-08-15,50.0,49.0,50.0,46.0,1300.0,0.0,8.0,0.09,1407.57,1417.82,1425.76,1400.7,26772144978.0,6392466871442.37
6,2014-08-21,51.0,51.0,51.0,51.0,300.0,0.0,8.0,0.09,1447.12,1461.75,1469.44,1445.48,28439597629.0,6590528216157.51
7,2014-08-26,51.0,50.998,51.0,50.998,1100.0,0.0,8.0,0.09,1454.47,1443.32,1460.0,1441.42,19706721633.0,6507455779142.91
8,2014-09-02,45.0,45.0,45.0,45.0,200.0,0.0,8.0,0.09,1392.27,1400.35,1401.68,1386.31,20818865093.0,6313723045613.47
9,2014-09-04,50.999,50.998,50.999,50.998,300.0,0.0,8.0,0.09,1449.51,1457.34,1462.03,1439.38,34234449476.0,6570639817053.64
10,2014-10-09,40.2,43.0,44.1,40.2,7700.0,0.0,8.0,0.08,,,,,,
11,2014-10-24,41.0,40.1,41.0,40.0,1900.0,0.0,8.0,0.09,,,,,,
12,2014-10-27,49.7,49.7,49.7,49.7,200.0,0.0,8.0,0.09,,,,,,
13,2014-11-05,50.0,50.0,50.0,50.0,100.0,0.0,9.5,0.09,1490.66,1495.26,1496.19,1471.25,35993706175.0,7121819234260.93
14,2014-11-07,49.9,49.9,49.9,49.9,3000.0,0.0,9.5,0.09,1496.51,1497.11,1526.08,1486.37,62435787319.0,7130652967630.07
15,2014-11-10,50.0,50.0,50.0,50.0,200.0,0.0,9.5,0.09,1498.62,1515.36,1518.73,1498.59,36072189835.0,7217582952688.41
16,2014-11-11,49.0,49.0,49.0,49.0,3000.0,0.0,9.5,0.09,1515.08,1514.78,1531.92,1511.53,38459111229.0,7214829498289.61
17,2014-11-13,49.9,49.9,49.9,49.9,100.0,0.0,9.5,0.09,1514.19,1492.27,1522.87,1492.27,39369641894.0,7107618216442.59
18,2014-11-14,49.9,49.9,49.9,49.9,200.0,0.0,9.5,0.09,1491.75,1500.76,1507.93,1481.97,34296102848.0,7148016471313.82
19,2014-11-17,50.0,50.0,50.0,50.0,2800.0,0.0,9.5,0.1,1500.69,1507.1,1512.61,1494.81,25778674454.0,7178242599235.5
20,2014-11-18,50.0,50.0,50.0,50.0,4700.0,0.0,9.5,0.11,1506.78,1519.61,1524.8,1495.09,37626778528.0,7237803241252.88
21,2014-11-20,51.0,51.0,51.0,51.0,500.0,0.0,9.5,0.1,1518.1,1530.4,1535.97,1517.28,34907988979.0,7289202234493.41
22,2014-11-24,50.0,50.0,50.0,50.0,1800.0,0.0,9.5,0.1,1539.95,1529.54,1541.75,1521.83,31750458256.0,7285128652947.91
23,2014-11-27,52.0,52.0,52.0,52.0,400.0,0.0,9.5,0.1,1537.0,1531.69,1548.17,1528.06,39939357345.0,7295336331196.54
24,2014-12-08,53.4,53.4,53.4,53.4,100.0,0.0,9.5,0.12,1529.73,1481.27,1551.66,1476.02,46772419082.0,7055222590397.55
25,2014-12-10,49.0,49.0,49.0,49.0,100.0,0.0,9.5,0.12,1475.93,1486.85,1514.63,1475.93,42337397882.0,7081796065851.96
26,2014-12-16,50.0,50.0,50.0,50.0,4600.0,0.0,17.0,0.12,1424.72,1444.32,1484.06,1309.6,100830509677.0,6695173218130.9
27,2014-12-25,50.0,50.0,50.0,50.0,5000.0,0.0,17.0,0.13,1401.47,1408.54,1410.06,1383.91,23569010203.0,6529289258920.08
28,2014-12-29,52.5,52.5,52.5,52.5,100.0,0.0,17.0,0.13,1417.53,1432.94,1489.75,1409.1,31782008617.0,6642405410265.22
29,2015-01-06,48.0,48.0,49.0,48.0,1000.0,0.0,17.0,0.12,1435.39,1480.73,1481.35,1430.47,21268814897.0,6863934639625.86
30,2015-01-19,49.6,49.9,49.9,49.6,1100.0,0.0,17.0,0.13,1590.54,1576.4,1627.53,1572.94,37167969626.0,7307430024178.39
31,2015-01-20,52.9,52.9,52.9,52.9,1500.0,0.0,17.0,0.12,1576.47,1570.97,1594.91,1561.8,31919504256.0,7282221929338.29
32,2015-02-13,51.8,56.0,56.0,51.8,10000.0,0.0,15.0,0.12,1802.88,1838.18,1839.71,1802.88,75313894394.0,8520878105106.55
33,2015-02-17,57.0,58.5,58.5,57.0,300.0,572320.0,15.0,0.12,1800.92,1793.82,1842.59,1781.8,52881168864.0,8315263404962.52
34,2015-02-18,60.0,64.0,64.0,60.0,200.0,584720.0,15.0,0.12,1795.83,1809.67,1833.14,1795.59,49388542824.0,8388736905011.3
35,2015-02-19,57.0,57.0,57.0,57.0,100.0,590420.0,15.0,0.12,1809.67,1797.87,1819.89,1757.33,47713577864.0,8334054255029.34
36,2015-02-20,52.0,52.0,52.0,52.0,100.0,595620.0,15.0,0.12,1797.88,1792.7,1809.24,1780.0,31928247145.0,8310073504191.34
37,2015-02-24,54.0,52.3,54.0,52.3,200.0,606250.0,15.0,0.11,1786.49,1772.16,1786.49,1754.81,29693757499.0,8214847546708.6
38,2015-02-27,56.0,56.0,56.0,56.0,1000.0,662250.0,15.0,0.06,1760.67,1758.97,1769.22,1740.91,34816153558.0,8153719801978.58
39,2015-03-02,56.0,56.0,56.0,56.0,800.0,0.0,15.0,0.12,1759.25,1783.34,1789.54,1759.18,28597842943.0,8266656116234.64
40,2015-03-18,52.1,52.0,52.1,52.0,900.0,0.0,14.0,0.11,1611.74,1632.12,1640.27,1611.74,28577123436.0,7666544230537.4
41,2015-03-27,51.2,51.2,51.2,51.2,500.0,0.0,14.0,0.12,1581.84,1571.55,1594.38,1569.61,28812026020.0,7382037286864.04
42,2015-03-30,51.7,51.9,53.0,51.7,2300.0,0.0,14.0,0.12,1571.77,1612.84,1615.55,1571.62,28725942381.0,7575988621535.56
43,2015-04-01,53.0,53.0,53.0,53.0,3000.0,0.0,14.0,0.12,1625.21,1661.9,1663.17,1613.77,38455199985.0,7806427453172.54
44,2015-04-02,53.0,53.0,53.0,53.0,1200.0,0.0,14.0,0.12,1661.9,1679.24,1682.29,1656.23,36856529940.0,7887880551195.88
45,2015-04-03,53.0,52.9,53.0,51.5,1300.0,0.0,14.0,0.12,1679.61,1681.47,1692.95,1676.47,19351904486.0,7898361588110.78
46,2015-04-06,53.0,53.0,53.0,53.0,400.0,0.0,14.0,0.13,1681.8,1700.64,1701.24,1679.3,24923955152.0,7988399677752.9
