,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,104.0,112.0,115.0,100.0,940.0,0.0,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-10,115.0,114.0,115.01,114.0,670.0,0.0,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
2,2014-06-11,117.92,115.1,118.0,113.5,1520.0,0.0,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
3,2014-06-17,108.0,117.99,129.48,108.0,1050.0,0.0,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
4,2014-06-18,120.88,130.0,130.0,111.0,1740.0,0.0,7.5,0.1,1486.47,1494.28,1500.39,1484.51,33911920376.0,6737184533664.86
5,2014-06-19,129.0,128.99,129.0,128.99,30.0,0.0,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
6,2014-06-20,121.0,121.0,121.0,121.0,100.0,0.0,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
7,2014-06-23,120.51,120.51,120.51,120.51,10.0,0.0,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
8,2014-06-24,127.99,135.0,135.0,127.99,1590.0,0.0,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
9,2014-06-25,133.99,140.0,141.6,133.99,3820.0,523830.3,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
10,2014-06-26,140.3,149.83,149.83,140.3,2770.0,0.0,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
11,2014-06-27,147.91,147.91,147.91,147.91,10.0,0.0,7.5,0.1,1473.31,1477.32,1481.29,1467.94,24506324520.0,6660748008656.28
12,2014-06-30,136.78,138.0,138.0,134.49,560.0,0.0,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
13,2014-07-01,146.99,133.01,146.99,133.01,20.0,0.0,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
14,2014-07-02,133.0,133.01,133.01,133.0,140.0,0.0,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
15,2014-07-07,132.01,120.14,132.01,120.14,140.0,0.0,7.5,0.1,1489.55,1513.72,1518.05,1484.27,26447591867.0,6824843528813.94
16,2014-07-08,125.01,125.0,125.01,125.0,250.0,0.0,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
17,2014-07-09,120.9,122.1,124.0,110.0,390.0,0.0,7.5,0.09,1516.29,1513.38,1518.6,1496.79,28433619876.0,6823335238301.22
18,2014-07-10,121.74,122.0,122.11,121.74,450.0,0.0,7.5,0.09,1513.37,1494.92,1521.88,1480.26,40593712934.0,6740109174597.83
19,2014-07-14,123.7,130.0,130.0,122.03,1100.0,0.0,7.5,0.09,1500.29,1483.41,1502.68,1482.63,25874350380.0,6688204369898.62
20,2014-07-15,125.01,125.0,125.02,122.0,3120.0,0.0,7.5,0.09,1482.23,1475.77,1487.49,1471.95,31348119170.0,6653730932218.92
21,2014-07-16,125.0,125.0,125.0,125.0,500.0,0.0,7.5,0.09,1475.68,1474.72,1482.6,1459.08,31471423221.0,6649014803543.48
22,2014-07-17,118.03,125.0,136.0,116.47,1580.0,0.0,7.5,0.09,1470.83,1440.63,1470.83,1429.08,46983315494.0,6495297231665.95
23,2014-07-18,135.35,137.72,137.72,135.35,80.0,0.0,7.5,0.09,1440.54,1422.53,1440.54,1410.48,40033266979.0,6413710020809.31
24,2014-07-21,125.01,124.99,125.01,124.98,770.0,0.0,7.5,0.1,1422.53,1384.5,1424.64,1384.5,39527909818.0,6242240077462.93
25,2014-07-22,125.01,123.89,125.01,123.89,1010.0,0.0,7.5,0.09,1386.14,1405.97,1414.21,1386.14,35820774896.0,6339040079280.09
26,2014-07-23,135.97,125.0,135.97,125.0,590.0,0.0,7.5,0.09,1406.5,1406.58,1421.56,1395.74,29647055743.0,6341809496909.95
27,2014-07-30,116.01,125.0,125.0,116.01,30.0,508621.9,8.0,0.09,1368.72,1382.14,1403.6,1359.65,40179117327.0,6231580896817.33
28,2014-08-01,125.01,125.0,125.01,125.0,100.0,0.0,8.0,0.09,1378.03,1374.83,1378.1,1358.11,33134471815.0,6198666221991.83
29,2014-08-04,135.99,140.16,140.16,135.99,650.0,0.0,8.0,0.09,1375.73,1378.98,1386.43,1365.01,26195753576.0,6217358216917.08
30,2014-08-05,120.04,138.0,140.45,120.04,1130.0,0.0,8.0,0.09,1379.5,1357.89,1383.36,1356.2,26258554225.0,6122263369324.38
31,2014-08-06,139.0,133.01,145.0,125.4,1640.0,0.0,8.0,0.09,1357.33,1334.66,1362.22,1333.37,44555802086.0,6017513533119.65
32,2014-08-12,144.99,137.01,144.99,137.01,30.0,0.0,8.0,0.09,1372.94,1374.19,1386.2,1368.1,30027011620.0,6195754643005.9
33,2014-08-13,144.86,145.0,149.99,144.86,3080.0,0.0,8.0,0.09,1373.64,1398.85,1402.38,1373.27,33763586053.0,6306941447520.57
34,2014-08-15,149.0,150.0,150.0,149.0,1210.0,0.0,8.0,0.09,1407.57,1417.82,1425.76,1400.7,26772144978.0,6392466871442.37
35,2014-08-19,130.03,130.01,130.03,130.01,60.0,0.0,8.0,0.09,1425.18,1437.6,1441.42,1425.18,25673186641.0,6481651396810.93
36,2014-08-22,148.99,150.0,150.0,148.99,50.0,654063.7,8.0,0.09,1461.79,1446.6,1463.71,1434.09,28861993115.0,6522253115433.8
37,2014-08-25,149.99,140.0,149.99,140.0,170.0,678063.6,8.0,0.09,1446.86,1454.67,1456.72,1446.09,17577741392.0,6558630723741.41
38,2014-08-28,131.01,137.0,139.96,105.59,910.0,0.0,8.0,0.09,1447.54,1423.78,1447.76,1414.18,43849484690.0,6419337314027.56
39,2014-09-02,131.0,135.01,135.01,126.01,620.0,0.0,8.0,0.09,1392.27,1400.35,1401.68,1386.31,20818865093.0,6313723045613.47
40,2014-09-05,140.0,149.48,149.48,140.0,110.0,0.0,8.0,0.09,1456.0,1474.71,1481.15,1446.95,37451362820.0,6648981302593.65
41,2014-09-10,144.9,135.0,145.0,135.0,140.0,0.0,8.0,0.09,1466.99,1468.55,1472.23,1456.21,19594281049.0,6621186609667.49
42,2014-09-12,147.99,147.99,147.99,147.99,10.0,0.0,8.0,0.09,1449.4,1458.52,1470.49,1440.23,30540111711.0,6575983608620.8
43,2014-09-15,135.02,135.01,135.02,135.01,90.0,0.0,8.0,0.09,1457.87,1454.19,1466.43,1441.26,36468665661.0,6556462216365.1
44,2014-09-16,135.02,135.02,135.02,135.02,10.0,0.0,8.0,0.09,1454.13,1477.31,1483.66,1451.21,34534659889.0,7036330612381.47
45,2014-09-17,144.99,145.0,145.0,144.99,30.0,0.0,8.0,0.09,1477.09,1449.37,1477.09,1437.73,43639537600.0,6903283783164.72
46,2014-09-19,148.0,148.0,148.0,148.0,10.0,0.0,8.0,0.09,1448.19,1431.58,1454.16,1423.44,41661321148.0,6818524090027.49
47,2014-09-25,140.51,140.51,140.51,140.51,10.0,0.0,8.0,0.09,,,,,,
48,2014-10-07,141.0,141.0,141.0,141.0,50.0,0.0,8.0,0.09,,,,,,
49,2014-10-09,140.0,139.0,140.0,139.0,80.0,0.0,8.0,0.08,,,,,,
50,2014-10-20,137.5,137.5,137.5,137.5,10.0,0.0,8.0,0.09,,,,,,
51,2014-10-23,135.5,131.0,135.5,131.0,30.0,0.0,8.0,0.09,,,,,,
52,2014-10-24,129.5,128.5,129.5,128.5,80.0,0.0,8.0,0.09,,,,,,
53,2014-10-27,130.0,130.0,130.0,130.0,120.0,0.0,8.0,0.09,,,,,,
54,2014-10-30,129.0,130.0,130.0,127.0,2260.0,0.0,8.0,0.09,1438.8,1452.89,1456.88,1428.36,49073324158.0,6920053939430.49
55,2014-11-03,128.5,127.0,128.5,127.0,70.0,0.0,8.0,0.09,1488.15,1491.19,1495.86,1477.06,17481520523.0,7102462053889.69
56,2014-11-06,128.0,127.0,128.0,127.0,2300.0,594880.0,9.5,0.09,1495.47,1497.46,1521.14,1490.66,40485840607.0,7132315424108.46
57,2014-11-07,127.5,126.5,127.5,126.5,180.0,0.0,9.5,0.09,1496.51,1497.11,1526.08,1486.37,62435787319.0,7130652967630.07
58,2014-11-10,127.0,127.0,127.0,127.0,10.0,0.0,9.5,0.09,1498.62,1515.36,1518.73,1498.59,36072189835.0,7217582952688.41
59,2014-11-11,131.5,132.0,132.0,131.5,1060.0,0.0,9.5,0.09,1515.08,1514.78,1531.92,1511.53,38459111229.0,7214829498289.61
60,2014-11-13,136.5,136.5,136.5,136.5,10.0,760270.0,9.5,0.09,1514.19,1492.27,1522.87,1492.27,39369641894.0,7107618216442.59
61,2014-11-14,132.0,132.0,132.0,132.0,450.0,525940.0,9.5,0.09,1491.75,1500.76,1507.93,1481.97,34296102848.0,7148016471313.82
62,2014-11-17,132.0,132.0,136.5,132.0,480.0,0.0,9.5,0.1,1500.69,1507.1,1512.61,1494.81,25778674454.0,7178242599235.5
63,2014-11-19,132.5,134.5,134.5,132.0,1450.0,0.0,9.5,0.1,1519.69,1517.97,1524.1,1513.68,31482266937.0,7230003229613.9
64,2014-11-20,130.0,140.0,140.0,130.0,1090.0,0.0,9.5,0.1,1518.1,1530.4,1535.97,1517.28,34907988979.0,7289202234493.41
65,2014-11-21,142.0,146.0,146.0,142.0,790.0,0.0,9.5,0.1,1530.46,1538.93,1541.52,1515.01,36353481324.0,7329822620329.37
66,2014-11-24,146.5,150.0,150.0,146.0,5870.0,880100.0,9.5,0.1,1539.95,1529.54,1541.75,1521.83,31750458256.0,7285128652947.91
67,2014-11-25,150.0,150.0,150.0,150.0,1650.0,1127600.0,9.5,0.1,1529.62,1529.57,1537.65,1516.18,27545836432.0,7285244990377.67
68,2014-11-26,153.0,153.0,153.0,153.0,1000.0,0.0,9.5,0.1,1528.83,1537.43,1537.43,1522.5,30877259958.0,7322717397660.45
69,2014-11-27,153.0,153.0,153.0,144.5,3120.0,0.0,9.5,0.1,1537.0,1531.69,1548.17,1528.06,39939357345.0,7295336331196.54
70,2014-11-28,153.0,153.0,153.0,153.0,2000.0,783275.0,9.5,0.08,1531.34,1533.68,1540.07,1518.45,45610410708.0,7304816361041.94
71,2014-12-08,153.0,160.0,160.0,153.0,290.0,1230010.0,9.5,0.12,1529.73,1481.27,1551.66,1476.02,46772419082.0,7055222590397.55
72,2014-12-09,150.5,150.0,150.5,150.0,760.0,1096515.0,9.5,0.12,1481.49,1475.22,1490.27,1459.77,43732135318.0,7026377302115.53
73,2014-12-10,150.0,150.0,150.0,150.0,10.0,945015.0,9.5,0.12,1475.93,1486.85,1514.63,1475.93,42337397882.0,7081796065851.96
74,2014-12-11,150.0,150.0,150.0,150.0,10.0,0.0,9.5,0.12,1486.89,1455.04,1494.07,1442.79,50594982820.0,6930276348649.18
75,2014-12-12,150.0,150.0,150.0,146.0,420.0,0.0,10.5,0.12,1453.8,1459.68,1488.4,1413.04,51200831401.0,6952391085611.55
76,2014-12-15,121.0,110.0,121.5,90.0,256190.0,24021855.0,10.5,0.11,1459.25,1424.99,1483.38,1402.83,68027939909.0,6787127409924.95
77,2014-12-16,100.5,103.0,121.5,90.5,9170.0,964390.0,17.0,0.12,1424.72,1444.32,1484.06,1309.6,100830509677.0,6695173218130.9
78,2014-12-17,92.0,105.0,110.0,88.0,1290.0,0.0,17.0,0.13,1445.53,1413.79,1476.19,1389.63,81076784417.0,6553645114861.3
79,2014-12-18,110.0,111.0,117.0,105.0,440.0,0.0,17.0,0.13,1417.41,1477.27,1506.13,1417.41,78761569805.0,6847878823692.59
80,2014-12-19,110.0,120.0,121.5,110.0,3950.0,0.0,17.0,0.13,1477.36,1449.13,1488.34,1417.68,44856913714.0,6717440284468.56
81,2014-12-22,115.0,115.0,115.0,115.0,240.0,0.0,17.0,0.13,1452.95,1437.08,1466.34,1421.39,50209370839.0,6661583735341.69
82,2014-12-23,105.5,115.0,115.0,105.5,510.0,552005.0,17.0,0.13,1437.08,1398.2,1446.31,1391.38,42501810335.0,6481362092230.03
83,2014-12-24,115.0,104.5,115.0,96.5,140.0,0.0,17.0,0.13,1398.2,1401.5,1411.56,1383.61,28015719243.0,6496652700159.9
84,2014-12-25,117.0,107.0,120.5,103.0,11310.0,1341760.0,17.0,0.13,1401.47,1408.54,1410.06,1383.91,23569010203.0,6529289258920.08
85,2014-12-26,103.5,103.0,109.0,91.0,270.0,0.0,17.0,0.13,1409.02,1417.8,1432.41,1409.02,21938441630.0,6572219511259.2
86,2014-12-29,106.0,106.0,106.0,106.0,10.0,0.0,17.0,0.13,1417.53,1432.94,1489.75,1409.1,31782008617.0,6642405410265.22
87,2014-12-30,101.5,109.5,109.5,101.0,80.0,0.0,17.0,0.13,1429.68,1396.61,1430.01,1378.54,26156334473.0,6473977848191.16
88,2015-01-08,100.5,106.5,115.0,100.5,1290.0,0.0,17.0,0.12,1482.12,1547.39,1564.87,1481.93,35505063516.0,7172914288797.3
89,2015-01-09,106.5,110.0,110.0,103.0,70.0,0.0,17.0,0.12,1547.61,1515.37,1557.96,1496.17,27223058410.0,7024480568045.43
90,2015-01-12,105.5,104.5,105.5,97.0,1710.0,0.0,17.0,0.12,1515.23,1513.22,1534.74,1503.49,23419055856.0,7014538161692.29
91,2015-01-13,96.5,73.5,96.5,69.5,335140.0,26209180.0,17.0,0.12,1513.21,1533.09,1543.59,1499.57,33133664935.0,7106620719186.81
92,2015-01-14,75.0,72.5,75.0,68.0,564210.0,39627340.0,17.0,0.12,1531.65,1554.46,1560.01,1524.69,32105492806.0,7205690234312.64
93,2015-01-15,78.0,51.0,78.0,48.0,644080.0,33539580.0,17.0,0.12,1556.96,1563.21,1586.22,1555.36,38679500660.0,7246243668028.74
94,2015-01-16,51.0,46.5,56.5,45.0,289570.0,13935095.0,17.0,0.13,1563.21,1591.43,1594.06,1551.01,30068854489.0,7377090247817.62
95,2015-01-19,47.5,49.5,54.0,47.5,38760.0,1955025.0,17.0,0.13,1590.54,1576.4,1627.53,1572.94,37167969626.0,7307430024178.39
96,2015-01-20,51.0,51.5,52.5,48.0,23080.0,1180215.0,17.0,0.12,1576.47,1570.97,1594.91,1561.8,31919504256.0,7282221929338.29
97,2015-01-21,52.5,53.0,53.0,50.5,34160.0,1781815.0,17.0,0.12,1570.59,1618.17,1619.32,1570.59,31259697570.0,7501017864593.01
98,2015-01-22,53.0,55.5,60.0,50.5,62090.0,3438440.0,17.0,0.12,1618.68,1666.56,1676.38,1618.52,50131522012.0,7725364643154.59
99,2015-01-23,56.5,67.0,70.5,55.5,100920.0,6483515.0,17.0,0.12,1667.99,1671.8,1700.78,1662.11,44311526698.0,7749626061678.21
100,2015-01-26,67.0,68.0,71.0,63.0,35440.0,2386385.0,17.0,0.12,1670.23,1642.37,1670.3,1622.02,36919529789.0,7613229340218.56
101,2015-01-27,66.5,65.5,68.0,47.5,20840.0,1366440.0,17.0,0.11,1642.31,1673.92,1681.46,1614.16,44461457724.0,7759441568169.95
102,2015-01-28,67.0,62.5,77.5,61.5,32620.0,2149795.0,17.0,0.12,1675.3,1647.71,1706.39,1643.42,43016957356.0,7637980043638.41
103,2015-01-29,63.0,64.0,66.0,60.0,7030.0,0.0,17.0,0.11,1647.11,1639.65,1675.57,1639.65,38654354336.0,7600620681057.92
104,2015-01-30,64.0,61.0,64.0,59.0,19110.0,1163340.0,17.0,0.06,1640.56,1647.69,1664.73,1631.55,43391401113.0,7637894790603.35
105,2015-02-02,63.5,57.0,64.5,52.5,42960.0,2398580.0,15.0,0.12,1647.74,1625.31,1663.94,1616.27,43204113857.0,7534123046528.33
106,2015-02-03,51.0,56.0,58.0,51.0,43520.0,2284830.0,15.0,0.12,1626.65,1654.36,1667.59,1626.65,36684677691.0,7668789955800.34
107,2015-02-04,56.0,55.5,57.5,53.0,8250.0,0.0,15.0,0.11,1655.5,1656.02,1665.09,1643.24,28406694409.0,7676490091070.59
108,2015-02-05,55.5,57.5,58.5,55.0,14680.0,828340.0,15.0,0.12,1654.97,1696.06,1698.83,1642.51,47193997103.0,7862101858309.86
109,2015-02-06,58.5,57.5,58.5,56.0,4700.0,0.0,15.0,0.11,1696.96,1755.45,1762.39,1696.96,54221952383.0,8137413935492.03
110,2015-02-09,58.0,58.5,59.5,56.5,10940.0,631525.0,15.0,0.12,1755.7,1748.55,1830.0,1740.58,63280101174.0,8105398913722.94
111,2015-02-10,59.0,59.0,59.5,56.5,18360.0,1056655.0,15.0,0.12,1748.02,1742.35,1774.06,1729.77,32450702270.0,8076689298854.4
112,2015-02-11,58.0,57.5,60.0,57.5,13920.0,810345.0,15.0,0.12,1744.86,1763.6,1787.77,1744.86,38491876240.0,8175187933284.21
113,2015-02-12,59.5,58.0,59.5,50.0,20410.0,1145705.0,15.0,0.12,1764.24,1802.8,1816.76,1747.85,85319933357.0,8356901880751.53
114,2015-02-13,58.0,59.5,63.0,58.0,67410.0,4035685.0,15.0,0.12,1802.88,1838.18,1839.71,1802.88,75313894394.0,8520878105106.55
115,2015-02-16,61.5,60.5,62.0,55.5,33940.0,1986205.0,15.0,0.12,1838.21,1800.59,1848.15,1785.54,36790994748.0,8346635245369.05
116,2015-02-17,60.0,63.5,67.0,60.0,30460.0,1951715.0,15.0,0.12,1800.92,1793.82,1842.59,1781.8,52881168864.0,8315263404962.52
117,2015-02-18,62.5,65.0,67.0,62.5,26910.0,1745620.0,15.0,0.12,1795.83,1809.67,1833.14,1795.59,49388542824.0,8388736905011.3
118,2015-02-19,65.0,66.0,67.0,64.5,9310.0,610820.0,15.0,0.12,1809.67,1797.87,1819.89,1757.33,47713577864.0,8334054255029.34
