,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-07-01,0.08376,0.05557,0.088,0.047,3820000.0,0.0,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
1,2014-07-02,0.051,0.0501,0.051,0.0501,70000.0,0.0,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
2,2014-07-03,0.05995,0.06,0.06,0.05995,200000.0,0.0,7.5,0.09,1514.66,1514.47,1522.21,1510.66,29541346787.0,6828240267478.4
3,2014-07-10,0.06376,0.06376,0.06376,0.06376,60000.0,0.0,7.5,0.09,1513.37,1494.92,1521.88,1480.26,40593712934.0,6740109174597.83
4,2014-07-11,0.05201,0.05151,0.05201,0.05151,40000.0,0.0,7.5,0.09,1495.01,1499.82,1502.23,1488.84,27280591834.0,6762191289526.07
5,2014-08-06,0.05215,0.05205,0.05215,0.05026,430000.0,0.0,8.0,0.09,1357.33,1334.66,1362.22,1333.37,44555802086.0,6017513533119.65
6,2014-08-07,0.0675,0.0675,0.0675,0.0675,100000.0,0.0,8.0,0.09,1333.39,1333.53,1340.84,1306.8,46389687389.0,6012422895099.08
7,2014-08-08,0.052,0.052,0.052,0.052,10000.0,0.0,8.0,0.09,1332.26,1348.21,1360.49,1329.1,34479528820.0,6078629580593.59
8,2014-08-18,0.0665,0.0665,0.0665,0.0665,10000.0,0.0,8.0,0.09,1418.05,1425.18,1427.95,1415.35,18156608193.0,6425664882271.03
9,2014-08-20,0.06748,0.06748,0.06748,0.06748,10000.0,0.0,8.0,0.09,1437.58,1447.5,1447.5,1432.63,25728795150.0,6526296901006.62
10,2014-09-29,0.04845,0.0685,0.0685,0.04845,250000.0,0.0,8.0,0.08,,,,,,
11,2014-09-30,0.05016,0.05017,0.05017,0.05016,100000.0,0.0,8.0,0.07,,,,,,
12,2014-10-01,0.0695,0.0695,0.0695,0.0695,20000.0,0.0,8.0,0.09,,,,,,
13,2014-10-06,0.0695,0.0695,0.0695,0.0695,100000.0,0.0,8.0,0.09,,,,,,
14,2014-10-15,0.051,0.0573,0.0573,0.0502,80000.0,0.0,8.0,0.09,,,,,,
15,2014-11-26,0.069,0.071,0.071,0.069,60000.0,0.0,9.5,0.1,1528.83,1537.43,1537.43,1522.5,30877259958.0,7322717397660.45
16,2014-12-01,0.071,0.064,0.0954,0.064,120000.0,0.0,9.5,0.13,1532.89,1578.38,1598.19,1525.35,62166248251.0,7517749945811.61
17,2014-12-16,0.0502,0.0502,0.0502,0.0502,20000.0,0.0,17.0,0.12,1424.72,1444.32,1484.06,1309.6,100830509677.0,6695173218130.9
18,2014-12-24,0.0804,0.0805,0.0805,0.0804,60000.0,0.0,17.0,0.13,1398.2,1401.5,1411.56,1383.61,28015719243.0,6496652700159.9
19,2014-12-25,0.0588,0.0585,0.0588,0.0585,50000.0,0.0,17.0,0.13,1401.47,1408.54,1410.06,1383.91,23569010203.0,6529289258920.08
20,2015-01-23,0.0786,0.0786,0.0786,0.0786,10000.0,0.0,17.0,0.12,1667.99,1671.8,1700.78,1662.11,44311526698.0,7749626061678.21
21,2015-01-29,0.08,0.08,0.08,0.08,10000.0,0.0,17.0,0.11,1647.11,1639.65,1675.57,1639.65,38654354336.0,7600620681057.92
22,2015-02-04,0.0515,0.0516,0.0516,0.0515,100000.0,0.0,15.0,0.11,1655.5,1656.02,1665.09,1643.24,28406694409.0,7676490091070.59
23,2015-02-05,0.0591,0.0644,0.0644,0.0575,120000.0,0.0,15.0,0.12,1654.97,1696.06,1698.83,1642.51,47193997103.0,7862101858309.86
24,2015-02-12,0.072,0.0799,0.08,0.072,140000.0,0.0,15.0,0.12,1764.24,1802.8,1816.76,1747.85,85319933357.0,8356901880751.53
25,2015-02-17,0.084,0.084,0.084,0.084,100000.0,0.0,15.0,0.12,1800.92,1793.82,1842.59,1781.8,52881168864.0,8315263404962.52
