,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-30,47.01,47.01,47.01,47.01,100.0,0.0,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
1,2014-07-29,45.0,45.0,45.0,45.0,220000.0,0.0,8.0,0.09,1361.22,1369.83,1380.29,1356.62,35280719684.0,6176106230122.06
2,2014-07-30,45.13,45.13,45.13,45.13,220000.0,0.0,8.0,0.09,1368.72,1382.14,1403.6,1359.65,40179117327.0,6231580896817.33
3,2014-07-31,47.0,47.0,47.0,47.0,100.0,0.0,8.0,0.08,1383.04,1379.61,1399.12,1376.48,29121177754.0,6220179585134.02
4,2014-08-06,28.2,44.99,44.99,28.2,500.0,19850029.0,8.0,0.09,1357.33,1334.66,1362.22,1333.37,44555802086.0,6017513533119.65
5,2014-09-10,47.99,47.99,47.99,47.99,200.0,0.0,8.0,0.09,1466.99,1468.55,1472.23,1456.21,19594281049.0,6621186609667.49
6,2014-09-29,46.0,48.0,48.0,46.0,200.0,0.0,8.0,0.08,,,,,,
7,2014-12-10,51.0,51.0,51.0,51.0,100.0,0.0,9.5,0.12,1475.93,1486.85,1514.63,1475.93,42337397882.0,7081796065851.96
8,2014-12-19,43.0,43.0,43.0,43.0,100.0,0.0,17.0,0.13,1477.36,1449.13,1488.34,1417.68,44856913714.0,6717440284468.56
9,2014-12-24,47.0,47.0,47.0,47.0,100.0,0.0,17.0,0.13,1398.2,1401.5,1411.56,1383.61,28015719243.0,6496652700159.9
10,2014-12-25,47.0,47.0,47.0,47.0,100.0,0.0,17.0,0.13,1401.47,1408.54,1410.06,1383.91,23569010203.0,6529289258920.08
11,2015-04-10,47.0,47.0,47.0,47.0,100.0,0.0,14.0,0.12,1667.62,1657.02,1674.48,1635.85,45171576856.0,7783510247485.24
12,2015-04-15,48.0,48.0,48.0,48.0,100.0,0.0,14.0,0.13,1647.29,1677.7,1681.83,1643.11,40037734888.0,7880652147526.14
13,2015-04-16,41.0,41.0,41.0,41.0,100.0,0.0,14.0,0.13,1678.04,1686.79,1689.29,1661.38,44360086518.0,7923364850234.14
14,2015-04-17,35.0,45.0,45.0,35.0,1100.0,0.0,14.0,0.13,1686.79,1656.59,1694.08,1656.59,46513599503.0,7781505974673.19
15,2015-04-20,40.0,41.0,45.0,40.0,1500.0,0.0,14.0,0.13,1657.63,1683.24,1691.93,1655.75,42410329020.0,7906687598366.14
16,2015-04-21,42.0,42.0,42.0,42.0,500.0,0.0,14.0,0.13,1683.51,1710.24,1711.34,1682.94,35500021585.0,8033493471453.63
17,2015-04-23,48.0,48.0,48.0,48.0,1300.0,0.0,14.0,0.13,1677.89,1662.64,1678.58,1633.12,45687528041.0,7809931043374.31
18,2015-04-27,49.0,49.0,49.0,49.0,100.0,0.0,14.0,0.13,1682.82,1677.22,1698.65,1677.22,30771789361.0,7878423505219.0
19,2015-05-12,50.2,50.1,50.2,50.1,3000.0,0.0,12.5,0.13,1708.42,1704.62,1720.01,1689.29,36154421259.0,8007124684070.27
20,2015-05-13,50.3,50.2,50.3,50.1,7000.0,0.0,12.5,0.13,1704.5,1682.26,1708.47,1681.08,34856325968.0,7902054258018.21
