,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-30,51.14,51.14,51.14,51.14,100.0,0.0,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
1,2014-07-23,51.15,51.15,51.15,51.15,300.0,0.0,7.5,0.09,1406.5,1406.58,1421.56,1395.74,29647055743.0,6341809496909.95
2,2014-07-31,51.04,51.04,51.04,51.04,100.0,0.0,8.0,0.08,1383.04,1379.61,1399.12,1376.48,29121177754.0,6220179585134.02
3,2014-08-06,51.04,51.04,51.04,51.04,100.0,0.0,8.0,0.09,1357.33,1334.66,1362.22,1333.37,44555802086.0,6017513533119.65
4,2014-08-29,51.1,51.1,51.1,51.1,100.0,0.0,8.0,0.07,1423.56,1400.71,1428.72,1400.44,34660154972.0,6315320939623.29
5,2014-09-10,51.04,51.04,51.04,51.04,900.0,0.0,8.0,0.09,1466.99,1468.55,1472.23,1456.21,19594281049.0,6621186609667.49
6,2014-09-11,51.04,51.04,51.04,51.04,700.0,0.0,8.0,0.09,1469.4,1449.63,1479.05,1449.1,30806370159.0,6535893707699.45
7,2014-09-19,51.0,51.0,51.0,51.0,71700.0,0.0,8.0,0.09,1448.19,1431.58,1454.16,1423.44,41661321148.0,6818524090027.49
8,2014-09-22,51.06,51.06,51.06,51.06,130000.0,0.0,8.0,0.09,1431.12,1412.83,1436.21,1412.83,24222806047.0,6729253251808.7
9,2014-09-23,50.96,51.11,51.11,50.96,386000.0,0.0,8.0,0.09,1413.57,1429.45,1432.37,1413.49,25653683539.0,6808383919755.99
10,2014-09-30,51.04,51.04,51.04,51.04,100.0,0.0,8.0,0.07,,,,,,
11,2014-10-29,51.1,51.1,51.1,51.1,100.0,0.0,8.0,0.09,1415.53,1439.58,1441.98,1411.0,36586717584.0,6856662513241.23
12,2014-11-10,51.1,51.1,51.1,51.1,1100.0,0.0,9.5,0.09,1498.62,1515.36,1518.73,1498.59,36072189835.0,7217582952688.41
13,2014-11-11,51.1,51.1,51.1,51.1,800.0,0.0,9.5,0.09,1515.08,1514.78,1531.92,1511.53,38459111229.0,7214829498289.61
14,2014-11-12,51.1,51.1,51.1,51.1,1100.0,0.0,9.5,0.09,1514.85,1513.83,1524.72,1507.45,34100235041.0,7210271305547.86
15,2014-11-13,51.1,51.1,51.1,51.1,1000.0,0.0,9.5,0.09,1514.19,1492.27,1522.87,1492.27,39369641894.0,7107618216442.59
16,2014-11-14,51.1,51.1,51.1,51.1,800.0,0.0,9.5,0.09,1491.75,1500.76,1507.93,1481.97,34296102848.0,7148016471313.82
17,2014-11-18,51.1,51.1,51.1,51.1,2000.0,0.0,9.5,0.11,1506.78,1519.61,1524.8,1495.09,37626778528.0,7237803241252.88
18,2014-11-19,51.1,51.1,51.1,51.1,1000.0,0.0,9.5,0.1,1519.69,1517.97,1524.1,1513.68,31482266937.0,7230003229613.9
19,2014-11-26,51.0,51.0,51.0,51.0,300.0,0.0,9.5,0.1,1528.83,1537.43,1537.43,1522.5,30877259958.0,7322717397660.45
20,2014-11-28,51.1,51.1,51.1,51.1,300.0,0.0,9.5,0.08,1531.34,1533.68,1540.07,1518.45,45610410708.0,7304816361041.94
21,2014-12-02,51.1,51.1,51.1,51.1,300.0,0.0,9.5,0.12,1578.4,1583.12,1596.96,1555.89,46843420167.0,7540317495902.56
22,2014-12-03,51.1,51.1,51.1,51.1,1000.0,0.0,9.5,0.12,1583.62,1606.84,1608.92,1578.93,47389306057.0,7653293169132.22
23,2014-12-04,51.0,51.0,51.0,51.0,6500.0,0.0,9.5,0.12,1606.75,1582.08,1623.02,1577.7,59378086980.0,7535377974526.13
24,2014-12-19,51.0,51.0,51.0,51.0,300.0,0.0,17.0,0.13,1477.36,1449.13,1488.34,1417.68,44856913714.0,6717440284468.56
25,2014-12-25,51.0,51.0,51.0,51.0,100.0,0.0,17.0,0.13,1401.47,1408.54,1410.06,1383.91,23569010203.0,6529289258920.08
26,2014-12-26,51.0,51.0,51.0,51.0,100.0,0.0,17.0,0.13,1409.02,1417.8,1432.41,1409.02,21938441630.0,6572219511259.2
