,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-24,5.254,5.254,5.254,5.254,100.0,0.0,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
1,2014-07-01,3.2,4.089,4.089,3.2,300.0,0.0,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
2,2014-07-08,5.0,5.0,5.0,5.0,100.0,0.0,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
3,2014-07-22,4.5,4.5,4.5,4.5,100.0,0.0,7.5,0.09,1386.14,1405.97,1414.21,1386.14,35820774896.0,6339040079280.09
4,2014-07-28,4.014,4.5,4.5,4.001,1500.0,0.0,8.0,0.09,1387.12,1361.94,1387.14,1357.03,30461885017.0,6140507803885.11
5,2014-07-29,4.5,4.987,4.987,4.5,200.0,0.0,8.0,0.09,1361.22,1369.83,1380.29,1356.62,35280719684.0,6176106230122.06
6,2014-08-06,4.542,4.542,4.542,4.542,100.0,0.0,8.0,0.09,1357.33,1334.66,1362.22,1333.37,44555802086.0,6017513533119.65
7,2014-08-11,4.001,4.001,4.001,4.001,100.0,0.0,8.0,0.09,1350.42,1372.45,1379.22,1350.42,31225367926.0,6187929554027.43
8,2014-08-14,3.723,3.723,3.723,3.723,100.0,0.0,8.0,0.09,1399.07,1407.53,1412.88,1391.65,32917275901.0,6346061682927.05
9,2014-08-19,4.839,5.63,5.63,4.839,6600.0,0.0,8.0,0.09,1425.18,1437.6,1441.42,1425.18,25673186641.0,6481651396810.93
10,2014-08-28,5.1,5.16,5.16,5.1,200.0,0.0,8.0,0.09,1447.54,1423.78,1447.76,1414.18,43849484690.0,6419337314027.56
11,2014-09-01,4.389,4.758,4.758,3.723,4400.0,0.0,8.0,0.07,1401.34,1392.4,1419.9,1389.77,34518068575.0,6277859256745.77
12,2014-09-02,4.062,4.569,4.569,3.523,4700.0,0.0,8.0,0.09,1392.27,1400.35,1401.68,1386.31,20818865093.0,6313723045613.47
13,2014-09-03,4.548,4.56,4.56,4.548,600.0,0.0,8.0,0.09,1400.44,1449.29,1452.92,1400.44,56947742576.0,6534374903303.01
14,2014-09-09,3.877,4.6,4.6,3.877,1300.0,0.0,8.0,0.09,1465.13,1468.17,1479.64,1465.13,22936789195.0,6619470791030.01
15,2014-09-16,4.0,4.5,4.5,4.0,300.0,0.0,8.0,0.09,1454.13,1477.31,1483.66,1451.21,34534659889.0,7036330612381.47
16,2014-09-17,3.9,3.905,3.905,3.9,700.0,0.0,8.0,0.09,1477.09,1449.37,1477.09,1437.73,43639537600.0,6903283783164.72
17,2014-09-18,4.146,4.146,4.146,4.146,200.0,0.0,8.0,0.09,1449.37,1448.63,1460.13,1443.75,26613627505.0,6899755307298.78
18,2014-09-26,4.26,4.26,4.26,4.26,100.0,0.0,8.0,0.09,,,,,,
19,2014-10-27,3.87,3.65,3.87,3.65,1000.0,0.0,8.0,0.09,,,,,,
20,2014-10-31,4.28,4.3,4.3,4.28,300.0,0.0,8.0,0.07,1453.89,1488.47,1488.47,1453.89,51863127433.0,7089520800994.4
21,2014-11-03,4.89,4.99,4.99,4.89,200.0,0.0,8.0,0.09,1488.15,1491.19,1495.86,1477.06,17481520523.0,7102462053889.69
22,2014-11-10,4.28,4.28,4.28,4.28,100.0,0.0,9.5,0.09,1498.62,1515.36,1518.73,1498.59,36072189835.0,7217582952688.41
23,2014-11-13,4.74,4.74,4.74,4.73,1300.0,0.0,9.5,0.09,1514.19,1492.27,1522.87,1492.27,39369641894.0,7107618216442.59
24,2014-11-21,4.05,4.12,4.12,4.04,400.0,0.0,9.5,0.1,1530.46,1538.93,1541.52,1515.01,36353481324.0,7329822620329.37
25,2014-11-24,4.1,4.12,4.12,4.1,1600.0,0.0,9.5,0.1,1539.95,1529.54,1541.75,1521.83,31750458256.0,7285128652947.91
26,2014-11-25,3.74,4.03,4.36,2.89,10400.0,0.0,9.5,0.1,1529.62,1529.57,1537.65,1516.18,27545836432.0,7285244990377.67
27,2014-11-27,4.27,4.27,4.27,4.27,200.0,0.0,9.5,0.1,1537.0,1531.69,1548.17,1528.06,39939357345.0,7295336331196.54
28,2014-12-12,3.05,3.99,3.99,3.02,2000.0,0.0,10.5,0.12,1453.8,1459.68,1488.4,1413.04,51200831401.0,6952391085611.55
29,2014-12-17,3.4,4.5,4.5,3.38,2300.0,0.0,17.0,0.13,1445.53,1413.79,1476.19,1389.63,81076784417.0,6553645114861.3
30,2014-12-30,3.26,3.99,3.99,3.2,2800.0,0.0,17.0,0.13,1429.68,1396.61,1430.01,1378.54,26156334473.0,6473977848191.16
31,2015-01-05,3.96,3.99,3.99,3.96,500.0,0.0,17.0,0.12,1394.66,1435.66,1438.91,1390.53,15320687285.0,6655000193417.98
32,2015-01-06,3.99,3.99,3.99,3.99,300.0,0.0,17.0,0.12,1435.39,1480.73,1481.35,1430.47,21268814897.0,6863934639625.86
33,2015-01-08,3.99,4.24,4.98,3.99,2700.0,0.0,17.0,0.12,1482.12,1547.39,1564.87,1481.93,35505063516.0,7172914288797.3
34,2015-01-28,3.75,3.78,3.78,3.75,200.0,0.0,17.0,0.12,1675.3,1647.71,1706.39,1643.42,43016957356.0,7637980043638.41
