,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2022-06-08,665.17,665.17,665.17,665.17,40.0,0.0,11.0,0.83,2296.62,2318.85,2342.69,2296.62,33948819398.5,11466377646483.28
1,2022-06-09,600.0,650.0,650.0,600.0,30.0,0.0,11.0,0.83,2321.57,2293.99,2323.39,2275.22,24767087945.6,11343424590773.227
2,2022-06-10,650.0,650.0,650.0,650.0,20.0,0.0,11.0,0.83,2282.81,2285.52,2296.1,2273.95,22155213875.5,11301523401171.906
3,2022-06-15,650.0,650.0,650.0,650.0,10.0,0.0,9.5,0.83,2290.76,2318.96,2320.4,2282.79,31609602711.5,11466908470424.701
4,2022-06-16,650.0,650.0,650.0,650.0,10.0,0.0,9.5,1.58,2321.52,2369.75,2374.24,2317.87,35239559797.15,11718060732380.174
5,2022-06-17,650.0,650.0,650.0,650.0,20.0,0.0,9.5,1.58,2373.07,2353.98,2382.49,2345.4,21840774908.95,11255525694476.191
6,2022-06-20,600.02,609.79,649.84,571.01,750.0,0.0,9.5,1.58,2358.26,2404.4,2404.4,2357.33,34227692868.45,11496614767652.568
7,2022-06-21,570.96,563.45,610.0,563.45,810.0,0.0,9.5,1.58,2407.63,2358.81,2415.59,2357.27,47531716832.35,11278619289087.459
8,2022-06-22,589.97,530.0,589.97,409.01,670.0,0.0,9.5,1.58,2348.04,2373.52,2373.52,2320.87,43293077659.95,11348995177550.97
9,2022-06-23,525.01,500.05,525.89,500.0,260.0,0.0,9.5,1.58,2375.6,2404.54,2404.54,2350.1,48779605043.7,11497288481995.164
10,2022-06-24,500.0,470.12,514.99,470.0,320.0,0.0,9.5,1.58,2405.31,2391.51,2414.02,2372.05,32470388222.9,11435012981609.195
11,2022-06-27,498.97,471.01,498.97,470.12,90.0,0.0,9.5,1.58,2387.55,2417.06,2417.06,2384.32,32260073730.15,11557149648934.012
12,2022-06-28,480.0,430.0,480.0,408.0,1570.0,666631.8,9.5,1.58,2419.15,2408.75,2419.81,2392.26,43643513132.7,11517401467242.947
13,2022-06-29,411.03,427.0,437.0,411.03,670.0,0.0,9.5,1.58,2407.49,2378.55,2407.49,2370.41,39630917157.45,11373005016199.71
14,2022-06-30,380.0,285.21,380.0,280.0,7610.0,2381725.4,9.5,1.58,2380.03,2204.85,2407.2,2184.71,112712384216.9,10534419764219.979
15,2022-07-01,286.0,319.0,349.27,175.16,5590.0,1662143.5,9.5,1.58,2197.9,2206.61,2237.92,2165.13,51706511774.9,10542829282529.408
16,2022-07-04,334.99,291.0,349.0,287.0,3640.0,1139343.4,9.5,1.58,2208.7,2204.66,2240.83,2197.39,39025784884.65,10533531011004.908
17,2022-07-05,292.0,307.44,320.0,268.5,4160.0,1224395.3,9.5,1.58,2214.39,2226.64,2238.73,2187.57,46917603887.65,10638537759411.092
18,2022-07-06,309.38,296.05,310.0,280.0,820.0,0.0,9.5,1.58,2227.02,2221.88,2273.24,2214.04,42030318167.35,10615825505758.16
19,2022-07-07,296.49,290.01,308.98,279.72,410.0,0.0,9.5,1.58,2221.02,2226.65,2239.59,2206.16,29779918346.8,10638589961863.605
20,2022-07-08,309.0,290.42,309.0,290.41,1570.0,0.0,9.5,1.58,2225.02,2222.51,2234.55,2202.52,22404447211.4,10618813356893.82
21,2022-07-11,292.01,300.0,304.98,292.01,450.0,0.0,9.5,1.58,2213.55,2162.34,2224.35,2156.36,30424271677.8,10331311218783.32
22,2022-07-12,274.67,297.04,310.0,274.67,2420.0,735486.1,9.5,1.58,2160.74,2133.77,2160.74,2105.26,33458868465.65,10194811589652.578
23,2022-07-13,319.0,295.0,319.0,290.01,610.0,0.0,9.5,1.58,2138.14,2073.68,2142.51,2064.58,28992855951.55,9907736567463.137
24,2022-07-14,285.01,275.01,290.0,270.0,1230.0,0.0,9.5,1.58,2073.79,2063.3,2105.61,2049.44,25927908701.5,9858138984325.604
25,2022-07-15,280.0,268.26,292.0,265.3,690.0,0.0,9.5,1.58,2069.02,2109.52,2109.52,2056.82,24180602393.25,10078974291533.31
26,2022-07-18,265.28,264.99,283.87,240.0,880.0,0.0,9.5,1.58,2119.02,2096.42,2127.96,2083.01,21323881776.8,10016391525101.049
27,2022-07-19,255.41,254.99,270.0,241.01,570.0,0.0,9.5,1.58,2089.28,2071.28,2089.28,2047.33,23004610338.55,9896268712395.113
28,2022-07-20,250.0,261.8,277.89,245.03,560.0,0.0,9.5,1.58,2076.24,2075.24,2098.92,2067.37,25182119101.75,9915203729265.795
29,2022-07-21,242.13,245.03,260.64,242.13,320.0,0.0,9.5,1.58,2075.99,2053.64,2075.99,2022.16,27162716773.85,9811998428137.77
30,2022-07-22,252.99,253.0,253.0,245.0,170.0,0.0,9.5,1.58,2056.16,2096.75,2099.68,2053.2,24272476943.15,10017957157930.46
31,2022-07-25,260.0,254.68,260.0,243.78,910.0,0.0,8.0,1.58,2099.81,2128.96,2132.75,2090.22,28351314131.4,10171860884353.674
32,2022-07-26,258.96,264.0,264.0,246.7,350.0,0.0,8.0,1.58,2135.89,2192.42,2192.42,2135.89,35324587836.75,10475064730260.42
33,2022-07-27,267.0,264.99,267.0,258.25,410.0,0.0,8.0,1.58,2198.96,2196.22,2220.82,2184.71,35568624253.65,10493187673315.217
34,2022-07-28,254.06,265.96,265.99,254.06,280.0,0.0,8.0,2.33,2204.01,2189.16,2213.21,2169.21,27632179178.4,10459465613322.008
35,2022-07-29,256.04,284.99,284.99,256.04,420.0,0.0,8.0,2.32,2187.67,2213.81,2213.81,2181.07,25886690603.45,10577268798631.52
36,2022-08-01,283.9,270.0,287.0,257.04,460.0,0.0,8.0,2.33,2213.75,2180.09,2220.73,2178.98,34423779174.35,10416128784562.738
37,2022-08-02,279.98,279.79,279.98,260.32,30.0,0.0,8.0,2.33,2176.57,2137.3,2178.81,2137.3,27914278332.05,10211673740961.67
38,2022-08-03,261.94,270.0,290.01,261.94,800.0,0.0,8.0,2.33,2138.76,2123.92,2156.54,2123.92,26449883090.05,10147790259194.41
39,2022-08-04,287.95,272.0,287.95,271.99,830.0,0.0,8.0,2.33,2126.39,2116.58,2137.83,2111.87,22594862837.6,10112693867279.91
40,2022-08-05,267.05,264.98,267.05,260.0,270.0,0.0,8.0,2.33,2120.13,2054.29,2124.6,2052.08,36874314128.85,9815076784188.535
41,2022-08-08,256.06,270.0,280.0,256.06,220.0,0.0,8.0,2.33,2106.5,2088.4,2119.41,2086.98,27924176471.55,9978042174771.6
42,2022-08-09,287.99,261.03,287.99,259.0,610.0,0.0,8.0,2.33,2090.37,2136.8,2136.8,2071.72,26431314966.3,10209311354509.918
43,2022-08-10,273.69,290.0,325.99,261.03,10040.0,3069523.1,8.0,2.33,2138.81,2151.5,2158.87,2128.59,27194863629.45,10279519234297.562
44,2022-08-11,299.79,361.01,405.82,299.79,76100.0,28136049.9,8.0,2.33,2157.17,2133.11,2174.9,2128.38,29583573202.9,10191690642655.217
45,2022-08-12,361.1,309.94,389.0,290.0,32530.0,10656391.9,8.0,2.33,2133.93,2147.33,2150.9,2117.08,21718566668.55,10259630963379.363
46,2022-08-15,339.0,303.99,350.0,295.03,17060.0,5299245.7,8.0,2.33,2147.76,2165.12,2165.75,2139.45,22639885747.8,10344638025535.102
47,2022-08-16,298.05,301.8,310.0,294.0,15170.0,4545242.2,8.0,2.33,2172.4,2208.33,2208.33,2168.06,27547482467.65,10551082540973.68
48,2022-08-17,303.0,292.0,306.0,283.01,8170.0,2421208.0,8.0,2.33,2213.43,2188.56,2225.05,2186.86,28031808792.3,10456587997976.305
49,2022-08-18,292.02,294.1,304.2,288.0,6720.0,1974398.2,8.0,2.33,2188.42,2194.31,2197.92,2176.02,19293588498.15,10484077173326.611
50,2022-08-19,297.69,288.0,297.69,286.01,940.0,0.0,8.0,2.33,2199.6,2195.16,2199.6,2179.56,19380590930.2,10488137360361.824
51,2022-08-22,282.0,288.97,299.49,282.0,1430.0,0.0,8.0,2.33,2193.29,2228.11,2231.22,2187.04,25478090146.55,10645560135686.89
52,2022-08-23,287.82,285.21,295.75,285.2,1390.0,0.0,8.0,2.33,2230.74,2260.08,2261.59,2230.74,34167923073.9,10798311834392.945
53,2022-08-24,285.03,280.13,285.03,280.0,2510.0,706434.2,8.0,2.33,2263.57,2248.22,2273.65,2243.08,25211293918.35,10741662692553.543
54,2022-08-25,281.5,267.37,281.5,253.97,13080.0,3463458.8,8.0,2.33,2249.39,2246.34,2266.18,2234.87,24487294443.55,10732695969113.0
55,2022-08-26,267.37,268.64,273.99,262.0,3050.0,820577.4,8.0,2.33,2248.98,2268.89,2268.89,2239.66,18051564449.45,10840413525313.314
56,2022-08-29,268.0,267.01,271.98,260.0,4280.0,1126543.5,8.0,2.33,2267.43,2296.33,2296.33,2263.99,26880489296.25,10971501315224.23
57,2022-08-30,268.4,264.0,268.46,262.41,2120.0,562401.4,8.0,2.33,2299.28,2306.62,2314.53,2292.44,50550921071.3,11020657412211.812
58,2022-08-31,260.11,259.98,269.6,256.99,5230.0,1363014.8,8.0,2.33,2377.02,2400.08,2423.12,2368.42,102136552775.55,11467195934350.186
59,2022-09-01,259.99,264.94,266.39,259.98,1860.0,0.0,8.0,2.33,2401.98,2445.77,2448.5,2380.01,56992336461.55,11685519783032.451
60,2022-09-02,264.37,263.99,265.03,250.0,12450.0,3227723.7,8.0,2.33,2443.76,2471.45,2474.71,2431.54,63579147654.35,11808222740644.01
61,2022-09-05,257.52,262.46,263.5,253.02,7040.0,1819862.5,8.0,2.33,2472.1,2488.44,2488.44,2440.88,45685735670.35,11889388691836.195
62,2022-09-06,260.77,259.31,262.0,257.42,2540.0,659524.9,8.0,2.33,2487.76,2425.33,2492.15,2382.24,64403078065.35,11587836742399.11
63,2022-09-07,259.31,256.02,259.31,256.02,920.0,0.0,8.0,2.33,2422.88,2401.57,2436.64,2394.56,39183921359.65,11474315213393.621
64,2022-09-08,256.02,255.55,260.0,252.0,1610.0,0.0,8.0,2.33,2397.59,2390.27,2407.39,2378.3,33722794765.45,11420348678559.715
65,2022-09-09,258.0,259.95,259.96,255.57,990.0,0.0,8.0,2.33,2391.69,2426.06,2426.81,2391.69,30026659925.9,11591364438539.234
66,2022-09-12,259.97,253.8,265.0,247.2,17160.0,4394080.0,8.0,2.33,2419.77,2449.65,2465.22,2413.55,35740888613.15,11704074618338.885
67,2022-09-13,254.0,257.79,258.0,254.0,1860.0,0.0,8.0,2.33,2459.75,2446.89,2465.55,2438.8,28825213667.6,11690878037941.092
68,2022-09-14,254.03,253.7,262.0,250.8,4150.0,1054453.4,8.0,2.33,2439.96,2435.89,2439.96,2400.14,34390158477.8,11638326350156.629
69,2022-09-15,251.03,251.98,256.67,250.0,2150.0,540330.9,8.0,2.33,2434.79,2446.59,2457.02,2418.3,35982254564.4,11689420696410.018
70,2022-09-16,251.98,249.9,251.98,247.91,2740.0,684457.6,8.0,2.33,2446.09,2435.18,2469.02,2427.68,39556443400.3,12005777294428.41
71,2022-09-19,253.46,249.53,257.68,248.0,5250.0,1311533.2,7.5,2.33,2436.48,2430.54,2453.03,2427.19,26089124163.1,11982895777557.059
72,2022-09-20,248.11,228.18,251.88,223.5,5840.0,1392434.2,7.5,2.33,2430.53,2215.67,2436.3,2171.92,128647576445.4,10923597136866.19
73,2022-09-21,228.23,212.72,235.99,191.0,5270.0,1132897.8,7.5,2.33,2052.89,2130.71,2186.43,2002.73,79143617866.05,10504719975910.904
74,2022-09-22,212.0,215.99,229.74,206.01,3400.0,740928.9,7.5,3.08,2138.39,2190.87,2216.85,2138.39,69447770288.8,10801300809085.902
75,2022-09-23,216.02,215.08,224.97,199.0,6190.0,1313860.1,7.5,3.08,2192.11,2089.87,2192.68,2071.37,56633145265.45,10303351362213.566
76,2022-09-26,210.0,199.99,214.94,155.01,4220.0,778704.1,7.5,3.08,2054.56,1933.35,2054.56,1841.42,85669841859.2,9531716776605.904
77,2022-09-27,199.99,197.99,219.98,182.01,530.0,0.0,7.5,3.08,1930.58,1953.46,1975.32,1904.24,52656113619.5,9630867606925.572
78,2022-09-28,197.97,192.99,204.97,182.0,550.0,0.0,7.5,3.08,1978.89,1963.86,2018.99,1948.25,49270453422.3,9682108861609.855
79,2022-09-29,193.0,185.57,200.0,179.67,810.0,0.0,7.5,3.08,1998.24,1953.77,2005.8,1917.62,42281651650.9,9632358550286.06
80,2022-09-30,190.01,183.99,197.0,175.01,900.0,0.0,7.5,3.08,1977.75,1957.31,2005.21,1872.95,100124286989.9,9649832169116.066
81,2022-10-03,198.0,192.39,198.98,181.82,1090.0,0.0,7.5,3.08,1991.88,2041.96,2047.54,1972.43,44257545026.7,10067152793057.38
82,2022-10-04,190.01,190.0,199.0,185.5,1240.0,0.0,7.5,3.08,2071.19,2046.42,2079.67,2016.59,46366353260.7,10089141999278.76
83,2022-10-05,202.79,192.49,207.0,181.91,1570.0,0.0,7.5,3.08,2041.5,2029.88,2045.62,1971.91,53461971146.1,10007623520929.867
84,2022-10-06,182.0,184.01,207.0,182.0,1540.0,0.0,7.5,3.08,2027.3,2020.63,2053.86,2015.09,35091173555.05,9961995203200.76
85,2022-10-07,181.76,179.14,184.06,176.01,390.0,0.0,7.5,3.08,2012.95,1944.75,2012.95,1939.54,41355184462.6,9587889137400.754
86,2022-10-10,175.02,184.99,192.41,175.02,350.0,0.0,7.5,3.08,1783.66,1916.97,1917.91,1775.04,56385754466.1,9450925556588.29
87,2022-10-11,184.98,186.99,187.99,179.04,320.0,0.0,7.5,3.08,1928.74,1949.46,1952.8,1909.11,31814724761.25,9611121305627.438
88,2022-10-12,182.03,184.0,192.0,182.02,580.0,0.0,7.5,3.08,1965.39,1951.65,1974.59,1937.93,27544147227.5,9621913998261.648
89,2022-10-13,184.98,186.1,189.98,184.01,700.0,0.0,7.5,3.08,1950.24,1955.2,1975.84,1941.18,25239455241.2,9639414193300.59
90,2022-10-14,182.04,184.62,186.0,182.03,440.0,0.0,7.5,3.08,1963.38,1950.98,1965.77,1933.29,23793882193.25,9618611152725.963
91,2022-10-17,182.0,186.39,189.62,178.97,630.0,0.0,7.5,3.08,1958.18,2012.85,2013.61,1955.7,32246002624.9,9923666830044.977
92,2022-10-18,184.99,185.01,190.06,184.99,870.0,0.0,7.5,3.08,2031.56,2032.4,2039.67,1999.38,33771126653.65,10020049195584.727
93,2022-10-19,184.99,183.01,189.93,181.02,350.0,0.0,7.5,3.08,1986.67,1978.4,2006.06,1953.74,35837150710.55,9753816942349.756
94,2022-10-20,189.41,188.38,189.41,184.01,710.0,0.0,7.5,3.08,1998.74,2025.51,2032.58,1991.09,35871004460.3,9986071168198.123
95,2022-10-21,189.1,187.98,193.07,186.0,490.0,0.0,7.5,3.08,2026.44,2043.71,2049.0,2000.68,35187924135.05,10075790014288.482
96,2022-10-24,192.98,189.88,192.98,185.08,420.0,0.0,7.5,3.08,2070.36,2063.95,2088.31,2048.37,32652624967.05,10175575419979.822
97,2022-10-25,192.97,191.71,192.97,185.09,610.0,0.0,7.5,3.08,2066.28,2130.65,2130.65,2058.09,42887815544.05,10504426038008.812
98,2022-10-26,191.71,189.96,191.71,186.01,670.0,0.0,7.5,3.08,2131.18,2120.58,2144.56,2093.12,42015203006.9,10454762285554.521
99,2022-10-27,189.96,189.8,191.64,185.3,1420.0,0.0,7.5,3.08,2133.81,2164.64,2164.64,2123.57,41008408450.6,10672001047475.965
100,2022-10-28,194.92,192.42,194.92,187.0,29100.0,5458111.9,7.5,3.08,2154.28,2167.7,2171.88,2130.75,43444621093.25,10687056886494.195
101,2022-10-31,206.0,195.15,206.0,193.2,1950.0,0.0,7.5,3.08,2173.0,2166.61,2184.38,2155.75,31288260044.75,10681704490963.467
102,2022-11-01,196.0,189.0,225.0,185.5,47830.0,9160155.0,7.5,3.08,2179.15,2174.35,2185.6,2161.18,21732654118.25,10719850615029.979
103,2022-11-02,203.5,190.0,204.5,189.0,6210.0,1193680.0,7.5,3.08,2178.25,2173.84,2184.89,2160.56,22031567419.25,10717344372983.096
104,2022-11-03,190.0,190.0,194.5,188.5,630.0,0.0,7.5,3.83,2145.54,2155.92,2156.78,2123.32,25792024221.25,10629017351388.7
105,2022-11-07,190.0,190.0,192.0,184.5,1620.0,0.0,7.5,3.83,2176.33,2208.78,2208.78,2172.34,41425843846.95,10889620233736.729
106,2022-11-08,190.0,188.5,195.0,184.0,10130.0,1909105.0,7.5,3.83,2213.39,2207.2,2221.13,2188.22,37767596384.3,10881831613888.168
107,2022-11-09,187.5,187.5,189.5,177.5,3110.0,577935.0,7.5,3.83,2201.06,2166.56,2205.92,2166.42,32153634675.1,10681443258477.21
108,2022-11-10,186.0,185.5,188.5,182.0,1300.0,0.0,7.5,3.83,2167.96,2210.02,2211.21,2161.57,50837891634.05,10895740491611.6
109,2022-11-11,185.0,183.5,187.0,181.0,1140.0,0.0,7.5,3.83,2221.68,2217.44,2224.97,2204.33,35129623599.9,10932297547295.443
110,2022-11-14,185.0,184.0,186.5,184.0,770.0,0.0,7.5,3.83,2230.8,2244.77,2245.9,2221.31,39642803675.8,11067049394438.617
111,2022-11-15,182.0,189.5,203.5,182.0,14870.0,2830605.0,7.5,3.83,2249.22,2223.26,2254.94,2211.19,36552526475.9,10960978460065.717
112,2022-11-16,189.5,185.5,189.5,181.0,1910.0,0.0,7.5,3.83,2199.1,2227.19,2232.83,2191.95,29153605996.45,10980368556811.67
113,2022-11-17,188.5,185.5,191.5,181.0,3060.0,570755.0,7.5,3.83,2227.54,2212.93,2235.76,2200.11,24154127523.05,10910073733332.514
114,2022-11-18,185.5,185.0,186.0,183.5,250.0,0.0,7.5,3.83,2208.39,2206.32,2211.7,2189.93,19150662557.8,10877464051138.74
115,2022-11-21,183.5,181.5,184.5,180.0,580.0,0.0,7.5,3.83,2204.9,2166.31,2204.9,2161.35,28464891091.05,10680226337858.496
116,2022-11-22,183.5,183.5,185.0,180.0,1330.0,0.0,7.5,3.83,2179.76,2196.04,2200.06,2169.62,21690712689.0,10826798314369.484
117,2022-11-23,180.5,183.0,183.5,179.5,730.0,0.0,7.5,3.83,2196.24,2211.89,2217.4,2180.64,32870895270.55,10904938208483.479
118,2022-11-24,182.5,183.0,183.0,181.5,150.0,0.0,7.5,3.83,2214.14,2210.95,2225.92,2206.12,20472685548.4,10900328982456.467
119,2022-11-25,182.5,182.0,184.0,180.5,750.0,0.0,7.5,3.83,2209.31,2195.17,2211.1,2190.67,18973705982.5,10822487848264.168
120,2022-11-28,181.0,182.5,184.0,181.0,590.0,0.0,7.5,3.83,2180.32,2177.45,2182.16,2163.44,25255954654.45,10735141131396.525
121,2022-11-29,182.5,185.0,185.5,182.5,550.0,0.0,7.5,3.83,2180.65,2185.32,2191.44,2178.34,21033978164.9,10773967606908.13
122,2022-11-30,182.5,184.5,186.5,181.0,1500.0,0.0,7.5,3.83,2184.27,2174.53,2184.27,2172.67,15628414954.25,10720729715996.59
123,2022-12-01,185.5,186.5,189.5,178.0,2470.0,0.0,7.5,3.83,2189.65,2187.29,2193.41,2183.57,20487790535.0,10783667912066.855
124,2022-12-02,183.5,181.5,185.0,178.0,6420.0,1153240.0,7.5,3.83,2189.19,2180.44,2189.35,2173.48,22206009036.85,10749902037240.51
125,2022-12-05,181.5,182.5,184.0,180.0,860.0,0.0,7.5,3.83,2179.79,2208.28,2210.7,2174.17,36556414504.95,10887128383855.426
126,2022-12-06,182.0,185.0,185.0,178.5,1070.0,0.0,7.5,3.83,2204.51,2196.24,2208.36,2184.65,22011415280.2,10827761346091.404
127,2022-12-07,186.5,181.0,186.5,177.5,1340.0,0.0,7.5,3.83,2185.01,2192.88,2193.71,2166.77,27417051222.95,10811206606360.305
128,2022-12-08,183.5,179.5,184.0,179.0,1120.0,0.0,7.5,3.83,2196.17,2184.43,2197.77,2174.57,22523116709.55,10769567540232.857
129,2022-12-09,182.5,181.5,185.5,178.0,890.0,0.0,7.5,3.83,2178.93,2177.85,2183.97,2169.04,16733074100.55,10737129730289.223
130,2022-12-12,181.5,180.5,183.0,177.0,2210.0,0.0,7.5,3.83,2178.33,2173.16,2185.49,2163.33,19308247875.05,10713977284682.082
131,2022-12-13,180.5,180.5,180.5,179.0,130.0,0.0,7.5,3.83,2175.29,2174.38,2177.95,2154.52,24793682504.95,10720024225414.434
132,2022-12-14,181.0,181.0,183.0,179.0,790.0,0.0,7.5,3.83,2171.12,2159.81,2171.31,2154.65,20963085762.75,10648190103411.47
133,2022-12-15,181.5,179.0,181.5,176.0,730.0,0.0,7.5,4.33,2151.69,2126.8,2151.69,2115.21,30466746003.55,10485422934974.064
134,2022-12-16,181.0,178.5,181.0,175.0,1290.0,0.0,7.5,4.33,2118.43,2132.75,2135.79,2116.08,19713454690.15,10392622956492.56
135,2022-12-19,177.5,180.0,180.0,177.0,690.0,0.0,7.5,4.33,2131.33,2129.98,2139.07,2109.56,30518978665.2,10379137903600.266
136,2022-12-20,183.5,180.0,183.5,179.5,1820.0,0.0,7.5,4.33,2071.1,2119.37,2119.37,2070.58,34192361634.1,10327435125487.426
