,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,46810.0,46820.0,46820.0,46810.0,2.0,2298760.0,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-10,45400.0,45990.0,45990.0,45400.0,13.0,1003380.0,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
2,2014-06-11,45180.0,45180.0,45180.0,45180.0,1.0,2935460.0,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
3,2014-06-16,45990.0,45360.0,46100.0,45360.0,5.0,866130.0,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
4,2014-06-17,46850.0,47500.0,48000.0,46850.0,9.0,657140.0,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
5,2014-06-18,47500.0,49500.0,50000.0,47500.0,10.0,916210.0,7.5,0.1,1486.47,1494.28,1500.39,1484.51,33911920376.0,6737184533664.86
6,2014-06-19,50000.0,51000.0,51000.0,50000.0,3.0,639500.0,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
7,2014-06-20,51500.0,50010.0,51500.0,50010.0,3.0,792510.0,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
8,2014-06-23,51800.0,51800.0,51800.0,51800.0,2.0,1323820.0,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
9,2014-06-26,49970.0,50000.0,50000.0,49970.0,5.0,1848380.0,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
10,2014-06-30,48000.0,54000.0,54000.0,48000.0,16.0,792470.0,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
11,2014-07-01,50000.0,50000.0,50000.0,50000.0,2.0,892470.0,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
12,2014-07-02,48010.0,48210.0,49970.0,48010.0,4.0,1087760.0,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
13,2014-07-03,47590.0,47590.0,47590.0,47590.0,1.0,1135350.0,7.5,0.09,1514.66,1514.47,1522.21,1510.66,29541346787.0,6828240267478.4
14,2014-07-08,48000.0,48000.0,48000.0,48000.0,1.0,0.0,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
15,2014-07-15,46970.0,48990.0,48990.0,46970.0,8.0,676730.0,7.5,0.09,1482.23,1475.77,1487.49,1471.95,31348119170.0,6653730932218.92
16,2014-07-16,48990.0,50000.0,50000.0,47500.0,29.0,1423450.0,7.5,0.09,1475.68,1474.72,1482.6,1459.08,31471423221.0,6649014803543.48
