,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-11,8179.0,8180.0,8180.0,8179.0,29.0,0.0,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
1,2014-06-16,7953.0,8099.0,8099.0,7952.0,81.0,0.0,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
2,2014-06-17,7984.0,8200.0,8200.0,7984.0,22.0,1064753.0,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
3,2014-07-10,7775.0,8396.0,8396.0,7774.0,103.0,804610.0,7.5,0.09,1513.37,1494.92,1521.88,1480.26,40593712934.0,6740109174597.83
4,2014-07-18,8086.0,8075.0,8086.0,8075.0,46.0,1176280.0,7.5,0.09,1440.54,1422.53,1440.54,1410.48,40033266979.0,6413710020809.31
5,2014-07-21,8056.0,8056.0,8056.0,8056.0,14.0,1289064.0,7.5,0.1,1422.53,1384.5,1424.64,1384.5,39527909818.0,6242240077462.93
6,2014-07-28,8124.0,8155.0,8155.0,8118.0,23.0,671497.0,8.0,0.09,1387.12,1361.94,1387.14,1357.03,30461885017.0,6140507803885.11
7,2014-08-04,8214.0,8214.0,8214.0,8214.0,28.0,0.0,8.0,0.09,1375.73,1378.98,1386.43,1365.01,26195753576.0,6217358216917.08
8,2014-08-06,8322.0,8322.0,8322.0,8322.0,20.0,0.0,8.0,0.09,1357.33,1334.66,1362.22,1333.37,44555802086.0,6017513533119.65
9,2014-08-07,8799.0,8800.0,8800.0,8799.0,33.0,873874.0,8.0,0.09,1333.39,1333.53,1340.84,1306.8,46389687389.0,6012422895099.08
10,2014-08-08,8800.0,8800.0,8800.0,8800.0,20.0,1049874.0,8.0,0.09,1332.26,1348.21,1360.49,1329.1,34479528820.0,6078629580593.59
11,2014-08-19,8800.0,9000.0,9000.0,8800.0,35.0,0.0,8.0,0.09,1425.18,1437.6,1441.42,1425.18,25673186641.0,6481651396810.93
12,2014-08-25,8306.0,8306.0,8306.0,8306.0,4.0,0.0,8.0,0.09,1446.86,1454.67,1456.72,1446.09,17577741392.0,6558630723741.41
13,2014-09-25,8993.0,8250.0,8993.0,7005.0,7.0,0.0,8.0,0.09,,,,,,
14,2014-10-02,8130.0,8120.0,8130.0,8120.0,10.0,0.0,8.0,0.09,,,,,,
15,2014-10-08,8120.0,8120.0,8120.0,8120.0,13.0,0.0,8.0,0.09,,,,,,
16,2014-10-17,8490.0,8500.0,8500.0,8490.0,13.0,0.0,8.0,0.09,,,,,,
17,2014-10-24,8120.0,8120.0,8120.0,8120.0,1.0,0.0,8.0,0.09,,,,,,
18,2014-10-28,8120.0,8120.0,8120.0,8120.0,17.0,0.0,8.0,0.09,,,,,,
19,2014-11-05,8270.0,8270.0,8270.0,8270.0,1.0,0.0,9.5,0.09,1490.66,1495.26,1496.19,1471.25,35993706175.0,7121819234260.93
20,2014-11-12,8780.0,8780.0,8780.0,8780.0,1.0,0.0,9.5,0.09,1514.85,1513.83,1524.72,1507.45,34100235041.0,7210271305547.86
21,2014-11-13,9000.0,11400.0,11400.0,9000.0,41.0,0.0,9.5,0.09,1514.19,1492.27,1522.87,1492.27,39369641894.0,7107618216442.59
22,2014-11-14,11400.0,11400.0,11400.0,11400.0,3.0,0.0,9.5,0.09,1491.75,1500.76,1507.93,1481.97,34296102848.0,7148016471313.82
23,2014-11-17,11380.0,11380.0,11380.0,11380.0,12.0,601770.0,9.5,0.1,1500.69,1507.1,1512.61,1494.81,25778674454.0,7178242599235.5
24,2014-11-24,11300.0,11400.0,11400.0,11300.0,11.0,735390.0,9.5,0.1,1539.95,1529.54,1541.75,1521.83,31750458256.0,7285128652947.91
25,2014-12-04,9070.0,10200.0,10200.0,9050.0,4.0,0.0,9.5,0.12,1606.75,1582.08,1623.02,1577.7,59378086980.0,7535377974526.13
26,2014-12-08,10310.0,11380.0,11380.0,10310.0,3.0,0.0,9.5,0.12,1529.73,1481.27,1551.66,1476.02,46772419082.0,7055222590397.55
27,2014-12-18,11000.0,11000.0,11000.0,11000.0,10.0,0.0,17.0,0.13,1417.41,1477.27,1506.13,1417.41,78761569805.0,6847878823692.59
28,2014-12-19,9200.0,9200.0,9200.0,9200.0,1.0,0.0,17.0,0.13,1477.36,1449.13,1488.34,1417.68,44856913714.0,6717440284468.56
29,2014-12-23,10180.0,10200.0,10200.0,10180.0,14.0,0.0,17.0,0.13,1437.08,1398.2,1446.31,1391.38,42501810335.0,6481362092230.03
30,2014-12-26,10000.0,10000.0,10000.0,10000.0,10.0,0.0,17.0,0.13,1409.02,1417.8,1432.41,1409.02,21938441630.0,6572219511259.2
31,2015-01-05,9130.0,9130.0,9130.0,9130.0,2.0,0.0,17.0,0.12,1394.66,1435.66,1438.91,1390.53,15320687285.0,6655000193417.98
32,2015-01-08,9110.0,9950.0,10000.0,9110.0,6.0,0.0,17.0,0.12,1482.12,1547.39,1564.87,1481.93,35505063516.0,7172914288797.3
33,2015-01-12,9000.0,9000.0,9000.0,9000.0,10.0,0.0,17.0,0.12,1515.23,1513.22,1534.74,1503.49,23419055856.0,7014538161692.29
34,2015-01-13,9010.0,9000.0,9010.0,9000.0,3.0,0.0,17.0,0.12,1513.21,1533.09,1543.59,1499.57,33133664935.0,7106620719186.81
35,2015-01-15,9010.0,9010.0,9010.0,9010.0,1.0,0.0,17.0,0.12,1556.96,1563.21,1586.22,1555.36,38679500660.0,7246243668028.74
36,2015-01-16,9010.0,9000.0,9010.0,9000.0,17.0,0.0,17.0,0.13,1563.21,1591.43,1594.06,1551.01,30068854489.0,7377090247817.62
37,2015-01-22,9000.0,9000.0,9000.0,9000.0,2.0,0.0,17.0,0.12,1618.68,1666.56,1676.38,1618.52,50131522012.0,7725364643154.59
38,2015-01-26,9010.0,9010.0,9010.0,9010.0,1.0,0.0,17.0,0.12,1670.23,1642.37,1670.3,1622.02,36919529789.0,7613229340218.56
