,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-11,14112.0,14200.0,14200.0,11000.0,5.0,545382.0,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
1,2014-06-16,10800.0,10800.0,10800.0,10800.0,1.0,556182.0,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
2,2014-06-17,14200.0,14000.0,14200.0,12520.0,56.0,757247.0,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
3,2014-06-25,14000.0,14000.0,14000.0,14000.0,18.0,1084559.0,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
4,2014-07-04,14500.0,14500.0,14500.0,14500.0,120.0,0.0,7.5,0.09,1515.53,1489.53,1516.36,1485.52,25432309583.0,6715772755003.5
5,2014-07-08,11000.0,11000.0,11000.0,11000.0,20.0,0.0,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
6,2014-07-09,11500.0,11800.0,12001.0,11500.0,96.0,1343901.0,7.5,0.09,1516.29,1513.38,1518.6,1496.79,28433619876.0,6823335238301.22
7,2014-07-11,10150.0,10150.0,10150.0,10150.0,32.0,1448701.0,7.5,0.09,1495.01,1499.82,1502.23,1488.84,27280591834.0,6762191289526.07
8,2014-07-17,11000.0,11000.0,11000.0,11000.0,40.0,3848701.0,7.5,0.09,1470.83,1440.63,1470.83,1429.08,46983315494.0,6495297231665.95
9,2014-07-22,11983.0,11983.0,11983.0,11983.0,1.0,1900684.0,7.5,0.09,1386.14,1405.97,1414.21,1386.14,35820774896.0,6339040079280.09
10,2014-07-25,9500.0,9500.0,9500.0,9500.0,4.0,0.0,7.5,0.09,1408.19,1388.41,1408.19,1386.14,29628586311.0,6259875281029.59
11,2014-07-28,10500.0,10500.0,10500.0,10500.0,7.0,0.0,8.0,0.09,1387.12,1361.94,1387.14,1357.03,30461885017.0,6140507803885.11
12,2014-07-29,10800.0,10800.0,10800.0,10800.0,10.0,0.0,8.0,0.09,1361.22,1369.83,1380.29,1356.62,35280719684.0,6176106230122.06
13,2014-07-30,11000.0,11200.0,11200.0,11000.0,18.0,0.0,8.0,0.09,1368.72,1382.14,1403.6,1359.65,40179117327.0,6231580896817.33
14,2014-07-31,11060.0,11196.0,11196.0,11060.0,42.0,895875.0,8.0,0.08,1383.04,1379.61,1399.12,1376.48,29121177754.0,6220179585134.02
15,2014-08-06,10401.0,10450.0,10500.0,10150.0,29.0,0.0,8.0,0.09,1357.33,1334.66,1362.22,1333.37,44555802086.0,6017513533119.65
16,2014-08-07,10000.0,10000.0,10000.0,10000.0,1.0,0.0,8.0,0.09,1333.39,1333.53,1340.84,1306.8,46389687389.0,6012422895099.08
