,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,4.6,4.6,4.6,4.6,100.0,0.0,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-10,4.6,4.6,4.6,4.6,900.0,0.0,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
2,2014-06-16,4.0,4.0,4.0,4.0,100.0,0.0,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
3,2014-06-23,4.1,4.1,4.1,4.1,100.0,0.0,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
4,2014-07-01,3.602,3.602,3.602,3.602,100.0,0.0,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
5,2014-07-03,4.001,4.101,4.101,4.001,200.0,0.0,7.5,0.09,1514.66,1514.47,1522.21,1510.66,29541346787.0,6828240267478.4
6,2014-07-08,3.8,4.5,4.5,3.102,11700.0,0.0,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
7,2014-07-15,4.1,3.33,4.1,3.27,37300.0,0.0,7.5,0.09,1482.23,1475.77,1487.49,1471.95,31348119170.0,6653730932218.92
8,2014-07-16,3.777,3.399,3.997,3.399,8500.0,0.0,7.5,0.09,1475.68,1474.72,1482.6,1459.08,31471423221.0,6649014803543.48
9,2014-07-17,3.398,3.398,3.398,3.398,100.0,0.0,7.5,0.09,1470.83,1440.63,1470.83,1429.08,46983315494.0,6495297231665.95
10,2014-07-21,3.398,3.397,3.398,3.397,1000.0,0.0,7.5,0.1,1422.53,1384.5,1424.64,1384.5,39527909818.0,6242240077462.93
11,2014-07-24,3.4,3.4,3.4,3.4,2100.0,0.0,7.5,0.09,1405.58,1408.8,1410.75,1394.04,25372742027.0,6351783470052.68
12,2014-07-30,3.4,3.4,3.4,3.4,100.0,0.0,8.0,0.09,1368.72,1382.14,1403.6,1359.65,40179117327.0,6231580896817.33
13,2014-07-31,3.007,3.3,3.306,2.892,2100.0,0.0,8.0,0.08,1383.04,1379.61,1399.12,1376.48,29121177754.0,6220179585134.02
14,2014-08-01,3.2,3.1,3.2,2.9,12200.0,0.0,8.0,0.09,1378.03,1374.83,1378.1,1358.11,33134471815.0,6198666221991.83
15,2014-08-04,3.0,3.0,3.0,3.0,9900.0,0.0,8.0,0.09,1375.73,1378.98,1386.43,1365.01,26195753576.0,6217358216917.08
16,2014-08-05,2.9,2.9,2.9,2.9,300.0,0.0,8.0,0.09,1379.5,1357.89,1383.36,1356.2,26258554225.0,6122263369324.38
17,2014-08-06,2.9,2.9,2.9,2.9,100.0,0.0,8.0,0.09,1357.33,1334.66,1362.22,1333.37,44555802086.0,6017513533119.65
18,2014-08-07,3.79,2.9,3.79,2.9,1400.0,0.0,8.0,0.09,1333.39,1333.53,1340.84,1306.8,46389687389.0,6012422895099.08
19,2014-08-08,2.883,2.851,2.883,2.851,900.0,0.0,8.0,0.09,1332.26,1348.21,1360.49,1329.1,34479528820.0,6078629580593.59
20,2014-08-11,2.852,2.8,2.852,2.8,3500.0,0.0,8.0,0.09,1350.42,1372.45,1379.22,1350.42,31225367926.0,6187929554027.43
21,2014-08-12,2.997,2.99,3.0,2.99,6100.0,0.0,8.0,0.09,1372.94,1374.19,1386.2,1368.1,30027011620.0,6195754643005.9
22,2014-08-13,2.988,3.3,3.5,2.988,4700.0,0.0,8.0,0.09,1373.64,1398.85,1402.38,1373.27,33763586053.0,6306941447520.57
23,2014-08-18,2.67,2.69,2.69,2.67,6500.0,0.0,8.0,0.09,1418.05,1425.18,1427.95,1415.35,18156608193.0,6425664882271.03
24,2014-08-19,3.0,3.0,3.0,3.0,5100.0,0.0,8.0,0.09,1425.18,1437.6,1441.42,1425.18,25673186641.0,6481651396810.93
25,2014-08-25,3.1,3.1,3.1,3.1,1000.0,0.0,8.0,0.09,1446.86,1454.67,1456.72,1446.09,17577741392.0,6558630723741.41
26,2014-08-26,3.0,3.0,3.0,3.0,1000.0,0.0,8.0,0.09,1454.47,1443.32,1460.0,1441.42,19706721633.0,6507455779142.91
27,2014-08-28,3.0,3.0,3.0,3.0,3000.0,0.0,8.0,0.09,1447.54,1423.78,1447.76,1414.18,43849484690.0,6419337314027.56
28,2014-09-03,2.69,2.8,2.8,2.57,10600.0,0.0,8.0,0.09,1400.44,1449.29,1452.92,1400.44,56947742576.0,6534374903303.01
29,2014-09-04,2.8,2.8,2.8,2.8,100.0,0.0,8.0,0.09,1449.51,1457.34,1462.03,1439.38,34234449476.0,6570639817053.64
30,2014-09-08,2.8,2.8,2.8,2.8,100.0,0.0,8.0,0.09,1474.38,1464.76,1478.26,1460.85,26433491805.0,6604117625006.14
31,2014-09-10,2.6,2.6,2.6,2.6,23400.0,0.0,8.0,0.09,1466.99,1468.55,1472.23,1456.21,19594281049.0,6621186609667.49
32,2014-09-15,2.57,2.5,2.79,2.5,29600.0,0.0,8.0,0.09,1457.87,1454.19,1466.43,1441.26,36468665661.0,6556462216365.1
33,2014-09-16,2.48,2.44,2.48,2.0,13200.0,0.0,8.0,0.09,1454.13,1477.31,1483.66,1451.21,34534659889.0,7036330612381.47
34,2014-09-18,2.8,2.8,2.8,2.8,100.0,0.0,8.0,0.09,1449.37,1448.63,1460.13,1443.75,26613627505.0,6899755307298.78
35,2014-09-19,2.6,2.6,2.6,2.6,100.0,0.0,8.0,0.09,1448.19,1431.58,1454.16,1423.44,41661321148.0,6818524090027.49
36,2014-09-22,2.6,2.5,2.6,2.5,200.0,0.0,8.0,0.09,1431.12,1412.83,1436.21,1412.83,24222806047.0,6729253251808.7
37,2014-09-29,2.5,2.5,2.5,2.5,100.0,0.0,8.0,0.08,,,,,,
38,2014-10-06,2.5,2.5,2.5,2.5,2000.0,0.0,8.0,0.09,,,,,,
39,2014-10-09,2.3,2.3,2.3,2.3,7300.0,0.0,8.0,0.08,,,,,,
40,2014-10-10,2.3,2.3,2.3,2.3,3200.0,0.0,8.0,0.09,,,,,,
41,2014-10-17,2.3,2.3,2.3,2.3,100.0,0.0,8.0,0.09,,,,,,
42,2014-10-21,2.3,2.3,2.3,2.3,100.0,0.0,8.0,0.09,,,,,,
43,2014-10-24,2.1,2.1,2.1,2.1,1200.0,0.0,8.0,0.09,,,,,,
44,2014-10-27,2.29,2.29,2.29,2.29,100.0,0.0,8.0,0.09,,,,,,
45,2014-10-28,2.22,2.22,2.22,2.22,100.0,0.0,8.0,0.09,,,,,,
46,2014-11-06,2.2,2.2,2.2,2.2,200.0,0.0,9.5,0.09,1495.47,1497.46,1521.14,1490.66,40485840607.0,7132315424108.46
47,2014-11-10,2.49,2.49,2.49,2.49,3200.0,0.0,9.5,0.09,1498.62,1515.36,1518.73,1498.59,36072189835.0,7217582952688.41
48,2014-12-02,2.2,2.0,2.2,1.91,47800.0,0.0,9.5,0.12,1578.4,1583.12,1596.96,1555.89,46843420167.0,7540317495902.56
49,2014-12-03,2.03,2.01,2.03,2.01,9700.0,0.0,9.5,0.12,1583.62,1606.84,1608.92,1578.93,47389306057.0,7653293169132.22
50,2014-12-04,2.2,2.2,2.2,2.19,2300.0,0.0,9.5,0.12,1606.75,1582.08,1623.02,1577.7,59378086980.0,7535377974526.13
51,2014-12-08,2.19,2.2,2.2,2.19,1100.0,0.0,9.5,0.12,1529.73,1481.27,1551.66,1476.02,46772419082.0,7055222590397.55
52,2014-12-26,2.19,2.19,2.19,2.19,100.0,0.0,17.0,0.13,1409.02,1417.8,1432.41,1409.02,21938441630.0,6572219511259.2
53,2014-12-29,2.19,2.34,2.34,2.19,3500.0,0.0,17.0,0.13,1417.53,1432.94,1489.75,1409.1,31782008617.0,6642405410265.22
54,2015-01-05,2.0,2.0,2.0,2.0,200.0,0.0,17.0,0.12,1394.66,1435.66,1438.91,1390.53,15320687285.0,6655000193417.98
