,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-07-01,0.3301,0.3301,0.3301,0.3301,10000.0,0.0,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
1,2014-07-08,0.331,0.331,0.331,0.331,20000.0,0.0,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
2,2014-10-17,0.301,0.301,0.301,0.301,20000.0,0.0,8.0,0.09,,,,,,
3,2014-11-03,0.34,0.34,0.34,0.34,10000.0,0.0,8.0,0.09,1488.15,1491.19,1495.86,1477.06,17481520523.0,7102462053889.69
4,2014-11-13,0.361,0.242,0.361,0.242,40000.0,0.0,9.5,0.09,1514.19,1492.27,1522.87,1492.27,39369641894.0,7107618216442.59
5,2014-11-18,0.294,0.295,0.295,0.294,20000.0,0.0,9.5,0.11,1506.78,1519.61,1524.8,1495.09,37626778528.0,7237803241252.88
6,2014-12-29,0.361,0.357,0.361,0.357,690000.0,0.0,17.0,0.13,1417.53,1432.94,1489.75,1409.1,31782008617.0,6642405410265.22
7,2014-12-30,0.245,0.244,0.245,0.244,20000.0,0.0,17.0,0.13,1429.68,1396.61,1430.01,1378.54,26156334473.0,6473977848191.16
8,2015-01-08,0.335,0.338,0.338,0.324,80000.0,0.0,17.0,0.12,1482.12,1547.39,1564.87,1481.93,35505063516.0,7172914288797.3
9,2015-01-14,0.282,0.282,0.282,0.282,10000.0,0.0,17.0,0.12,1531.65,1554.46,1560.01,1524.69,32105492806.0,7205690234312.64
10,2015-02-11,0.273,0.295,0.295,0.271,40000.0,0.0,15.0,0.12,1744.86,1763.6,1787.77,1744.86,38491876240.0,8175187933284.21
11,2015-02-17,0.315,0.317,0.317,0.315,40000.0,0.0,15.0,0.12,1800.92,1793.82,1842.59,1781.8,52881168864.0,8315263404962.52
12,2015-02-27,0.325,0.325,0.325,0.325,10000.0,0.0,15.0,0.06,1760.67,1758.97,1769.22,1740.91,34816153558.0,8153719801978.58
13,2015-03-17,0.258,0.258,0.258,0.258,350000.0,0.0,14.0,0.12,1609.96,1611.69,1627.54,1603.78,33791281594.0,7570574026221.38
14,2015-03-23,0.341,0.341,0.341,0.254,4510000.0,1355210.0,14.0,0.12,1629.29,1602.85,1639.06,1597.64,31172311202.0,7529051648399.15
15,2015-03-26,0.357,0.3,0.357,0.3,700000.0,1586300.0,14.0,0.11,1615.54,1581.84,1633.27,1574.11,36714811490.0,7430371966734.89
16,2015-04-09,0.305,0.246,0.305,0.246,40000.0,0.0,14.0,0.12,1683.1,1667.6,1683.1,1648.36,54277594144.0,7833204237643.74
17,2015-04-10,0.286,0.286,0.286,0.286,10000.0,0.0,14.0,0.12,1667.62,1657.02,1674.48,1635.85,45171576856.0,7783510247485.24
18,2015-04-17,0.294,0.273,0.294,0.273,210000.0,0.0,14.0,0.13,1686.79,1656.59,1694.08,1656.59,46513599503.0,7781505974673.19
19,2015-04-20,0.27,0.27,0.27,0.27,90000.0,0.0,14.0,0.13,1657.63,1683.24,1691.93,1655.75,42410329020.0,7906687598366.14
20,2015-04-29,0.259,0.289,0.289,0.259,2640000.0,723360.0,14.0,0.13,1677.89,1670.99,1694.28,1666.52,26159937335.0,7849120167986.69
21,2015-05-18,0.26,0.26,0.26,0.26,10000.0,0.0,12.5,0.13,1691.53,1678.55,1696.49,1677.69,24398276737.0,7884643884815.45
22,2015-05-21,0.29,0.27,0.29,0.27,30000.0,0.0,12.5,0.12,1637.14,1659.33,1663.24,1632.43,33027683176.0,7794388384065.35
23,2015-05-22,0.27,0.27,0.27,0.27,30000.0,0.0,12.5,0.13,1659.47,1665.66,1667.92,1653.03,30634884998.0,7824090415175.52
24,2015-05-26,0.254,0.26,0.26,0.253,100000.0,0.0,12.5,0.12,1655.85,1651.66,1666.87,1646.09,28194503099.0,7758340018940.61
25,2015-05-28,0.24,0.24,0.24,0.24,10000.0,0.0,12.5,0.12,1660.65,1657.62,1678.64,1656.17,30309010225.0,7786346001005.87
26,2015-06-02,0.239,0.239,0.239,0.239,10000.0,0.0,12.5,0.12,1616.97,1643.41,1650.64,1612.78,28435405398.0,7719601891098.58
27,2015-06-16,0.227,0.22,0.227,0.22,20000.0,0.0,11.5,0.14,1657.37,1668.82,1674.11,1649.16,26617346477.0,7819903168093.14
28,2015-06-18,0.242,0.242,0.242,0.242,10000.0,0.0,11.5,0.14,1664.65,1660.14,1671.88,1658.41,23118394361.0,7779215175262.67
29,2015-06-19,0.244,0.244,0.244,0.244,50000.0,0.0,11.5,0.13,1660.56,1663.03,1665.71,1655.53,26196350748.0,7792769676792.86
30,2015-06-22,0.246,0.246,0.246,0.246,10000.0,0.0,11.5,0.13,1664.11,1671.8,1679.42,1663.35,25538988011.0,7833886250674.12
31,2015-06-26,0.228,0.259,0.259,0.228,1320000.0,0.0,11.5,0.13,1631.92,1644.45,1647.81,1626.87,25595703087.0,7705703857126.72
32,2015-07-03,0.227,0.259,0.27,0.227,2680000.0,656900.0,11.5,0.13,1641.01,1631.65,1642.2,1625.42,14641565563.0,7645728962566.83
33,2015-07-08,0.227,0.244,0.244,0.224,40000.0,666100.0,11.5,0.13,1614.14,1595.0,1616.6,1573.95,34970227613.0,7474001386734.78
34,2015-07-09,0.245,0.24,0.249,0.24,50000.0,678360.0,11.5,0.13,1595.08,1614.59,1614.85,1595.02,24711741425.0,7565801986012.65
35,2015-07-16,0.227,0.244,0.244,0.227,190000.0,721660.0,11.5,0.14,1640.81,1652.59,1652.97,1636.99,20173536045.0,7743857713656.6
36,2015-07-28,0.24,0.258,0.258,0.23,4620000.0,1124220.0,11.5,0.14,1584.92,1604.5,1610.7,1577.99,36511095579.0,7518524177349.94
37,2015-08-18,0.241,0.24,0.241,0.24,40000.0,0.0,11.0,0.15,1707.95,1691.24,1707.95,1685.83,22759319652.0,7924982495326.06
38,2015-08-20,0.24,0.24,0.24,0.24,10000.0,0.0,11.0,0.15,1673.96,1695.57,1697.7,1668.66,31893911929.0,7945236409679.39
39,2015-08-27,0.237,0.222,0.237,0.222,70000.0,0.0,11.0,0.14,1661.0,1695.22,1697.22,1661.0,36548264407.0,7943597741451.54
40,2015-09-02,0.246,0.248,0.248,0.246,30000.0,0.0,11.0,0.14,1697.98,1690.82,1716.97,1687.09,32130359306.0,7923004254544.28
41,2015-09-03,0.249,0.3,0.3,0.249,170000.0,0.0,11.0,0.14,1690.83,1710.57,1717.15,1690.83,28714831441.0,8015543629545.18
42,2015-09-07,0.273,0.273,0.273,0.273,10000.0,0.0,11.0,0.14,1698.16,1701.18,1708.58,1695.62,15677356931.0,7971537119350.72
43,2015-09-09,0.255,0.254,0.255,0.254,420000.0,0.0,11.0,0.14,1715.73,1722.43,1735.84,1715.73,25665866136.0,8071104320597.36
44,2015-09-10,0.255,0.356,0.356,0.255,3580000.0,1041210.0,11.0,0.14,1722.05,1718.9,1730.1,1710.46,26313587477.0,8054564809020.79
45,2015-09-11,0.452,0.389,0.497,0.362,840000.0,0.0,11.0,0.14,1718.88,1718.06,1727.89,1713.03,20355564692.0,8050638885308.83
