,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,0.374,0.374,0.374,0.374,10000.0,0.0,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-11,0.362,0.368,0.394,0.362,30000.0,0.0,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
2,2014-06-17,0.37,0.37,0.37,0.37,70000.0,0.0,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
3,2014-06-26,0.37,0.37,0.37,0.37,20000.0,0.0,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
4,2014-06-27,0.3199,0.322,0.322,0.3199,450000.0,0.0,7.5,0.1,1473.31,1477.32,1481.29,1467.94,24506324520.0,6660748008656.28
5,2014-07-03,0.35,0.35,0.35,0.35,80000.0,0.0,7.5,0.09,1514.66,1514.47,1522.21,1510.66,29541346787.0,6828240267478.4
6,2014-07-07,0.35,0.35,0.35,0.35,380000.0,0.0,7.5,0.1,1489.55,1513.72,1518.05,1484.27,26447591867.0,6824843528813.94
7,2014-07-08,0.335,0.3695,0.3695,0.335,70000.0,0.0,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
8,2014-07-14,0.368,0.368,0.368,0.368,10000.0,0.0,7.5,0.09,1500.29,1483.41,1502.68,1482.63,25874350380.0,6688204369898.62
9,2014-07-18,0.35,0.35,0.35,0.35,30000.0,0.0,7.5,0.09,1440.54,1422.53,1440.54,1410.48,40033266979.0,6413710020809.31
10,2014-07-21,0.3694,0.3694,0.3694,0.3694,10000.0,0.0,7.5,0.1,1422.53,1384.5,1424.64,1384.5,39527909818.0,6242240077462.93
11,2014-07-23,0.361,0.361,0.361,0.361,10000.0,0.0,7.5,0.09,1406.5,1406.58,1421.56,1395.74,29647055743.0,6341809496909.95
12,2014-08-05,0.3737,0.3737,0.3737,0.3737,10000.0,0.0,8.0,0.09,1379.5,1357.89,1383.36,1356.2,26258554225.0,6122263369324.38
13,2014-08-11,0.35,0.37,0.37,0.35,160000.0,0.0,8.0,0.09,1350.42,1372.45,1379.22,1350.42,31225367926.0,6187929554027.43
14,2014-08-13,0.35,0.33,0.35,0.3251,110000.0,0.0,8.0,0.09,1373.64,1398.85,1402.38,1373.27,33763586053.0,6306941447520.57
15,2014-08-14,0.33,0.32,0.33,0.32,80000.0,0.0,8.0,0.09,1399.07,1407.53,1412.88,1391.65,32917275901.0,6346061682927.05
16,2014-08-15,0.3114,0.3115,0.3115,0.3114,20000.0,0.0,8.0,0.09,1407.57,1417.82,1425.76,1400.7,26772144978.0,6392466871442.37
17,2014-08-18,0.3301,0.32,0.3301,0.32,30000.0,0.0,8.0,0.09,1418.05,1425.18,1427.95,1415.35,18156608193.0,6425664882271.03
18,2014-08-22,0.3115,0.33,0.33,0.3099,450000.0,0.0,8.0,0.09,1461.79,1446.6,1463.71,1434.09,28861993115.0,6522253115433.8
19,2014-08-25,0.3101,0.3101,0.3101,0.3101,10000.0,0.0,8.0,0.09,1446.86,1454.67,1456.72,1446.09,17577741392.0,6558630723741.41
20,2014-08-29,0.3,0.3,0.3,0.3,50000.0,0.0,8.0,0.07,1423.56,1400.71,1428.72,1400.44,34660154972.0,6315320939623.29
21,2014-09-01,0.3,0.32,0.322,0.3,40000.0,0.0,8.0,0.07,1401.34,1392.4,1419.9,1389.77,34518068575.0,6277859256745.77
22,2014-09-10,0.32,0.32,0.32,0.32,20000.0,0.0,8.0,0.09,1466.99,1468.55,1472.23,1456.21,19594281049.0,6621186609667.49
23,2014-09-19,0.301,0.301,0.301,0.301,770000.0,0.0,8.0,0.09,1448.19,1431.58,1454.16,1423.44,41661321148.0,6818524090027.49
24,2014-09-23,0.33,0.33,0.33,0.33,10000.0,0.0,8.0,0.09,1413.57,1429.45,1432.37,1413.49,25653683539.0,6808383919755.99
25,2014-09-29,0.3001,0.3,0.3001,0.3,60000.0,0.0,8.0,0.08,,,,,,
26,2014-10-02,0.3,0.3,0.301,0.3,580000.0,0.0,8.0,0.09,,,,,,
27,2014-10-03,0.29,0.29,0.3,0.281,60000.0,0.0,8.0,0.09,,,,,,
28,2014-10-09,0.29,0.29,0.29,0.29,30000.0,0.0,8.0,0.08,,,,,,
29,2014-10-10,0.29,0.288,0.3,0.278,280000.0,0.0,8.0,0.09,,,,,,
30,2014-10-15,0.299,0.29,0.31,0.29,260000.0,0.0,8.0,0.09,,,,,,
31,2014-10-20,0.274,0.274,0.274,0.274,30000.0,0.0,8.0,0.09,,,,,,
32,2014-10-24,0.298,0.299,0.299,0.298,20000.0,0.0,8.0,0.09,,,,,,
33,2014-10-28,0.273,0.272,0.273,0.272,20000.0,0.0,8.0,0.09,,,,,,
34,2014-10-30,0.273,0.296,0.296,0.271,70000.0,0.0,8.0,0.09,1438.8,1452.89,1456.88,1428.36,49073324158.0,6920053939430.49
35,2014-11-03,0.283,0.28,0.283,0.279,220000.0,0.0,8.0,0.09,1488.15,1491.19,1495.86,1477.06,17481520523.0,7102462053889.69
36,2014-11-06,0.298,0.27,0.298,0.27,40000.0,0.0,9.5,0.09,1495.47,1497.46,1521.14,1490.66,40485840607.0,7132315424108.46
37,2014-11-07,0.297,0.303,0.303,0.297,20000.0,0.0,9.5,0.09,1496.51,1497.11,1526.08,1486.37,62435787319.0,7130652967630.07
38,2014-12-02,0.273,0.264,0.273,0.264,60000.0,0.0,9.5,0.12,1578.4,1583.12,1596.96,1555.89,46843420167.0,7540317495902.56
39,2014-12-09,0.266,0.266,0.266,0.266,10000.0,0.0,9.5,0.12,1481.49,1475.22,1490.27,1459.77,43732135318.0,7026377302115.53
40,2014-12-15,0.267,0.24,0.302,0.161,360000.0,0.0,10.5,0.11,1459.25,1424.99,1483.38,1402.83,68027939909.0,6787127409924.95
41,2014-12-16,0.245,0.259,0.259,0.177,80000.0,0.0,17.0,0.12,1424.72,1444.32,1484.06,1309.6,100830509677.0,6695173218130.9
42,2014-12-17,0.261,0.261,0.261,0.261,10000.0,0.0,17.0,0.13,1445.53,1413.79,1476.19,1389.63,81076784417.0,6553645114861.3
43,2014-12-18,0.226,0.225,0.226,0.225,20000.0,0.0,17.0,0.13,1417.41,1477.27,1506.13,1417.41,78761569805.0,6847878823692.59
44,2014-12-22,0.281,0.281,0.281,0.281,10000.0,0.0,17.0,0.13,1452.95,1437.08,1466.34,1421.39,50209370839.0,6661583735341.69
45,2014-12-23,0.279,0.25,0.28,0.25,50000.0,0.0,17.0,0.13,1437.08,1398.2,1446.31,1391.38,42501810335.0,6481362092230.03
46,2014-12-26,0.237,0.225,0.237,0.225,150000.0,0.0,17.0,0.13,1409.02,1417.8,1432.41,1409.02,21938441630.0,6572219511259.2
47,2014-12-29,0.279,0.28,0.28,0.212,470000.0,0.0,17.0,0.13,1417.53,1432.94,1489.75,1409.1,31782008617.0,6642405410265.22
48,2015-01-08,0.28,0.29,0.29,0.28,110000.0,0.0,17.0,0.12,1482.12,1547.39,1564.87,1481.93,35505063516.0,7172914288797.3
49,2015-01-13,0.26,0.26,0.26,0.26,10000.0,0.0,17.0,0.12,1513.21,1533.09,1543.59,1499.57,33133664935.0,7106620719186.81
50,2015-01-19,0.317,0.305,0.317,0.305,20000.0,0.0,17.0,0.13,1590.54,1576.4,1627.53,1572.94,37167969626.0,7307430024178.39
51,2015-01-26,0.28,0.28,0.28,0.28,50000.0,0.0,17.0,0.12,1670.23,1642.37,1670.3,1622.02,36919529789.0,7613229340218.56
52,2015-02-05,0.276,0.276,0.276,0.276,10000.0,0.0,15.0,0.12,1654.97,1696.06,1698.83,1642.51,47193997103.0,7862101858309.86
53,2015-02-06,0.298,0.297,0.298,0.273,250000.0,0.0,15.0,0.11,1696.96,1755.45,1762.39,1696.96,54221952383.0,8137413935492.03
54,2015-02-11,0.27,0.27,0.27,0.27,140000.0,0.0,15.0,0.12,1744.86,1763.6,1787.77,1744.86,38491876240.0,8175187933284.21
55,2015-02-17,0.3,0.322,0.322,0.3,70000.0,0.0,15.0,0.12,1800.92,1793.82,1842.59,1781.8,52881168864.0,8315263404962.52
56,2015-02-18,0.295,0.319,0.319,0.292,50000.0,0.0,15.0,0.12,1795.83,1809.67,1833.14,1795.59,49388542824.0,8388736905011.3
57,2015-02-24,0.31,0.3,0.31,0.3,20000.0,0.0,15.0,0.11,1786.49,1772.16,1786.49,1754.81,29693757499.0,8214847546708.6
58,2015-03-02,0.288,0.297,0.32,0.288,70000.0,0.0,15.0,0.12,1759.25,1783.34,1789.54,1759.18,28597842943.0,8266656116234.64
59,2015-03-03,0.305,0.305,0.305,0.305,10000.0,0.0,15.0,0.12,1783.44,1807.7,1825.94,1769.58,41033146650.0,8379594412603.44
60,2015-03-16,0.306,0.306,0.306,0.306,10000.0,0.0,14.0,0.12,1626.77,1609.85,1636.16,1609.82,35828098909.0,7462485154825.06
61,2015-03-17,0.307,0.307,0.307,0.307,10000.0,0.0,14.0,0.12,1609.96,1611.69,1627.54,1603.78,33791281594.0,7570574026221.38
62,2015-03-26,0.307,0.307,0.338,0.307,1500000.0,0.0,14.0,0.11,1615.54,1581.84,1633.27,1574.11,36714811490.0,7430371966734.89
63,2015-03-27,0.306,0.306,0.306,0.306,20000.0,0.0,14.0,0.12,1581.84,1571.55,1594.38,1569.61,28812026020.0,7382037286864.04
64,2015-03-30,0.292,0.286,0.315,0.286,250000.0,0.0,14.0,0.12,1571.77,1612.84,1615.55,1571.62,28725942381.0,7575988621535.56
65,2015-04-08,0.285,0.285,0.285,0.285,20000.0,559740.0,14.0,0.12,1695.51,1683.63,1695.59,1669.88,33256561914.0,7908521072383.39
66,2015-04-09,0.289,0.28,0.289,0.28,140000.0,0.0,14.0,0.12,1683.1,1667.6,1683.1,1648.36,54277594144.0,7833204237643.74
67,2015-04-10,0.282,0.3,0.3,0.282,270000.0,0.0,14.0,0.12,1667.62,1657.02,1674.48,1635.85,45171576856.0,7783510247485.24
68,2015-04-14,0.3,0.3,0.3,0.3,390000.0,0.0,14.0,0.13,1678.43,1647.39,1678.5,1641.8,35730708154.0,7738298077635.93
69,2015-04-15,0.292,0.291,0.292,0.291,50000.0,0.0,14.0,0.13,1647.29,1677.7,1681.83,1643.11,40037734888.0,7880652147526.14
70,2015-04-16,0.283,0.3,0.3,0.28,140000.0,0.0,14.0,0.13,1678.04,1686.79,1689.29,1661.38,44360086518.0,7923364850234.14
71,2015-04-17,0.287,0.287,0.287,0.287,210000.0,0.0,14.0,0.13,1686.79,1656.59,1694.08,1656.59,46513599503.0,7781505974673.19
72,2015-04-20,0.285,0.281,0.285,0.281,40000.0,0.0,14.0,0.13,1657.63,1683.24,1691.93,1655.75,42410329020.0,7906687598366.14
