,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,2.9592,2.9592,2.9592,2.9592,1000.0,0.0,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-19,2.959,2.9589,2.959,2.9589,2000.0,0.0,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
2,2014-06-20,2.95,2.95,2.95,2.95,1000.0,0.0,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
3,2014-06-24,2.958,2.9579,2.958,2.9579,2000.0,0.0,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
4,2014-06-26,2.85,2.85,2.85,2.85,2000.0,0.0,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
5,2014-06-30,3.1623,3.1624,3.1624,3.1623,3000.0,0.0,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
6,2014-07-07,3.11,2.989,3.11,2.964,35000.0,0.0,7.5,0.1,1489.55,1513.72,1518.05,1484.27,26447591867.0,6824843528813.94
7,2014-07-08,2.9421,2.9539,2.9999,2.9,59000.0,0.0,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
8,2014-07-09,2.9307,2.9307,2.9307,2.9307,1000.0,0.0,7.5,0.09,1516.29,1513.38,1518.6,1496.79,28433619876.0,6823335238301.22
9,2014-07-10,2.9211,2.9209,2.9211,2.9209,23000.0,0.0,7.5,0.09,1513.37,1494.92,1521.88,1480.26,40593712934.0,6740109174597.83
10,2014-07-11,2.901,2.901,2.901,2.901,1000.0,0.0,7.5,0.09,1495.01,1499.82,1502.23,1488.84,27280591834.0,6762191289526.07
11,2014-07-14,3.05,3.05,3.05,3.05,1000.0,0.0,7.5,0.09,1500.29,1483.41,1502.68,1482.63,25874350380.0,6688204369898.62
12,2014-07-15,2.9421,2.9126,2.9421,2.9126,2000.0,0.0,7.5,0.09,1482.23,1475.77,1487.49,1471.95,31348119170.0,6653730932218.92
13,2014-07-17,2.9012,2.901,2.9012,2.901,14000.0,0.0,7.5,0.09,1470.83,1440.63,1470.83,1429.08,46983315494.0,6495297231665.95
14,2014-07-18,2.91,2.91,2.91,2.91,1000.0,0.0,7.5,0.09,1440.54,1422.53,1440.54,1410.48,40033266979.0,6413710020809.31
15,2014-07-21,2.9077,2.9949,2.9949,2.88,5000.0,0.0,7.5,0.1,1422.53,1384.5,1424.64,1384.5,39527909818.0,6242240077462.93
16,2014-07-22,2.93,2.9499,2.9499,2.93,2000.0,0.0,7.5,0.09,1386.14,1405.97,1414.21,1386.14,35820774896.0,6339040079280.09
17,2014-07-25,2.9146,2.8855,2.9146,2.8855,2000.0,0.0,7.5,0.09,1408.19,1388.41,1408.19,1386.14,29628586311.0,6259875281029.59
18,2014-07-28,2.89,2.8652,2.89,2.85,72000.0,0.0,8.0,0.09,1387.12,1361.94,1387.14,1357.03,30461885017.0,6140507803885.11
19,2014-07-29,2.9,2.9,2.9,2.9,1000.0,0.0,8.0,0.09,1361.22,1369.83,1380.29,1356.62,35280719684.0,6176106230122.06
20,2014-07-30,2.9077,2.9077,2.9077,2.9077,1000.0,0.0,8.0,0.09,1368.72,1382.14,1403.6,1359.65,40179117327.0,6231580896817.33
21,2014-07-31,2.8002,2.8498,2.8749,2.8002,79000.0,0.0,8.0,0.08,1383.04,1379.61,1399.12,1376.48,29121177754.0,6220179585134.02
22,2014-08-01,2.87,2.87,2.87,2.87,11000.0,0.0,8.0,0.09,1378.03,1374.83,1378.1,1358.11,33134471815.0,6198666221991.83
23,2014-08-04,2.8501,2.8501,2.8501,2.8501,1000.0,0.0,8.0,0.09,1375.73,1378.98,1386.43,1365.01,26195753576.0,6217358216917.08
24,2014-08-05,2.84,2.84,2.84,2.84,35000.0,0.0,8.0,0.09,1379.5,1357.89,1383.36,1356.2,26258554225.0,6122263369324.38
25,2014-08-06,2.8211,2.802,2.8211,2.802,10000.0,0.0,8.0,0.09,1357.33,1334.66,1362.22,1333.37,44555802086.0,6017513533119.65
26,2014-08-07,2.8101,2.8497,2.8497,2.81,61000.0,0.0,8.0,0.09,1333.39,1333.53,1340.84,1306.8,46389687389.0,6012422895099.08
27,2014-08-08,2.808,2.808,2.808,2.808,1000.0,0.0,8.0,0.09,1332.26,1348.21,1360.49,1329.1,34479528820.0,6078629580593.59
28,2014-08-11,3.0856,2.85,3.0885,2.85,25000.0,0.0,8.0,0.09,1350.42,1372.45,1379.22,1350.42,31225367926.0,6187929554027.43
29,2014-08-13,2.8571,2.85,2.8571,2.8498,54000.0,0.0,8.0,0.09,1373.64,1398.85,1402.38,1373.27,33763586053.0,6306941447520.57
30,2014-08-15,2.8501,2.85,2.8501,2.85,47000.0,0.0,8.0,0.09,1407.57,1417.82,1425.76,1400.7,26772144978.0,6392466871442.37
31,2014-08-18,2.8667,2.8667,2.8667,2.8667,1000.0,0.0,8.0,0.09,1418.05,1425.18,1427.95,1415.35,18156608193.0,6425664882271.03
32,2014-08-22,2.8667,2.8667,2.8667,2.8667,1000.0,0.0,8.0,0.09,1461.79,1446.6,1463.71,1434.09,28861993115.0,6522253115433.8
33,2014-08-25,2.867,2.867,2.867,2.867,1000.0,0.0,8.0,0.09,1446.86,1454.67,1456.72,1446.09,17577741392.0,6558630723741.41
34,2014-08-26,3.0,3.0549,3.0998,3.0,33000.0,0.0,8.0,0.09,1454.47,1443.32,1460.0,1441.42,19706721633.0,6507455779142.91
35,2014-08-28,2.91,2.91,2.91,2.91,2000.0,0.0,8.0,0.09,1447.54,1423.78,1447.76,1414.18,43849484690.0,6419337314027.56
36,2014-08-29,2.905,2.8998,2.905,2.8421,124000.0,0.0,8.0,0.07,1423.56,1400.71,1428.72,1400.44,34660154972.0,6315320939623.29
37,2014-09-01,2.9,2.9,2.9,2.9,46000.0,0.0,8.0,0.07,1401.34,1392.4,1419.9,1389.77,34518068575.0,6277859256745.77
38,2014-09-02,2.9,2.87,2.9,2.87,6000.0,0.0,8.0,0.09,1392.27,1400.35,1401.68,1386.31,20818865093.0,6313723045613.47
39,2014-09-04,2.9,2.9,2.9,2.9,19000.0,544018.8,8.0,0.09,1449.51,1457.34,1462.03,1439.38,34234449476.0,6570639817053.64
40,2014-09-09,2.9,2.8952,2.93,2.8952,23000.0,616507.6,8.0,0.09,1465.13,1468.17,1479.64,1465.13,22936789195.0,6619470791030.01
41,2014-09-10,2.9,2.9,2.9,2.9,2000.0,0.0,8.0,0.09,1466.99,1468.55,1472.23,1456.21,19594281049.0,6621186609667.49
42,2014-09-15,2.8997,2.87,2.8997,2.87,7000.0,0.0,8.0,0.09,1457.87,1454.19,1466.43,1441.26,36468665661.0,6556462216365.1
43,2014-09-16,2.8698,2.8698,2.8698,2.8698,1000.0,0.0,8.0,0.09,1454.13,1477.31,1483.66,1451.21,34534659889.0,7036330612381.47
44,2014-09-17,2.9499,2.9499,2.9499,2.9499,1000.0,0.0,8.0,0.09,1477.09,1449.37,1477.09,1437.73,43639537600.0,6903283783164.72
45,2014-09-23,2.8989,2.89,2.8989,2.8001,13000.0,0.0,8.0,0.09,1413.57,1429.45,1432.37,1413.49,25653683539.0,6808383919755.99
46,2014-09-24,2.9489,2.99,2.99,2.9489,103000.0,0.0,8.0,0.09,,,,,,
47,2014-09-25,2.9,2.9001,2.9001,2.9,102000.0,601162.9,8.0,0.09,,,,,,
48,2014-09-26,2.901,2.8712,2.901,2.8712,4000.0,612735.8,8.0,0.09,,,,,,
49,2014-09-29,2.8023,2.81,2.8704,2.8023,42000.0,0.0,8.0,0.08,,,,,,
50,2014-09-30,2.8502,2.8987,2.8987,2.8502,2000.0,0.0,8.0,0.07,,,,,,
51,2014-10-03,2.8,2.9,2.9,2.8,199000.0,693241.2,8.0,0.09,,,,,,
52,2014-10-06,2.9,2.9,2.9,2.9,1000.0,577928.9,8.0,0.09,,,,,,
53,2014-10-09,2.83,2.87,2.88,2.8,532000.0,1511140.0,8.0,0.08,,,,,,
54,2014-10-10,2.81,2.79,2.85,2.62,210000.0,578630.0,8.0,0.09,,,,,,
55,2014-10-13,2.84,2.82,2.84,2.78,141000.0,0.0,8.0,0.09,,,,,,
56,2014-10-14,2.8,2.78,2.8,2.75,203000.0,563710.0,8.0,0.09,,,,,,
57,2014-10-15,2.86,2.87,2.87,2.78,439000.0,1814470.0,8.0,0.09,,,,,,
58,2014-10-16,2.85,2.82,2.85,2.82,11000.0,1282080.0,8.0,0.09,,,,,,
59,2014-10-17,2.84,2.86,2.86,2.83,77000.0,0.0,8.0,0.09,,,,,,
60,2014-10-20,2.87,2.8,2.87,2.8,33000.0,0.0,8.0,0.09,,,,,,
61,2014-10-22,2.83,2.83,2.83,2.83,1000.0,0.0,8.0,0.09,,,,,,
62,2014-10-24,2.82,2.83,2.83,2.79,59000.0,0.0,8.0,0.09,,,,,,
63,2014-10-27,2.81,2.78,2.81,2.78,130000.0,527000.0,8.0,0.09,,,,,,
64,2014-10-28,2.79,2.8,2.8,2.78,192000.0,899410.0,8.0,0.09,,,,,,
65,2014-10-29,2.8,2.9,2.98,2.8,412000.0,1182400.0,8.0,0.09,1415.53,1439.58,1441.98,1411.0,36586717584.0,6856662513241.23
66,2014-10-30,2.9,2.82,2.9,2.82,56000.0,1341060.0,8.0,0.09,1438.8,1452.89,1456.88,1428.36,49073324158.0,6920053939430.49
67,2014-11-03,2.83,2.82,2.83,2.8,36000.0,0.0,8.0,0.09,1488.15,1491.19,1495.86,1477.06,17481520523.0,7102462053889.69
68,2014-11-05,2.8,2.84,2.84,2.8,18000.0,0.0,9.5,0.09,1490.66,1495.26,1496.19,1471.25,35993706175.0,7121819234260.93
69,2014-11-06,2.8,2.8,2.8,2.8,188000.0,526400.0,9.5,0.09,1495.47,1497.46,1521.14,1490.66,40485840607.0,7132315424108.46
70,2014-11-07,2.78,2.79,2.8,2.74,31000.0,0.0,9.5,0.09,1496.51,1497.11,1526.08,1486.37,62435787319.0,7130652967630.07
71,2014-11-10,2.8,2.87,2.87,2.8,27000.0,0.0,9.5,0.09,1498.62,1515.36,1518.73,1498.59,36072189835.0,7217582952688.41
72,2014-11-11,2.84,2.84,2.84,2.84,1000.0,0.0,9.5,0.09,1515.08,1514.78,1531.92,1511.53,38459111229.0,7214829498289.61
73,2014-11-13,2.85,2.81,2.85,2.81,15000.0,0.0,9.5,0.09,1514.19,1492.27,1522.87,1492.27,39369641894.0,7107618216442.59
74,2014-11-17,2.83,2.8,2.84,2.8,10000.0,0.0,9.5,0.1,1500.69,1507.1,1512.61,1494.81,25778674454.0,7178242599235.5
75,2014-11-18,2.83,2.8,2.83,2.8,8000.0,0.0,9.5,0.11,1506.78,1519.61,1524.8,1495.09,37626778528.0,7237803241252.88
76,2014-11-19,2.83,2.83,2.83,2.83,1000.0,0.0,9.5,0.1,1519.69,1517.97,1524.1,1513.68,31482266937.0,7230003229613.9
77,2014-11-20,2.85,2.85,2.85,2.85,5000.0,0.0,9.5,0.1,1518.1,1530.4,1535.97,1517.28,34907988979.0,7289202234493.41
78,2014-11-24,2.86,2.86,2.93,2.85,53000.0,0.0,9.5,0.1,1539.95,1529.54,1541.75,1521.83,31750458256.0,7285128652947.91
79,2014-11-25,2.95,2.9,2.95,2.83,11000.0,0.0,9.5,0.1,1529.62,1529.57,1537.65,1516.18,27545836432.0,7285244990377.67
80,2014-11-26,2.92,2.93,2.93,2.92,15000.0,0.0,9.5,0.1,1528.83,1537.43,1537.43,1522.5,30877259958.0,7322717397660.45
81,2014-11-27,2.96,2.95,2.97,2.95,283000.0,835250.0,9.5,0.1,1537.0,1531.69,1548.17,1528.06,39939357345.0,7295336331196.54
