,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2021-12-14,1095.0,1095.0,1095.0,1095.0,42.0,0.0,7.5,0.08,3533.82,3619.39,3638.49,3532.29,155519049894.1,18180875609831.43
1,2021-12-15,1204.0,1150.0,1204.0,1050.0,1630.0,1872199.6,7.5,0.08,3653.16,3621.82,3666.53,3608.6,104327497276.3,18193073486661.94
2,2021-12-16,1200.0,1264.4,1264.4,1177.0,4839.0,6031176.6,7.5,0.08,3705.57,3750.36,3755.07,3701.35,143081351990.0,18838787178680.85
3,2021-12-17,1299.0,1301.0,1389.6,1281.8,6592.0,8908328.0,7.5,0.08,3725.04,3723.27,3739.59,3696.5,127229717373.7,18411003749381.96
4,2021-12-20,1287.8,1150.0,1320.0,1110.0,7426.0,8845631.6,8.5,0.08,3657.65,3669.05,3674.71,3629.61,90298936540.65,18142880402699.91
5,2021-12-21,1182.6,1111.8,1182.6,1069.0,4973.0,5592392.6,8.5,0.08,3705.33,3693.02,3713.68,3670.16,82117461532.05,18261431084338.22
6,2021-12-22,1111.6,1057.0,1112.0,1032.0,7541.0,8069503.2,8.5,0.08,3715.2,3746.75,3759.67,3699.06,87418363756.15,18527119290565.16
7,2021-12-23,1050.2,1014.0,1075.6,1006.0,9392.0,9670438.8,8.5,0.08,3745.52,3704.6,3751.37,3691.04,74775470568.25,18318705110254.77
8,2021-12-24,1015.8,997.6,1035.4,992.0,8144.0,8150506.8,8.5,0.08,3700.34,3702.72,3703.72,3653.63,44756758749.6,18309366936572.17
9,2021-12-27,1012.0,1049.2,1057.0,996.2,12164.0,12537660.8,8.5,0.08,3711.77,3740.63,3742.12,3709.19,49142530172.25,18496864679239.1
10,2021-12-28,1040.0,1033.6,1042.0,1010.2,4720.0,4887539.0,8.5,0.08,3766.5,3777.56,3790.44,3751.0,64031615578.35,18679480078543.668
11,2021-12-29,1003.0,999.0,1032.0,996.2,14225.0,14261457.0,8.5,0.08,3756.54,3741.07,3770.09,3727.35,60359168519.7,18499033329888.457
12,2021-12-30,1029.8,998.0,1029.8,995.0,7618.0,7617281.2,8.5,0.08,3753.92,3787.26,3789.61,3740.93,61497152069.0,18727411862063.33
13,2022-01-03,998.4,1001.4,1021.4,970.0,5219.0,5220595.4,8.5,0.08,3825.3,3852.5,3866.15,3823.5,52472868137.9,19050000386308.637
14,2022-01-04,1013.0,1019.8,1022.8,1000.0,8034.0,8149704.8,8.5,0.08,3880.2,3873.49,3892.33,3846.81,62624414462.0,19153798451398.637
15,2022-01-05,1018.0,1025.0,1026.0,1002.8,2104.0,2146796.0,8.5,0.08,3857.9,3815.05,3875.25,3805.06,59842279698.45,18864822163313.258
16,2022-01-06,1024.4,1019.6,1030.0,1010.0,2142.0,2179341.8,8.5,0.08,3758.68,3753.29,3784.17,3720.17,83469097491.95,18559424880874.74
17,2022-01-10,1016.6,999.0,1036.2,995.0,11516.0,11557420.2,8.5,0.08,3798.43,3738.68,3806.84,3726.73,85302196824.3,18487190627063.824
18,2022-01-11,1005.8,1008.8,1008.8,990.4,2663.0,2658922.8,8.5,0.08,3764.56,3785.29,3800.91,3751.45,81053376709.85,18717680108245.777
19,2022-01-12,1009.2,1009.2,1014.4,1004.4,2210.0,2228623.8,8.5,0.08,3797.31,3829.95,3841.72,3783.92,100865330719.7,18938495939185.15
20,2022-01-13,1000.4,982.6,1014.0,982.0,10076.0,10052815.2,8.5,0.08,3814.98,3674.73,3818.97,3664.48,178770807642.9,18170960657063.582
21,2022-01-14,984.0,977.2,999.8,961.0,8370.0,8195697.8,8.5,0.08,3703.9,3596.98,3723.62,3512.03,253410592849.3,17786510970653.58
22,2022-01-17,977.4,974.2,999.0,968.2,5476.0,5320532.0,8.5,0.08,3633.01,3560.35,3651.36,3501.94,156354454242.75,17605381085684.953
23,2022-01-18,970.0,933.8,980.8,929.6,11763.0,11211839.2,8.5,0.08,3527.77,3328.94,3534.56,3297.12,302733934140.55,16461095067551.904
24,2022-01-19,933.8,940.8,966.2,918.2,8376.0,7786482.6,8.5,0.08,3290.31,3436.82,3500.27,3256.6,257223110460.45,16994531502920.621
25,2022-01-20,990.0,958.6,990.0,925.4,3798.0,3616623.0,8.5,0.08,3519.02,3516.02,3533.61,3403.74,191687148184.9,17386203721894.97
26,2022-01-21,971.4,919.0,971.4,894.2,15082.0,13814624.2,8.5,0.08,3420.12,3439.25,3503.84,3407.27,180588337458.0,17006575540684.14
27,2022-01-24,932.8,826.8,995.0,785.2,23880.0,20052866.4,8.5,0.08,3426.19,3235.28,3426.47,3158.46,262889650990.6,15997967950133.695
28,2022-01-25,852.0,830.0,852.0,799.6,8717.0,7197073.0,8.5,0.08,3316.98,3258.74,3330.9,3229.45,157537334538.2,16113969875965.834
