,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2013-03-25,1951.7,1922.0,1963.7,1920.7,32441.0,1590844757.83,5.5,0.15,1441.26,1428.46,1458.58,1425.78,29212972358.0,4685485402225.87
1,2013-03-26,1920.5,1944.5,1944.5,1919.8,3653.0,1951924638.22,5.5,0.14,1427.99,1417.0,1432.41,1412.41,35279244171.0,4647902216604.81
2,2013-03-27,1942.3,1969.7,1971.2,1930.0,1924.0,2411451230.72,5.5,0.12,1416.78,1425.0,1426.68,1407.22,33964026675.0,4674146849765.3
3,2013-03-28,1958.8,1993.2,1994.6,1958.5,3398.0,1536170152.23,5.5,0.13,1424.56,1434.18,1434.38,1414.96,37964361070.0,4704265598220.23
4,2013-03-29,1999.1,2003.4,2003.7,1996.2,1908.0,562458786.68,5.5,0.09,1434.88,1438.57,1440.1,1432.8,10120213882.0,4718644324106.3
5,2013-04-01,1993.4,1978.2,1998.4,1978.2,20889.0,1011703596.96,5.5,0.16,1438.84,1428.47,1442.7,1427.83,12718423398.0,4685543843610.84
6,2013-04-02,1983.0,2002.2,2002.2,1982.9,6961.0,959316665.67,5.5,0.15,1428.29,1430.3,1435.12,1424.9,23890774042.0,4691516343146.72
7,2013-04-03,1990.0,1978.9,2001.1,1976.0,12895.0,1568355685.18,5.5,0.14,1430.3,1427.94,1433.81,1422.48,26439439095.0,4683804410061.0
8,2013-04-04,1970.0,1966.9,1984.3,1963.4,7302.0,1458951961.57,5.5,0.14,1427.42,1426.87,1440.62,1416.75,36268432074.0,4680280285907.06
9,2013-04-05,1967.3,1942.8,1977.2,1936.8,15492.0,2571985780.72,5.5,0.15,1426.61,1416.69,1430.55,1410.47,31492181208.0,4646893178186.05
10,2013-04-08,1948.9,1924.3,1957.5,1920.0,9019.0,1775767249.69,5.5,0.15,1417.28,1408.55,1430.58,1406.67,25323378471.0,4620198596859.02
11,2013-04-09,1927.2,1965.9,1965.9,1927.2,8348.0,1653489115.17,5.5,0.15,1408.81,1425.49,1427.29,1408.81,25693833642.0,4675762002101.02
12,2013-04-10,1963.7,1942.3,1967.7,1940.0,12695.0,1288321998.62,5.5,0.15,1425.79,1425.5,1432.55,1419.96,28034210901.0,4675796003727.1
13,2013-04-11,1947.9,1920.0,1947.9,1906.5,20008.0,2036106347.18,5.5,0.15,1425.19,1401.73,1428.84,1397.82,29775114562.0,4597805773999.32
14,2013-04-12,1923.4,1934.4,1935.0,1916.6,9880.0,1223507929.43,5.5,0.15,1400.92,1385.84,1401.46,1380.57,26881547102.0,4545695451169.55
15,2013-04-15,1931.4,1886.0,1931.4,1883.0,21683.0,2004349731.05,5.5,0.15,1385.62,1359.69,1387.94,1351.83,36136942147.0,4459925087360.65
16,2013-04-16,1884.3,1899.4,1909.3,1883.3,6545.0,1227023117.28,5.5,0.15,1358.23,1352.37,1366.45,1349.93,28185620093.0,4435921503797.14
17,2013-04-17,1894.0,1892.3,1900.0,1874.9,14082.0,1546470090.01,5.5,0.15,1353.41,1335.89,1358.61,1328.84,31350713378.0,4381847280135.27
18,2013-04-18,1915.0,1893.9,1920.3,1893.9,12015.0,1548731474.43,5.5,0.15,1335.91,1335.21,1350.67,1333.73,28941395839.0,4379628468399.73
19,2013-04-19,1900.5,1887.6,1904.3,1858.3,8647.0,1764536731.28,5.5,0.15,1335.57,1338.43,1346.39,1330.02,23559778621.0,4390171862238.04
20,2013-04-22,1898.9,1849.7,1906.5,1849.7,12325.0,1819406586.82,5.5,0.15,1338.67,1336.84,1354.84,1324.58,28348752264.0,4384960938021.55
21,2013-04-23,1853.6,1890.6,1898.9,1848.1,14752.0,2017690583.96,5.5,0.14,1337.22,1339.91,1342.79,1320.73,27073966007.0,4395044557880.13
