,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-08-15,1.6,1.6,1.6,1.6,1000.0,0.0,8.0,0.09,1407.57,1417.82,1425.76,1400.7,26772144978.0,6392466871442.37
1,2014-08-21,1.6,1.6,1.6,1.6,1000.0,0.0,8.0,0.09,1447.12,1461.75,1469.44,1445.48,28439597629.0,6590528216157.51
2,2014-11-05,1.6,1.6,1.6,1.6,2000.0,0.0,9.5,0.09,1490.66,1495.26,1496.19,1471.25,35993706175.0,7121819234260.93
3,2014-12-15,3.35,3.35,3.35,3.35,1000.0,0.0,10.5,0.11,1459.25,1424.99,1483.38,1402.83,68027939909.0,6787127409924.95
4,2015-04-01,3.5,3.5,3.5,3.5,1000.0,0.0,14.0,0.12,1625.21,1661.9,1663.17,1613.77,38455199985.0,7806427453172.54
5,2015-05-05,2.34,2.34,2.34,2.34,1000.0,0.0,12.5,0.13,1689.55,1721.8,1734.34,1689.2,43125027992.0,8087817879485.78
6,2015-05-08,3.88,8.96,8.96,3.88,2000.0,0.0,12.5,0.13,1686.94,1708.52,1713.6,1684.09,27195697237.0,8025429242650.36
7,2015-06-05,3.24,5.95,5.95,3.24,12000.0,0.0,12.5,0.13,1638.12,1652.07,1652.07,1633.49,27827873364.0,7760242763526.23
8,2015-06-18,4.44,6.81,6.81,4.44,7000.0,0.0,11.5,0.14,1664.65,1660.14,1671.88,1658.41,23118394361.0,7779215175262.67
9,2015-06-22,7.4,8.76,8.76,7.4,2000.0,0.0,11.5,0.13,1664.11,1671.8,1679.42,1663.35,25538988011.0,7833886250674.12
10,2015-06-23,9.97,9.93,9.97,6.2,3000.0,0.0,11.5,0.13,1672.27,1657.23,1676.22,1656.39,21998214130.0,7765590532621.53
11,2015-06-25,5.87,5.33,5.87,5.0,3000.0,0.0,11.5,0.13,1651.14,1631.99,1655.8,1631.99,19923930891.0,7647318524442.36
12,2015-06-26,5.5,5.5,5.5,5.5,1000.0,0.0,11.5,0.13,1631.92,1644.45,1647.81,1626.87,25595703087.0,7705703857126.72
13,2015-07-01,5.27,5.22,5.27,5.22,2000.0,0.0,11.5,0.13,1654.57,1639.7,1659.97,1638.44,25085292936.0,7683471375612.02
14,2015-07-30,5.22,5.22,5.22,5.22,1000.0,0.0,11.5,0.14,1622.69,1636.72,1638.51,1620.24,26758851204.0,7669464014693.77
15,2015-09-15,5.0,5.22,5.22,5.0,3000.0,0.0,11.0,0.14,1729.91,1716.26,1731.49,1708.46,22870828140.0,8042189708875.5
16,2015-12-07,5.02,5.02,5.02,5.02,1000.0,0.0,11.0,0.13,1756.11,1741.14,1767.34,1735.01,31536716363.0,8065979374507.88
17,2016-01-12,4.64,4.76,4.76,4.64,6000.0,0.0,11.0,0.36,1682.72,1690.3,1705.23,1660.15,32959612040.0,7935607963409.06
18,2016-01-13,4.65,4.65,4.65,4.65,1000.0,0.0,11.0,0.36,1692.48,1684.78,1709.08,1682.3,27040723765.0,7901184095680.74
19,2016-01-14,4.64,4.64,4.64,4.64,1000.0,0.0,11.0,0.36,1684.77,1680.77,1685.63,1658.8,31609765726.0,7882334520349.74
20,2016-01-18,3.41,3.82,3.82,3.41,4000.0,0.0,11.0,0.36,1607.88,1622.43,1631.58,1583.02,32366912468.0,7608746291116.44
21,2016-01-19,3.71,3.71,3.71,3.71,2000.0,0.0,11.0,0.36,1622.53,1645.56,1675.01,1622.53,37157904981.0,7717208323298.69
