,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2013-07-15,579.6,579.6,579.6,579.6,5.0,2985479.7,5.5,0.09,1396.38,1403.56,1409.11,1393.4,27485191287.0,6257066435129.66
1,2013-07-16,585.5,592.7,592.7,585.5,50.0,19623099.7,5.5,0.09,1403.43,1410.1,1416.97,1399.84,29526572066.0,6286202239124.43
2,2013-07-17,606.2,824.4,824.4,606.2,14.0,10856064.6,5.5,0.09,1409.21,1431.8,1432.35,1407.15,35722012697.0,6382943059723.18
3,2013-07-19,609.1,609.1,609.1,609.1,43.0,3088788.0,5.5,0.09,1417.47,1421.67,1436.15,1408.9,29610094265.0,6337788617604.29
4,2013-07-22,611.6,622.8,622.8,611.6,3.0,4560738.5,5.5,0.09,1421.67,1415.52,1429.36,1408.83,21827732138.0,6310356363185.49
5,2013-08-29,700.0,700.0,700.0,700.0,1.0,2633930.3,5.5,0.08,1369.64,1371.89,1380.61,1366.79,18947738747.0,6115848552791.44
6,2013-09-02,567.5,572.5,581.3,560.2,3854.0,2200970.7,5.5,0.07,1364.75,1367.53,1373.73,1364.27,12744074194.0,6096416686856.09
7,2013-09-03,573.9,565.0,582.3,562.2,5064.0,2893489.7,5.5,0.09,1366.99,1373.82,1384.18,1366.99,22164253799.0,6124460997187.43
8,2013-09-04,565.0,565.0,572.6,555.0,3528.0,1990803.8,5.5,0.08,1372.98,1375.66,1376.42,1365.21,16929685929.0,6132675228404.21
9,2013-09-05,566.5,580.3,581.3,564.1,15458.0,8901658.1,5.5,0.08,1375.66,1422.4,1422.4,1373.29,37635586932.0,6341025156353.93
10,2013-09-06,575.8,580.0,589.0,575.8,22353.0,13019963.8,5.5,0.08,1421.86,1423.4,1448.75,1418.8,52189115910.0,6345500055740.21
11,2013-09-09,580.0,582.0,599.0,580.0,10032.0,5911463.6,5.5,0.08,1423.4,1451.54,1455.28,1421.45,45793220661.0,6470954296346.45
12,2013-09-10,590.4,571.7,598.3,571.1,7962.0,4679632.6,5.5,0.08,1451.54,1453.57,1464.2,1446.97,48929041065.0,6480000608741.71
13,2013-09-11,578.9,572.0,580.5,571.3,7564.0,4350510.0,5.5,0.08,1452.52,1454.12,1459.68,1449.58,30684670193.0,6482453521611.17
14,2013-09-12,580.0,565.6,580.0,565.3,23338.0,13375941.1,5.5,0.08,1454.21,1450.23,1461.2,1441.58,32739117665.0,6465093271603.79
15,2013-09-13,568.9,543.0,570.9,542.5,16197.0,9002634.6,5.5,0.08,1450.66,1440.74,1451.89,1434.74,24692731039.0,6422780705485.45
16,2013-09-16,549.7,573.0,619.3,549.7,63693.0,36564182.0,5.5,0.08,1441.06,1470.48,1470.65,1438.79,44309429172.0,6555391575249.64
17,2013-09-17,573.0,567.0,573.0,565.0,2525.0,1431587.8,5.5,0.08,1470.71,1473.03,1474.02,1461.86,23620116573.0,6916585966907.95
18,2013-09-18,566.1,559.0,570.1,557.0,6881.0,3902524.6,5.5,0.08,1472.17,1464.95,1482.59,1462.18,35222582334.0,6878658435503.36
19,2013-09-19,566.8,587.0,588.7,566.8,13554.0,7865140.0,5.5,0.09,1464.35,1487.19,1501.32,1463.8,53895959163.0,6983113967163.46
20,2013-09-20,587.4,568.8,594.0,566.0,8397.0,4905152.3,5.5,0.08,1486.49,1476.73,1488.5,1476.07,31552058986.0,6933962169638.04
21,2013-09-23,558.2,560.1,572.9,558.2,3182.0,1792787.7,5.5,0.09,1476.69,1467.62,1478.61,1463.61,26313729744.0,6891218287996.88
22,2013-09-24,565.1,563.0,565.5,558.0,15726.0,8843822.3,5.5,0.09,1466.41,1464.72,1472.11,1459.21,27919329025.0,6877568322623.03
23,2013-09-25,565.0,558.1,565.5,555.5,3020.0,1693808.0,5.5,0.08,,,,,,
24,2013-09-26,563.5,569.5,569.5,559.0,9412.0,5323804.5,5.5,0.08,,,,,,
25,2013-09-27,570.0,568.9,570.0,556.2,4788.0,2703100.8,5.5,0.08,,,,,,
26,2013-09-30,567.0,564.0,569.5,561.0,10750.0,6070003.4,5.5,0.06,,,,,,
27,2013-10-01,563.2,568.0,571.9,563.2,1782.0,1012639.0,5.5,0.08,,,,,,
28,2013-10-02,565.8,558.1,568.0,551.4,3395.0,1907151.7,5.5,0.07,,,,,,
29,2013-10-03,558.3,551.3,568.7,545.8,19848.0,11034474.5,5.5,0.08,,,,,,
30,2013-10-04,552.8,553.3,558.0,545.9,5078.0,2802253.0,5.5,0.08,,,,,,
31,2013-10-07,552.4,548.1,552.4,544.7,3562.0,1957108.7,5.5,0.08,,,,,,
32,2013-10-08,552.0,553.0,556.8,547.7,3405.0,1884803.3,5.5,0.08,,,,,,
33,2013-10-09,555.6,564.3,564.3,551.7,5264.0,2927311.5,5.5,0.09,,,,,,
34,2013-10-10,565.0,569.7,570.1,555.0,12203.0,6898134.9,5.5,0.09,,,,,,
35,2013-10-11,575.0,567.9,575.4,556.5,12197.0,6887487.5,5.5,0.1,,,,,,
36,2013-10-14,565.0,577.2,577.3,555.5,8297.0,4748169.4,5.5,0.1,,,,,,
37,2013-10-15,577.7,599.3,599.3,577.7,13019.0,7630816.2,5.5,0.1,,,,,,
38,2013-10-16,596.0,615.0,619.3,587.9,13675.0,8331529.1,5.5,0.11,,,,,,
39,2013-10-17,615.7,606.0,624.3,595.3,6613.0,4014067.8,5.5,0.1,,,,,,
40,2013-10-18,601.1,625.0,629.2,600.0,16089.0,9979552.3,5.5,0.1,,,,,,
41,2013-10-21,621.0,601.0,621.0,598.1,26699.0,16335539.1,5.5,0.09,,,,,,
42,2013-10-22,599.3,603.0,609.5,597.7,3171.0,1912438.6,5.5,0.08,,,,,,
43,2013-10-23,599.3,595.8,602.1,594.3,3539.0,2121225.4,5.5,0.08,,,,,,
44,2013-10-24,595.0,592.6,596.1,585.0,4646.0,2748031.5,5.5,0.08,,,,,,
45,2013-10-25,592.0,592.0,597.7,586.1,6311.0,3737205.1,5.5,0.08,,,,,,
46,2013-10-28,594.8,601.7,604.3,592.1,12605.0,7558752.3,5.5,0.08,,,,,,
47,2013-10-29,600.3,600.9,609.0,595.3,9675.0,5817102.4,5.5,0.08,,,,,,
48,2013-10-30,603.7,602.8,609.8,596.0,8622.0,5173472.4,5.5,0.08,,,,,,
49,2013-10-31,597.9,585.3,602.7,585.3,2450.0,1455500.7,5.5,0.07,,,,,,
50,2013-11-01,589.2,581.6,594.0,580.0,7978.0,4677603.8,5.5,0.08,,,,,,
51,2013-11-05,580.0,582.8,585.8,577.4,2722.0,1579604.4,5.5,0.08,,,,,,
52,2013-11-06,586.3,580.0,586.3,578.0,5439.0,3153815.8,5.5,0.08,,,,,,
53,2013-11-07,582.9,585.3,594.3,578.0,4348.0,2539803.1,5.5,0.08,,,,,,
54,2013-11-08,583.4,550.0,583.4,549.7,60784.0,34093767.9,5.5,0.08,,,,,,
55,2013-11-11,551.1,546.5,555.5,544.9,13009.0,7122122.5,5.5,0.08,,,,,,
56,2013-11-12,550.2,560.1,562.3,544.2,18176.0,10015666.5,5.5,0.08,,,,,,
57,2013-11-13,558.3,550.5,564.0,550.5,8054.0,4501239.2,5.5,0.08,,,,,,
58,2013-11-14,562.6,570.2,572.0,556.0,9881.0,5611271.8,5.5,0.09,,,,,,
59,2013-11-15,570.3,560.0,570.9,551.4,10706.0,5985519.3,5.5,0.09,,,,,,
60,2013-11-18,563.8,557.9,567.9,556.0,3310.0,1856428.2,5.5,0.09,,,,,,
61,2013-11-19,561.0,560.0,565.5,556.3,3468.0,1940190.1,5.5,0.09,,,,,,
62,2013-11-20,559.0,556.0,559.0,553.3,3516.0,1955622.0,5.5,0.09,,,,,,
63,2013-11-21,555.0,555.0,558.3,553.1,20741.0,11509419.5,5.5,0.09,,,,,,
64,2013-11-22,555.0,560.0,560.4,553.9,12283.0,6826529.4,5.5,0.09,,,,,,
65,2013-11-25,560.9,548.0,561.9,534.3,18021.0,9919621.5,5.5,0.09,,,,,,
66,2013-11-26,546.0,546.0,550.2,532.0,19793.0,10715932.7,5.5,0.09,1502.89,1484.37,1503.7,1480.39,48229948205.0,6969845523930.55
67,2013-11-27,546.0,552.2,553.0,545.0,6043.0,3329202.7,5.5,0.09,1484.6,1475.42,1489.49,1473.23,41550434835.0,6927804014788.67
68,2013-11-28,553.5,564.0,566.0,553.0,10906.0,6102639.3,5.5,0.09,1475.16,1479.46,1487.5,1475.16,24668741069.0,6946793859819.43
69,2013-11-29,564.3,573.0,574.0,560.5,18244.0,10389449.9,5.5,0.07,1480.08,1479.35,1484.02,1467.32,31291760745.0,6946263649103.18
70,2013-12-02,573.6,572.0,574.3,569.1,21394.0,12252826.2,5.5,0.09,1479.32,1473.26,1488.97,1472.55,24196675363.0,6917684865750.2
71,2013-12-03,569.3,563.9,569.5,557.1,24901.0,14039507.2,5.5,0.09,1473.56,1448.84,1473.56,1441.36,47456307434.0,6803018523449.25
72,2013-12-04,560.0,555.7,566.0,555.2,7855.0,4433039.6,5.5,0.09,1450.22,1439.26,1455.82,1436.32,43484660557.0,6758022220391.5
73,2013-12-05,561.8,558.0,567.2,555.0,1947.0,1085638.2,5.5,0.09,1437.77,1429.25,1447.44,1427.88,41406299250.0,6711012916339.87
74,2013-12-06,563.4,561.0,568.9,556.0,8219.0,4602473.9,5.5,0.09,1429.25,1448.67,1451.05,1425.31,38501119521.0,6802220391429.27
75,2013-12-09,561.0,565.9,566.6,556.1,4107.0,2301428.5,5.5,0.09,1448.67,1465.7,1467.2,1444.94,37250903478.0,6882186129056.72
76,2013-12-10,565.0,556.8,566.0,555.1,4785.0,2668038.7,5.5,0.09,1465.7,1464.14,1471.29,1459.02,34812026533.0,6874866511027.26
77,2013-12-11,561.0,557.4,561.0,545.0,7501.0,4165130.9,5.5,0.08,1464.14,1464.67,1470.0,1451.0,28795646065.0,6877366183674.53
78,2013-12-12,556.7,561.0,566.0,553.0,12296.0,6872313.0,5.5,0.09,1465.25,1449.74,1465.25,1444.62,36017750107.0,6807223603878.11
79,2013-12-13,563.8,568.0,569.5,561.6,6518.0,3690920.8,5.5,0.08,1449.74,1452.76,1457.88,1449.21,32285420251.0,6821404463826.86
