,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,1.78,1.9493,1.9493,1.75,4000.0,0.0,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-16,1.7,1.9382,1.9382,1.6618,3000.0,0.0,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
2,2014-06-20,1.6616,1.9262,1.9262,1.6616,2000.0,0.0,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
3,2014-06-25,1.9486,1.9486,1.9486,1.9486,1000.0,0.0,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
4,2014-06-27,1.7001,1.8899,1.8899,1.7001,5000.0,0.0,7.5,0.1,1473.31,1477.32,1481.29,1467.94,24506324520.0,6660748008656.28
5,2014-07-07,1.7499,1.8998,1.8998,1.7499,17000.0,0.0,7.5,0.1,1489.55,1513.72,1518.05,1484.27,26447591867.0,6824843528813.94
6,2014-07-10,1.7001,1.8998,1.8998,1.7001,17000.0,0.0,7.5,0.09,1513.37,1494.92,1521.88,1480.26,40593712934.0,6740109174597.83
7,2014-07-11,1.7025,1.84,1.84,1.7025,2000.0,0.0,7.5,0.09,1495.01,1499.82,1502.23,1488.84,27280591834.0,6762191289526.07
8,2014-07-14,1.6555,1.8399,1.8399,1.6555,15000.0,0.0,7.5,0.09,1500.29,1483.41,1502.68,1482.63,25874350380.0,6688204369898.62
9,2014-07-15,1.658,1.657,1.658,1.657,3000.0,0.0,7.5,0.09,1482.23,1475.77,1487.49,1471.95,31348119170.0,6653730932218.92
10,2014-07-16,1.81,1.7996,1.8997,1.7065,16000.0,0.0,7.5,0.09,1475.68,1474.72,1482.6,1459.08,31471423221.0,6649014803543.48
11,2014-08-05,1.8246,1.8247,1.8247,1.8246,2000.0,0.0,8.0,0.09,1379.5,1357.89,1383.36,1356.2,26258554225.0,6122263369324.38
12,2014-08-18,1.5808,1.5808,1.5808,1.5808,1000.0,0.0,8.0,0.09,1418.05,1425.18,1427.95,1415.35,18156608193.0,6425664882271.03
13,2014-08-19,1.8245,1.824,1.8245,1.824,2000.0,0.0,8.0,0.09,1425.18,1437.6,1441.42,1425.18,25673186641.0,6481651396810.93
14,2014-08-21,1.7,1.8247,1.8247,1.7,4000.0,0.0,8.0,0.09,1447.12,1461.75,1469.44,1445.48,28439597629.0,6590528216157.51
15,2014-08-27,1.582,1.8247,1.8247,1.582,2000.0,0.0,8.0,0.09,1444.28,1447.91,1454.96,1444.28,19549941365.0,6528156723375.32
16,2014-08-28,1.582,1.83,1.83,1.582,40000.0,0.0,8.0,0.09,1447.54,1423.78,1447.76,1414.18,43849484690.0,6419337314027.56
17,2014-08-29,1.5832,1.82,1.82,1.5832,24000.0,0.0,8.0,0.07,1423.56,1400.71,1428.72,1400.44,34660154972.0,6315320939623.29
18,2014-09-01,1.5827,1.8199,1.8199,1.5674,160000.0,0.0,8.0,0.07,1401.34,1392.4,1419.9,1389.77,34518068575.0,6277859256745.77
19,2014-09-02,1.66,1.8295,1.8295,1.66,19000.0,0.0,8.0,0.09,1392.27,1400.35,1401.68,1386.31,20818865093.0,6313723045613.47
20,2014-09-04,1.8295,1.8295,1.8295,1.8295,1000.0,0.0,8.0,0.09,1449.51,1457.34,1462.03,1439.38,34234449476.0,6570639817053.64
21,2014-09-05,1.8295,2.0,2.0,1.8295,21000.0,0.0,8.0,0.09,1456.0,1474.71,1481.15,1446.95,37451362820.0,6648981302593.65
22,2014-09-12,1.75,2.2,2.2,1.75,99000.0,0.0,8.0,0.09,1449.4,1458.52,1470.49,1440.23,30540111711.0,6575983608620.8
23,2014-09-15,2.39,1.998,2.39,1.8,13000.0,0.0,8.0,0.09,1457.87,1454.19,1466.43,1441.26,36468665661.0,6556462216365.1
24,2014-09-16,2.02,2.15,2.15,2.02,3000.0,0.0,8.0,0.09,1454.13,1477.31,1483.66,1451.21,34534659889.0,7036330612381.47
25,2014-09-17,1.9,1.9,1.9,1.9,7000.0,0.0,8.0,0.09,1477.09,1449.37,1477.09,1437.73,43639537600.0,6903283783164.72
26,2014-09-18,2.001,2.001,2.001,2.001,1000.0,0.0,8.0,0.09,1449.37,1448.63,1460.13,1443.75,26613627505.0,6899755307298.78
27,2014-09-19,1.98,1.98,1.98,1.98,1000.0,0.0,8.0,0.09,1448.19,1431.58,1454.16,1423.44,41661321148.0,6818524090027.49
28,2014-09-23,1.7007,1.8999,1.8999,1.7,5000.0,0.0,8.0,0.09,1413.57,1429.45,1432.37,1413.49,25653683539.0,6808383919755.99
29,2014-09-25,1.879,1.98,1.98,1.879,28000.0,0.0,8.0,0.09,,,,,,
30,2014-10-08,1.85,1.985,1.985,1.85,545000.0,1133914.0,8.0,0.09,,,,,,
31,2014-10-20,1.67,2.0,2.0,1.67,478000.0,943235.0,8.0,0.09,,,,,,
32,2014-10-21,1.75,2.0,2.0,1.75,32000.0,0.0,8.0,0.09,,,,,,
33,2014-10-22,1.8,1.95,2.51,1.8,133000.0,0.0,8.0,0.09,,,,,,
34,2014-10-27,1.98,1.96,1.98,1.67,3000.0,0.0,8.0,0.09,,,,,,
35,2014-10-28,1.895,1.99,1.99,1.895,148000.0,0.0,8.0,0.09,,,,,,
36,2014-11-03,1.97,1.97,1.97,1.97,1000.0,622465.0,8.0,0.09,1488.15,1491.19,1495.86,1477.06,17481520523.0,7102462053889.69
37,2014-11-05,1.9,1.98,1.98,1.89,217000.0,974825.0,9.5,0.09,1490.66,1495.26,1496.19,1471.25,35993706175.0,7121819234260.93
38,2014-11-06,1.9,1.98,1.98,1.85,46000.0,500875.0,9.5,0.09,1495.47,1497.46,1521.14,1490.66,40485840607.0,7132315424108.46
39,2014-11-07,1.9,1.94,1.98,1.9,212000.0,0.0,9.5,0.09,1496.51,1497.11,1526.08,1486.37,62435787319.0,7130652967630.07
40,2014-11-10,1.88,1.955,1.955,1.87,51000.0,0.0,9.5,0.09,1498.62,1515.36,1518.73,1498.59,36072189835.0,7217582952688.41
41,2014-11-11,1.96,1.98,1.98,1.96,48000.0,592505.0,9.5,0.09,1515.08,1514.78,1531.92,1511.53,38459111229.0,7214829498289.61
42,2014-11-14,1.945,1.98,1.98,1.945,106000.0,0.0,9.5,0.09,1491.75,1500.76,1507.93,1481.97,34296102848.0,7148016471313.82
43,2014-11-18,1.895,1.98,1.98,1.89,160000.0,516745.0,9.5,0.11,1506.78,1519.61,1524.8,1495.09,37626778528.0,7237803241252.88
44,2014-11-19,1.88,1.955,1.955,1.88,3000.0,0.0,9.5,0.1,1519.69,1517.97,1524.1,1513.68,31482266937.0,7230003229613.9
45,2014-11-20,1.955,1.97,1.97,1.95,14000.0,0.0,9.5,0.1,1518.1,1530.4,1535.97,1517.28,34907988979.0,7289202234493.41
46,2014-11-21,1.95,2.445,2.445,1.95,184000.0,0.0,9.5,0.1,1530.46,1538.93,1541.52,1515.01,36353481324.0,7329822620329.37
47,2014-11-24,1.86,2.25,2.25,1.86,30000.0,0.0,9.5,0.1,1539.95,1529.54,1541.75,1521.83,31750458256.0,7285128652947.91
48,2014-11-25,2.0,2.48,2.48,2.0,35000.0,0.0,9.5,0.1,1529.62,1529.57,1537.65,1516.18,27545836432.0,7285244990377.67
49,2014-11-26,2.475,2.475,2.475,2.475,1000.0,0.0,9.5,0.1,1528.83,1537.43,1537.43,1522.5,30877259958.0,7322717397660.45
50,2014-11-27,2.48,2.48,2.48,2.48,1000.0,0.0,9.5,0.1,1537.0,1531.69,1548.17,1528.06,39939357345.0,7295336331196.54
51,2014-11-28,2.48,2.47,2.7,1.53,322000.0,736350.0,9.5,0.08,1531.34,1533.68,1540.07,1518.45,45610410708.0,7304816361041.94
52,2014-12-01,2.45,2.595,2.685,1.95,10000.0,760915.0,9.5,0.13,1532.89,1578.38,1598.19,1525.35,62166248251.0,7517749945811.61
53,2014-12-02,2.005,2.245,2.245,2.005,2000.0,0.0,9.5,0.12,1578.4,1583.12,1596.96,1555.89,46843420167.0,7540317495902.56
54,2014-12-03,2.45,2.45,2.45,2.45,1000.0,0.0,9.5,0.12,1583.62,1606.84,1608.92,1578.93,47389306057.0,7653293169132.22
55,2014-12-08,1.845,2.095,2.095,1.845,2000.0,853090.0,9.5,0.12,1529.73,1481.27,1551.66,1476.02,46772419082.0,7055222590397.55
56,2014-12-10,1.82,2.2,2.45,1.82,52000.0,0.0,9.5,0.12,1475.93,1486.85,1514.63,1475.93,42337397882.0,7081796065851.96
57,2014-12-11,2.45,2.45,2.45,2.45,1000.0,0.0,9.5,0.12,1486.89,1455.04,1494.07,1442.79,50594982820.0,6930276348649.18
58,2014-12-12,2.45,2.7,2.7,2.45,4000.0,0.0,10.5,0.12,1453.8,1459.68,1488.4,1413.04,51200831401.0,6952391085611.55
59,2014-12-18,2.695,2.695,2.695,2.695,1000.0,0.0,17.0,0.13,1417.41,1477.27,1506.13,1417.41,78761569805.0,6847878823692.59
60,2014-12-22,2.0,2.7,2.7,2.0,47000.0,0.0,17.0,0.13,1452.95,1437.08,1466.34,1421.39,50209370839.0,6661583735341.69
61,2014-12-24,2.0,2.49,2.5,2.0,139000.0,0.0,17.0,0.13,1398.2,1401.5,1411.56,1383.61,28015719243.0,6496652700159.9
62,2014-12-26,2.115,2.685,2.685,2.105,95000.0,0.0,17.0,0.13,1409.02,1417.8,1432.41,1409.02,21938441630.0,6572219511259.2
63,2014-12-29,2.645,2.645,2.645,2.645,1000.0,0.0,17.0,0.13,1417.53,1432.94,1489.75,1409.1,31782008617.0,6642405410265.22
64,2015-01-05,2.995,2.35,2.995,2.2,58000.0,0.0,17.0,0.12,1394.66,1435.66,1438.91,1390.53,15320687285.0,6655000193417.98
65,2015-01-06,2.49,3.245,3.245,2.49,9000.0,0.0,17.0,0.12,1435.39,1480.73,1481.35,1430.47,21268814897.0,6863934639625.86
66,2015-01-08,2.65,2.8,2.8,2.62,27000.0,0.0,17.0,0.12,1482.12,1547.39,1564.87,1481.93,35505063516.0,7172914288797.3
67,2015-01-12,2.155,2.635,2.635,2.155,3000.0,0.0,17.0,0.12,1515.23,1513.22,1534.74,1503.49,23419055856.0,7014538161692.29
68,2015-01-13,2.2,2.37,2.63,1.86,56000.0,0.0,17.0,0.12,1513.21,1533.09,1543.59,1499.57,33133664935.0,7106620719186.81
69,2015-01-14,2.365,2.37,2.37,2.365,3000.0,0.0,17.0,0.12,1531.65,1554.46,1560.01,1524.69,32105492806.0,7205690234312.64
70,2015-01-15,2.37,2.37,2.37,2.37,3000.0,0.0,17.0,0.12,1556.96,1563.21,1586.22,1555.36,38679500660.0,7246243668028.74
71,2015-01-16,2.465,2.685,2.685,2.465,16000.0,0.0,17.0,0.13,1563.21,1591.43,1594.06,1551.01,30068854489.0,7377090247817.62
72,2015-01-19,2.685,2.55,2.69,2.55,6000.0,0.0,17.0,0.13,1590.54,1576.4,1627.53,1572.94,37167969626.0,7307430024178.39
73,2015-01-20,2.06,2.35,2.645,2.06,16000.0,0.0,17.0,0.12,1576.47,1570.97,1594.91,1561.8,31919504256.0,7282221929338.29
74,2015-01-21,2.12,2.44,2.44,2.0,26000.0,0.0,17.0,0.12,1570.59,1618.17,1619.32,1570.59,31259697570.0,7501017864593.01
75,2015-01-22,2.03,2.685,2.685,2.005,23000.0,0.0,17.0,0.12,1618.68,1666.56,1676.38,1618.52,50131522012.0,7725364643154.59
76,2015-01-23,2.115,2.63,2.63,2.1,24000.0,0.0,17.0,0.12,1667.99,1671.8,1700.78,1662.11,44311526698.0,7749626061678.21
77,2015-01-28,2.545,2.69,2.69,2.545,68000.0,0.0,17.0,0.12,1675.3,1647.71,1706.39,1643.42,43016957356.0,7637980043638.41
78,2015-01-29,2.45,2.55,2.55,1.91,64000.0,0.0,17.0,0.11,1647.11,1639.65,1675.57,1639.65,38654354336.0,7600620681057.92
79,2015-02-02,2.685,2.685,2.685,2.13,4000.0,0.0,15.0,0.12,1647.74,1625.31,1663.94,1616.27,43204113857.0,7534123046528.33
80,2015-02-05,2.22,3.345,3.345,2.195,42000.0,0.0,15.0,0.12,1654.97,1696.06,1698.83,1642.51,47193997103.0,7862101858309.86
81,2015-02-06,3.345,3.345,3.345,3.345,1000.0,0.0,15.0,0.11,1696.96,1755.45,1762.39,1696.96,54221952383.0,8137413935492.03
82,2015-02-09,3.31,2.47,3.33,2.245,25000.0,0.0,15.0,0.12,1755.7,1748.55,1830.0,1740.58,63280101174.0,8105398913722.94
83,2015-02-10,2.6,2.8,2.8,2.6,2000.0,0.0,15.0,0.12,1748.02,1742.35,1774.06,1729.77,32450702270.0,8076689298854.4
84,2015-02-11,3.315,2.895,3.315,2.895,2000.0,0.0,15.0,0.12,1744.86,1763.6,1787.77,1744.86,38491876240.0,8175187933284.21
85,2015-02-12,2.5,2.775,2.775,2.245,6000.0,0.0,15.0,0.12,1764.24,1802.8,1816.76,1747.85,85319933357.0,8356901880751.53
86,2015-02-13,3.2,3.2,3.2,3.2,1000.0,0.0,15.0,0.12,1802.88,1838.18,1839.71,1802.88,75313894394.0,8520878105106.55
87,2015-02-16,2.65,3.09,3.2,2.605,12000.0,0.0,15.0,0.12,1838.21,1800.59,1848.15,1785.54,36790994748.0,8346635245369.05
88,2015-02-20,2.505,2.965,2.965,2.5,7000.0,0.0,15.0,0.12,1797.88,1792.7,1809.24,1780.0,31928247145.0,8310073504191.34
89,2015-02-24,2.7,3.185,3.185,2.7,17000.0,0.0,15.0,0.11,1786.49,1772.16,1786.49,1754.81,29693757499.0,8214847546708.6
90,2015-02-25,2.715,3.0,3.0,2.71,4000.0,0.0,15.0,0.11,1772.4,1746.23,1773.73,1727.7,34882084448.0,8094632152285.09
91,2015-02-26,2.995,3.2,3.2,2.995,28000.0,0.0,15.0,0.11,1746.79,1760.66,1769.53,1735.27,40878525521.0,8161537848495.47
92,2015-02-27,3.0,3.0,3.085,2.695,15000.0,0.0,15.0,0.06,1760.67,1758.97,1769.22,1740.91,34816153558.0,8153719801978.58
93,2015-03-02,3.19,3.19,3.19,3.19,1000.0,0.0,15.0,0.12,1759.25,1783.34,1789.54,1759.18,28597842943.0,8266656116234.64
94,2015-03-04,3.19,3.35,3.35,3.19,37000.0,0.0,15.0,0.11,1807.71,1759.35,1816.23,1756.33,32963701938.0,8155467579648.85
95,2015-03-05,3.3,3.18,3.3,2.91,35000.0,0.0,15.0,0.11,1760.67,1760.55,1792.04,1746.06,42976918874.0,8161056789384.63
96,2015-03-06,3.35,3.1,3.35,3.05,6000.0,0.0,15.0,0.12,1761.29,1728.55,1766.86,1723.09,28339130028.0,8012721518510.74
97,2015-03-10,3.35,3.335,3.35,2.85,3000.0,0.0,15.0,0.12,1726.86,1665.38,1726.86,1663.86,41262700014.0,7719889771457.78
98,2015-03-11,3.33,3.33,3.33,3.33,1000.0,0.0,15.0,0.11,1665.41,1671.47,1692.31,1655.32,36032409936.0,7748100580259.65
99,2015-03-12,3.005,3.3,3.3,3.0,4000.0,0.0,15.0,0.11,1671.71,1664.7,1681.09,1656.35,28247784352.0,7716740491854.74
100,2015-03-13,3.1,3.2,3.2,3.1,11000.0,0.0,15.0,0.11,1664.59,1627.88,1669.05,1621.86,34064154241.0,7546062790821.84
101,2015-03-16,3.345,3.345,3.345,3.345,1000.0,0.0,14.0,0.12,1626.77,1609.85,1636.16,1609.82,35828098909.0,7462485154825.06
102,2015-03-19,2.905,2.905,2.905,2.905,1000.0,0.0,14.0,0.12,1634.77,1607.97,1652.73,1607.25,34622152099.0,7553110632655.87
103,2015-03-20,3.345,3.895,3.895,2.9,203000.0,645550.0,14.0,0.12,1607.97,1628.64,1641.84,1599.57,57392320231.0,7650208484903.01
104,2015-03-23,3.005,3.145,3.83,2.95,62000.0,0.0,14.0,0.12,1629.29,1602.85,1639.06,1597.64,31172311202.0,7529051648399.15
105,2015-03-24,3.2,3.195,3.2,3.195,2000.0,0.0,14.0,0.11,1602.33,1618.62,1623.88,1590.59,28491305662.0,7603158788530.7
106,2015-03-27,2.605,3.09,3.15,2.605,83000.0,0.0,14.0,0.12,1581.84,1571.55,1594.38,1569.61,28812026020.0,7382037286864.04
