,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,6.84,6.835,6.989,6.674,15012800.0,102050790.1,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-10,6.843,6.762,6.857,6.72,5229600.0,35377788.6,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
2,2014-06-11,6.796,6.77,6.843,6.731,3083500.0,20848875.4,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
3,2014-06-16,6.755,6.848,6.979,6.671,25659900.0,176221207.1,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
4,2014-06-17,6.519,6.857,6.955,6.519,8682700.0,59535283.1,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
5,2014-06-18,6.857,6.8,6.917,6.774,4635900.0,31774542.7,7.5,0.1,1486.47,1494.28,1500.39,1484.51,33911920376.0,6737184533664.86
6,2014-06-19,6.888,6.773,6.888,6.718,5620700.0,38292657.1,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
7,2014-06-20,6.786,6.728,6.786,6.658,6668400.0,44694597.8,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
8,2014-06-23,6.733,6.601,6.888,6.594,8332500.0,55573830.4,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
9,2014-06-24,6.601,6.699,6.699,6.59,5763000.0,38303248.5,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
10,2014-06-25,6.671,6.56,6.671,6.545,5652900.0,37288072.2,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
11,2014-06-26,6.58,6.628,6.63,6.521,4385500.0,28856980.1,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
12,2014-06-27,6.65,6.67,6.72,6.63,3482000.0,23183484.4,7.5,0.1,1473.31,1477.32,1481.29,1467.94,24506324520.0,6660748008656.28
13,2014-06-30,6.7,6.693,6.799,6.649,6417200.0,42878715.8,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
14,2014-07-01,6.684,6.679,6.765,6.665,6979500.0,46940373.9,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
15,2014-07-02,6.696,6.798,6.815,6.69,8693100.0,58619550.6,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
16,2014-07-03,6.799,6.814,6.849,6.765,7467100.0,50763273.8,7.5,0.09,1514.66,1514.47,1522.21,1510.66,29541346787.0,6828240267478.4
17,2014-07-04,6.819,6.699,6.92,6.666,6507900.0,44188949.2,7.5,0.09,1515.53,1489.53,1516.36,1485.52,25432309583.0,6715772755003.5
18,2014-07-07,6.73,6.775,6.85,6.7,7188500.0,48767847.1,7.5,0.1,1489.55,1513.72,1518.05,1484.27,26447591867.0,6824843528813.94
19,2014-07-08,6.8,6.763,6.869,6.711,7066800.0,48039329.7,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
20,2014-07-09,6.787,6.816,6.843,6.712,8494600.0,57636364.8,7.5,0.09,1516.29,1513.38,1518.6,1496.79,28433619876.0,6823335238301.22
21,2014-07-10,6.82,6.744,6.912,6.718,15308400.0,104435113.0,7.5,0.09,1513.37,1494.92,1521.88,1480.26,40593712934.0,6740109174597.83
22,2014-07-11,6.8,6.693,6.89,6.68,8470700.0,57200278.4,7.5,0.09,1495.01,1499.82,1502.23,1488.84,27280591834.0,6762191289526.07
